timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488891393254,87,20,72,-8.937973022460938,3.107330322265625,2.5765838623046875,NULL
1488891393304,87,21,73,-8.617904663085938,3.9882659912109375,3.0858306884765625,NULL
1488891393355,86,22,75,-9.578369140625,3.418792724609375,2.095672607421875,NULL
1488891393405,85,24,77,-9.149826049804688,3.84857177734375,1.8029327392578125,NULL
1488891393455,84,26,78,-8.344894409179688,4.4618377685546875,1.9259796142578125,NULL
1488891393504,83,27,80,-8.956497192382812,4.140289306640625,1.2212677001953125,NULL
1488891393554,82,29,82,-7.800323486328125,4.784820556640625,0.88458251953125,NULL
1488891393604,81,29,83,-8.273208618164062,4.8547821044921875,0.6588592529296875,NULL
1488891393654,80,30,83,-7.9271087646484375,5.067779541015625,1.059112548828125,NULL
1488891393706,80,30,82,-8.279891967773438,5.0980072021484375,0.0493011474609375,NULL
1488891393756,81,30,79,-8.082138061523438,4.81097412109375,0.3623199462890625,NULL
1488891393804,83,29,75,-7.8026123046875,4.8417205810546875,2.2729644775390625,NULL
1488891393854,84,28,71,-7.9932861328125,4.7145538330078125,2.8018951416015625,NULL
1488891393904,85,28,69,-8.747207641601562,4.235870361328125,3.2549896240234375,NULL
1488891393954,85,27,68,-7.955780029296875,4.5592193603515625,3.0571441650390625,NULL
1488891394004,87,27,67,-8.10235595703125,3.9870452880859375,4.1638946533203125,NULL
1488891394054,88,27,68,-8.543167114257812,4.6049652099609375,3.4044189453125,NULL
1488891394104,87,28,69,-7.9848480224609375,4.66650390625,1.8146820068359375,NULL
1488891394155,88,28,69,-7.9391632080078125,4.88275146484375,1.8643798828125,NULL
1488891394204,90,26,66,-7.094696044921875,4.2050018310546875,3.1681060791015625,NULL
1488891394254,91,25,62,-7.8761444091796875,4.092315673828125,3.7600555419921875,NULL
1488891394305,93,24,58,-7.0635528564453125,4.07305908203125,4.5109405517578125,NULL
1488891394355,93,21,52,-6.5937042236328125,3.4689178466796875,5.52032470703125,NULL
1488891394404,93,20,47,-7.5327911376953125,3.0389251708984375,7.243011474609375,NULL
1488891394455,92,20,43,-6.760589599609375,3.0278167724609375,6.461181640625,NULL
1488891394505,92,19,39,-5.51617431640625,3.059661865234375,6.808349609375,NULL
1488891394555,91,19,34,-5.4290924072265625,2.67108154296875,7.1207733154296875,NULL
1488891394604,91,20,26,-5.110687255859375,2.7751617431640625,7.4302825927734375,NULL
1488891394655,91,22,16,-2.4709625244140625,4.167938232421875,8.930984497070312,NULL
1488891394704,93,22,14,-1.217498779296875,3.933624267578125,8.129486083984375,NULL
1488891394754,95,21,12,-1.6845703125,2.839752197265625,8.46484375,NULL
1488891394804,98,20,8,-1.2780303955078125,3.1224212646484375,9.152587890625,NULL
1488891394855,99,18,5,-0.0409393310546875,2.8722381591796875,9.843841552734375,NULL
1488891394904,100,16,3,-0.781829833984375,3.1719818115234375,10.128311157226562,NULL
1488891394954,101,15,0,-0.0723114013671875,1.941741943359375,10.5487060546875,NULL
1488891395005,101,16,-3,0.627471923828125,2.688446044921875,9.466110229492188,NULL
1488891395055,100,16,-7,1.0462188720703125,2.6004791259765625,8.874542236328125,NULL
1488891395105,99,16,-10,2.1142578125,3.147216796875,9.947296142578125,NULL
1488891395154,97,17,-13,2.0196990966796875,2.5506591796875,9.2540283203125,NULL
1488891395204,96,18,-14,1.0651397705078125,3.30364990234375,8.185714721679688,NULL
1488891395255,96,19,-16,3.34332275390625,3.1875457763671875,8.826690673828125,NULL
1488891395305,95,20,-19,2.9300537109375,3.4388275146484375,8.697372436523438,NULL
1488891395355,94,20,-24,3.7828369140625,3.4009246826171875,8.463729858398438,NULL
1488891395404,93,21,-25,3.627716064453125,3.2799224853515625,7.29437255859375,NULL
1488891395454,93,22,-26,3.558563232421875,3.4209136962890625,7.8432464599609375,NULL
1488891395504,93,22,-26,3.4338226318359375,3.791229248046875,7.519134521484375,NULL
1488891395556,93,22,-26,4.4988250732421875,3.70062255859375,8.257781982421875,NULL
1488891395605,93,22,-26,4.2230224609375,3.4488525390625,7.8038482666015625,NULL
1488891395654,92,22,-26,3.50836181640625,3.5559539794921875,7.681732177734375,NULL
1488891395704,92,22,-26,3.8463897705078125,3.7100830078125,8.012832641601562,NULL
1488891395756,92,22,-26,4.202880859375,3.435638427734375,7.5959320068359375,NULL
1488891395805,92,21,-27,3.4125518798828125,3.1854705810546875,8.521484375,NULL
1488891395854,92,21,-28,4.484039306640625,3.86187744140625,7.2944793701171875,NULL
1488891395905,92,21,-29,4.2165069580078125,3.4170989990234375,7.3029937744140625,NULL
1488891395955,92,21,-28,4.7353668212890625,3.2806549072265625,8.415023803710938,NULL
1488891396004,92,21,-28,4.572052001953125,3.5739593505859375,7.346588134765625,NULL
1488891396054,92,21,-28,4.0843505859375,3.531707763671875,7.9858245849609375,NULL
1488891396104,92,21,-28,4.3502349853515625,3.547821044921875,7.5373382568359375,NULL
1488891396154,92,21,-28,4.2322998046875,3.4754791259765625,8.444992065429688,NULL
1488891396205,92,22,-29,4.387176513671875,3.6661376953125,7.5257110595703125,NULL
1488891396255,92,22,-29,4.436309814453125,3.6176605224609375,7.10784912109375,NULL
1488891396305,92,22,-29,4.241546630859375,3.529541015625,8.203216552734375,NULL
1488891396354,92,22,-29,4.7006378173828125,3.554107666015625,7.42071533203125,NULL
1488891396405,92,22,-29,3.884765625,3.653411865234375,7.5318145751953125,NULL
1488891396456,92,22,-29,4.3732757568359375,3.6858978271484375,8.039031982421875,NULL
1488891396504,92,22,-28,4.147430419921875,3.6602325439453125,8.55853271484375,NULL
