timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494165983713,-0.0011,-0.0013,-0.0159,-1.8179,-1.0242,-9.5085,rotateclockwise
1494165983762,-0.0147,-0.0012,0.0094,-2.004,-0.9931,-9.4947,rotateclockwise
1494165983812,0.0042,-0.0098,-0.0146,-1.8459,-1.0536,-9.4203,rotateclockwise
1494165983862,0.032,0.0218,-0.015,-1.9717,-1.0117,-9.4357,rotateclockwise
1494165983912,-0.0263,-0.0012,-0.0277,-1.8285,-1.0646,-9.3299,rotateclockwise
1494165983962,0.0124,0.0229,-0.0005,-1.9539,-0.9906,-9.3825,rotateclockwise
1494165984013,-0.0177,-0.0001,-0.03,-1.8056,-1.0695,-9.4908,rotateclockwise
1494165984062,0.0054,-0.0165,-0.0147,-1.8649,-1.0209,-9.4013,rotateclockwise
1494165984113,-0.0171,-0.0037,-0.0039,-1.9007,-1.011,-9.5345,rotateclockwise
1494165984163,-0.0108,0.0031,-0.0042,-1.8979,-1.0331,-9.3757,rotateclockwise
1494165984213,-0.0001,0.0141,-0.0113,-1.8538,-1.0256,-9.3771,rotateclockwise
1494165984262,0.0058,-0.0172,-0.0109,-1.9493,-1.0309,-9.3693,rotateclockwise
1494165984312,0.0169,0.0194,-0.0046,-1.8637,-1.0157,-9.5112,rotateclockwise
1494165984362,-0.0099,0.0139,-0.0049,-1.8807,-1.0293,-9.4882,rotateclockwise
1494165984414,0.0039,0.0033,-0.0401,-1.9474,-1.0024,-9.3322,rotateclockwise
1494165984464,0.0341,0.0263,-0.0009,-1.6999,-1.072,-9.4636,rotateclockwise
1494165984514,-0.0116,-0.0139,-0.0034,-1.9108,-1.0193,-9.4721,rotateclockwise
1494165984562,-0.0034,0.001,-0.0129,-1.8467,-1.0414,-9.4291,rotateclockwise
1494165984612,0.015,0.0199,-0.0027,-1.9447,-0.9915,-9.3123,rotateclockwise
1494165984662,-0.0165,0.0019,-0.0419,-1.8035,-1.0578,-9.5367,rotateclockwise
1494165984712,0.0234,0.0047,-0.0004,-1.8085,-1.059,-9.3343,rotateclockwise
1494165984762,-0.0124,-0.0109,0.0022,-1.884,-1.0511,-9.5738,rotateclockwise
1494165984814,0.0129,0.0126,-0.0052,-1.8606,-1.0183,-9.2962,rotateclockwise
1494165984863,0.0184,-0.002,-0.0094,-1.8201,-1.0729,-9.5591,rotateclockwise
1494165984925,0.0002,0.012,-0.0085,-1.8764,-1.032,-9.4351,rotateclockwise
1494165984962,0.0121,-0.0154,-0.0056,-1.794,-1.0946,-9.3987,rotateclockwise
1494165985012,0.0055,-0.0083,-0.011,-1.828,-1.0596,-9.4093,rotateclockwise
1494165985064,0.0206,0.0075,-0.005,-1.8271,-1.0752,-9.3783,rotateclockwise
1494165985112,0.006,0.0019,-0.013,-1.8834,-1.0878,-9.5457,rotateclockwise
1494165985163,0.0098,0.0088,0.0037,-1.7336,-1.097,-9.4462,rotateclockwise
1494165985212,-0.0079,-0.016,-0.0118,-1.8542,-1.0874,-9.3631,rotateclockwise
1494165985262,0.0108,0.0124,0.002,-1.845,-1.0416,-9.4976,rotateclockwise
1494165985313,-0.005,-0.0078,-0.0036,-1.8184,-1.087,-9.3995,rotateclockwise
1494165985363,0.01,0.0029,-0.0034,-1.8158,-1.0645,-9.4183,rotateclockwise
1494165985418,0.007,-0.0076,-0.001,-1.8336,-1.0699,-9.3906,rotateclockwise
1494165985465,-0.0057,-0.0038,-0.0143,-1.9081,-1.0446,-9.4766,rotateclockwise
1494165985512,0.0107,0.0045,-0.0007,-1.7734,-1.1143,-9.3994,rotateclockwise
1494165985563,0.0061,0.0003,0.0095,-1.9165,-1.0481,-9.3889,rotateclockwise
1494165985612,0.0049,-0.0012,-0.0128,-1.772,-1.0935,-9.4215,rotateclockwise
1494165985662,-0.0024,0.0038,-0.0066,-1.8322,-1.0965,-9.4582,rotateclockwise
1494165985713,0.0066,-0.0019,-0.0047,-1.8503,-1.0514,-9.4375,rotateclockwise
1494165985762,0.0022,0.0126,-0.0126,-1.7764,-1.1109,-9.4476,rotateclockwise
1494165985812,0.004,0.0117,-0.0027,-1.8622,-1.0428,-9.3846,rotateclockwise
1494165985862,0.0076,0.008,-0.0108,-1.7358,-1.1296,-9.4694,rotateclockwise
1494165985914,0.0067,-0.001,-0.0017,-1.83,-1.0918,-9.4321,rotateclockwise
1494165985962,0.0037,-0.0012,-0.0038,-1.767,-1.1076,-9.4975,rotateclockwise
1494165986012,0.0119,0.0182,-0.0026,-1.8159,-1.1125,-9.4582,rotateclockwise
1494165986063,0.0119,0.0117,-0.0243,-1.7094,-1.1103,-9.3818,rotateclockwise
1494165986112,-0.0179,-0.0249,-0.014,-1.6448,-1.1666,-9.3932,rotateclockwise
1494165986166,0.0107,0.0029,0.0035,-1.8666,-1.0193,-9.3635,rotateclockwise
1494165986214,-0.0047,0.0055,-0.013,-1.7018,-1.1577,-9.526,rotateclockwise
1494165986262,0.0031,-0.0078,0.0104,-1.8043,-1.1039,-9.375,rotateclockwise
1494165986313,0.0153,0.0101,-0.0122,-1.8231,-1.0747,-9.5229,rotateclockwise
1494165986363,-0.0058,-0.0005,-0.0184,-1.7863,-1.0749,-9.3428,rotateclockwise
