timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494846740968,0.7988,0.8839,0.0481,0.9934,-4.3574,-7.1227,updown
1494846741016,0.6494,1.0426,0.1352,1.4147,-3.7553,-4.3092,updown
1494846741065,-0.0074,0.7018,-0.1291,1.4794,-4.2082,-5.0143,updown
1494846741115,-0.101,0.9223,-0.1227,2.7122,-5.4257,-6.3924,updown
1494846741165,0.2346,0.9755,-0.1317,3.5579,-5.6737,-6.4561,updown
1494846741215,0.1317,0.7298,-0.1924,1.7818,-4.7096,-5.2414,updown
1494846741265,-0.0164,1.1813,-0.5053,-3.093,-3.0142,-0.5972,updown
1494846741315,-1.3418,1.6278,-2.0848,-4.0733,-0.7749,-1.9988,updown
1494846741366,-2.3027,1.9374,-3.5238,1.8038,2.7148,-6.3078,updown
1494846741415,-1.3441,1.6288,-3.8712,12.1835,0.527,-6.8514,updown
1494846741465,-0.3085,0.7436,-2.4683,21.4081,-1.1457,-10.1539,updown
1494846741515,-0.1072,0.2852,-1.3056,20.9242,-2.2412,-11.7694,updown
1494846741565,1.1462,1.0252,0.3282,20.8432,-1.6678,-12.9095,updown
1494846741616,1.5118,-0.3647,0.8991,18.7307,-0.8418,-11.7143,updown
1494846741665,1.944,-2.039,1.7921,15.1279,0.3527,-9.0671,updown
1494846741715,2.5808,-1.347,2.5432,7.5821,1.0716,-2.4588,updown
1494846741765,1.8094,-1.3664,1.4689,0.0324,-1.1801,4.1028,updown
1494846741815,0.6835,-1.203,0.7628,-5.6102,-0.2756,4.996,updown
1494846741865,-0.8201,-1.0479,-0.8911,-4.1568,-0.8093,3.9693,updown
1494846741915,-1.5757,-0.4392,-1.5768,-0.0611,-0.2489,-1.7115,updown
1494846741965,-2.5228,-0.9457,-2.0966,4.0461,0.7829,-4.5187,updown
1494846742015,-2.5078,-0.8386,-1.9808,8.4173,1.1172,-11.9999,updown
1494846742065,-1.6702,0.5163,-1.4457,10.2312,0.5907,-17.2814,updown
1494846742115,-0.9468,0.3058,-1.5107,13.25,0.2462,-20.6382,updown
1494846742166,0.5379,0.5055,-0.5157,14.7509,-0.7347,-25.1663,updown
1494846742215,3.0943,-0.1698,0.5774,11.3322,0.0683,-16.6853,updown
1494846742265,3.3568,-0.232,1.0048,7.3979,1.7536,-10.2193,updown
1494846742315,3.3981,-0.3663,0.4245,3.6035,1.9413,1.472,updown
1494846742365,1.8944,-0.7471,0.0436,6.7926,-1.0866,7.1662,updown
1494846742415,0.228,-0.4494,0.5516,7.3471,-2.0358,5.9387,updown
1494846742465,-1.1367,0.2469,0.5796,8.5918,-2.8614,2.1705,updown
1494846742515,-1.8015,0.5141,0.9328,10.1734,-2.3284,-3.7784,updown
1494846742565,-1.7105,0.752,1.3734,12.398,-2.2296,-7.6802,updown
1494846742615,-1.5598,0.72,2.0592,12.9503,-1.268,-9.6881,updown
1494846742666,-1.7159,0.0619,2.5325,8.8302,0.0064,-10.4097,updown
1494846742715,-1.1011,0.1307,2.9083,2.8946,1.0463,-13.488,updown
1494846742765,-0.8551,0.0003,2.7192,-3.0284,1.2217,-13.8475,updown
1494846742815,-0.2685,-0.2354,1.7964,-5.0285,0.1341,-14.2473,updown
1494846742865,0.6704,-0.0497,0.6307,-5.4503,-2.1351,-7.9323,updown
1494846742915,0.6395,0.0088,0.5497,-7.1227,-1.3751,-4.2729,updown
1494846742965,0.4918,1.1021,0.0457,-10.493,-0.9239,-0.0904,updown
1494846743015,-0.8954,0.0614,-2.0812,-1.4299,-0.9163,-3.1464,updown
1494846743066,-1.0867,0.2463,-2.0303,1.6872,-0.6629,-3.9796,updown
1494846743115,-1.6711,0.6549,-2.4505,6.3907,0.6949,-8.6598,updown
1494846743166,-1.2988,0.9256,-2.2978,13.5447,-1.2771,-14.2601,updown
