timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493805377969,-0.1467,0.0349,-0.0714,-0.0779,-2.0015,-9.5909,leftright
1493805378017,-0.231,0.0696,-0.0962,0.6914,-2.1561,-8.714,leftright
1493805378068,-0.312,-0.0632,-0.1632,1.1068,-2.261,-9.5516,leftright
1493805378117,0.0203,0.0131,0.1442,1.6058,-2.2367,-10.3352,leftright
1493805378168,-0.1623,0.0477,0.23,4.6015,-2.5099,-9.3473,leftright
1493805378218,-0.3359,-0.3819,0.5455,4.9972,-2.4266,-10.7763,leftright
1493805378271,-0.0004,-0.5205,1.0798,5.1066,-1.8088,-9.0038,leftright
1493805378319,-0.0287,-0.0034,1.9412,2.5502,-1.2331,-8.9825,leftright
1493805378368,0.0169,0.0898,2.0417,1.8852,0.0719,-8.6553,leftright
1493805378418,-0.3863,-0.0849,2.3746,-2.1579,1.2227,-9.327,leftright
1493805378468,-0.1023,0.7001,2.1025,-6.8726,2.6577,-11.2169,leftright
1493805378520,-0.0113,0.3891,1.0661,-11.1832,3.1592,-9.8281,leftright
1493805378568,-0.346,-0.0948,-1.015,-9.8497,3.1021,-10.7327,leftright
1493805378618,-0.0172,-0.1105,-2.0884,-5.8537,2.2035,-9.1862,leftright
1493805378669,-0.2742,-0.2621,-2.9338,-3.3484,2.0119,-8.2837,leftright
1493805378718,-0.4671,-0.5367,-3.63,0.0345,1.9843,-9.8018,leftright
1493805378768,-0.5168,-0.1707,-3.106,3.6939,1.507,-8.8388,leftright
1493805378818,-0.4147,-0.2798,-2.2709,5.0232,0.6526,-10.6959,leftright
1493805378868,-0.2836,0.108,-1.489,6.8505,-0.2231,-9.7727,leftright
1493805378918,-0.6433,-0.1623,-1.0639,8.8135,-1.7438,-11.5542,leftright
1493805378968,-0.1226,-0.2519,0.4622,10.0851,1.914,-12.5848,leftright
1493805379018,0.537,-0.2964,1.8111,4.6131,0.934,-10.2545,leftright
1493805379068,0.4615,-0.0962,2.2933,2.0942,1.788,-10.1826,leftright
1493805379118,0.7558,0.2492,2.6258,1.8757,1.5582,-9.7125,leftright
1493805379168,0.6501,0.1102,3.0293,-1.1277,2.0133,-8.7827,leftright
1493805379218,0.473,0.2178,2.9108,-6.2109,2.1889,-8.216,leftright
1493805379268,0.0977,0.1913,1.9495,-10.3523,2.2452,-9.0449,leftright
1493805379318,-0.0753,0.1597,0.2692,-10.8941,2.5129,-9.9065,leftright
1493805379369,0.0543,0.0693,-1.1109,-8.5275,2.0991,-9.3786,leftright
