timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488983712020,0.1282,-0.1506,0.0153,0.7705,-1.3451,-10.144,leftright
1488983712070,0.0849,0.0114,0.0858,0.9267,-1.3399,-9.4365,leftright
1488983712120,0.0863,0.0048,0.1132,0.5503,-1.3287,-9.4358,leftright
1488983712170,-0.0766,-0.0982,0.097,1.4745,-1.3897,-10.3732,leftright
1488983712220,0.1162,0.0521,0.2868,1.877,-1.5907,-9.5217,leftright
1488983712270,-0.0322,-0.2328,0.4272,4.3691,-2.0096,-10.6436,leftright
1488983712321,0.21,-0.2262,1.2002,4.4259,-1.4475,-9.4259,leftright
1488983712370,0.1987,0.1603,1.5156,1.7732,-0.7366,-9.137,leftright
1488983712421,-0.0149,0.1044,1.5222,1.3893,-0.3018,-9.5501,leftright
1488983712470,0.0119,0.3803,1.6953,0.48,0.4545,-11.2437,leftright
1488983712521,0.3583,0.3706,1.6692,-0.0519,0.1989,-9.6808,leftright
1488983712570,0.2335,0.3835,1.6662,-1.5112,-0.0298,-9.3012,leftright
1488983712620,0.1821,0.3782,1.4337,-3.1537,-0.2147,-9.0787,leftright
1488983712670,-0.0027,0.2217,1.1568,-4.7421,-0.1625,-8.6179,leftright
1488983712721,-0.1963,0.0084,0.6164,-6.7379,0.1714,-9.2417,leftright
1488983712770,-0.0816,0.0369,-0.614,-6.7182,0.0215,-9.5998,leftright
1488983712820,-0.1123,-0.2134,-1.2011,-3.914,-0.6403,-9.9238,leftright
1488983712870,-0.0352,-0.2912,-1.2681,-2.6222,-0.3536,-10.4131,leftright
1488983712920,0.0416,-0.2621,-1.5567,-2.2673,0.0168,-10.0145,leftright
1488983712970,-0.1017,-0.637,-1.9048,-0.8515,0.1353,-9.1083,leftright
1488983713020,-0.1169,-0.2005,-2.0813,0.3615,0.012,-9.6116,leftright
1488983713072,-0.1631,-0.203,-1.9939,0.6342,0.2161,-9.6285,leftright
1488983713121,-0.2486,-0.3213,-2.0878,0.8846,0.0716,-10.1917,leftright
1488983713170,-0.2947,-0.3359,-2.0984,3.1798,0.0488,-11.298,leftright
1488983713221,0.1331,-0.1818,-1.4875,2.9863,-0.3079,-8.9467,leftright
1488983713270,-0.176,-0.3562,-1.313,4.0435,-0.7068,-10.0108,leftright
1488983713320,-0.0015,-0.0213,-0.7221,6.4092,-1.2953,-9.9786,leftright
1488983713373,0.0974,0.1069,0.0966,6.1293,-1.5999,-9.022,leftright
1488983713428,-0.1229,0.0401,1.1317,5.0507,-1.1854,-9.8302,leftright
1488983713470,-0.0718,0.0148,1.4765,3.4064,-0.2648,-10.0457,leftright
1488983713521,-0.1909,-0.166,1.7578,2.6152,0.5528,-11.0278,leftright
1488983713570,0.2466,0.1784,1.9861,1.2902,0.6722,-9.9592,leftright
1488983713620,0.1701,0.278,2.0005,1.1708,0.515,-10.4433,leftright
1488983713670,0.2861,0.3391,2.214,-0.2554,0.5748,-10.0005,leftright
1488983713720,0.2745,0.3846,2.185,-1.9336,0.4011,-9.1001,leftright
1488983713770,0.1459,0.4191,2.0575,-4.2641,0.5728,-9.0002,leftright
1488983713820,0.0486,0.5074,1.6123,-6.0521,0.8719,-9.8365,leftright
1488983713870,0.0472,0.013,0.6962,-6.7,0.2434,-9.8467,leftright
1488983713920,0.0795,-0.0254,0.0596,-5.8624,0.0285,-9.0231,leftright
1488983713971,0.0099,-0.0459,-0.5998,-5.8256,0.1574,-9.1677,leftright
1488983714020,-0.0282,-0.1632,-1.3833,-1.688,-0.5413,-9.5596,leftright
1488983714070,-0.0866,-0.2113,-1.3409,-2.3638,-0.1585,-9.2311,leftright
1488983714120,-0.0471,-0.0564,-1.5462,-2.5969,0.4612,-9.3905,leftright
1488983714170,-0.2563,-0.1602,-2.1224,-0.2071,0.6551,-9.5352,leftright
1488983714220,-0.2852,-0.2808,-1.9592,0.6158,0.7065,-9.314,leftright
1488983714270,-0.3697,-0.143,-2.0555,0.6492,0.9809,-10.1928,leftright
1488983714320,-0.2906,-0.2315,-2.0737,2.5396,0.8235,-10.8569,leftright
1488983714370,-0.1398,-0.0507,-1.8466,3.0657,0.464,-10.5824,leftright
1488983714420,-0.0629,-0.0814,-1.7234,4.5217,-0.1719,-10.5018,leftright
1488983714475,0.1405,-0.0191,-1.0897,5.6212,-0.9094,-10.192,leftright
1488983714520,0.1367,-0.0535,-0.4025,5.9583,-1.471,-9.2429,leftright
1488983714570,0.0496,0.2041,0.4492,5.8708,-1.581,-9.5989,leftright
1488983714620,-0.0027,0.1314,1.1146,3.9128,-0.7418,-10.0007,leftright
1488983714670,-0.0018,0.0542,1.4341,3.5893,-0.3841,-10.0225,leftright
1488983714720,0.0696,0.1853,1.7531,2.6744,0.249,-10.1935,leftright
1488983714770,0.146,0.1402,1.9663,1.778,0.6583,-9.8386,leftright
1488983714820,0.088,0.2003,2.0894,1.3429,0.8495,-9.4982,leftright
1488983714870,0.0885,0.3145,2.1598,0.7171,0.7014,-9.4505,leftright
1488983714920,-0.0078,0.2395,2.2407,0.2087,0.7484,-9.8001,leftright
1488983714970,-0.1166,-0.0781,2.5249,-1.2945,1.2735,-9.855,leftright
1488983715021,0.0468,0.1789,1.8467,-4.6906,1.1191,-10.0602,leftright
1488983715070,-0.0478,-0.1913,1.438,-4.9847,1.1286,-9.5216,leftright
1488983715120,0.0983,0.1093,1.1058,-6.1952,0.9581,-9.5899,leftright
1488983715170,-0.015,0.0027,0.1648,-6.3824,0.5077,-8.4804,leftright
1488983715221,-0.282,-0.2908,-0.6522,-5.3395,0.5397,-10.5338,leftright
1488983715270,-0.0113,0.0254,-1.1351,-4.4749,0.7191,-8.837,leftright
1488983715321,-0.3084,-0.3787,-1.7637,-3.5142,1.4836,-9.9308,leftright
1488983715370,-0.1386,0.0715,-2.2472,-2.9561,2.0043,-9.7431,leftright
1488983715420,-0.2782,-0.2484,-2.8708,-0.0979,2.3334,-10.7462,leftright
1488983715470,0.0265,-0.0863,-2.8968,0.0395,2.1694,-10.1153,leftright
1488983715523,0.0032,-0.3574,-3.0318,2.792,1.8322,-9.7746,leftright
1488983715570,0.0866,0.1706,-2.7555,3.2,1.5647,-10.2089,leftright
1488983715620,0.1838,0.0812,-2.5487,4.0747,0.9185,-9.3229,leftright
1488983715670,0.1477,0.0152,-2.2061,8.2708,-0.757,-10.8352,leftright
1488983715720,0.5066,0.3726,-0.7994,6.1628,-1.1188,-9.001,leftright
1488983715770,0.3137,0.3561,-0.3457,6.8245,-1.3846,-9.3838,leftright
1488983715820,0.1501,0.3049,0.7575,6.017,-1.3464,-8.4277,leftright
1488983715870,-0.3833,0.0787,1.5001,3.4031,-0.5554,-9.3089,leftright
1488983715920,-0.1969,0.1845,1.8117,3.0581,-0.1485,-10.3249,leftright
1488983715970,-0.2088,0.0356,1.9582,2.274,0.0156,-10.4158,leftright
1488983716020,0.0287,0.3424,2.2374,1.8808,0.0324,-10.5098,leftright
1488983716070,0.0639,-0.0631,2.4456,0.7808,0.0592,-9.7298,leftright
1488983716120,0.0755,0.0026,2.7412,-0.1212,0.2502,-9.5904,leftright
1488983716170,0.0105,-0.3167,2.8385,-1.651,0.6029,-9.1484,leftright
1488983716220,0.2244,-0.087,2.7948,-3.6944,1.1628,-9.0973,leftright
1488983716270,0.0626,0.3332,2.2367,-7.2918,1.0453,-7.8612,leftright
1488983716320,-0.4304,-0.137,0.832,-7.8811,1.4927,-9.4979,leftright
1488983716370,-0.001,-0.0132,-0.8569,-7.1341,0.9873,-10.4153,leftright
1488983716420,-0.2358,-0.3673,-1.6728,-4.9269,0.4932,-8.9561,leftright
1488983716470,-0.0794,-0.1654,-1.9288,-2.9718,0.3194,-9.9198,leftright
1488983716521,-0.2082,-0.3008,-2.1313,-2.3423,0.5932,-9.1739,leftright
1488983716570,-0.2246,-0.1689,-2.3831,-0.9356,0.7024,-10.171,leftright
1488983716620,-0.1093,-0.1851,-2.2482,0.4253,1.0135,-9.6843,leftright
1488983716670,-0.1826,0.1512,-2.2311,-1.3682,1.1628,-9.1973,leftright
1488983716720,-0.2863,-0.1202,-2.8642,3.4099,1.0881,-10.587,leftright
1488983716770,0.1039,0.2506,-2.1978,2.748,0.6573,-10.3296,leftright
1488983716821,0.2458,0.2566,-2.2867,6.1688,-0.2072,-9.7969,leftright
1488983716871,0.229,-0.0068,-1.3767,8.3189,-1.3096,-9.884,leftright
1488983716920,0.127,0.0095,-0.202,6.4751,-1.518,-9.136,leftright
1488983716970,0.002,0.157,0.4466,6.7608,-1.4549,-9.3527,leftright
1488983717020,-0.1618,0.1097,1.3687,4.9042,-0.8238,-9.5222,leftright
1488983717070,-0.2325,0.0213,1.8034,3.6349,-0.1847,-10.6278,leftright
1488983717120,-0.0779,0.1232,2.1162,1.8334,0.4116,-10.0544,leftright
1488983717170,-0.0914,-0.0947,2.1893,0.9189,0.7291,-10.3999,leftright
1488983717220,0.1347,0.4821,2.332,-0.238,0.8604,-10.0601,leftright
