timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679273885,-0.278,-0.1517,0.1761,3.0978,-0.9541,-10.3447,leftright
1494679273934,-0.0257,0.0075,0.5887,6.2203,-1.059,-10.5143,leftright
1494679273984,0.0632,0.0741,1.5605,9.0296,-1.2845,-9.9286,leftright
1494679274034,-0.1177,0.0358,2.2966,7.1352,-0.1158,-9.5654,leftright
1494679274085,0.1342,0.2998,2.9007,0.8193,1.7447,-10.7907,leftright
1494679274141,0.2962,1.1766,1.7322,-6.0078,1.9263,-9.6495,leftright
1494679274184,-0.4208,-0.1134,1.4894,-10.0214,2.9495,-11.0122,leftright
1494679274234,-0.0103,-0.3539,0.3019,-20.0243,7.308,-12.4946,leftright
1494679274286,0.3005,-0.6039,-1.9406,-12.2201,7.0602,-10.3847,leftright
1494679274334,-0.0214,-1.0253,-3.5012,-1.0129,4.1635,-7.5591,leftright
1494679274384,-0.3783,-0.7991,-3.5922,12.2694,-0.8584,-11.9748,leftright
1494679274434,0.1488,-0.2299,-1.6873,20.953,-3.5208,-8.6938,leftright
1494679274485,-0.2224,-0.53,1.1416,13.6123,-1.3562,-12.4725,leftright
1494679274534,0.2912,0.4891,2.3304,7.9666,0.621,-8.5322,leftright
1494679274585,-0.0977,0.5808,2.7943,6.0008,1.3372,-8.4091,leftright
1494679274634,-0.2219,0.5784,3.0015,-1.2042,3.8223,-9.7836,leftright
1494679274684,-0.1446,0.6588,2.7008,-7.1917,4.3256,-8.4894,leftright
1494679274736,-0.448,0.8595,1.3224,-18.243,6.5956,-10.4607,leftright
1494679274785,-0.0001,-0.2202,-1.37,-17.9268,7.2468,-14.8509,leftright
1494679274835,0.4849,-0.3987,-2.8928,-8.6685,5.123,-10.4617,leftright
1494679274884,-0.1799,-0.8368,-3.475,-1.3272,5.4235,-9.3229,leftright
1494679274934,-0.3308,-0.5602,-4.0026,8.3021,3.407,-11.5346,leftright
1494679274984,0.2592,-0.1073,-3.04,20.5473,-1.5741,-10.3652,leftright
1494679275035,0.1375,-0.1449,-0.3998,20.9164,-3.4882,-9.4999,leftright
1494679275084,0.064,0.0363,1.472,14.6599,-1.1941,-8.7194,leftright
1494679275135,-0.1858,0.2554,2.7607,5.9361,1.9819,-11.1877,leftright
1494679275185,0.1197,0.9422,3.0043,0.5905,3.5731,-10.4059,leftright
1494679275237,0.011,0.9829,2.5899,-5.4919,4.0515,-12.134,leftright
1494679275285,0.5822,1.1285,1.962,-13.1174,4.39,-7.4955,leftright
1494679275335,-0.705,-0.5572,0.4582,-14.5741,5.194,-12.4825,leftright
1494679275385,0.0825,-0.2287,-1.2362,-12.8653,5.3145,-11.5927,leftright
1494679275435,-0.2754,-0.6829,-2.6061,-6.4229,5.5103,-9.9889,leftright
1494679275485,-0.3952,-0.9897,-3.3088,-2.9449,6.2352,-9.7806,leftright
1494679275534,-0.5387,-0.3378,-4.4698,5.7173,5.0871,-11.0989,leftright
1494679275584,0.326,0.0157,-2.7418,24.0381,-1.1258,-12.8745,leftright
1494679275634,0.1605,-0.3488,0.6627,21.2965,-3.1831,-9.6465,leftright
1494679275685,0.053,0.3071,2.4135,9.1585,1.1188,-9.5548,leftright
1494679275735,0.1318,0.5382,2.775,2.5213,3.1949,-11.6252,leftright
1494679275785,0.4491,1.0405,2.7505,-0.3765,4.0869,-9.4421,leftright
1494679275834,0.1633,0.7628,2.3084,-5.6018,5.088,-12.5208,leftright
1494679275885,0.5351,0.7647,1.6476,-8.0748,3.8432,-10.0473,leftright
1494679275934,0.1762,-0.1603,0.9851,-13.6064,3.7196,-9.5423,leftright
1494679275986,0.168,-0.1519,-1.0386,-11.3913,3.8829,-8.2972,leftright
1494679276035,-0.2406,-0.9552,-2.2598,-5.8842,4.5426,-8.4779,leftright
1494679276085,-0.5912,-1.0114,-2.8349,-1.8202,5.2827,-9.5904,leftright
1494679276135,-0.9909,-1.1684,-3.7596,4.5268,4.5166,-12.2375,leftright
1494679276185,0.4244,0.1494,-2.5066,19.8675,-0.4368,-16.1558,leftright
1494679276234,0.4068,-0.518,0.1146,20.1663,-3.1709,-7.9755,leftright
1494679276285,0.0364,0.1532,2.0476,10.6545,0.2734,-10.2025,leftright
1494679276335,0.1501,0.9306,2.6504,6.2786,1.8867,-10.4202,leftright
1494679276386,0.1205,1.0453,3.132,-0.2974,3.8906,-10.1059,leftright
1494679276434,-0.1826,1.1047,2.7721,-4.5164,4.8215,-12.059,leftright
1494679276486,0.0653,0.2,1.987,-10.2085,4.9886,-11.1458,leftright
1494679276535,0.0313,0.2693,0.7348,-11.5591,4.2414,-11.7605,leftright
1494679276584,-0.0289,-1.096,-0.7989,-14.8981,5.1361,-9.9672,leftright
1494679276634,0.2646,0.0069,-2.3805,-7.0314,5.3183,-8.2598,leftright
1494679276684,-0.4187,-1.0734,-3.4191,-3.047,6.1324,-11.0286,leftright
1494679276735,0.127,-0.0399,-4.1149,6.1785,4.1732,-10.6199,leftright
1494679276785,0.1321,-0.2099,-3.3167,18.2695,-0.4021,-12.7172,leftright
1494679276835,0.6422,-0.0815,-0.9726,20.8657,-2.6324,-9.2435,leftright
1494679276885,0.4153,-0.3963,0.706,17.1904,-1.8865,-7.2989,leftright
1494679276935,0.0389,0.2465,2.3223,9.3044,0.4602,-8.8095,leftright
1494679276985,-0.268,0.4732,3.1101,4.7001,1.9759,-8.7691,leftright
1494679277034,-0.1868,0.9119,3.1884,-2.6753,3.686,-10.9948,leftright
1494679277086,-0.0496,0.4062,2.3483,-9.537,4.8951,-13.3367,leftright
1494679277135,0.3521,-0.1007,0.7191,-15.2713,5.2263,-10.7499,leftright
1494679277185,0.4365,0,-1.0181,-9.1919,3.8404,-8.3227,leftright
1494679277235,0.0889,-0.5562,-1.6667,-6.3794,3.4531,-7.7369,leftright
1494679277285,-0.4137,-0.6244,-2.6643,-3.2174,3.674,-9.5523,leftright
1494679277335,-0.1802,-0.5508,-3.3273,1.4539,2.882,-9.6216,leftright
1494679277385,-0.1105,-0.1782,-3.1295,14.4814,-1.0817,-11.1978,leftright
1494679277435,0.2213,-0.1546,-0.4014,17.3418,-2.9693,-9.2669,leftright
1494679277486,-0.009,0.0336,1.3184,10.9752,-0.8408,-8.5894,leftright
1494679277535,-0.2034,0.4355,2.1649,7.0443,0.7204,-9.9788,leftright
1494679277585,-0.1679,0.5977,2.6303,4.0915,1.9067,-10.7352,leftright
1494679277635,-0.2094,0.5896,2.7784,-0.6107,3.1398,-11.0797,leftright
1494679277685,-0.3437,0.1789,2.4687,-5.5368,4.0937,-9.907,leftright
1494679277735,-0.0688,0.5098,1.2668,-11.7479,4.6089,-12.0004,leftright
1494679277784,0.2851,0.021,-0.4261,-12.8872,4.2823,-10.0427,leftright
1494679277834,0.2321,-0.247,-1.7199,-8.5473,3.3405,-9.1217,leftright
1494679277885,-0.0706,-0.6801,-2.372,-5.0129,3.4826,-9.3373,leftright
1494679277935,-0.263,-0.8984,-3.1306,-1.2572,3.5875,-11.1567,leftright
1494679277985,0.3846,-0.5761,-2.7696,13.5866,-0.9324,-11.3427,leftright
1494679278035,0.199,-0.7599,-1.1045,15.4084,-2.1687,-10.72,leftright
1494679278084,0.4502,-0.0137,0.6046,12.5019,-1.1883,-7.9721,leftright
1494679278135,0.1726,0.1064,1.2556,9.5031,-0.5497,-8.0366,leftright
1494679278185,0.0352,1.1624,2.029,8.3383,0.328,-9.994,leftright
1494679278243,-0.3185,0.309,2.9788,1.8116,2.4098,-12.3512,leftright
1494679278285,0.0563,1.023,2.5839,-6.0459,3.3293,-11.1772,leftright
1494679278335,0.3612,0.6653,1.6891,-11.8493,3.5483,-9.9694,leftright
1494679278385,0.1601,0.1187,0.2779,-12.6936,3.534,-10.3994,leftright
1494679278435,0.2417,-0.2122,-1.0818,-10.6943,3.2556,-9.4019,leftright
1494679278486,-0.0086,-0.7717,-1.8829,-6.1068,3.1776,-9.014,leftright
1494679278535,-0.2623,-0.8913,-2.5477,-1.8435,3.4102,-10.0689,leftright
1494679278585,-0.2984,-0.6726,-2.9645,3.7466,1.6839,-11.8889,leftright
1494679278635,0.3903,-0.2715,-1.8886,16.1073,-1.9561,-10.701,leftright
1494679278684,-0.4262,-0.9382,0.1631,17.1762,-2.1662,-10.4398,leftright
1494679278735,0.452,0.4125,1.3253,10.7874,-0.6929,-10.4286,leftright
1494679278785,-0.1489,0.4369,2.0897,8.1299,-0.0035,-7.4233,leftright
1494679278834,-0.0116,1.0669,2.7578,2.0577,1.752,-10.5683,leftright
1494679278885,-0.1745,1.1269,2.5712,-4.4163,2.9586,-10.8928,leftright
1494679278935,0.0263,0.9274,1.9811,-10.5041,3.3711,-11.6789,leftright
1494679278985,-0.1811,-0.2772,1.0378,-13.428,4.1139,-11.8457,leftright
1494679279035,0.1166,-0.6088,-0.8412,-12.4776,4.6145,-10.8724,leftright
1494679279085,0.1074,-0.7507,-2.316,-5.0389,3.8929,-9.3753,leftright
1494679279135,-0.3502,-1.075,-3.0825,1.1766,2.6096,-10.4046,leftright
1494679279186,-0.0838,-0.613,-2.9803,12.7988,-1.3179,-10.0379,leftright
1494679279235,-0.3285,-1.0909,-1.7819,15.2553,-2.7256,-11.1206,leftright
1494679279286,0.1732,-0.026,-0.0164,13.1029,-1.5632,-10.7761,leftright
1494679279335,0.2249,0.4804,1.46,9.8737,-0.8486,-8.9373,leftright
1494679279385,0.1859,1.2213,2.2156,6.4731,0.0436,-9.0558,leftright
1494679279435,-0.2132,0.9016,2.6989,1.0636,1.9109,-10.1776,leftright
1494679279486,0.2506,1.8663,2.7457,-3.1375,2.949,-11.2031,leftright
1494679279534,-0.8574,-0.8177,2.2974,-13.9319,5.5592,-13.6873,leftright
1494679279585,0.2518,-0.1007,0.4223,-14.4835,5.457,-11.3215,leftright
1494679279635,0.0636,-0.9692,-1.5339,-9.1565,4.3274,-9.1602,leftright
1494679279686,-0.1229,-0.8828,-2.2689,-5.8978,4.2231,-9.0109,leftright
1494679279735,-0.4292,-0.7045,-3.2479,-0.8271,3.7162,-10.0419,leftright
1494679279785,-0.6925,-1.05,-3.4498,11.3445,-0.195,-13.4279,leftright
1494679279835,0.1637,-0.2082,-0.9744,18.4962,-3.2637,-11.1708,leftright
1494679279885,0.356,0.0762,0.8275,11.0236,-1.5315,-10.3172,leftright
1494679279935,0.2829,0.74,1.6679,7.2003,-0.2767,-7.4908,leftright
1494679279985,0.1738,1.201,2.078,2.446,1.246,-10.2607,leftright
1494679280035,-0.0173,1.0186,2.1297,-0.7869,1.9483,-10.5973,leftright
1494679280085,0.3067,1.3011,1.9166,-4.5341,2.1953,-10.4002,leftright
1494679280135,-0.1723,0.0739,1.3162,-10.8169,3.2256,-11.7171,leftright
1494679280189,0.2435,-0.0848,0.1555,-12.6463,3.7265,-10.1558,leftright
1494679280235,-0.1015,-0.8601,-1.3486,-9.9001,3.7253,-9.8194,leftright
