timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494165898867,-0.0001,0.0098,-0.0018,0.1924,0.0894,-9.7215,rotateclockwise
1494165898917,0.0014,-0.0031,-0.0023,0.1594,0.0562,-9.7733,rotateclockwise
1494165898967,0.0023,-0.0003,-0.0021,0.1765,0.06,-9.7689,rotateclockwise
1494165899017,0.0002,0.0012,-0.0016,0.1781,0.0621,-9.782,rotateclockwise
1494165899068,0.0004,0.0012,-0.003,0.1867,0.0766,-9.7783,rotateclockwise
1494165899117,0.0011,-0.0002,-0.0023,0.1639,0.0532,-9.7677,rotateclockwise
1494165899167,0.0006,0.0013,-0.0029,0.1735,0.0764,-9.7683,rotateclockwise
1494165899217,0.001,-0.0003,-0.003,0.1552,0.0672,-9.7823,rotateclockwise
1494165899272,-0.0003,0.0004,-0.0015,0.1587,0.0636,-9.7474,rotateclockwise
1494165899320,0.0008,0.0004,-0.0025,0.1649,0.0494,-9.7614,rotateclockwise
1494165899367,0.0034,0.0013,-0.003,0.1751,0.0899,-9.7606,rotateclockwise
1494165899417,0.0014,0.0012,-0.0018,0.1587,0.047,-9.7685,rotateclockwise
1494165899467,0.002,0,-0.0024,0.1779,0.0663,-9.7684,rotateclockwise
1494165899517,0.0024,0.0002,-0.0029,0.1672,0.0681,-9.7726,rotateclockwise
1494165899567,0.0018,0.0002,-0.0041,0.1575,0.0622,-9.7598,rotateclockwise
1494165899617,0.0013,0.0013,-0.0006,0.1596,0.0501,-9.7652,rotateclockwise
1494165899667,0.0009,-0.0006,-0.0023,0.1515,0.0389,-9.7545,rotateclockwise
1494165899718,0.0012,0.0005,-0.0018,0.1611,0.0567,-9.7585,rotateclockwise
1494165899771,0.0025,0.0013,-0.0015,0.1742,0.069,-9.7679,rotateclockwise
1494165899817,0,0.0009,-0.0027,0.1774,0.0645,-9.7756,rotateclockwise
1494165899867,0.0011,-0.001,-0.0023,0.1671,0.0535,-9.7741,rotateclockwise
1494165899917,0.0012,0.0011,-0.0017,0.1549,0.0492,-9.746,rotateclockwise
1494165899967,0.0019,0.0015,-0.0008,0.1562,0.052,-9.7562,rotateclockwise
1494165900016,0.0002,-0.0002,-0.0018,0.162,0.0527,-9.7605,rotateclockwise
1494165900067,0.0012,-0.0004,-0.0011,0.172,0.0757,-9.7743,rotateclockwise
1494165900117,0.0018,0.0004,-0.0018,0.1543,0.0545,-9.7657,rotateclockwise
1494165900167,0.0007,-0.0013,-0.0027,0.162,0.0713,-9.7602,rotateclockwise
1494165900216,-0.0011,0.0015,-0.0018,0.1707,0.0592,-9.7706,rotateclockwise
1494165900267,0.0006,-0.0009,-0.0023,0.1556,0.0618,-9.7663,rotateclockwise
1494165900317,0,0,-0.0021,0.1707,0.0544,-9.7747,rotateclockwise
1494165900367,0.0011,-0.0003,-0.0023,0.1727,0.0683,-9.7667,rotateclockwise
1494165900420,0,0.0007,-0.001,0.1469,0.0588,-9.7623,rotateclockwise
1494165900467,0.0015,0.0004,-0.0019,0.1668,0.0561,-9.7673,rotateclockwise
1494165900517,0.0018,0.0002,-0.0023,0.152,0.0414,-9.7531,rotateclockwise
1494165900567,0.001,-0.0008,-0.0014,0.1648,0.0662,-9.7681,rotateclockwise
1494165900618,0.0016,0.0008,-0.0014,0.1633,0.0643,-9.768,rotateclockwise
1494165900668,0.0003,0.0005,-0.002,0.165,0.053,-9.7581,rotateclockwise
1494165900717,0.0003,0,-0.002,0.1571,0.0417,-9.7497,rotateclockwise
1494165900769,0.0004,-0.0002,-0.002,0.1644,0.0561,-9.7699,rotateclockwise
1494165900823,0.001,-0.0006,-0.0005,0.1683,0.0601,-9.77,rotateclockwise
1494165900868,0.0017,-0.0015,-0.0008,0.1551,0.052,-9.7543,rotateclockwise
1494165900917,0.0012,0.0004,-0.0021,0.1734,0.06,-9.7654,rotateclockwise
1494165900967,0.0029,-0.0014,-0.0005,0.1682,0.0401,-9.7682,rotateclockwise
1494165901017,0.0018,0.0003,-0.0024,0.1653,0.0601,-9.7622,rotateclockwise
1494165901068,0.0024,0.0002,-0.0023,0.1608,0.0586,-9.7678,rotateclockwise
1494165901117,0.0011,-0.0003,-0.0005,0.165,0.0587,-9.7658,rotateclockwise
1494165901167,0.0007,-0.0004,-0.0023,0.1533,0.0479,-9.7651,rotateclockwise
1494165901217,0.0018,0.0008,-0.0019,0.1674,0.0544,-9.7713,rotateclockwise
1494165901267,0.0008,0.0004,-0.002,0.1707,0.064,-9.7543,rotateclockwise
1494165901317,0.0014,0.001,-0.0016,0.1565,0.045,-9.7578,rotateclockwise
1494165901368,0.0016,-0.0004,-0.0015,0.1694,0.0662,-9.776,rotateclockwise
1494165901418,0.0012,-0.001,-0.0018,0.166,0.0563,-9.761,rotateclockwise
1494165901467,0.0005,0.0006,-0.0019,0.1674,0.0496,-9.7665,rotateclockwise
1494165901517,-0.0002,0,-0.002,0.1547,0.0501,-9.7491,rotateclockwise
