timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494165971911,-0.3494,0.6395,-0.0207,-0.4524,-1.999,-10.3098,rotateclockwise
1494165971961,-0.0578,-0.015,-0.004,-0.0234,-2.3009,-10.4895,rotateclockwise
1494165972011,-0.2153,0.0137,0.0438,-0.6042,-1.6084,-9.0511,rotateclockwise
1494165972061,-0.018,-0.0197,-0.0312,-0.7912,-1.7646,-9.8987,rotateclockwise
1494165972115,-0.0318,-0.0066,0.022,-0.6331,-1.7672,-9.5952,rotateclockwise
1494165972161,0.0007,-0.0016,-0.0054,-0.6357,-1.7328,-9.6905,rotateclockwise
1494165972212,0.0407,0.0075,-0.0253,-0.507,-1.7575,-9.3846,rotateclockwise
1494165972261,-0.0288,-0.0108,-0.0166,-0.5835,-1.7743,-9.5925,rotateclockwise
1494165972312,-0.0145,-0.0122,0.0304,-0.6717,-1.7507,-9.5988,rotateclockwise
1494165972361,0.0236,-0.0027,-0.0327,-0.6638,-1.7101,-9.5747,rotateclockwise
1494165972411,-0.0015,-0.0143,-0.0208,-0.4757,-1.8247,-9.3877,rotateclockwise
1494165972461,0.0021,-0.001,0.0119,-0.6431,-1.7058,-9.5903,rotateclockwise
1494165972511,-0.0202,-0.0079,-0.0079,-0.5857,-1.8353,-9.6094,rotateclockwise
1494165972563,0.0034,-0.0009,-0.003,-0.6748,-1.7696,-9.5063,rotateclockwise
1494165972613,-0.01,-0.0083,-0.0185,-0.5436,-1.8351,-9.5456,rotateclockwise
1494165972665,-0.0271,-0.0065,-0.0099,-0.5083,-1.7589,-9.409,rotateclockwise
1494165972712,-0.0966,-0.0256,0.0358,-0.69,-1.6365,-9.6291,rotateclockwise
1494165972761,-0.0104,-0.0089,-0.015,-0.6194,-1.7055,-9.5748,rotateclockwise
1494165972811,0.007,0.0115,0.0357,-0.6883,-1.6069,-9.6528,rotateclockwise
1494165972863,0.0251,0.0236,-0.0112,-0.619,-1.5932,-9.5711,rotateclockwise
1494165972911,0.0305,0.0106,0.0025,-0.6084,-1.7291,-9.4542,rotateclockwise
1494165972963,0.0053,0.0024,0.0134,-0.5957,-1.7274,-9.4547,rotateclockwise
1494165973012,0.0048,0.0149,0.0155,-0.7713,-1.6716,-9.6715,rotateclockwise
1494165973062,0.0392,0.0081,-0.005,-0.473,-1.7849,-9.3111,rotateclockwise
1494165973111,-0.0215,0.0049,-0.0026,-0.6982,-1.742,-10.3867,rotateclockwise
1494165973161,0.1269,0.0137,-0.0726,-0.2134,-1.9983,-8.9841,rotateclockwise
1494165973211,-0.0121,-0.016,-0.0103,-0.5827,-1.8032,-9.4359,rotateclockwise
1494165973263,-0.0232,0.0082,0.0103,-0.5607,-1.6123,-9.8448,rotateclockwise
1494165973311,0.0735,0.0372,-0.0326,-0.5671,-1.6266,-9.4371,rotateclockwise
1494165973361,0.035,0.0224,-0.0408,-0.5756,-1.7327,-9.6066,rotateclockwise
1494165973412,0.0421,0.0155,-0.0596,-0.4376,-1.7662,-9.4172,rotateclockwise
1494165973462,0.0153,0.004,-0.0068,-0.5859,-1.8382,-9.5954,rotateclockwise
1494165973511,0.0135,-0.0072,-0.0192,-0.5484,-1.8223,-9.5049,rotateclockwise
1494165973561,-0.0156,-0.0286,0.0939,-0.4105,-1.6842,-9.5885,rotateclockwise
1494165973612,0.1185,0.0031,-0.0252,-0.7546,-1.6852,-9.7968,rotateclockwise
1494165973662,0.0635,0.0185,-0.0109,-0.4431,-1.9009,-9.2782,rotateclockwise
1494165973711,-0.0291,-0.0188,-0.0043,-0.6398,-1.9418,-9.5421,rotateclockwise
1494165973762,-0.0146,-0.0371,-0.0277,-0.6096,-1.9535,-9.6042,rotateclockwise
1494165973811,0.024,-0.0357,0.0133,-0.5597,-1.7818,-9.568,rotateclockwise
1494165973862,0.0182,-0.0226,-0.042,-0.6299,-1.7129,-9.5657,rotateclockwise
1494165973912,0.0519,-0.0075,-0.0612,-0.6204,-1.8615,-9.5365,rotateclockwise
1494165973961,0.0194,-0.0075,-0.0651,-0.3997,-1.9029,-9.3807,rotateclockwise
1494165974011,-0.0117,-0.0129,-0.0088,-0.628,-1.8835,-9.5662,rotateclockwise
1494165974061,0.032,-0.0102,-0.0479,-0.7342,-2.0439,-9.6126,rotateclockwise
1494165974112,0.0072,-0.0052,0.001,-0.391,-1.894,-9.4199,rotateclockwise
1494165974161,0.0271,0.0134,-0.0158,-0.6734,-1.8392,-9.7074,rotateclockwise
1494165974211,0.1035,0.0693,-0.0305,-0.515,-2.0106,-9.6299,rotateclockwise
1494165974261,0.082,0.0171,-0.0023,-0.482,-1.9765,-9.1226,rotateclockwise
1494165974311,-0.0119,-0.0108,-0.01,-0.4747,-2.0222,-9.5436,rotateclockwise
1494165974361,-0.0027,-0.007,-0.0055,-0.5541,-1.9988,-9.5415,rotateclockwise
1494165974411,-0.022,-0.0205,-0.0019,-0.4497,-2.0429,-9.4281,rotateclockwise
1494165974461,-0.0021,-0.0005,-0.0056,-0.6193,-1.9452,-9.5835,rotateclockwise
1494165974512,0.0044,-0.0041,-0.0257,-0.4796,-1.9593,-9.4485,rotateclockwise
1494165974562,-0.0046,-0.0025,-0.0126,-0.4734,-1.9957,-9.5479,rotateclockwise
1494165974617,0.0037,0.0036,-0.0014,-0.5282,-1.9824,-9.554,rotateclockwise
1494165974661,0.0183,0.0071,-0.0085,-0.4834,-1.956,-9.4729,rotateclockwise
1494165974711,0.0149,0.0049,-0.0066,-0.5329,-2.0546,-9.4195,rotateclockwise
1494165974761,0.0015,0.0016,-0.0006,-0.5038,-1.9868,-9.5046,rotateclockwise
1494165974811,0.0141,0.0051,-0.0035,-0.5231,-1.9777,-9.4607,rotateclockwise
1494165974861,0.0044,0.0006,-0.0092,-0.4819,-2.0699,-9.4828,rotateclockwise
1494165974913,0.0132,0.0134,0.0052,-0.4799,-1.933,-9.5587,rotateclockwise
1494165974961,0.0424,0.0167,-0.0247,-0.5096,-2.0096,-9.5458,rotateclockwise
1494165975012,0.005,0.004,-0.0224,-0.4541,-2.0931,-9.4519,rotateclockwise
1494165975066,0.0085,0.0038,-0.0106,-0.5319,-2.01,-9.451,rotateclockwise
1494165975112,-0.0195,-0.0201,-0.0149,-0.3981,-2.0946,-9.4707,rotateclockwise
1494165975161,0.0378,0.0252,0.0013,-0.5388,-1.9647,-9.7112,rotateclockwise
1494165975212,0.0463,0.0161,-0.009,-0.379,-2.1356,-9.2524,rotateclockwise
1494165975262,-0.0201,-0.0067,0.0149,-0.5781,-1.9456,-9.6394,rotateclockwise
1494165975311,0.0432,0.0121,-0.0311,-0.4389,-2.1195,-9.4519,rotateclockwise
1494165975361,-0.0053,0.0016,0.0033,-0.4605,-2.0969,-9.4198,rotateclockwise
1494165975411,0.0087,0.0012,-0.0119,-0.4844,-2.0452,-9.5469,rotateclockwise
