timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493804482096,-1.0838,-1.0594,-0.1471,0.0739,-2.0799,-6.266,rotateclockwise
1493804482147,-1.5384,-1.2383,0.1547,0.8318,-1.5311,-6.5233,rotateclockwise
1493804482196,-2.5258,-1.1151,0.4927,3.4428,-1.0349,-7.2326,rotateclockwise
1493804482247,-2.6162,-0.9456,1.5397,4.738,1.0467,-14.1608,rotateclockwise
1493804482297,-1.5273,-0.2731,2.2677,2.4248,2.5046,-18.9631,rotateclockwise
1493804482347,0.1584,-0.4692,2.4143,-3.7356,4.5959,-24.0427,rotateclockwise
1493804482396,2.3815,-0.8604,1.826,-11.7674,5.0746,-17.6394,rotateclockwise
1493804482448,2.6804,-0.5384,0.721,-16.1225,7.6225,-14.7715,rotateclockwise
1493804482497,3.5772,-1.3138,-1.6596,-9.9469,9.0952,-6.2128,rotateclockwise
1493804482547,2.8074,-1.8079,-2.6905,-7.5863,5.4343,1.9532,rotateclockwise
1493804482597,1.7746,-2.028,-3.5684,0.2638,3.6451,3.3524,rotateclockwise
1493804482647,-0.0215,-1.2624,-2.8828,2.6852,0.6563,5.4446,rotateclockwise
1493804482697,-2.184,-0.9729,-2.564,7.4749,-0.4446,-1.4274,rotateclockwise
1493804482748,-3.1091,-0.1727,-0.8981,8.0363,-0.3884,-6.0057,rotateclockwise
1493804482796,-3.2163,0.0663,0.1114,7.9137,-0.0143,-7.407,rotateclockwise
1493804482847,-3.9739,0.1032,1.9159,6.3107,4.1156,-16.1743,rotateclockwise
1493804482897,-2.658,0.1489,2.8974,4.8403,6.496,-22.0666,rotateclockwise
1493804482946,-1.3781,0.0543,3.2991,-0.109,7.5857,-22.2065,rotateclockwise
1493804482996,0.626,-0.1265,3.495,-6.026,8.6296,-22.7389,rotateclockwise
1493804483052,2.6561,-0.1028,2.376,-12.4844,8.8764,-18.8686,rotateclockwise
1493804483096,3.2585,-0.326,1.1883,-14.6287,9.0345,-15.7052,rotateclockwise
1493804483146,3.8789,-0.7965,-0.5473,-12.7918,8.2867,-8.3949,rotateclockwise
1493804483197,3.377,-1.4974,-1.6529,-8.1537,5.2415,-0.8514,rotateclockwise
1493804483246,1.5357,-1.3903,-2.8378,-2.225,1.9335,2.7654,rotateclockwise
1493804483297,-0.0397,-1.2582,-3.015,2.0163,0.2244,2.9538,rotateclockwise
1493804483347,-1.5503,-0.5938,-2.6234,3.0742,0.3317,1.1185,rotateclockwise
1493804483401,-2.5717,-0.2167,-2.1258,7.0077,0.9555,-2.7615,rotateclockwise
1493804483447,-3.4034,0.2337,-1.0366,8.8005,1.0595,-6.6222,rotateclockwise
1493804483497,-3.3096,0.2714,0.4677,11.1169,2.8919,-15.1443,rotateclockwise
1493804483549,-3.2281,-0.0252,1.5374,10.7308,4.4973,-20.2204,rotateclockwise
1493804483597,-1.5996,-0.5284,2.7495,4.8415,5.85,-22.1667,rotateclockwise
1493804483647,0.2932,-0.4405,3.2404,-0.6655,6.5037,-19.534,rotateclockwise
1493804483697,1.46,-0.1932,3.0147,-5.2503,6.7434,-18.3772,rotateclockwise
1493804483747,2.2291,-0.007,1.8701,-11.9752,6.4618,-13.9626,rotateclockwise
1493804483797,2.8765,-0.1747,0.4034,-11.5291,5.1123,-10.6459,rotateclockwise
1493804483846,2.8764,-0.6033,-0.876,-8.7081,3.4032,-5.3215,rotateclockwise
1493804483896,2.2846,-0.7748,-1.6289,-5.5552,2.5922,-0.8181,rotateclockwise
1493804483947,0.9913,-0.9629,-2.323,-1.9522,1.883,0.5493,rotateclockwise
1493804483996,-0.2727,-0.7711,-2.4651,-0.4386,2.0103,0.9226,rotateclockwise
1493804484052,-1.8112,-0.5765,-2.4954,4.0087,1.5048,-3.0999,rotateclockwise
1493804484101,-1.8769,-0.5924,-2.3197,6.122,0.7738,-4.8483,rotateclockwise
1493804484146,-2.1755,0.2168,-0.7913,9.3306,-0.3501,-7.406,rotateclockwise
1493804484197,-2.9001,0.1053,0.3304,8.4096,1.3444,-10.0735,rotateclockwise
1493804484246,-2.3506,0.3733,1.221,9.2456,3.4442,-16.7809,rotateclockwise
1493804484297,-1.7996,-0.211,2.0103,7.1804,4.4928,-19.4902,rotateclockwise
1493804484346,-0.7083,-0.6461,2.9184,5.8296,5.1164,-19.2811,rotateclockwise
1493804484397,0.5482,-0.5129,3.4878,-2.0331,6.0654,-21.9601,rotateclockwise
1493804484446,2.1241,-0.5314,2.5506,-7.7341,7.5653,-21.7157,rotateclockwise
1493804484497,3.513,-0.9336,1.2435,-10.4508,9.4123,-15.2774,rotateclockwise
1493804484547,3.4871,-1.5337,-0.4117,-10.8167,7.5655,-4.1971,rotateclockwise
1493804484596,2.6443,-2.0072,-1.6111,-4.8106,3.7886,0.9858,rotateclockwise
1493804484646,1.1015,-2.3705,-2.3133,-5.6854,2.4529,5.8022,rotateclockwise
1493804484696,-0.9541,-1.019,-2.8104,1.2606,0.6511,2.1927,rotateclockwise
1493804484746,-2.2776,-0.4878,-2.6193,6.4315,0.8227,-1.5783,rotateclockwise
1493804484797,-2.9644,0.2593,-1.4528,9.3449,0.8153,-9.9797,rotateclockwise
1493804484847,-2.6537,0.2813,0.3483,11.7817,1.4006,-13.1788,rotateclockwise
1493804484897,-2.4422,0.0585,1.3669,8.5304,1.8484,-12.5406,rotateclockwise
1493804484948,-2.473,-0.0715,1.812,7.5914,3.1317,-16.6975,rotateclockwise
1493804484997,-1.4396,0.178,2.8148,4.1478,4.0362,-19.6997,rotateclockwise
1493804485053,0.477,0.4214,3.1635,-0.7491,5.4512,-23.8497,rotateclockwise
1493804485096,2.0327,-0.0434,2.8625,-8.3607,8.1048,-19.9239,rotateclockwise
1493804485146,3.183,-0.4442,1.6208,-10.5925,8.2608,-16.6429,rotateclockwise
1493804485196,3.3867,-0.8281,0.3727,-10.7066,6.733,-8.8348,rotateclockwise
1493804485247,2.7644,-1.2171,-1.0654,-9.2485,4.3563,-3.48,rotateclockwise
1493804485297,1.8,-1.677,-1.8981,-5.7598,2.3991,-0.5996,rotateclockwise
1493804485347,0.2716,-1.3352,-2.5222,-4.149,1.3121,3.5776,rotateclockwise
1493804485397,-1.1528,-0.9379,-2.6187,1.3265,0.6721,-0.6833,rotateclockwise
1493804485447,-1.7365,-0.8067,-2.5365,4.7255,0.5702,-2.8539,rotateclockwise
1493804485497,-2.2751,-0.1299,-1.3768,5.9216,0.9704,-4.313,rotateclockwise
1493804485546,-2.9439,0.2526,-0.4792,8.6822,2.8371,-7.269,rotateclockwise
1493804485597,-3.2396,0.7027,0.2666,10.0793,3.1326,-15.8519,rotateclockwise
1493804485647,-2.5931,0.3336,1.6346,9.6225,3.5908,-21.551,rotateclockwise
1493804485697,-1.1668,-0.4425,2.5646,8.0471,4.3371,-24.2593,rotateclockwise
1493804485747,0.6982,-0.6217,3.1304,2.2489,5.9923,-24.2328,rotateclockwise
1493804485797,1.8943,-1.1541,3.0583,-4.0802,8.4696,-18.5264,rotateclockwise
1493804485847,2.8508,-0.6767,1.7839,-12.9172,7.4437,-11.5303,rotateclockwise
1493804485897,3.2051,-1.0638,0.0817,-13.505,5.6472,-5.7022,rotateclockwise
1493804485947,2.5064,-1.143,-1.4912,-8.4578,2.762,-0.7361,rotateclockwise
1493804485997,1.4826,-1.2892,-2.3332,-5.446,1.6841,-0.3007,rotateclockwise
1493804486052,0.7171,-0.89,-2.4369,-1.4308,0.2427,2.089,rotateclockwise
1493804486096,-1.1131,-0.2338,-2.4517,3.6311,1.0856,2.0159,rotateclockwise
1493804486147,-2.4521,0.1006,-2.0831,6.2955,0.8324,-3.2405,rotateclockwise
1493804486196,-3.0539,0.185,-0.985,8.6326,0.4923,-9.0457,rotateclockwise
1493804486247,-3.107,-0.0848,-0.0075,11.5283,1.7639,-13.0105,rotateclockwise
