timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740732590,-0.2933,-0.3091,-0.1746,1.3667,-2.7565,-10.0558,rotateclockwise
1493740732640,-0.09,-0.15,0.0056,0.5635,-2.7214,-9.1241,rotateclockwise
1493740732692,-0.2182,-0.6113,-0.0958,0.5302,-2.613,-8.8838,rotateclockwise
1493740732740,-0.3622,-0.6559,-0.088,0.6712,-2.4497,-7.5103,rotateclockwise
1493740732790,-1.0327,-1.0363,-0.0012,1.7745,-1.7859,-9.0042,rotateclockwise
1493740732845,-0.9892,-0.8641,0.1848,2.2734,-1.0718,-6.7547,rotateclockwise
1493740732890,-1.8304,-1.0747,0.5323,4.0844,-0.6239,-9.1484,rotateclockwise
1493740732940,-1.7665,-0.9365,1.6589,5.0736,-0.0107,-11.47,rotateclockwise
1493740732991,-0.8576,-0.6199,2.4617,2.363,1.2535,-14.5171,rotateclockwise
1493740733040,0.173,-0.2601,2.9444,-2.8931,3.4485,-16.6799,rotateclockwise
1493740733090,1.4508,0.0943,2.3175,-8.757,4.7605,-14.7025,rotateclockwise
1493740733140,2.0611,-0.1674,1.1209,-11.6952,5.7565,-13.4971,rotateclockwise
1493740733191,2.2195,-0.8797,-0.4983,-11.2017,5.1813,-8.8564,rotateclockwise
1493740733240,1.759,-1.4536,-1.6076,-7.6978,2.7521,-5.2641,rotateclockwise
1493740733291,1.3759,-1.3833,-2.1017,-6.4839,2.0153,-4.8469,rotateclockwise
1493740733340,0.7405,-1.3141,-2.6763,-3.795,1.0817,-3.7743,rotateclockwise
1493740733390,0.1827,-1.1915,-2.8434,-1.8268,-0.0841,-3.2763,rotateclockwise
1493740733440,-0.4784,-0.8267,-2.7472,1.5034,-1.4406,-2.8579,rotateclockwise
1493740733490,-1.3489,-0.5555,-1.8901,2.1847,-0.7045,-4.2888,rotateclockwise
1493740733543,-1.534,0.0306,-1.3721,2.2545,-0.956,-7.2212,rotateclockwise
1493740733590,-2.1352,0.6938,-0.4294,5.2972,-1.565,-7.2329,rotateclockwise
1493740733640,-2.3133,0.4957,0.6068,3.629,-0.5612,-11.0483,rotateclockwise
1493740733690,-1.7076,1.0786,0.9508,2.6052,0.1001,-13.8179,rotateclockwise
1493740733740,-1.2797,0.9356,1.3909,3.3252,0.6701,-14.9548,rotateclockwise
1493740733790,-0.8894,0.6141,1.8762,3.6383,0.6162,-15.2771,rotateclockwise
1493740733840,-0.2952,0.341,2.4845,2.645,1.1546,-16.2395,rotateclockwise
1493740733891,-0.0446,0.3625,2.8439,-0.0007,2.5854,-17.7345,rotateclockwise
1493740733940,1.0161,0.1725,2.8682,-5.3145,3.3293,-18.7863,rotateclockwise
1493740733990,2.4976,0.1537,2.1024,-7.3924,3.9416,-14.9663,rotateclockwise
1493740734041,2.7411,-0.9338,1.3617,-10.3651,3.6904,-8.1049,rotateclockwise
1493740734090,2.3535,-1.2569,-0.1837,-8.6075,2.7637,-6.6488,rotateclockwise
1493740734140,1.9497,-1.5255,-1.5081,-5.8698,1.746,-2.9071,rotateclockwise
1493740734191,0.9363,-1.1066,-2.0001,-2.2675,0.6089,-1.5298,rotateclockwise
1493740734241,-0.5718,-1.2789,-2.3901,0.6316,-0.4125,-4.0368,rotateclockwise
1493740734290,-1.0196,-0.7857,-1.9847,2.7516,-0.9211,-4.7542,rotateclockwise
1493740734344,-1.3385,-0.7813,-1.7027,1.6864,-1.0425,-4.9539,rotateclockwise
1493740734390,-1.9364,-0.5706,-1.1869,3.0843,-0.8571,-5.5895,rotateclockwise
1493740734440,-2.8912,-0.1135,-0.7928,4.5455,-0.7607,-7.1856,rotateclockwise
1493740734490,-2.6446,0.0733,0.1908,5.9002,0.225,-13.0559,rotateclockwise
1493740734542,-2.4138,-0.1459,0.816,7.0128,0.9077,-15.1306,rotateclockwise
1493740734591,-1.5839,0.1318,1.7659,4.4362,2.2266,-15.8453,rotateclockwise
1493740734640,-0.7906,-0.0747,2.4377,2.6653,3.2558,-17.9073,rotateclockwise
1493740734690,0.1137,0.3062,2.7869,0.4882,4.0159,-15.9647,rotateclockwise
1493740734740,0.5756,0.5243,2.9573,-2.399,4.927,-20.4305,rotateclockwise
1493740734790,2.1636,-0.1107,2.7556,-6.6882,5.8317,-17.6571,rotateclockwise
1493740734840,3.2139,0.2671,2.0103,-11.3433,5.6463,-10.9168,rotateclockwise
1493740734890,2.7235,-0.6009,0.2435,-11.0742,4.0781,-6.8276,rotateclockwise
1493740734940,2.1926,-1.1757,-1.1967,-8.6801,2.8676,-5.0572,rotateclockwise
1493740734990,1.3446,-1.4977,-2.5096,-5.1635,1.8003,-3.5347,rotateclockwise
1493740735040,0.5303,-1.8747,-2.841,-1.4779,0.8771,-1.8517,rotateclockwise
1493740735090,-0.5659,-1.4245,-2.8776,1.3614,0.902,-2.7182,rotateclockwise
1493740735140,-1.0598,-1.3491,-2.6231,1.8071,0.6507,-3.0248,rotateclockwise
1493740735190,-2.3045,-1.2175,-2.4302,6.8523,-0.5891,-6.2785,rotateclockwise
1493740735240,-2.0711,-0.3795,-0.9228,7.1643,-1.2584,-8.4794,rotateclockwise
1493740735291,-2.5173,-0.3487,0.1,6.3244,-0.0975,-10.8556,rotateclockwise
1493740735340,-2.0892,0.132,1.3016,5.8476,1.0313,-14.0512,rotateclockwise
1493740735390,-1.4511,0.1627,2.0373,5.0014,1.7718,-14.3834,rotateclockwise
1493740735440,-0.8431,0.2869,2.7227,3.3327,2.6923,-16.7568,rotateclockwise
1493740735490,-0.3487,0.3826,2.9343,0.7567,3.4713,-17.9714,rotateclockwise
1493740735544,0.673,-0.0002,3.0529,-2.8551,4.2632,-19.5876,rotateclockwise
1493740735590,1.6481,0.0694,2.9356,-6.5367,5.4876,-19.2911,rotateclockwise
1493740735640,2.7101,-0.3436,1.9298,-10.7294,5.8714,-13.9268,rotateclockwise
1493740735690,2.7702,-0.5902,0.5888,-11.0508,4.7789,-8.6348,rotateclockwise
1493740735740,2.4048,-1.3935,-1.0385,-8.395,3.1183,-4.2966,rotateclockwise
1493740735790,1.6695,-1.398,-1.8047,-5.7829,1.4641,-2.6273,rotateclockwise
1493740735840,0.7743,-1.5229,-2.4137,-2.6666,0.6776,-1.4681,rotateclockwise
1493740735890,-0.2328,-1.5409,-2.3675,0.033,-0.4469,-1.731,rotateclockwise
1493740735940,-1.5831,-1.5403,-1.87,1.5777,-0.2976,-3.2209,rotateclockwise
1493740735990,-2.3611,-1.2682,-1.2716,3.0231,-0.1239,-4.9212,rotateclockwise
1493740736040,-2.8919,-0.3339,-0.6394,1.8093,0.7755,-6.528,rotateclockwise
1493740736090,-3.0156,-0.2967,-0.0521,3.8696,1.2089,-10.7971,rotateclockwise
1493740736140,-2.3098,0.3364,0.7909,3.215,1.9571,-13.951,rotateclockwise
1493740736190,-1.5285,0.5356,1.3846,4.1434,2.1942,-17.0734,rotateclockwise
1493740736241,-0.6052,0.663,1.8747,2.2951,2.4199,-16.9246,rotateclockwise
1493740736290,-0.112,0.5261,2.2536,0.8803,3.0817,-18.2393,rotateclockwise
1493740736341,0.6949,0.7447,2.6726,-0.401,3.4597,-18.8351,rotateclockwise
1493740736390,1.7992,0.6178,2.8421,-4.4732,4.5546,-18.4375,rotateclockwise
1493740736440,3.0242,0.3966,2.494,-8.6936,5.6492,-13.4241,rotateclockwise
1493740736490,3.0419,0.1,1.201,-10.1169,4.5298,-9.64,rotateclockwise
1493740736544,2.6431,-0.6969,-0.1457,-9.0712,3.161,-6.2226,rotateclockwise
1493740736590,1.8276,-1.0019,-1.5231,-5.0499,1.206,-2.7622,rotateclockwise
1493740736640,0.8778,-1.2555,-2.1899,-3.9202,0.5201,-2.2249,rotateclockwise
1493740736690,0.1436,-1.1673,-2.478,0.5472,-0.6348,-1.776,rotateclockwise
1493740736741,-0.565,-1.2817,-2.0486,1.2449,-0.4452,-3.1098,rotateclockwise
1493740736791,-1.2061,-0.9155,-1.9937,2.8886,-0.6005,-3.6876,rotateclockwise
1493740736840,-1.8686,-0.7768,-1.2361,3.1521,-0.7754,-6.9516,rotateclockwise
1493740736890,-2.6152,-0.3826,-0.6635,5.3804,-0.1083,-5.905,rotateclockwise
1493740736940,-2.8463,-0.208,0.1877,5.6611,0.9505,-13.6081,rotateclockwise
1493740736990,-2.1654,0.011,0.5656,7.1909,0.6104,-15.1423,rotateclockwise
1493740737040,-1.2911,-0.0156,1.8673,5.4325,1.7696,-17.6087,rotateclockwise
1493740737090,-0.3331,0.1521,2.5995,1.7316,3.2533,-17.1346,rotateclockwise
1493740737140,0.3645,0.2128,2.5371,-1.2057,3.4238,-17.8159,rotateclockwise
1493740737190,1.031,0.348,2.5415,-2.051,3.3278,-17.9415,rotateclockwise
1493740737240,1.7845,0.4544,2.2906,-5.6909,3.0257,-15.3386,rotateclockwise
1493740737291,1.9887,-0.4139,1.517,-10.6171,3.7181,-14.9025,rotateclockwise
1493740737340,3.0369,-0.443,0.3615,-11.5719,3.7942,-8.1027,rotateclockwise
1493740737390,2.2989,-1.2668,-1.7318,-8.9461,2.2295,-3.6409,rotateclockwise
1493740737440,1.2803,-1.0603,-2.0462,-4.7962,1.0864,-0.7573,rotateclockwise
1493740737490,0.0477,-1.7252,-2.6445,-2.6405,1.1388,-1.7726,rotateclockwise
1493740737542,-0.7387,-1.4466,-2.8152,0.6265,0.8759,-3.554,rotateclockwise
1493740737592,-1.3302,-1.57,-2.4057,5.4753,-0.6766,-4.5136,rotateclockwise
1493740737640,-1.952,-0.7691,-0.9396,5.6405,-0.806,-5.9096,rotateclockwise
1493740737690,-2.2504,-0.3258,-0.1483,5.1224,-0.1535,-8.2177,rotateclockwise
1493740737740,-2.5977,-0.2614,0.2928,5.483,0.9637,-11.1744,rotateclockwise
1493740737790,-2.0752,0.2321,1.1876,5.7424,1.4525,-13.9758,rotateclockwise
1493740737840,-1.616,0.0907,1.8646,4.7884,1.9903,-15.4977,rotateclockwise
1493740737891,-0.921,0.3185,2.5145,1.9629,3.2392,-16.7958,rotateclockwise
1493740737940,-0.2785,0.3185,2.7041,-1.0726,4.0771,-18.5731,rotateclockwise
1493740737990,0.7504,0.27,2.5457,-3.7504,4.0102,-19.5393,rotateclockwise
1493740738040,2.3053,0.1913,2.0272,-8.4459,4.2424,-16.2809,rotateclockwise
1493740738090,2.6149,-0.125,1.4102,-10.1634,3.712,-10.7162,rotateclockwise
1493740738140,2.6837,-0.7114,-0.1093,-12.4751,4.4125,-9.7746,rotateclockwise
1493740738190,2.5639,-1.1704,-1.3679,-7.594,2.8119,-4.569,rotateclockwise
1493740738240,1.6065,-1.2877,-2.1698,-5.0922,1.3776,0.4294,rotateclockwise
1493740738290,0.0557,-1.5893,-2.4703,-2.3866,0.4698,-0.0148,rotateclockwise
1493740738340,-0.9131,-1.1735,-2.4138,-0.0655,0.667,-1.884,rotateclockwise
1493740738390,-1.4625,-1.3571,-2.2805,1.4279,0.5402,-3.8221,rotateclockwise
1493740738441,-2.1168,-1.1407,-2.013,5.6495,-0.5502,-7.3903,rotateclockwise
