timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490703353070,-1.0788,-0.9486,-0.6012,1.268,-2.5514,-11.798,rotateclockwise
1490703353121,-0.7186,0.6885,-0.3177,3.6668,-1.8035,-8.3249,rotateclockwise
1490703353170,-0.8037,-0.3654,-0.184,2.1703,-2.0962,-8.4301,rotateclockwise
1490703353220,-0.9537,-0.059,-0.2443,0.002,-1.377,-12.4422,rotateclockwise
1490703353270,-0.9007,-1.9484,-0.964,7.1581,-1.7026,-4.6232,rotateclockwise
1490703353320,-1.8411,0.7452,1.4471,-2.4604,-0.2996,-16.9499,rotateclockwise
1490703353370,-0.6579,-0.785,1.1431,8.5704,0.9119,-0.6832,rotateclockwise
1490703353420,-4.0486,0.9728,1.1618,11.2368,6.0333,-20.4563,rotateclockwise
1490703353471,2.8699,-3.8994,3.4983,-2.0026,6.1563,-37.2246,rotateclockwise
1490703353521,4.7084,2.0362,2.1402,-18.4805,1.85,-23.8435,rotateclockwise
1490703353571,6.1547,-0.1243,0.3331,-19.2523,5.3279,-10.1603,rotateclockwise
1490703353620,5.6816,-2.4646,-2.2189,-12.972,8.3648,4.769,rotateclockwise
1490703353670,2.2301,-2.3567,-3.5777,-5.5745,7.9447,9.9571,rotateclockwise
1490703353725,-0.091,-2.1107,-2.9477,5.403,7.1007,13.1572,rotateclockwise
1490703353770,-2.3335,-3.9527,-1.6803,8.2228,7.7694,11.1351,rotateclockwise
1490703353820,-5.1838,-2.6404,-0.0093,11.6711,13.4173,6.1318,rotateclockwise
1490703353871,-6.2045,-2.9199,2.2912,12.2892,20.3206,-17.0385,rotateclockwise
1490703353921,-6.0551,-2.7207,3.3072,7.6248,19.6796,-39.5844,rotateclockwise
1490703353970,-1.4946,-0.3228,5.3579,-4.4855,14.8041,-45.4201,rotateclockwise
1490703354021,2.3307,2.1015,5.741,-14.402,9.6778,-30.4592,rotateclockwise
1490703354070,3.2145,1.1148,3.7411,-19.9373,6.884,-32.4529,rotateclockwise
1490703354120,4.6816,1.9463,1.6546,-24.6806,4.7023,-21.1724,rotateclockwise
1490703354170,5.3976,0.3692,-0.8084,-18.909,5.9887,-7.3527,rotateclockwise
1490703354221,3.928,0.0465,-2.7696,-11.2409,7.2932,4.0472,rotateclockwise
1490703354271,3.117,-2.0002,-3.2367,-2.0902,8.5687,8.7859,rotateclockwise
1490703354320,0.6904,-2.6907,-1.968,-0.6137,5.8451,14.4858,rotateclockwise
1490703354370,-1.4865,-5.7895,-2.8438,0.0689,6.5548,12.0862,rotateclockwise
1490703354422,-4.2641,-4.4942,-1.2904,9.7388,12.3441,-3.244,rotateclockwise
1490703354470,-4.9649,-2.7096,0.1209,12.26,10.2371,-16.8315,rotateclockwise
1490703354520,-3.795,-3.3315,1.4023,10.2097,10.8095,-31.1613,rotateclockwise
1490703354570,-1.4546,0.2303,3.922,-0.2053,8.4478,-28.0062,rotateclockwise
1490703354620,-0.0092,0.1925,3.8271,-10.1337,7.8553,-28.4471,rotateclockwise
1490703354670,-0.1881,5.7017,5.4124,-12.8043,15.9573,-59.9537,rotateclockwise
1490703354721,8.2244,-1.4409,3.0155,-25.2137,7.0758,-11.4968,rotateclockwise
1490703354770,6.0322,2.1799,-0.4958,-18.4244,7.4158,-2.7313,rotateclockwise
1490703354821,4.2508,-0.4643,-2.0751,-16.2606,3.0674,3.9775,rotateclockwise
