timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679310088,-1.375,-1.2419,-0.0181,1.61,0.4781,-5.948,rotateclockwise
1494679310138,-1.6866,-0.3705,0.3386,6.8001,0.3577,-6.329,rotateclockwise
1494679310190,-2.391,-1.5341,1.6455,10.2671,1.5583,-11.5977,rotateclockwise
1494679310238,-1.3431,-0.7693,3.0093,7.624,3.4795,-16.8832,rotateclockwise
1494679310288,-0.6737,-0.6532,3.2387,1.2416,4.9712,-21.1521,rotateclockwise
1494679310338,0.7792,0.3457,3.0286,-6.2272,6.5288,-24.7732,rotateclockwise
1494679310388,3.3385,-0.776,1.7647,-13.415,10.0863,-24.7573,rotateclockwise
1494679310439,4.0457,-1.2656,-0.1163,-14.9855,10.2966,-10.4449,rotateclockwise
1494679310488,3.8568,-0.6461,-1.3388,-8.5132,7.9155,-2.3647,rotateclockwise
1494679310538,2.9467,-1.7964,-2.3313,-4.1082,4.033,3.5625,rotateclockwise
1494679310588,0.88,-1.0179,-2.4601,0.2313,1.1014,5.4835,rotateclockwise
1494679310639,-0.8296,-1.7092,-2.6841,-0.5687,1.0429,3.991,rotateclockwise
1494679310688,-1.9259,-0.7749,-2.0105,3.4813,0.9531,-0.1244,rotateclockwise
1494679310738,-3.013,-1.0892,-1.9438,3.9526,1.9083,1.3246,rotateclockwise
1494679310789,-3.7477,0.3883,-0.5995,8.3976,3.1264,-5.4778,rotateclockwise
1494679310838,-4.1281,0.3863,0.0743,11.9144,3.819,-13.5242,rotateclockwise
1494679310888,-3.3848,1.3533,1.1945,19.5132,4.4411,-19.2074,rotateclockwise
1494679310939,-2.9216,-1.171,3.4941,11.7143,10.5267,-28.2966,rotateclockwise
1494679310988,-0.5828,-0.7939,3.9358,6.2649,10.3795,-22.5598,rotateclockwise
1494679311038,-0.4784,-1.6561,4.0337,-3.1043,11.6383,-30.1505,rotateclockwise
1494679311088,1.8567,-0.393,3.1045,-5.5283,10.3837,-20.6983,rotateclockwise
1494679311138,4.2181,-0.4183,2.449,-11.1668,11.0051,-14.3167,rotateclockwise
1494679311187,4.3532,-1.2883,1.6585,-13.3583,11.1646,-12.2981,rotateclockwise
1494679311238,4.2249,-1.9438,0.171,-13.9549,7.997,0.0081,rotateclockwise
1494679311288,2.7902,-2.2197,-1.5156,-10.9551,6.1336,3.2522,rotateclockwise
1494679311337,1.3326,-2.0745,-2.5808,-5.9677,4.8416,6.2036,rotateclockwise
1494679311388,-0.384,-1.515,-3.0361,-2.2911,3.6857,3.8837,rotateclockwise
1494679311438,-1.9228,-0.9946,-2.9768,2.7468,3.0594,0.1848,rotateclockwise
1494679311488,-2.8256,-0.7897,-2.9281,4.6952,3.0109,0.3214,rotateclockwise
1494679311538,-3.5063,-0.5251,-1.9197,7.8982,2.6947,-2.3608,rotateclockwise
1494679311588,-3.4635,-0.1667,-0.8974,10.3254,3.3357,-6.9738,rotateclockwise
1494679311638,-3.8653,0.224,0.2168,12.1508,5.9417,-11.2691,rotateclockwise
1494679311688,-3.2149,-0.2127,1.2037,12.5863,9.3543,-15.7127,rotateclockwise
1494679311738,-3.1397,-0.9422,2.9816,12.0049,14.9041,-20.5398,rotateclockwise
1494679311788,-2.2673,-1.1569,3.6282,11.4566,16.3906,-28.3471,rotateclockwise
1494679311838,-0.4137,-1.5073,4.3106,5.1313,16.175,-23.9585,rotateclockwise
1494679311888,1.5802,-0.9045,4.3315,-6.4195,16.0456,-26.8768,rotateclockwise
1494679311938,3.5315,-1.4283,3.276,-15.3031,17.1716,-24.2121,rotateclockwise
1494679311988,4.155,-1.6611,1.5463,-16.3423,16.1048,-18.2028,rotateclockwise
1494679312038,5.4218,-1.5168,0.0439,-9.8867,13.651,-6.4012,rotateclockwise
1494679312088,4.5856,-2.3784,-0.8435,-9.3673,11.1526,1.9454,rotateclockwise
1494679312138,3.3144,-2.4735,-2.255,-10.5269,8.6998,9.2252,rotateclockwise
1494679312189,0.8129,-1.6155,-3.7415,-5.4279,6.6823,10.171,rotateclockwise
1494679312238,-0.898,-1.3663,-4.0696,2.3161,5.1962,7.3347,rotateclockwise
1494679312288,-2.4784,-1.6312,-3.6803,4.2423,3.7871,4.0844,rotateclockwise
1494679312338,-3.4121,-1.6511,-2.9882,5.2503,4.1895,-1.4782,rotateclockwise
1494679312388,-4.5012,-2.0646,-1.6396,10.5376,5.3605,-3.2076,rotateclockwise
1494679312438,-5.0528,-1.879,-0.098,11.4892,8.5218,-8.9613,rotateclockwise
1494679312488,-4.5571,-1.2919,1.3347,11.9829,12.1801,-19.0288,rotateclockwise
1494679312538,-2.6032,-0.7427,2.8516,13.8617,12.0206,-18.3466,rotateclockwise
1494679312588,-2.3054,-1.2954,4.1886,7.935,17.2092,-27.0993,rotateclockwise
1494679312638,-0.1645,-0.8089,4.5346,7.4228,16.533,-21.8052,rotateclockwise
1494679312688,0.9809,-1.0217,5.1985,-0.8627,20.4882,-29.8698,rotateclockwise
1494679312738,2.978,-1.3091,4.7346,-8.0961,21.8984,-25.312,rotateclockwise
1494679312788,4.7794,-1.6364,3.4329,-17.2131,23.5437,-16.7325,rotateclockwise
1494679312838,4.7157,-1.9191,1.4739,-20.114,20.0314,-8.0006,rotateclockwise
1494679312888,4.4058,-2.6274,-1.8405,-14.7564,14.6013,0.3177,rotateclockwise
1494679312938,2.6545,-2.7993,-3.1345,-9.7361,8.575,9.23,rotateclockwise
1494679312988,0.7157,-2.2079,-4.3091,-6.6038,8.5295,7.2283,rotateclockwise
1494679313039,-0.5694,-1.9914,-4.669,0.8313,6.7523,5.0735,rotateclockwise
1494679313088,-2.0584,-1.2975,-4.2169,3.6495,6.2965,1.9267,rotateclockwise
1494679313138,-3.5584,-1.5566,-3.4749,5.9119,6.3143,-0.0361,rotateclockwise
1494679313188,-2.9026,0.358,-3.0647,18.5791,5.8267,2.5738,rotateclockwise
1494679313238,-5.2474,-0.7212,-1.3078,17.7673,7.9445,-14.3427,rotateclockwise
1494679313289,-3.8545,-0.7605,1.1102,22.3227,7.9699,-15.1497,rotateclockwise
1494679313338,-3.3489,-1.0999,2.843,16.4337,10.8749,-19.272,rotateclockwise
1494679313388,-3.0194,-1.6854,4.4374,10.1445,16.5168,-22.9199,rotateclockwise
1494679313438,-0.9793,-1.7598,5.131,2.2537,16.7712,-20.3299,rotateclockwise
1494679313488,-0.3088,-1.498,5.1437,-3.908,18.4734,-27.6224,rotateclockwise
1494679313538,3.0414,-1.7656,4.052,-16.0555,20.4107,-20.2991,rotateclockwise
1494679313588,4.3772,-1.8318,1.9765,-16.9943,19.0344,-17.9712,rotateclockwise
1494679313638,4.4893,-2.2459,-0.0041,-17.2053,16.8361,-6.9796,rotateclockwise
1494679313688,4.0939,-2.5445,-1.3185,-14.8573,13.8271,-0.9306,rotateclockwise
1494679313738,3.2851,-2.2401,-2.8456,-9.4348,9.2929,3.9675,rotateclockwise
1494679313788,1.2744,-1.6824,-4.2079,-6.8934,9.0211,5.6726,rotateclockwise
1494679313838,-0.0638,-1.2494,-4.9231,3.1268,7.7141,6.9935,rotateclockwise
1494679313889,-1.8714,-1.2613,-4.1287,8.2062,5.7503,6.1431,rotateclockwise
1494679313938,-3.0369,-0.9788,-2.9219,8.5415,4.4849,2.9296,rotateclockwise
1494679313988,-4.0415,-0.517,-2.2519,9.1296,6.679,-2.7696,rotateclockwise
1494679314038,-4.9505,-1.1025,-1.4275,8.0624,9.551,-13.2882,rotateclockwise
1494679314089,-3.9153,-0.4826,-0.5785,15.5136,9.1404,-18.2942,rotateclockwise
1494679314138,-3.0705,-0.8979,1.4611,19.6125,8.0932,-22.1706,rotateclockwise
1494679314188,-1.894,-1.6201,4.1004,13.1716,13.392,-23.5263,rotateclockwise
