timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490728487601,-1.0207,-0.6542,0.5278,2.0091,-2.692,-11.5211,updown
1490728487650,-0.6987,-0.8255,0.3068,0.0877,-2.3126,-14.4349,updown
1490728487701,0.0429,-0.2174,0.2712,-0.0911,-1.7706,-13.6871,updown
1490728487751,0.6249,-0.6949,0.1057,-0.5175,-0.8718,-14.7383,updown
1490728487802,1.5294,-0.3154,0.0104,-1.3268,-0.7798,-11.9193,updown
1490728487851,1.668,0.0105,-0.1189,-0.5212,-1.9584,-5.9442,updown
1490728487901,1.0929,-0.5591,-0.2359,-0.24,-2.4984,-7.1675,updown
1490728487951,1.2093,-0.3556,-0.1385,0.072,-3.0716,-4.5646,updown
1490728488001,0.4686,-0.387,-0.128,-0.6347,-3.3806,-2.8035,updown
1490728488052,0.142,0.1559,0.0332,0.0247,-3.5688,-2.2446,updown
1490728488101,-0.8873,0.3516,0.2079,-0.2012,-3.2301,-3.8676,updown
1490728488151,-1.3992,0.077,0.1033,-1.3256,-2.9734,-7.9367,updown
1490728488201,-1.0955,0.4014,0.0517,0.0853,-3.0099,-8.7605,updown
1490728488252,-1.1182,0.3422,0.1046,-0.6792,-2.4911,-8.875,updown
1490728488301,-1.1707,0.3201,-0.077,-0.1411,-2.2614,-10.771,updown
1490728488351,-0.8499,0.613,-0.0531,0.3242,-2.0052,-8.3737,updown
1490728488402,-0.9416,0.4138,-0.0595,0.5504,-1.2291,-11.2218,updown
1490728488451,-0.9378,0.2422,-0.0315,0.1445,-0.9164,-10.4351,updown
1490728488501,-0.9739,0.237,-0.0685,0.997,-0.5098,-12.2925,updown
1490728488551,-0.6568,0.1847,-0.0276,0.6884,-0.4772,-12.2262,updown
1490728488601,-0.5529,0.0957,0.0313,1.4887,-0.4633,-14.3553,updown
1490728488653,-0.1596,-0.0871,0.1072,0.7615,-0.3615,-16.2911,updown
1490728488701,0.9055,-0.1875,-0.0081,0.5591,-0.4083,-12.8384,updown
1490728488751,1.0673,-0.2329,-0.1591,-0.2568,-0.377,-11.1027,updown
1490728488801,1.058,-0.1834,-0.218,0.3721,-0.6413,-11.0469,updown
