timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679250782,-1.1798,0.1795,-0.3332,5.2813,-2.2305,-8.4891,updown
1494679250831,-3.427,-0.8864,0.4826,5.4416,1.5542,-11.9461,updown
1494679250885,-0.2307,-2.317,0.2754,-2.733,9.3152,-34.9156,updown
1494679250931,4.5355,-0.9095,-0.5323,-0.408,9.0481,-25.6283,updown
1494679250982,4.5113,-2.4721,-0.6546,0.3139,5.7003,-9.9785,updown
1494679251032,4.9556,0.1968,-0.6877,0.0513,1.962,-0.3457,updown
1494679251083,3.492,0.4773,-0.0286,-0.6573,-0.5579,7.8208,updown
1494679251132,0.7066,-1.0125,-0.1373,0.0546,-1.8121,5.2699,updown
1494679251181,-0.8577,0.3635,0.0127,-1.2702,-0.5021,7.1866,updown
1494679251232,-3.869,1.021,0.3874,0.7474,1.541,2.7511,updown
1494679251282,-4.5667,1.6377,0.5305,-0.4122,4.6343,-4.4686,updown
1494679251332,-4.9825,2.3335,0.1743,2.5086,6.6829,-15.3292,updown
1494679251382,-4.8998,1.9259,-0.0237,4.687,9.1672,-22.8556,updown
1494679251432,-3.5245,1.1903,-0.295,6.2514,8.61,-30.4943,updown
1494679251481,-0.5825,-0.6672,-0.1623,5.2333,8.1537,-31.7901,updown
1494679251532,3.144,-1.4484,-0.1608,2.7527,9.228,-23.266,updown
1494679251582,5.4066,-2.1647,-0.5526,2.3916,9.8843,-18.2258,updown
1494679251633,6.4534,-1.3293,-0.4755,1.1397,8.9666,-6.778,updown
1494679251682,5.6981,-0.2175,-0.5689,0.496,2.7279,8.3312,updown
1494679251733,1.8203,-1.323,-0.4089,-1.6746,-0.9267,6.6339,updown
1494679251782,0.478,-0.3072,-0.4259,-0.8463,-2.0537,6.1663,updown
1494679251831,-2.3594,0.4585,0.4096,0.5155,-1.5422,6.8078,updown
1494679251882,-4.2415,-0.5049,0.4719,-0.8406,1.1484,3.9964,updown
1494679251932,-5.1664,1.623,0.4317,2.1125,5.5831,-4.9747,updown
1494679251982,-6.0611,2.003,0.3908,5.7504,9.7288,-12.0554,updown
1494679252032,-6.4955,1.1151,1.4159,3.256,14.2727,-33.6163,updown
1494679252082,-0.0954,1.9139,-0.0523,3.2774,10.1824,-31.211,updown
1494679252132,2.5126,-1.0253,-0.3984,5.2208,7.1565,-26.319,updown
1494679252182,4.9993,-1.0035,0.3677,5.5527,9.065,-21.6417,updown
1494679252232,6.27,-1.5026,0.0963,0.2088,9.6002,-9.9821,updown
1494679252283,6.1618,-0.0329,0.395,2.1024,6.7005,-1.8774,updown
1494679252336,5.5601,0.075,0.4747,-2.2345,2.4833,10.3318,updown
1494679252384,1.0727,-1.2924,-0.2701,-2.512,-1.4131,10.4326,updown
