timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740745354,-0.2669,-0.3506,-0.0346,1.5025,-2.4525,-9.5262,leftright
1493740745390,-0.3888,-0.4662,-0.0063,2.8349,-3.2136,-8.2745,leftright
1493740745441,-0.8158,-1.0025,0.1953,3.6382,-3.21,-8.0052,leftright
1493740745491,-0.793,-0.8451,0.6841,4.9194,-2.5992,-10.902,leftright
1493740745541,-0.1521,-0.2616,1.3199,5.6498,-1.6859,-10.1785,leftright
1493740745590,-0.0435,0.0381,1.9771,2.766,-0.3886,-10.4849,leftright
1493740745641,0.1412,0.2908,2.2014,-1.2597,1.1935,-10.3396,leftright
1493740745690,0.2227,0.3981,2.0784,-4.0558,1.8846,-9.6282,leftright
1493740745741,0.2886,0.6637,1.2605,-8.3095,2.5627,-9.498,leftright
1493740745792,-0.1065,0.054,0.2406,-9.2403,2.2387,-8.2787,leftright
1493740745841,-0.1562,0.0598,-0.7547,-9.2436,2.0261,-8.9337,leftright
1493740745891,0.0234,-0.2421,-1.8304,-7.1559,1.7107,-9.269,leftright
1493740745941,-0.28,-0.3564,-2.267,-2.4272,1.4502,-9.0297,leftright
1493740745991,-0.4941,-0.4432,-2.7168,0.127,1.2281,-10.3635,leftright
1493740746041,-0.3486,-0.602,-2.5141,3.3588,0.1761,-9.7324,leftright
1493740746091,-0.5674,-0.596,-2.4081,5.8288,-0.473,-10.0094,leftright
1493740746141,-0.5203,-0.3422,-1.5371,9.1655,-1.2445,-11.9404,leftright
1493740746191,-0.2688,-0.3118,-0.5392,9.7395,-1.317,-12.1198,leftright
1493740746241,0.2416,0.2431,0.9211,7.641,-0.9633,-10.1614,leftright
1493740746291,0.088,-0.0029,1.4498,6.5771,-0.3953,-9.6964,leftright
1493740746341,0.2432,0.4538,2.0327,2.5044,1.4308,-10.7501,leftright
1493740746391,0.2134,0.4617,2.0632,1.3344,1.3478,-10.1997,leftright
1493740746441,0.2769,0.6116,2.2392,-1.3958,1.4694,-10.2631,leftright
1493740746491,0.2467,0.4937,1.933,-4.8246,1.9643,-9.4151,leftright
1493740746541,0.1641,0.6668,1.1455,-8.5912,1.9213,-8.3165,leftright
1493740746593,-0.1387,0.1436,-0.0291,-8.4853,1.298,-8.8055,leftright
1493740746641,0.0115,-0.0589,-0.6942,-7.6328,1.5164,-10.9866,leftright
1493740746691,0.0083,-0.4746,-1.5049,-5.4238,1.542,-8.6268,leftright
1493740746741,-0.2114,-0.519,-2.081,-3.4815,1.5098,-9.308,leftright
1493740746791,-0.2525,-0.5687,-2.2199,0.5636,1.2135,-10.1341,leftright
1493740746841,-0.3293,-0.6956,-2.0972,3.1958,0.6977,-9.9407,leftright
1493740746891,-0.382,-0.6197,-1.7074,5.1197,0.3263,-10.1115,leftright
1493740746941,-0.2359,-0.2145,-0.9489,7.6187,-0.4641,-12.2336,leftright
1493740746991,0.0962,-0.166,-0.1611,8.6778,-1.1416,-11.4643,leftright
1493740747047,0.4046,0.2379,0.89,7.2831,-0.4527,-10.1546,leftright
1493740747092,0.282,0.3638,1.58,4.3787,0.6396,-9.292,leftright
1493740747141,0.0872,0.4089,1.974,2.212,1.2217,-9.6197,leftright
1493740747191,0.0896,0.6018,2.0745,0.2012,1.3945,-9.9288,leftright
1493740747241,0.1278,0.6278,2.0412,-1.8961,1.1817,-10.2716,leftright
1493740747291,0.0761,0.6222,1.728,-4.0319,1.4875,-10.1595,leftright
1493740747341,0.0428,0.2961,1.0966,-7.707,1.9679,-10.2391,leftright
1493740747391,0.1866,0.2389,0.4234,-8.9574,1.9727,-9.8976,leftright
1493740747441,0.0332,-0.2781,-0.9285,-7.6478,1.2905,-9.1811,leftright
1493740747491,0.0493,-0.2866,-1.3881,-4.9074,1.0748,-9.5007,leftright
1493740747541,-0.0192,-0.4264,-1.6501,-4.3878,1.9749,-8.4284,leftright
1493740747591,-0.3979,-0.6417,-2.3102,-0.7183,2.0787,-9.8679,leftright
1493740747641,-0.2607,-0.4265,-2.2556,2.6177,1.4363,-10.9305,leftright
1493740747691,-0.0851,-0.3943,-2.2818,6.7685,0.0072,-10.5998,leftright
1493740747741,-0.1511,-0.3146,-0.9503,9.1383,-0.6487,-11.1873,leftright
1493740747791,0.2173,-0.2094,-0.046,8.9783,-1.0547,-10.9846,leftright
1493740747840,0.2188,0.1237,0.9885,7.1322,-0.3104,-9.2209,leftright
1493740747891,0.0779,0.091,1.6239,4.5889,0.8314,-10.1536,leftright
1493740747942,0.2041,0.467,2.0326,3.4444,1.3074,-9.9762,leftright
1493740747991,-0.0102,0.1376,2.1638,1.0827,1.9486,-9.8879,leftright
1493740748041,0.4081,0.6596,2.1284,-1.7211,1.6649,-10.5279,leftright
1493740748091,0.0109,0.279,1.8871,-4.349,1.1185,-8.6109,leftright
1493740748141,-0.0144,0.4481,1.5617,-7.6382,1.2543,-10.3209,leftright
1493740748191,0.0864,0.1974,0.7824,-9.7314,1.4948,-9.3579,leftright
1493740748241,0.2027,0.0258,-0.6722,-9.2289,1.541,-9.4914,leftright
1493740748291,0.0979,-0.2153,-1.1121,-6.1718,1.3379,-8.7032,leftright
1493740748341,-0.2928,-0.6304,-1.9212,-3.2306,1.4497,-8.7157,leftright
1493740748391,-0.453,-0.6681,-2.1751,-0.8539,1.9016,-9.7356,leftright
1493740748441,-0.4407,-0.5575,-2.2615,-0.4082,2.288,-9.8875,leftright
1493740748491,-0.5622,-0.5637,-2.5247,4.3939,1.7783,-11.2185,leftright
1493740748541,-0.3072,-0.15,-1.9985,7.7081,0.2958,-10.8349,leftright
1493740748591,-0.2343,-0.2755,-1.0838,9.8649,-0.6548,-11.4809,leftright
1493740748641,0.1234,0.0098,0.6417,8.7793,-0.4669,-9.9976,leftright
1493740748691,0.0989,0.1792,1.5615,6.6301,0.299,-9.9568,leftright
1493740748741,0.1247,0.4902,2.0946,4.3811,1.2289,-9.8822,leftright
1493740748791,0.1053,0.4693,2.4391,1.7137,2.0573,-10.6861,leftright
1493740748841,0.2485,0.7113,2.3392,-0.2996,2.1831,-10.8948,leftright
1493740748891,0.0244,0.2587,2.2518,-2.9069,2.6948,-9.9605,leftright
1493740748942,0.0727,0.6284,1.6199,-9.1315,2.9085,-9.2858,leftright
1493740748991,0.0122,0.1175,0.5001,-9.0815,1.9579,-10.1832,leftright
1493740749041,0.1256,-0.0758,-0.3469,-8.8527,1.6612,-9.8696,leftright
1493740749091,0.2456,-0.2499,-0.9507,-7.2996,1.4942,-9.2282,leftright
1493740749141,0.1497,-0.5254,-1.5559,-5.4636,1.7444,-8.1069,leftright
1493740749191,-0.1622,-0.5654,-2.0503,-3.8217,2.713,-9.1572,leftright
1493740749241,-0.2864,-0.3158,-2.5891,2.3644,2.4355,-11.5407,leftright
1493740749291,0.0203,-0.0766,-2.3294,3.7764,2.0497,-10.8385,leftright
1493740749341,0.0389,-0.2095,-2.2691,8.8056,0.7104,-9.0739,leftright
1493740749391,-0.1228,-0.0133,-1.008,11.1849,-0.7396,-10.5352,leftright
1493740749441,-0.0641,-0.0869,-0.1904,10.8761,-1.1318,-10.8036,leftright
1493740749491,-0.0447,-0.0417,1.3522,8.5973,-0.3621,-10.1403,leftright
1493740749541,0.0791,0.2494,2.0353,4.9585,1.0868,-10.4868,leftright
1493740749593,0.1518,0.1785,2.2395,2.3702,1.8905,-10.6039,leftright
1493740749641,0.2188,0.527,2.3108,0.4702,2.1591,-10.1375,leftright
1493740749692,0.1524,0.4986,2.2614,-2.486,2.2676,-10.33,leftright
1493740749741,0.2647,0.4346,1.7407,-6.5425,2.0096,-9.6296,leftright
1493740749791,0.2416,0.571,0.9553,-8.4239,1.6073,-9.7052,leftright
1493740749841,0.1481,0.0828,0.3496,-9.198,1.4708,-9.1417,leftright
