timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488983688068,-0.0328,0.0304,0.0209,0.6045,-1.8898,-9.3592,leftright
1488983688118,-0.2282,-0.2185,-0.1141,0.5983,-1.7491,-9.2579,leftright
1488983688169,-0.101,-0.0889,-0.0984,0.3326,-1.7139,-9.9145,leftright
1488983688219,-0.3289,-0.1693,-0.14,1.4756,-1.8164,-8.9888,leftright
1488983688269,-0.4349,-0.1157,-0.2227,2.5334,-2.4836,-9.2595,leftright
1488983688318,-0.651,-0.6062,0.2189,6.6595,-2.8335,-10.9523,leftright
1488983688368,0.3872,0.151,1.3502,6.5178,-1.6639,-11.6716,leftright
1488983688418,0.0523,-0.0741,1.5458,3.3709,-0.7574,-9.8524,leftright
1488983688469,0.2701,0.3658,1.9097,3.1682,-0.2554,-11.2779,leftright
1488983688519,0.429,0.2721,2.1856,0.9305,0.3643,-9.77,leftright
1488983688568,0.25,0.1993,2.118,-2.0116,1.2349,-10.3193,leftright
1488983688618,0.6171,0.4936,1.7494,-4.804,1.0566,-8.343,leftright
1488983688669,0.196,0.4963,1.1112,-5.365,0.9142,-6.4438,leftright
1488983688718,-0.2523,0.0616,0.2746,-8.8632,1.4728,-10.167,leftright
1488983688768,-0.1911,-0.2086,-1.0123,-6.0641,0.5292,-9.2586,leftright
1488983688818,-0.2344,-0.4585,-1.5611,-3.0959,0.0075,-10.4605,leftright
1488983688869,-0.1165,-0.5071,-1.8013,-3.0319,0.5469,-9.7896,leftright
1488983688919,-0.3253,-0.6065,-2.2932,-2.2428,1.697,-8.8621,leftright
1488983688969,-0.4413,-0.3474,-2.8368,0.0659,1.5484,-9.8082,leftright
1488983689019,-0.3618,-0.3658,-2.6538,3.1226,0.7617,-10.0438,leftright
1488983689069,-0.5087,-0.4357,-2.3107,4.482,0.4204,-10.2238,leftright
1488983689119,-0.2754,-0.3109,-1.8609,5.3557,-0.0742,-10.7174,leftright
1488983689168,-0.4089,-0.2914,-1.102,8.2713,-1.2198,-10.9047,leftright
1488983689218,0.0781,-0.0325,0.0879,8.1339,-1.7544,-11.6847,leftright
1488983689269,0.1638,0.1321,1.0933,6.2069,-1.0483,-10.1292,leftright
1488983689318,0.1598,0.1669,1.7771,3.5496,0.3209,-10.4061,leftright
1488983689369,0.2277,0.2375,1.8984,2.5916,0.7055,-10.6014,leftright
1488983689420,0.3392,0.4544,2.1384,1.8019,0.6628,-9.8625,leftright
1488983689470,0.2993,0.4435,2.2323,1.2385,0.7342,-10.0651,leftright
1488983689519,0.3504,0.6865,2.3949,-0.1677,0.9596,-10.0506,leftright
1488983689569,0.2298,0.5026,2.2627,-1.9502,1.0274,-9.1975,leftright
1488983689618,0.1088,0.4164,2.1099,-4.6059,1.4088,-10.0198,leftright
1488983689669,0.0756,0.2388,1.0968,-6.7927,1.1867,-9.7479,leftright
1488983689719,-0.06,-0.1023,0.4682,-6.8063,0.9949,-9.0811,leftright
1488983689769,0.031,-0.2138,-0.5326,-8.6383,1.1809,-9.146,leftright
1488983689820,0.0198,-0.0926,-1.5442,-5.2653,0.9708,-9.6879,leftright
1488983689868,-0.095,-0.6187,-1.98,-3.067,0.7731,-9.4368,leftright
1488983689918,-0.094,-0.3579,-2.4019,-2.216,1.2331,-9.6277,leftright
1488983689969,-0.3086,-0.6159,-2.6505,0.7655,1.258,-9.0016,leftright
1488983690019,-0.4554,-0.4091,-2.5608,2.1189,1.617,-9.4637,leftright
1488983690068,-0.4996,-0.2749,-2.6065,3.1341,1.4279,-9.9003,leftright
1488983690119,-0.5021,0.1732,-2.3518,9.5204,-0.2137,-12.2448,leftright
1488983690168,-0.044,-0.0727,-1.1288,9.5118,-1.1644,-12.2137,leftright
1488983690219,0.3865,-0.0014,0.0019,9.9607,-1.7892,-11.017,leftright
1488983690269,0.4117,-0.0067,0.8556,7.9525,-1.2328,-9.5844,leftright
1488983690319,0.142,0.0623,1.7249,4.6912,0.1927,-10.3167,leftright
1488983690368,0.2027,0.1823,2.0753,3.1042,0.7735,-10.3022,leftright
1488983690419,0.2557,0.2159,2.4197,2.0628,0.8036,-10.2355,leftright
1488983690469,0.3434,0.1859,2.6888,0.5341,1.0994,-10.2854,leftright
1488983690519,0.3531,0.0446,2.6257,-2.7265,1.4165,-8.9405,leftright
1488983690569,0.3141,0.3101,2.3144,-6.4817,1.5774,-8.1578,leftright
1488983690619,0.1358,0.5732,1.2525,-8.111,1.0201,-8.1382,leftright
1488983690669,-0.2975,-0.0019,0.2494,-8.1507,0.9777,-9.8888,leftright
1488983690719,-0.0325,-0.0632,-0.7628,-7.2246,0.3766,-9.4748,leftright
1488983690769,-0.1253,-0.3351,-1.3317,-5.0515,0.0191,-9.7046,leftright
1488983690819,-0.0989,-0.3974,-1.5925,-3.702,0.3251,-9.6133,leftright
1488983690869,-0.0652,-0.3119,-1.9938,-2.7714,0.6087,-9.2524,leftright
1488983690919,-0.2742,-0.5614,-2.3321,-0.7275,0.7947,-9.3428,leftright
1488983690969,-0.3291,-0.3404,-2.3119,2.2361,0.9604,-10.5726,leftright
1488983691020,-0.2506,-0.4553,-2.043,0.6091,1.3864,-10.0147,leftright
1488983691068,-0.2562,-0.0933,-2.3618,5.8622,0.3121,-10.7462,leftright
1488983691119,-0.1286,-0.1453,-1.533,7.8126,-1.3292,-10.819,leftright
1488983691169,0.2144,0.0714,-0.4489,9.1182,-2.2467,-9.7963,leftright
1488983691219,0.0527,0.0346,0.7679,7.4123,-1.6774,-8.8146,leftright
1488983691269,-0.1321,0.083,1.4024,5.5914,-0.7428,-10.1053,leftright
1488983691319,-0.1155,0.1489,1.9868,3.6332,0.1552,-10.5318,leftright
1488983691369,0.0798,0.113,2.3112,2.5543,0.4172,-11.1132,leftright
1488983691419,0.177,0.0978,2.5559,0.8154,1.3172,-10.8936,leftright
1488983691469,0.4281,0.209,2.4304,-1.3221,1.4019,-10.7001,leftright
1488983691519,0.5095,0.1666,2.2831,-4.0829,1.051,-9.0816,leftright
1488983691569,0.2969,0.3705,1.9005,-6.9691,1.3134,-8.1369,leftright
1488983691619,-0.0048,0.2384,0.8544,-8.08,1.2376,-9.9716,leftright
1488983691670,0.1729,0.0587,0.0114,-7.7445,0.7728,-8.4599,leftright
1488983691720,-0.0769,-0.0762,-0.8049,-6.6518,0.5279,-8.9368,leftright
1488983691769,-0.1137,-0.201,-1.4462,-5.278,0.5092,-8.8864,leftright
