timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493804466745,-0.6388,-1.0165,0.0311,1.1726,-1.2631,-9.7761,rotateclockwise
1493804466795,-0.7506,-0.8206,0.3177,0.049,-1.3981,-9.0181,rotateclockwise
1493804466845,-1.0851,-0.8766,0.1406,1.2038,-0.4159,-9.1878,rotateclockwise
1493804466895,-1.3131,-0.8814,0.7237,-0.2668,0.6313,-12.6016,rotateclockwise
1493804466946,-0.3546,-0.0142,0.6881,3.6929,-0.2173,-13.1265,rotateclockwise
1493804466996,0.0528,-0.4367,1.2684,4.1228,-1.1581,-17.2193,rotateclockwise
1493804467045,1.1143,-0.0079,2.2248,1.5391,-2.406,-12.9498,rotateclockwise
1493804467095,1.1133,0.5625,2.4607,-7.722,-0.9125,-14.4613,rotateclockwise
1493804467145,1.9573,1.017,1.3712,-13.3056,3.3859,-10.2407,rotateclockwise
1493804467195,1.835,-0.1219,-0.4082,-12.0947,3.4661,-7.2149,rotateclockwise
1493804467245,1.2995,-1.2469,-1.3682,-3.0349,1.4339,0.1927,rotateclockwise
1493804467296,-0.7704,-1.6116,-1.8619,-2.9346,1.2157,0.0699,rotateclockwise
1493804467346,-1.5632,-0.6891,-1.5804,2.5501,0.443,-1.5562,rotateclockwise
1493804467401,-2.4581,-0.9905,-1.6122,5.3873,0.9073,-4.6908,rotateclockwise
1493804467450,-3.1667,0.8485,-0.6606,7.1267,1.6348,-5.5275,rotateclockwise
1493804467495,-4.2279,-0.1336,-0.2624,8.7246,4.7803,-15.2448,rotateclockwise
1493804467545,-2.4372,0.0234,1.0505,7.2026,4.3627,-18.7467,rotateclockwise
1493804467596,-0.6232,-0.0706,2.1314,1.4649,5.7189,-19.6488,rotateclockwise
1493804467645,0.2352,-0.9658,2.246,1.8015,4.4757,-20.0507,rotateclockwise
1493804467699,1.7009,-0.2524,2.9577,-2.6328,3.8617,-16.2175,rotateclockwise
1493804467745,1.8596,-0.1903,2.8628,-9.1675,4.1272,-14.8855,rotateclockwise
1493804467795,2.8473,-0.0379,1.833,-14.037,6.087,-12.8775,rotateclockwise
1493804467846,3.266,-0.989,-0.2273,-11.9076,5.3755,-7.6995,rotateclockwise
1493804467895,2.8976,-0.9321,-1.1231,-8.4328,3.2445,-1.3874,rotateclockwise
1493804467946,1.2667,-1.5496,-2.3261,-5.1228,2.6388,0.5168,rotateclockwise
1493804467996,-0.0018,-1.0435,-2.6215,-1.2216,1.417,2.8467,rotateclockwise
1493804468046,-1.5242,-0.5957,-2.4239,4.7147,0.6129,-1.5912,rotateclockwise
1493804468096,-1.9307,0.1601,-1.6669,7.3635,-0.1003,-3.3434,rotateclockwise
1493804468145,-3.0091,0.0322,-0.7345,9.0562,1.5661,-10.1431,rotateclockwise
1493804468195,-3.0641,0.0845,0.1752,9.9551,2.6822,-13.6186,rotateclockwise
1493804468245,-2.5855,0.0795,1.1733,9.2691,2.5513,-15.978,rotateclockwise
1493804468295,-1.794,-0.1255,2.3356,7.8953,3.9143,-20.1278,rotateclockwise
1493804468346,-0.6772,0.0809,3.4102,2.0343,4.0483,-20.307,rotateclockwise
1493804468395,0.8771,0.5132,3.5963,-4.9893,5.0354,-23.4385,rotateclockwise
1493804468445,2.1472,0.2526,2.805,-11.1484,5.8506,-18.5296,rotateclockwise
1493804468495,2.8234,-0.5858,1.2497,-12.4806,5.9732,-13.7518,rotateclockwise
1493804468545,2.8711,-1.977,-0.9707,-9.946,4.4394,-5.719,rotateclockwise
1493804468595,1.8583,-1.5397,-0.968,-4.9577,2.7544,0.3946,rotateclockwise
1493804468646,0.7997,-1.6045,-2.0258,-6.8958,3.2413,1.0498,rotateclockwise
1493804468701,-0.377,-0.9517,-2.416,-0.5704,2.2582,0.1031,rotateclockwise
1493804468745,-1.3397,-0.3563,-2.4278,1.0519,0.5271,0.7937,rotateclockwise
1493804468795,-1.5631,0.5314,-1.807,6.9421,-0.2055,-3.6775,rotateclockwise
1493804468847,-1.8845,1.001,-1.3169,8.3723,-0.0437,-4.4748,rotateclockwise
1493804468895,-2.9011,1.1912,-0.5049,10.1309,2.0161,-6.2243,rotateclockwise
1493804468945,-3.0457,0.386,0.9887,14.0813,3.7888,-18.1709,rotateclockwise
1493804468996,-2.4292,0.1505,1.98,10.1747,4.0688,-20.3738,rotateclockwise
1493804469046,-1.5551,-0.5247,2.6542,8.3051,4.4708,-21.9127,rotateclockwise
1493804469095,0.0414,-0.2238,3.5655,0.3313,5.1351,-23.5945,rotateclockwise
1493804469145,2.3531,-0.0928,3.05,-6.3383,5.9878,-22.2807,rotateclockwise
1493804469195,3.1771,-0.4583,1.955,-9.5604,6.8737,-14.021,rotateclockwise
1493804469245,3.2729,-1.5224,0.6717,-11.1342,7.8278,-11.0204,rotateclockwise
1493804469295,3.3911,-2.0741,-1.0749,-8.5311,6.5088,-4.0621,rotateclockwise
