timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740717095,-0.5845,-0.3534,-0.0399,0.8182,-1.3231,-8.5097,rotateclockwise
1493740717139,-0.3971,-0.2121,0.2786,0.5334,-0.9493,-9.506,rotateclockwise
1493740717188,-0.2421,0.2653,0.254,1.5125,-1.1235,-8.7252,rotateclockwise
1493740717239,-0.7567,-0.0336,0.5641,2.4708,-0.9869,-10.7294,rotateclockwise
1493740717289,-0.7294,0.1516,0.7834,2.5499,-1.0438,-12.1926,rotateclockwise
1493740717339,-0.4603,0.3036,1.4297,3.5071,-0.774,-12.6408,rotateclockwise
1493740717390,-0.4772,0.2204,1.6601,3.5885,-0.0611,-18.3136,rotateclockwise
1493740717439,1.3231,-0.6311,2.0535,-3.9636,1.9251,-14.4625,rotateclockwise
1493740717490,1.6391,-0.765,1.4632,-10.9351,4.387,-10.6726,rotateclockwise
1493740717539,1.197,-1.8699,-0.2812,-11.2807,3.1722,-6.1313,rotateclockwise
1493740717589,0.9727,-1.8425,-1.456,-6.445,1.7222,-4.9249,rotateclockwise
1493740717639,0.6397,-1.9056,-1.9076,-5.2026,0.6126,-1.5426,rotateclockwise
1493740717689,-0.3652,-1.3969,-2.2318,-1.7494,-0.8603,-1.5717,rotateclockwise
1493740717740,-1.0244,-0.6809,-1.9566,-0.8426,-1.0709,-2.3146,rotateclockwise
1493740717790,-1.791,-0.1616,-1.6328,1.1304,-1.0681,-5.1599,rotateclockwise
1493740717839,-1.5258,0.5227,-1.1409,2.1897,-1.7048,-6.7906,rotateclockwise
1493740717889,-1.5858,0.4355,-0.1728,1.9984,-0.8209,-8.8545,rotateclockwise
1493740717940,-1.6526,0.7767,0.3162,3.2518,-0.4441,-10.9977,rotateclockwise
1493740717989,-1.4868,0.8272,0.9942,2.1129,0.6878,-12.649,rotateclockwise
1493740718039,-1.0095,0.9294,1.4976,2.4247,1.2271,-15.3788,rotateclockwise
1493740718089,-0.7777,0.6029,1.7926,1.043,1.6474,-15.6709,rotateclockwise
1493740718139,0.3633,0.8609,2.1305,0.1644,1.9368,-18.8214,rotateclockwise
