timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490703327920,-1.2978,-0.045,-0.3206,2.2227,-2.6935,-11.934,rotateclockwise
1490703327968,-0.0845,-1.8157,-0.3132,1.7992,-0.0136,-5.9361,rotateclockwise
1490703328018,0.0105,-3.1317,-0.2792,-0.8867,0.0986,-10.1479,rotateclockwise
1490703328069,-0.4976,-0.4331,-0.4138,1.3266,-1.9071,-7.8496,rotateclockwise
1490703328118,-0.6665,-1.8247,0.2289,-3.3738,-0.1743,-7.9558,rotateclockwise
1490703328168,-0.2635,0.184,0.5418,1.7227,-0.7817,-3.3958,rotateclockwise
1490703328218,-1.8528,1.423,1.2757,6.1508,0.3282,-6.3549,rotateclockwise
1490703328269,-1.2077,-0.4675,0.9994,10.4127,3.0405,-7.5408,rotateclockwise
1490703328321,0.9787,-1.7737,2.327,-1.3305,7.5051,-43.8993,rotateclockwise
1490703328368,4.3808,2.9356,3.1642,-18.5901,-1.0358,-37.6127,rotateclockwise
1490703328419,5.6984,2.371,0.8875,-18.7089,2.4557,-19.0939,rotateclockwise
1490703328468,6.3306,1.2096,-0.2803,-18.7391,5.9737,-9.3697,rotateclockwise
1490703328518,4.6804,0.141,-1.9035,-15.2924,8.4165,4.481,rotateclockwise
1490703328568,2.9211,0.0413,-1.8827,-6.8543,5.0966,11.5094,rotateclockwise
1490703328618,1.3519,-4.3286,-2.3056,-3.3482,5.7821,14.3161,rotateclockwise
1490703328670,-2.8999,-4.146,-2.2738,0.1903,10.9171,6.1111,rotateclockwise
1490703328718,-5.8275,-3.0135,-2.4564,4.6748,18.3834,-0.3897,rotateclockwise
1490703328768,-5.5401,-3.5369,-0.9701,23.4246,22.6181,-18.0788,rotateclockwise
1490703328818,-5.7131,-3.2884,2.3599,11.4987,19.7322,-31.7152,rotateclockwise
1490703328868,-1.1193,-0.2765,4.5854,2.1533,15.321,-37.278,rotateclockwise
1490703328918,0.3669,-1.0841,5.0876,-4.5096,11.052,-31.0662,rotateclockwise
1490703328968,2.2437,0.7668,4.6517,-15.6122,5.9552,-31.8838,rotateclockwise
1490703329018,4.8473,-1.2298,3.5545,-28.2262,2.5457,-31.7697,rotateclockwise
1490703329068,6.0135,0.1923,-1.5291,-30.9386,1.94,-2.8098,rotateclockwise
1490703329118,2.4017,1.5465,-4.2234,-13.7052,12.0108,4.2292,rotateclockwise
1490703329168,1.7969,-0.7615,-4.2156,-3.4221,12.898,13.0026,rotateclockwise
1490703329218,-0.1429,-1.3249,-2.9595,2.11,8.9138,5.3832,rotateclockwise
1490703329269,-0.3441,-2.4893,-2.0962,3.0017,7.4958,6.1019,rotateclockwise
1490703329318,-4.0461,-1.4302,-1.8206,7.9053,11.6731,2.176,rotateclockwise
1490703329368,-4.27,-2.9901,-1.2531,27.3743,20.6906,-17.8673,rotateclockwise
1490703329419,-3.9676,-1.5842,3.0545,14.228,16.6164,-32.7838,rotateclockwise
1490703329468,-0.6381,-1.2957,4.9958,-1.6689,10.0601,-30.498,rotateclockwise
1490703329518,0.9985,-0.2534,4.598,-9.7045,9.5127,-31.6153,rotateclockwise
1490703329568,2.7314,1.041,4.0248,-11.155,16.6311,-37.4716,rotateclockwise
1490703329619,7.3751,-0.8322,2.2868,-21.8975,10.0437,-18.8098,rotateclockwise
1490703329668,6.05,0.1792,-1.8233,-16.3618,4.561,7.8074,rotateclockwise
