timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490728473750,-0.5004,-1.0595,0.6826,3.0162,-3.8674,-18.6586,updown
1490728473800,1.409,-0.6801,0.4022,0.8145,-1.7936,-16.3333,updown
1490728473850,1.7962,-1.0724,0.2801,-0.7061,-1.0327,-10.8975,updown
1490728473900,2.1807,-0.6464,-0.0657,-0.4584,-1.4478,-3.7427,updown
1490728473950,1.6199,-0.0489,0.1257,-1.8246,-1.7524,-0.4338,updown
1490728474000,0.2934,-0.2835,-0.0413,-2.0962,-1.6545,-0.6032,updown
1490728474050,-0.134,0.3299,-0.1342,-1.3368,-2.2509,-1.0351,updown
1490728474101,-1.5101,0.2721,-0.1744,-0.4538,-2.0565,-0.9038,updown
1490728474152,-2.3397,0.4323,-0.0806,-0.6118,-1.4267,-8.0625,updown
1490728474201,-2.4518,0.8376,-0.2173,0.4483,-1.2992,-11.2681,updown
1490728474251,-2.6501,0.3949,-0.1842,1.8888,-0.9662,-18.3531,updown
1490728474300,-0.8925,0.1192,0.166,0.5525,-0.3073,-26.6873,updown
1490728474350,1.9472,-0.2127,-0.2787,0.1453,-0.1057,-20.0859,updown
1490728474401,2.7807,-0.6746,-0.3048,0.7948,-0.2761,-12.2167,updown
1490728474451,2.9669,-0.5553,-0.2307,0.353,-0.7167,-6.9794,updown
1490728474500,1.8389,-0.2792,-0.1142,-0.1059,-1.9625,0.1721,updown
1490728474550,0.2821,-0.6166,-0.0121,-0.5859,-2.2995,-0.5368,updown
1490728474600,-0.3157,0.0081,0.0111,-0.9032,-2.4391,-1.0778,updown
1490728474651,-0.9948,0.255,0.0647,-0.3421,-2.1256,-1.1458,updown
1490728474700,-2.487,0.0832,0.2093,-0.4918,-1.3538,-8.3659,updown
1490728474750,-2.3761,0.4122,0.1644,0.2439,-1.1457,-11.2254,updown
1490728474800,-2.3237,0.3979,0.2732,0.502,-0.7982,-17.1395,updown
1490728474850,-0.8892,0.7559,0.3151,-0.2318,-0.3237,-21.6299,updown
1490728474901,0.8003,-0.0683,-0.1098,-1.6322,-0.1354,-23.0504,updown
1490728474950,2.4506,-0.0735,-0.3177,1.3611,-0.6201,-14.0825,updown
1490728475000,2.4205,-0.6213,-0.1728,0.2809,-1.0638,-7.5906,updown
1490728475050,1.7348,-0.1602,-0.1072,0.1614,-1.5744,-3.9592,updown
1490728475100,0.9309,-0.4123,-0.0791,-0.0124,-2.5577,-0.3624,updown
1490728475150,-0.1057,-0.0459,0.1102,-0.4756,-2.8205,-0.3981,updown
1490728475200,-1.1152,0.3129,0.1416,-0.9531,-2.3229,-1.215,updown
1490728475250,-2.1351,-0.1479,-0.0212,-0.4014,-1.6409,-5.7442,updown
1490728475300,-2.029,1.1024,0.1779,0.6307,-1.3842,-9.4827,updown
1490728475350,-2.3286,0.3814,0.1433,0.6747,-0.6859,-16.359,updown
1490728475400,-0.9095,0.426,0.1801,0.7783,-0.5885,-21.7119,updown
1490728475450,0.7063,-0.3115,0.0119,0.0138,-0.8266,-21.8389,updown
1490728475500,1.7846,-0.5305,-0.1569,0.6514,-0.9218,-17.1957,updown
1490728475550,2.4598,-0.4814,0.0679,0.6654,-1.1747,-10.5765,updown
1490728475600,2.2276,-0.6095,0.0399,-0.1293,-1.4969,-5.2792,updown
1490728475650,1.6216,-0.3181,0.0529,-0.0951,-2.1641,-2.648,updown
1490728475701,0.6988,-0.1608,0.1194,-0.5848,-2.6599,-1.0649,updown
1490728475750,-0.1227,0.1478,0.1487,-0.9828,-2.659,-0.9044,updown
1490728475801,-1.9455,0.0147,0.1099,-1.5119,-1.6987,-4.4819,updown
1490728475850,-1.6646,0.604,-0.1087,-0.634,-1.5466,-7.8328,updown
1490728475900,-2.0875,0.7613,0.0388,0.4702,-1.071,-10.0688,updown
1490728475950,-2.2461,0.0843,0.0049,0.4646,-0.6052,-16.5757,updown
1490728476000,-1.0976,0.3707,0.0169,1.0478,-0.5873,-21.9441,updown
1490728476050,0.1302,-0.0389,0.1112,0.6465,-0.2755,-24.5377,updown
1490728476101,2.3413,-0.7059,-0.3575,-0.0822,-0.7335,-16.523,updown
1490728476150,2.7234,-0.441,-0.1054,0.5323,-1.3528,-7.3586,updown
1490728476200,2.383,-0.5413,0.0396,-0.9447,-1.6566,-3.4411,updown
1490728476250,1.5251,-0.4799,-0.1714,-0.6881,-2.2218,-1.8546,updown
1490728476300,0.4967,-0.0959,-0.0589,-0.5118,-2.8658,-1.0267,updown
1490728476350,-0.5019,0.2025,-0.0149,-0.425,-2.9749,-0.6163,updown
1490728476400,-1.5946,0.3976,0.1384,-0.6664,-2.2904,-3.2504,updown
1490728476450,-2.2254,0.4416,0.1079,-0.223,-1.1026,-4.5929,updown
1490728476503,-2.9581,0.7565,0.1547,0.4105,-0.2157,-11.4702,updown
1490728476551,-2.3424,0.565,-0.0569,1.2678,-0.1521,-18.7542,updown
1490728476600,-1.048,0.0744,0.1723,0.4941,-0.0229,-24.4184,updown
1490728476650,1.1318,-0.4522,-0.2271,0.2886,-0.1406,-21.4893,updown
1490728476700,2.4016,-0.3435,-0.0529,0.734,-0.0215,-14.0616,updown
1490728476750,2.6353,-0.4451,-0.1203,-0.5541,0.4416,-9.7983,updown
1490728476800,2.5313,-0.3301,-0.1355,0.6077,-0.7584,-4.8898,updown
1490728476857,1.6338,0.2406,0.0054,-0.747,-2.1029,2.1971,updown
1490728476900,0.1269,-0.2164,-0.0653,-0.5742,-2.6341,0.1261,updown
1490728476950,-1.2923,0.6199,0.0664,-1.1308,-1.9927,-1.2875,updown
1490728477000,-2.1942,0.2941,-0.0564,-0.5658,-1.3532,-5.5631,updown
