timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493805403272,-1.1615,0.4445,0.1497,-2.3151,-2.1762,-11.1767,updown
1493805403321,-0.4121,1.2687,0.0251,-0.1509,-0.7312,-9.7579,updown
1493805403371,-0.4841,1.5476,0.1098,-0.8667,-1.1481,-6.4017,updown
1493805403421,-0.8134,0.7347,-1.0251,0.4549,-1.6599,-11.8418,updown
1493805403473,-0.1702,0.0479,-0.0758,-0.3772,-1.7034,-7.6322,updown
1493805403521,-0.9437,-0.3066,-0.0319,0.4685,-1.4304,-9.7532,updown
1493805403572,-0.8016,-0.3526,0.1723,0.8863,-0.2777,-18.7998,updown
1493805403621,0.9104,-0.7789,-0.0951,-1.2847,0.6841,-22.1511,updown
1493805403671,2.6626,-0.4277,-0.2361,0.3733,0.0978,-11.637,updown
1493805403721,1.9051,-1.5118,-0.3584,-0.2311,-1.3635,-6.0776,updown
1493805403772,1.5841,-0.4943,-0.2771,-0.5562,-1.5884,-4.4745,updown
1493805403821,1.1353,-0.4464,-0.5009,-0.3553,-2.3943,-0.5733,updown
1493805403873,-0.1669,0.0413,-0.2869,-0.4464,-3.2083,0.2503,updown
1493805403921,-0.9244,0.2594,-0.3157,0.0703,-3.4631,-0.7294,updown
1493805403972,-1.6599,0.6408,0.1891,2.6682,-2.7432,-2.6676,updown
1493805404021,-2.2991,0.4558,0.5239,-0.7906,-1.2782,-9.6562,updown
1493805404072,-2.0428,0.7394,0.5506,0.2698,-0.3976,-11.74,updown
1493805404121,-1.6978,0.8326,0.3815,0.0718,0.5685,-14.3349,updown
1493805404172,-1.0677,0.3165,0.4031,-1.4321,1.0085,-16.2835,updown
1493805404221,0.0074,-0.0433,-0.1384,-0.384,0.9058,-21.8566,updown
1493805404271,0.1441,0.2934,0.2415,1.1037,-0.2637,-14.8404,updown
1493805404321,0.6458,-0.0505,0.018,-0.792,1.0679,-18.2481,updown
1493805404373,1.4336,-0.5612,-0.3634,0.1316,0.7744,-14.5032,updown
1493805404421,2.1185,-0.2808,-0.3403,0.1174,0.4429,-11.0931,updown
1493805404471,2.2839,-0.5871,-0.4242,-0.219,0.0184,-8.8495,updown
1493805404521,2.4226,-0.4966,-0.4871,-0.4979,-1.1096,-2.5131,updown
1493805404572,1.2152,-0.4062,-0.4609,-0.7069,-2.0421,-1.1785,updown
1493805404621,0.2011,-0.0659,-0.241,1.0185,-3.4893,0.5261,updown
1493805404672,-0.5376,-0.1634,0.0131,0.8088,-4.0197,-1.4429,updown
1493805404722,-1.1055,0.1078,0.0862,0.3382,-3.8651,-2.5633,updown
1493805404771,-1.9628,0.4183,0.4966,-0.5027,-1.8921,-5.0902,updown
1493805404821,-2.434,0.3454,0.3123,0.5265,-0.7419,-11.3846,updown
1493805404871,-1.5897,0.5119,0.4013,-0.1461,0.1193,-10.7847,updown
1493805404922,-1.9931,0.3505,0.1632,-0.4258,0.7818,-15.1821,updown
1493805404972,-0.86,0.2404,0.0217,0.2623,0.1938,-15.1474,updown
1493805405022,-0.64,0.2555,-0.0516,0.7,-0.5468,-14.5858,updown
1493805405072,-0.2869,0.1444,0.1156,0.7417,-0.7865,-18.0301,updown
1493805405122,1.0119,0.0571,0.1922,1.8491,-0.2519,-17.5402,updown
1493805405171,1.9291,0.0612,0.09,0.1584,-0.1884,-14.6441,updown
1493805405222,1.9845,0.076,0.2409,1.0557,-0.0962,-12.1686,updown
1493805405271,2.1275,-0.232,0.0263,0.5892,-0.1106,-8.8124,updown
1493805405322,1.9243,-0.1961,0.1451,-0.2538,-0.3837,-6.668,updown
1493805405372,1.2798,-0.3788,-0.1461,0.2695,-1.4119,-2.4246,updown
1493805405422,0.926,-0.0973,-0.067,0.3221,-2.3978,-2.6033,updown
1493805405473,0.2461,-0.3543,-0.0957,0.8574,-2.8358,-0.3122,updown
1493805405521,-0.4981,0.0426,0.199,-0.9515,-2.6534,-1.8688,updown
1493805405572,-1.419,0.2373,-0.0386,-0.1136,-2.2027,-3.0518,updown
1493805405622,-2.0513,-0.1506,0.0203,0.6601,-1.6189,-7.7512,updown
1493805405672,-1.9434,0.1977,0.0168,-0.4884,-0.6854,-9.7436,updown
1493805405721,-1.9898,0.2389,0.0663,1.045,-0.3904,-11.9911,updown
1493805405772,-1.5032,0.1228,0.0345,0.4701,-0.1348,-14.3991,updown
1493805405822,-1.088,-0.2355,-0.0114,0.4927,-0.3483,-17.1686,updown
1493805405872,-0.2235,0.1312,-0.0665,1.229,-1.1912,-16.6546,updown
1493805405922,0.2892,-0.069,-0.019,1.4606,-0.6257,-17.6261,updown
1493805405972,1.4474,0.264,0.0314,1.1404,0.0259,-16.5347,updown
1493805406022,1.964,-0.2397,0.018,0.2762,0.1901,-13.7077,updown
1493805406072,2.5109,-0.1754,0.0347,-0.104,-0.2593,-9.7929,updown
1493805406122,1.9035,-0.1771,0.0402,0.4562,-1.3727,-4.6832,updown
1493805406175,1.6224,-0.4068,-0.0749,-0.016,-1.9221,-4.231,updown
1493805406222,1.2703,-0.2349,-0.1975,0.5476,-2.605,-1.3506,updown
1493805406272,0.0906,-0.1058,0.0338,-0.3291,-2.8559,-0.8324,updown
1493805406321,-0.3712,0.1276,-0.0347,0.0578,-2.9297,-0.7198,updown
1493805406372,-1.3088,-0.101,-0.0498,0.3729,-2.8005,-2.2153,updown
1493805406422,-1.8334,0.1651,0.1844,0.7128,-1.9713,-4.5357,updown
1493805406472,-2.1302,0.1929,0.1275,0.47,-0.9854,-9.0067,updown
1493805406523,-2.2579,0.1219,0.1586,-0.2955,-0.0898,-12.7585,updown
1493805406573,-1.7828,0.1195,0.0228,0.3274,0.0045,-14.9283,updown
1493805406621,-1.3027,0.0372,0.0257,0.8424,-0.5499,-16.84,updown
1493805406672,-0.4803,-0.0036,-0.0566,1.5546,-1.1389,-17.5013,updown
1493805406721,0.5022,0.0453,0.2495,1.7134,-0.4996,-19.0886,updown
1493805406772,1.6307,-0.2673,0.1082,0.4914,0.2756,-16.0634,updown
1493805406821,1.9964,-0.1286,0.2316,0.2962,0.0598,-13.7975,updown
1493805406875,2.2564,-0.202,0.057,-0.1013,-0.4788,-8.977,updown
1493805406925,1.9798,-0.2414,0.1177,-0.7797,-1.2689,-5.775,updown
1493805406972,1.5421,-0.122,-0.0661,-0.421,-1.9224,-3.0948,updown
1493805407022,0.9014,-0.055,-0.1225,0.289,-2.7577,-0.9254,updown
1493805407071,0.29,-0.0275,-0.0212,0.2996,-2.7529,-0.2062,updown
1493805407121,-0.6669,0.1054,0.0168,-0.0238,-2.5631,-1.4617,updown
1493805407171,-1.5323,0.1864,0.1157,0.3264,-2.0013,-3.8408,updown
1493805407224,-2.0449,0.2602,0.1364,-0.3359,-0.4308,-6.1174,updown
1493805407272,-2.2174,0.3045,-0.0943,0.3448,0.0043,-11.3044,updown
1493805407321,-2.0447,-0.0974,0.3728,1.0007,-0.0635,-12.7352,updown
1493805407372,-1.7966,0.1135,0.2684,0.2383,-0.239,-17.478,updown
1493805407421,-0.5007,0.0164,0.0066,0.9961,-0.7222,-20.6086,updown
1493805407472,0.2448,0.1277,0.1828,1.597,-0.304,-21.8212,updown
1493805407521,1.7883,0.0311,0.2057,0.3473,0.581,-17.9513,updown
1493805407572,2.4344,-0.1255,0.1943,0.2724,0.733,-13.1925,updown
1493805407621,2.8821,-0.2597,0.1117,-0.4164,0.5867,-8.4938,updown
1493805407672,2.5642,-0.1259,0.0315,0.0667,-1.0615,-2.2097,updown
1493805407722,1.5545,-0.2186,-0.0023,-1.0709,-1.9703,-1.2656,updown
1493805407772,0.802,0.1173,-0.2552,0.6036,-3.1921,-0.0642,updown
1493805407822,-0.1433,0.0359,0.0656,0.5417,-3.4546,0.6882,updown
1493805407873,-1.1682,-0.0972,0.1511,-1.2434,-2.0188,-1.4618,updown
1493805407922,-2.14,0.2135,0.0027,-0.0622,-1.3658,-5.1062,updown
1493805407972,-2.6093,0.2106,-0.1646,0.1413,-0.4508,-6.3733,updown
1493805408023,-2.5432,-0.2414,0.2585,1.1502,0.4347,-12.2583,updown
1493805408072,-2.1819,0.2029,0.2431,0.2195,0.6865,-15.9913,updown
1493805408122,-1.3616,-0.1045,0.0529,0.2344,0.0108,-20.1065,updown
1493805408171,-0.1812,0.1417,-0.2112,1.8912,-0.7112,-20.2482,updown
1493805408222,0.791,0.0338,0.1465,0.9178,-0.086,-21.0099,updown
1493805408272,2.2536,0.0135,0.0745,0.6749,0.7479,-16.1947,updown
1493805408321,2.939,-0.102,-0.0317,-0.1821,0.8282,-11.1025,updown
1493805408371,2.7107,-0.0616,0.0251,0.6578,-0.0826,-5.3924,updown
1493805408421,1.8564,-0.1537,0.1696,-1.3584,-1.1935,-0.8112,updown
1493805408472,1.3165,-0.0175,-0.1544,-1.1032,-1.6461,-0.7919,updown
1493805408522,0.3463,-0.0324,-0.0576,0.5558,-2.9041,0.8744,updown
1493805408573,-0.5569,-0.075,-0.0764,0.4008,-3.2079,0.2121,updown
1493805408621,-1.705,0.0259,0.137,-0.6965,-2.2645,-3.0108,updown
1493805408672,-2.3338,-0.0134,-0.0276,1.01,-1.24,-6.5388,updown
1493805408722,-2.1903,0.4078,0.0384,-0.7276,-0.3429,-8.8351,updown
1493805408771,-2.6485,0.2221,0.1008,3.0021,-0.4286,-15.6775,updown
1493805408822,-1.6292,-0.2402,0.1694,-0.2289,-0.009,-17.1584,updown
1493805408872,-0.7689,-0.0305,-0.0062,0.6972,-0.1004,-21.521,updown
1493805408922,0.8712,0.2268,0.0883,-0.354,0.4355,-22.7135,updown
1493805408972,1.9074,-0.106,-0.3123,0.2038,0.6856,-18.7373,updown
1493805409022,2.8302,0.1503,-0.1425,0.345,0.102,-13.0904,updown
1493805409073,3.0286,-0.1513,-0.1777,0.4894,-0.0854,-6.9443,updown
1493805409122,2.4194,-0.1609,-0.0358,0.5457,-0.5341,-3.6916,updown
1493805409172,1.8989,-0.3101,-0.1591,-0.6001,-1.378,-0.5623,updown
1493805409222,0.8087,-0.1817,-0.2423,2.4253,-2.4903,0.8988,updown
1493805409272,-0.0574,-0.2231,0.2413,-0.0276,-2.5008,0.9857,updown
1493805409321,-1.7289,-0.0092,0.1108,0.1509,-1.6771,-1.4857,updown
1493805409372,-2.353,-0.0654,0.0915,-1.012,-0.4886,-3.9624,updown
1493805409422,-2.9011,0.1754,-0.0466,1.4909,-0.2211,-9.8822,updown
1493805409472,-2.9144,-0.1877,0.1181,0.3044,0.0063,-12.5117,updown
1493805409522,-2.5119,-0.1191,0.2834,0.3138,0.0192,-18.5831,updown
1493805409572,-1.3426,-0.0163,0.2737,-0.6495,-0.3054,-20.2539,updown
1493805409622,-0.236,0.3397,-0.0397,0.3809,-0.8764,-20.7185,updown
