timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740769243,-1.1244,1.6827,0.5355,-0.2104,-1.2021,-11.0327,updown
1493740769292,-1.1743,0.5699,0.3534,-2.8853,-0.1535,-9.1553,updown
1493740769343,-1.5931,1.6215,-1.5116,-0.416,1.1213,-13.7385,updown
1493740769394,0.5218,-1.2278,-1.2758,1.1117,-0.4974,-20.7513,updown
1493740769443,1.6889,-0.5065,0.0889,1.2095,2.0738,-15.8258,updown
1493740769492,3.1552,-0.0033,0.8292,-2.2411,2.537,-12.4408,updown
1493740769545,2.5547,-0.5042,-0.0098,0.1079,0.0139,-4.1922,updown
1493740769592,1.3772,-2.0113,-0.1988,-2.3497,-1.6851,-1.1078,updown
1493740769643,0.7191,-0.7645,-0.4522,-0.7665,-2.763,0.8922,updown
1493740769693,-0.925,-0.5636,-0.2843,-1.424,-2.0987,-0.9845,updown
1493740769742,-1.0418,0.4059,0.005,0.8599,-2.8414,-4.1544,updown
1493740769792,-1.497,0.7598,0.4257,-0.1777,-1.8665,-2.198,updown
1493740769842,-2.9403,0.4995,0.397,0.6857,1.031,-6.6158,updown
1493740769892,-2.8298,1.0493,0.4915,-0.5798,3.1687,-17.1807,updown
1493740769942,-1.4823,0.7253,0.3221,0.7538,2.1525,-20.1695,updown
1493740769992,-0.6449,0.1385,0.1912,-1.2731,1.0583,-22.1536,updown
1493740770043,0.9138,0.0869,-0.1542,-0.3459,0.2959,-18.6346,updown
1493740770093,1.7805,-0.2898,-0.0402,-1.0812,1.4234,-16.7158,updown
1493740770142,2.5008,-0.7703,-0.3219,-0.7408,2.4079,-13.1747,updown
1493740770193,3.0745,-0.8121,-0.384,-0.6712,1.2383,-6.7001,updown
1493740770242,2.7747,-0.535,-0.3148,-0.4589,0.1092,-0.4029,updown
1493740770292,1.6525,-0.6283,-0.2391,-0.1438,-0.9785,0.8233,updown
1493740770343,0.6185,-0.2348,-0.0582,-0.3943,-1.9159,1.0808,updown
1493740770393,-0.4135,0.4412,0.2908,0.1374,-2.2301,1.792,updown
1493740770444,-2.365,-0.0166,0.3626,-0.3579,-1.0173,-1.3754,updown
1493740770493,-3.0429,0.5656,0.3723,0.3238,0.0161,-4.7157,updown
1493740770543,-3.3425,1.068,0.3489,0.0526,2.38,-11.6585,updown
1493740770592,-3.1242,0.8771,0.4027,0.8284,2.6788,-20.1896,updown
1493740770643,-1.5841,0.0299,0.2376,-1.3376,1.6751,-20.6192,updown
1493740770692,-0.1385,0.0559,-0.0612,-0.6953,0.8632,-21.7057,updown
1493740770742,1.3125,-0.079,-0.0771,-0.3378,2.2518,-20.9233,updown
1493740770792,3.0376,-0.2301,-0.182,-0.5442,3.9337,-17.1716,updown
1493740770844,4.2294,-0.6997,-0.28,0.7779,3.8633,-12.7919,updown
1493740770893,4.6653,-0.5347,-0.1458,-0.31,3.3057,-5.7865,updown
1493740770943,3.3085,-0.3808,-0.0761,0.8481,-0.4949,-1.4179,updown
1493740770993,2.1635,-0.7623,-0.0792,-1.263,-2.8613,4.6024,updown
1493740771042,-0.3533,-0.0818,-0.0082,-0.6392,-4.2393,4.4951,updown
1493740771092,-2.299,0.8657,-0.0175,-0.8885,-3.2321,3.5639,updown
1493740771142,-2.9448,0.9173,-0.0417,0.1471,-1.6688,0.1255,updown
1493740771193,-4.7896,0.5668,0.0948,-0.512,2.1129,-8.8932,updown
1493740771242,-4.798,0.5644,-0.1615,1.1888,2.8289,-15.4179,updown
1493740771292,-3.288,1.3887,0.1074,2.1364,3.1561,-19.4948,updown
1493740771343,-1.539,0.1525,-0.0819,1.8025,2.5388,-25.3979,updown
1493740771393,0.8966,-0.2719,-0.0806,1.9536,2.631,-26.3761,updown
1493740771443,3.2088,-0.6544,0.2074,2.2828,3.6041,-18.9321,updown
1493740771493,4.7413,-1.9702,0.1758,0.596,5.3297,-16.0994,updown
1493740771544,5.835,-0.6737,-0.1073,0.1405,4.5007,-7.4661,updown
1493740771593,5.2575,-0.9027,-0.0624,-0.9063,1.0046,1.2981,updown
1493740771644,3.1099,-0.4265,-0.2576,-1.1122,-2.8442,4.3696,updown
1493740771692,0.8746,-0.5884,-0.0642,-1.3091,-4.4517,5.7218,updown
1493740771743,-1.2433,0.2737,0.062,-1.1736,-5.0396,5.5319,updown
1493740771793,-1.8925,0.2315,0.1647,-0.7075,-4.362,2.4318,updown
1493740771843,-3.5456,0.8551,0.306,0.0009,-2.1699,-0.4327,updown
1493740771894,-4.8633,0.5019,0.6865,0.414,0.9825,-4.0287,updown
1493740771945,-5.7822,1.6083,1.0309,3.5961,4.3823,-13.4873,updown
1493740771993,-3.954,0.6322,1.2517,-2.0902,4.1667,-24.0966,updown
1493740772043,-1.5943,0.9625,0.1043,-1.0678,2.5921,-24.0058,updown
1493740772092,0.4486,0.0982,-0.4639,0.7927,1.7032,-23.9698,updown
1493740772143,2.5358,-0.2941,-0.3704,0.7957,2.6086,-21.7581,updown
1493740772193,4.6452,-0.3929,-0.4936,1.375,4.1401,-15.6988,updown
1493740772243,4.9297,-1.1723,0.0338,3.7028,3.0158,-9.0166,updown
1493740772292,4.7706,-1.3058,-0.0159,-0.912,1.9605,-5.3232,updown
1493740772344,4.3367,-0.0986,-0.3879,-0.7428,-0.7771,1.5414,updown
1493740772392,2.1021,-0.2049,-0.3472,-1.1596,-5.2063,9.0443,updown
1493740772443,-0.5218,-0.5293,0.0394,-2.1654,-5.3714,4.4085,updown
1493740772492,-1.893,0.3336,-0.3122,-1.3999,-4.7882,4.1332,updown
1493740772542,-3.7718,0.4996,0.0889,1.1243,-2.7819,-2.428,updown
1493740772593,-4.8228,0.0751,0.2656,-1.3399,0.4923,-2.8112,updown
1493740772643,-5.9425,1.9045,0.1021,1.9999,3.6685,-12.3664,updown
1493740772693,-3.7941,0.3868,0.1777,2.0445,4.0233,-20.2048,updown
1493740772743,-2.1518,1.0753,0.0983,2.9334,3.1882,-23.1768,updown
1493740772793,-0.2333,-0.1168,-0.009,1.2533,2.4504,-27.036,updown
1493740772843,2.1469,-0.3218,-0.3353,3.9886,2.2281,-19.2028,updown
1493740772893,3.8035,-0.655,0.4089,2.7173,3.3046,-20.85,updown
1493740772943,5.6559,-1.2415,0.6866,1.9829,4.906,-12.5086,updown
1493740772993,6.0248,-0.8718,0.2525,-1.035,3.7853,-6.0664,updown
1493740773043,4.9535,-0.3245,-0.4397,-0.9606,-1.0867,5.7678,updown
1493740773092,2.0375,-0.7579,-0.2658,-0.6025,-5.0505,7.4266,updown
1493740773142,-0.0821,-0.7982,-0.1022,-1.5593,-5.6324,6.3508,updown
1493740773192,-1.5623,0.6631,-0.1581,-0.5564,-5.5289,3.9398,updown
1493740773243,-4.0224,-0.393,0.2526,-0.108,-3.8307,0.9468,updown
1493740773292,-4.9701,0.8826,0.4357,-1.4686,-0.6666,-5.729,updown
1493740773343,-4.9008,0.4427,0.121,-0.7799,1.4826,-8.0188,updown
1493740773393,-5.155,0.7555,-0.0038,0.0179,2.9991,-11.8238,updown
1493740773443,-3.5745,0.4383,0.5545,0.0539,3.312,-23.9703,updown
1493740773492,-1.039,0.7354,-0.0306,1.4536,2.2278,-23.9182,updown
1493740773543,1.2643,0.2207,-0.0794,2.096,1.7971,-22.9895,updown
1493740773592,3.3224,0.0448,0.0418,2.3636,2.6874,-18.11,updown
1493740773644,4.7784,0.4923,0.7127,3.0663,4.2842,-18.1049,updown
1493740773692,6.8331,-0.7841,0.8166,-0.7435,4.9688,-7.9765,updown
1493740773743,6.4937,-0.3581,0.1407,-0.393,1.0409,4.1171,updown
1493740773792,3.4604,-1.0417,0.0005,-1.1391,-3.3783,10.9173,updown
1493740773845,0.2831,-0.9144,0.0028,-1.1516,-4.9984,5.6768,updown
1493740773893,-0.8913,-0.2371,-0.129,-1.073,-5.4379,7.1861,updown
1493740773943,-3.3394,0.5754,0.2539,1.8052,-4.9627,0.8985,updown
1493740773993,-3.5857,0.2696,0.4308,0.2377,-3.7192,-0.6499,updown
1493740774043,-5.8844,0.5385,0.2368,0.7285,0.7174,-5.7044,updown
1493740774094,-5.729,1.0202,0.2809,0.1544,3.0164,-15.3042,updown
1493740774142,-4.3121,1.1704,-0.2154,2.5727,3.9813,-20.3829,updown
1493740774193,-1.5792,1.0267,-0.1717,1.404,2.7997,-22.4654,updown
1493740774243,-0.186,-0.1856,-0.4575,4.1975,1.0695,-22.6322,updown
1493740774292,1.7216,-0.2647,-0.0344,4.1827,1.2536,-19.2199,updown
1493740774344,3.3357,-0.9547,0.544,3.6952,2.6302,-20.3881,updown
1493740774393,5.0912,-1.6004,0.6234,-0.7335,3.0199,-9.6071,updown
1493740774443,5.2805,-0.5973,0.2026,0.0326,2.017,-6.7963,updown
1493740774496,4.4895,-0.8718,-0.0525,-1.6128,0.0682,1.0314,updown
1493740774543,2.1135,-0.9266,-0.1986,0.451,-3.4219,5.3824,updown
1493740774593,0.7119,-1.0754,-0.0965,-2.1375,-4.8992,6.0875,updown
1493740774643,-1.3917,0.6409,-0.2508,0.176,-5.3805,4.1323,updown
1493740774692,-3.1331,0.9109,0.0547,0.7631,-3.5105,0.7168,updown
1493740774745,-5.5147,1.024,0.0471,-1.0431,-0.5195,-3.1776,updown
1493740774792,-5.8385,2.0287,0.006,2.8484,2.7789,-12.71,updown
1493740774845,-3.4907,-0.7514,-0.3277,-0.3598,2.3727,-19.6169,updown
1493740774893,-3.0217,-0.9257,-0.5443,0.5241,1.8443,-20.0932,updown
1493740774943,-0.4264,1.0796,-0.1648,1.5597,0.1655,-21.0228,updown
1493740774992,1.0789,-0.0553,-0.242,3.6526,0.1664,-21.7678,updown
1493740775043,2.9444,0.0301,0.4648,2.2809,1.7108,-18.9805,updown
1493740775093,4.511,-0.0892,0.5216,0.5773,3.4791,-13.2484,updown
1493740775143,4.5642,0.0522,0.2243,1.3512,2.075,-9.723,updown
