timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490703143550,-0.1577,-1.3391,-0.1579,-0.6578,-3.0817,-14.4942,updown
1490703143603,0.6712,-0.1242,-0.5139,-1.962,-3.1116,-7.8288,updown
1490703143651,0.1787,-1.7901,-0.7651,-1.956,-1.1389,-8.7358,updown
1490703143701,-0.1009,-0.3386,-0.8606,-0.4831,-2.7163,-9.3291,updown
1490703143751,-0.5054,1.3501,-0.696,1.5869,-1.5515,-7.5468,updown
1490703143804,-1.455,1.7842,0.8169,3.1301,-2.4981,-4.2428,updown
1490703143852,-1.7527,-0.3358,1.2443,-3.206,-0.0677,-10.776,updown
1490703143900,-0.3719,1.3087,-0.3421,3.1854,1.4589,-6.8878,updown
1490703143950,-1.4836,0.8501,0.416,-1.829,-1.0543,-4.3126,updown
1490703144001,-2.0286,-0.269,-0.6198,0.1772,2.2296,-8.798,updown
1490703144052,-0.1482,0.4471,-0.7206,1.6631,0.7403,-2.1114,updown
1490703144103,-1.5199,-2.8682,-0.7585,0.8131,3.1141,-14.903,updown
1490703144153,-1.6347,1.2824,0.103,1.8711,2.4208,-24.4207,updown
1490703144202,1.102,-0.589,-0.4414,3.7587,1.4171,-48.8621,updown
1490703144251,7.241,1.04,-0.9421,-2.9274,15.6543,-40.2395,updown
1490703144304,10.5586,-0.5414,-0.8658,-8.1119,17.1337,0.431,updown
1490703144350,6.1471,-0.3774,-3.5082,-1.3646,15.4829,9.6667,updown
1490703144401,0.4537,4.2098,-1.3841,6.3074,10.9863,17.5306,updown
1490703144451,0.3941,-1.149,0.8433,4.4379,11.1822,26.1392,updown
1490703144501,-6.1665,-1.7301,0.5595,-7.2744,15.9914,26.1411,updown
1490703144551,-6.3899,-3.556,1.517,-4.8353,22.0228,4.4444,updown
1490703144601,-11.2232,-2.3062,0.6404,-16.8694,33.9238,-3.6888,updown
1490703144651,-11.2899,-2.0945,0.5947,-16.4783,36.6281,-47.0031,updown
1490703144701,-2.0479,-0.0236,0.7409,-7.4254,1.8085,-72.4807,updown
1490703144751,3.4631,1.4554,1.1607,-9.0269,0.8204,-42.9599,updown
1490703144801,5.9586,3.9319,0.3037,-2.242,23.8411,-46.7339,updown
1490703144851,10.0555,2.8665,1.3243,-4.9101,30.446,-15.2214,updown
1490703144901,10.9261,-0.9124,0.1794,-9.915,22.716,12.0623,updown
1490703144950,4.325,3.0714,-1.0065,-2.5848,14.2764,29.7326,updown
1490703145001,0.8034,-0.6307,-0.8636,2.2417,13.5055,31.0506,updown
1490703145052,-3.5402,-1.2799,0.7322,-1.2066,13.4254,16.4471,updown
1490703145102,-5.5631,-1.7739,1.006,-3.1123,15.4549,5.7704,updown
1490703145150,-8.3729,-1.4675,0.7517,-8.6243,19.8787,5.8878,updown
1490703145200,-11.6405,-0.233,-0.5904,-10.3505,32.732,-7.0283,updown
1490703145250,-8.0378,-3.0819,-0.9075,-4.603,26.2051,-40.3399,updown
1490703145302,-4.0287,-0.951,-0.0909,-5.8781,6.2858,-60.09,updown
1490703145350,1.0981,0.4626,-0.2222,-2.1692,4.8222,-59.0863,updown
1490703145406,5.3907,1.7463,0.374,-11.315,16.9014,-52.1423,updown
1490703145453,10.3612,3.1724,0.6132,-9.006,31.8615,-25.3389,updown
1490703145501,10.7082,-0.9035,-0.6393,-7.4649,25.5711,4.1903,updown
1490703145551,5.8747,1.9214,-1.4468,-2.5233,18.1761,12.9516,updown
1490703145600,3.8412,1.3185,-0.6858,-0.2349,14.9495,19.6604,updown
1490703145650,-0.8203,0.8598,-0.0611,1.5984,11.4965,35.3897,updown
1490703145701,-4.2862,-0.8468,0.1559,0.337,12.7475,18.0405,updown
1490703145751,-6.3372,-1.5416,0.8077,-2.4853,14.6223,11.3532,updown
1490703145803,-9.1143,-1.9451,-0.1594,-7.333,28.9425,-0.8531,updown
1490703145852,-10.2525,-3.1472,-0.9704,-14.5354,31.1032,-38.402,updown
1490703145902,-4.9749,-3.4178,0.1329,-9.8003,17.2435,-47.7659,updown
1490703145950,0.3541,-1.6531,0.4215,-4.405,8.1384,-54.9647,updown
1490703146001,2.6375,1.4218,0.5747,-10.1516,6.4813,-55.9852,updown
1490703146051,7.5168,3.1865,-0.0368,-9.2091,32.8171,-50.768,updown
1490703146101,12.0405,2.1124,0.6861,-13.5412,30.7123,-0.7564,updown
1490703146151,7.9352,1.7319,-1.214,-5.2458,18.6639,14.2074,updown
1490703146201,4.1474,2.7108,-0.285,1.6323,13.0256,21.0546,updown
1490703146251,2.1163,-0.7082,0.0237,-0.2089,11.2266,27.3479,updown
1490703146304,-2.5885,0.0026,0.2346,0.52,10.8207,15.2297,updown
1490703146351,-4.1316,-0.969,0.6446,-1.5197,10.0394,7.3334,updown
1490703146401,-6.1604,-1.0001,0.551,-2.7008,14.5796,4.0021,updown
1490703146452,-8.2861,-1.2914,0.3802,-6.1051,21.6087,-10.4625,updown
1490703146501,-7.7798,-2.2771,-0.7137,-3.9907,20.7696,-37.3133,updown
1490703146556,-3.8995,-1.0638,0.2097,-12.4494,7.6908,-28.1647,updown
1490703146601,-3.4572,-1.7006,-1.1711,-8.6792,9.3504,-34.8302,updown
1490703146651,0.4103,0.0442,-0.0524,-4.165,6.2558,-41.0986,updown
1490703146701,2.9351,2.2461,0.1364,-6.1225,9.0418,-32.9514,updown
1490703146751,5.1882,2.1307,-0.15,-3.3889,18.1479,-33.9283,updown
1490703146802,8.3955,2.2308,0.8264,-7.3778,16.6492,-4.2539,updown
1490703146851,6.1249,0.2755,-0.55,-2.5101,13.3875,-6.1431,updown
1490703146901,5.4041,1.4507,0.0092,-2.3161,8.2307,4.1036,updown
1490703146950,3.6001,0.4349,-0.3791,0.8661,4.0694,1.5352,updown
1490703147001,3.5385,0.2553,-0.0978,0.7027,1.1801,15.9193,updown
1490703147053,-0.2754,-0.1896,-0.0643,-1.1518,1.0684,11.5895,updown
1490703147101,-1.7182,0.0974,-0.3527,-0.0955,4.6342,12.8555,updown
1490703147151,-4.1827,-1.0506,-0.1826,-1.052,8.3833,9.5864,updown
1490703147202,-6.0211,-0.5522,-0.0873,-2.0868,12.1855,4.3827,updown
1490703147251,-8.8128,-0.3655,-0.9133,-5.2792,21.5291,-4.0183,updown
1490703147301,-6.508,-5.1743,-0.7659,-2.6732,26.2221,-35.1893,updown
1490703147351,-4.2625,-1.1127,0.7763,-8.331,11.592,-29.3379,updown
1490703147402,-2.356,-1.6422,-0.018,-6.2225,6.1352,-28.0325,updown
1490703147451,-0.6317,-0.0969,-0.1922,-2.4522,5.5026,-39.0178,updown
1490703147501,2.3851,0.2775,0.3313,-7.1362,9.8164,-42.8765,updown
1490703147552,6.104,1.7714,0.2923,-9.2925,16.0201,-29.0158,updown
1490703147601,7.1388,2.5884,-0.0641,-8.6015,17.7841,-13.6216,updown
1490703147651,6.7842,2.2815,-0.609,-3.6609,18.3954,-8.8775,updown
1490703147701,8.0063,-0.5251,-0.6174,-3.6654,12.4677,6.8221,updown
1490703147752,3.7705,1.6739,-1.1607,-1.1054,7.2076,7.7779,updown
1490703147802,2.4731,1.2623,-0.5679,3.3,3.5691,13.0812,updown
1490703147851,-0.1157,0.7347,0.151,2.9354,1.0285,12.9479,updown
