timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495182252446,-0.0774,0.0913,0.2304,0.4929,-9.6204,-1.3468,updown
1495182252497,0.1052,0.5235,-0.0086,0.0447,-9.7623,-2.1758,updown
1495182252547,-0.0411,0.1708,0.0793,1.7434,-10.6118,-2.347,updown
1495182252597,0.3378,0.8724,0.1217,-0.276,-9.9698,-2.075,updown
1495182252647,0.2092,0.4396,0.0912,1.374,-11.1293,0.2802,updown
1495182252698,-0.203,1.3,0.4386,-0.5034,-11.4019,-1.3906,updown
1495182252748,0.0027,1.9287,0.578,1.0883,-11.2752,1.9574,updown
1495182252797,-1.0061,2.3299,0.3009,-7.8002,-8.9094,-4.5594,updown
1495182252847,-1.7886,3.3255,-1.0251,-0.5907,-6.5144,-6.8895,updown
1495182252897,-1.0947,0.9608,-2.0277,5.9131,-3.2128,-17.5079,updown
1495182252948,3.2923,-0.7952,-1.0097,10.5557,-5.4301,-4.7726,updown
1495182252998,3.2432,-1.2402,-0.659,12.5633,-5.8931,-4.384,updown
1495182253049,3.6492,-1.2322,0.6992,11.8209,-4.5742,0.746,updown
1495182253096,3.0716,-1.281,1.6792,6.7284,-2.9558,3.6049,updown
1495182253147,3.0716,-0.5008,2.3379,1.0527,-1.7792,6.0802,updown
1495182253197,2.5956,0.0206,1.1967,-6.6233,-4.1613,14.9597,updown
1495182253247,1.1113,1.3502,1.1355,-4.7336,-6.724,19.4413,updown
1495182253297,-0.5754,1.8813,-0.0056,-8.9102,-6.454,19.3461,updown
1495182253347,-1.9329,2.5008,0.3208,-3.5447,-4.934,15.8809,updown
1495182253407,-3.1758,2.3337,-0.3676,-5.9254,-4.2929,10.0971,updown
1495182253448,-3.4648,2.6133,0.225,-6.9579,-3.4519,-0.1492,updown
1495182253498,-2.6892,1.7292,-0.8122,-5.255,-5.7135,-6.7325,updown
1495182253547,-2.2971,0.6234,-0.8901,-8.2974,-4.8993,-9.497,updown
1495182253598,-1.3916,0.5434,-1.1636,-4.5824,-4.8308,-12.4895,updown
1495182253650,-0.3816,0.102,-2.2742,0.0631,-5.1654,-11.7852,updown
1495182253698,0.1181,-0.05,-2.1897,4.0978,-5.5973,-11.8505,updown
1495182253747,0.9124,-1.1069,-2.571,9.048,-5.4443,-12.3205,updown
1495182253797,1.9947,-1.6372,-2.0667,11.8348,-6.1373,-9.3198,updown
1495182253847,3.2345,-1.6923,-1.6204,16.2105,-6.522,-0.4561,updown
1495182253900,3.4595,-1.7036,-0.5066,16.8197,-6.0351,0.5666,updown
1495182253949,3.535,-1.1347,0.6823,12.9132,-5.4199,4.8204,updown
1495182253998,2.5959,-0.5146,1.619,9.7023,-5.1528,8.2182,updown
1495182254047,2.6471,-0.1414,2.1421,3.1166,-4.5602,10.4332,updown
1495182254097,1.7281,1.0677,2.0375,-1.8028,-5.4514,13.2081,updown
