timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496234956761,-0.5008,-0.261,1.5687,10.9073,-1.9221,-11.7554,leftright
1496234956811,-0.226,-0.1891,2.5733,10.3086,-0.5007,-11.6978,leftright
1496234956861,-0.0152,-0.4705,3.66,5.0426,3.3915,-11.3368,leftright
1496234956911,0.585,0.6338,3.5907,-3.4559,5.2141,-9.495,leftright
1496234956962,0.3048,1.0406,2.487,-9.8836,5.5583,-7.4606,leftright
1496234957013,-0.2242,0.2055,1.0244,-12.2763,5.5099,-10.7855,leftright
1496234957061,-0.1798,0.1383,-0.5536,-16.9629,8.8033,-11.9482,leftright
1496234957111,0.0574,-0.2933,-2.3965,-13.4653,9.1925,-10.9984,leftright
1496234957162,0.1802,-0.1906,-4.816,-5.5948,9.6427,-9.2944,leftright
1496234957211,-0.1458,-0.4444,-5.4152,4.4969,9.5164,-9.6041,leftright
1496234957261,0.6283,0.2149,-4.9863,10.6833,5.5757,-9.272,leftright
1496234957311,0.3272,-0.1183,-2.3069,24.4117,-2.7282,-8.6359,leftright
1496234957361,-0.0362,-0.4975,0.2555,20.2515,-2.26,-9.075,leftright
1496234957413,-0.1983,-0.4534,2.6083,12.6089,1.5693,-8.8411,leftright
1496234957461,-0.1424,0.175,3.7903,8.0477,4.8192,-10.1826,leftright
1496234957512,-0.2067,-0.3432,4.3492,4.3717,6.5485,-8.6109,leftright
1496234957561,-0.1889,0.3902,4.5691,-1.5389,7.4575,-8.571,leftright
1496234957611,-0.431,0.0991,4.2864,-8.241,7.7263,-6.1029,leftright
1496234957662,-0.9726,0.568,2.8915,-14.8815,9.13,-12.7361,leftright
1496234957711,-0.0499,0.0341,-0.0021,-18.6281,9.2965,-13.2106,leftright
1496234957761,0.3601,-0.0375,-2.3006,-13.6595,7.638,-10.24,leftright
1496234957811,0.2433,0.0987,-3.774,-5.7243,8.2697,-7.5093,leftright
1496234957861,-0.0649,0.2084,-4.8167,0.554,9.7727,-7.6494,leftright
1496234957911,-0.1784,0.679,-5.365,7.1467,8.3256,-8.1983,leftright
1496234957961,-0.092,0.8699,-4.193,18.8346,1.9218,-8.8096,leftright
1496234958013,0.1462,0.6244,-1.7827,19.8797,-1.0484,-9.2623,leftright
1496234958061,-0.0235,0.0374,0.6658,20.2281,-0.874,-9.1993,leftright
1496234958112,-0.2014,-0.8472,2.7707,13.5701,3.0023,-9.7592,leftright
1496234958162,-0.0917,-0.8111,3.8572,8.425,5.702,-8.7592,leftright
1496234958211,-0.0092,-0.725,4.3214,2.5962,7.5434,-8.3897,leftright
1496234958262,-0.1256,0.2628,4.3884,-3.2635,8.3059,-6.897,leftright
1496234958311,-0.3996,-0.2642,3.359,-8.2315,7.683,-9.7204,leftright
1496234958361,-0.5882,-0.2464,2.5686,-20.4797,9.7925,-11.2925,leftright
1496234958418,0.0518,-0.0247,-0.7049,-17.1001,8.8475,-12.0067,leftright
1496234958462,0.3901,0.0874,-2.6909,-10.1908,7.7728,-7.9111,leftright
1496234958511,0.0589,0.1633,-4.0576,-5.3684,9.8347,-7.9989,leftright
1496234958561,0.1684,0.8198,-5.157,1.7072,10.572,-7.3668,leftright
1496234958612,0.1988,1.0315,-5.4717,6.892,10.0072,-7.7659,leftright
1496234958662,0.5106,0.3101,-4.3027,17.3746,4.7212,-8.8064,leftright
1496234958713,0.0745,0.1091,-1.5336,22.1809,-1.2334,-9.4734,leftright
1496234958762,0.0888,-0.76,1.6156,21.8041,-1.0476,-12.0728,leftright
1496234958812,0.2794,-0.753,3.5578,11.2593,3.2543,-9.0334,leftright
1496234958861,0.1793,-0.7841,4.4411,4.5506,6.961,-9.8818,leftright
1496234958912,0.3804,-0.0661,4.3295,0.0204,8.1881,-8.2932,leftright
1496234958963,0.2659,0.3074,3.9824,-4.4579,7.2678,-8.3695,leftright
1496234959011,0.0702,0.3048,3.2063,-11.7703,6.1299,-7.4909,leftright
1496234959061,-0.3036,0.1983,1.8702,-15.844,6.4212,-10.5318,leftright
1496234959112,-0.1751,-0.2844,-0.1963,-17.5872,6.8326,-11.821,leftright
1496234959161,0.1171,-0.1561,-2.3644,-11.2518,6.692,-9.2277,leftright
1496234959211,0.0254,0.0019,-3.285,-6.565,7.2464,-8.463,leftright
1496234959261,-0.1083,0.0883,-4.1962,-2.6181,9.4305,-10.6208,leftright
1496234959311,0.3839,0.3106,-5.0363,6.0871,8.1406,-8.849,leftright
1496234959362,0.3142,0.3167,-4.0611,14.8154,3.217,-7.9702,leftright
1496234959412,-0.2337,-0.3214,-1.2029,19.3821,-0.3509,-10.853,leftright
1496234959461,0.0865,-0.1455,1.0065,15.9803,0.3417,-8.9447,leftright
1496234959511,-0.1285,-0.3365,2.5779,9.5717,2.7948,-8.8912,leftright
1496234959561,-0.1849,-0.1292,3.6387,6.7242,4.4589,-9.3104,leftright
1496234959611,0.0171,-0.0021,4.2893,3.2599,6.0231,-10.5971,leftright
1496234959661,0.5828,-0.1086,4.8267,1.0508,6.8159,-9.3975,leftright
1496234959713,-0.2291,-0.3026,4.3179,-9.5753,8.7786,-8.9243,leftright
1496234959761,-0.0672,-0.2357,2.3177,-17.0028,7.4571,-7.4343,leftright
1496234959811,-0.3548,-0.0811,-0.1919,-17.804,7.0976,-10.351,leftright
1496234959861,-0.1511,0.2892,-2.3375,-11.7028,7.2628,-9.2202,leftright
1496234959912,-0.2135,0.6034,-3.601,-6.0492,8.4596,-8.0622,leftright
1496234959961,-0.358,0.5565,-4.2565,-3.0772,9.7545,-9.2935,leftright
1496234960011,0.2029,1.0139,-5.0578,2.6762,10.3119,-8.2493,leftright
1496234960061,0.2722,1.1264,-5.3318,8.2107,7.9639,-8.4376,leftright
1496234960112,0.0665,0.6356,-2.8667,22.2024,0.8191,-7.4524,leftright
1496234960161,-0.0159,-0.5183,-0.155,22.1907,-0.6939,-10.3856,leftright
