timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496233965657,-0.3047,-0.3392,-0.1205,2.516,-2.3328,-8.9626,leftright
1496233965707,-0.0933,-0.3193,0.0471,1.4656,-2.6385,-9.6233,leftright
1496233965758,-0.1268,-0.2142,0.0369,3.1111,-2.8819,-8.6919,leftright
1496233965807,-0.5874,-0.3109,0.3284,5.6051,-2.9539,-9.9699,leftright
1496233965858,-0.8316,-0.5015,0.7997,7.1423,-2.9796,-10.1449,leftright
1496233965908,-0.8368,-0.9248,1.6027,7.4135,-2.8037,-12.594,leftright
1496233965958,-0.2198,-0.0706,2.1552,5.9939,-1.2537,-11.4682,leftright
1496233966008,0.0818,-0.0463,2.5758,3.3179,0.483,-8.0417,leftright
1496233966058,-0.4607,0.2581,2.9113,-3.1998,2.8466,-6.8579,leftright
1496233966108,-0.194,0.6615,2.153,-8.8697,4.2025,-7.8415,leftright
1496233966157,-0.7085,0.3429,0.9046,-11.0745,4.6934,-8.0301,leftright
1496233966208,-0.7514,-0.017,-0.6361,-11.9773,5.2777,-11.0887,leftright
1496233966258,-0.0196,-0.3743,-2.2081,-5.6774,4.0452,-9.8638,leftright
1496233966308,-0.203,-0.5088,-2.9109,-2.3335,3.7005,-9.6182,leftright
1496233966357,-0.3437,-0.5946,-3.3286,0.6697,4.4949,-10.0786,leftright
1496233966408,-0.2871,-0.3328,-3.6298,4.6673,2.8238,-10.2204,leftright
1496233966458,0.0924,0.2613,-3.2148,11.8048,0.3702,-12.2538,leftright
1496233966508,0.4243,0.1609,-1.3789,13.3501,-2.8554,-9.7128,leftright
1496233966557,0.2094,-0.1866,0.0637,12.8678,-3.2492,-9.6495,leftright
1496233966607,0.0232,-0.1165,1.5336,9.3932,-1.7807,-9.9051,leftright
1496233966658,0.2428,0.3649,2.5528,6.7116,0.2185,-10.3745,leftright
1496233966708,-0.1696,-0.359,3.1595,2.5465,2.4036,-9.6387,leftright
1496233966758,0.21,-0.0606,3.33,-3.0478,4.0782,-10.2519,leftright
1496233966808,-0.0105,-0.1137,2.7039,-7.5067,4.3999,-6.2569,leftright
1496233966858,-0.5443,0.0663,1.751,-12.5671,4.4531,-7.9573,leftright
1496233966908,-0.3273,0.5436,0.6006,-13.1312,4.7257,-7.8185,leftright
1496233966958,-0.3662,0.7774,-1.0625,-9.6353,4.2106,-10.623,leftright
1496233967009,-0.0514,0.5247,-2.5057,-4.9687,3.5314,-9.5325,leftright
1496233967058,0.0744,0.5918,-2.8961,-2.3845,4.283,-8.3818,leftright
1496233967108,-0.0417,0.6389,-3.4691,3.7981,3.7867,-8.2358,leftright
1496233967158,-0.309,0.0595,-2.5215,4.9586,-0.7901,-10.3316,leftright
1496233967208,0.2279,0.2581,-2.0594,13.0897,-0.7752,-10.2936,leftright
1496233967259,0.0387,-0.4378,-0.3803,11.7009,-1.5161,-10.8827,leftright
1496233967308,0.1758,-0.1611,0.8062,9.564,-0.8695,-9.6895,leftright
1496233967358,-0.1011,0.0654,1.9151,7.9273,0.4482,-10.5871,leftright
1496233967407,0.0678,-0.1726,2.3095,4.9106,1.8942,-10.7316,leftright
1496233967458,0.2172,-0.2372,2.7459,2.6169,2.8756,-9.7998,leftright
1496233967509,0.1973,0.1908,2.9105,-1.9545,3.5638,-7.6212,leftright
1496233967558,-0.0616,0.2239,2.3589,-7.9074,3.9958,-7.2901,leftright
1496233967608,-0.3922,0.6762,1.1109,-9.7875,3.6342,-8.4204,leftright
1496233967658,-0.247,0.3,-0.5719,-10.3794,4.2071,-13.3548,leftright
1496233967707,0.1192,0.316,-1.0902,-8.5488,3.4731,-11.1134,leftright
1496233967758,0.2928,0.0489,-2.2161,-4.0884,3.4092,-10.6626,leftright
1496233967808,0.4166,0.1934,-3.0564,-2.0102,4.0153,-9.6699,leftright
1496233967858,0.3688,-0.3312,-2.9631,2.8212,4.3985,-8.6338,leftright
1496233967908,0.1389,0.2714,-3.0595,6.9872,3.1017,-8.3333,leftright
1496233967958,-0.0511,-0.4157,-2.0243,14.9648,0.2329,-10.5628,leftright
1496233968007,0.2431,-0.3554,-0.2525,12.1182,-0.4862,-9.3197,leftright
1496233968058,0.0419,-0.1901,1.0237,10.716,-0.3952,-8.4683,leftright
1496233968107,-0.196,-0.301,2.032,7.1814,1.0297,-9.6199,leftright
1496233968158,-0.2097,-0.3921,2.5448,5.3282,2.0151,-10.4763,leftright
1496233968208,0.1225,-0.1648,3.4048,3.9748,2.7135,-10.1889,leftright
1496233968258,0.0937,-0.0866,3.6012,-2.8016,4.2081,-8.3929,leftright
1496233968309,-0.1987,-0.2598,2.9146,-7.7608,5.2217,-8.7369,leftright
1496233968358,-0.2551,0.1228,0.7751,-14.5279,5.7357,-10.055,leftright
1496233968408,-0.1522,0.2042,-0.0484,-13.1653,5.1323,-10.8447,leftright
1496233968458,0.3624,0.703,-2.2253,-8.0331,3.7399,-10.6459,leftright
1496233968510,0.525,0.2079,-2.9259,-2.5996,3.984,-9.5402,leftright
1496233968558,0.3999,0.106,-3.0382,-1.3137,3.9739,-8.7701,leftright
1496233968608,0.3366,-0.0642,-3.2777,4.1103,3.6801,-8.9673,leftright
1496233968658,0.3294,-0.2135,-2.6145,4.6499,3.1448,-9.0744,leftright
1496233968708,0.2514,0.2326,-2.6111,9.3379,1.7287,-7.7869,leftright
1496233968758,0.003,0.062,-1.0519,15.4613,-1.1166,-10.7188,leftright
1496233968808,0.043,-0.4881,0.7992,12.7596,-0.932,-9.1742,leftright
1496233968858,-0.0318,-0.0972,2.0937,7.8135,1.2875,-8.7109,leftright
1496233968908,-0.3506,-0.6269,2.7124,5.3789,2.3857,-9.7731,leftright
1496233968958,0.046,0.132,2.9881,1.9728,2.8676,-8.6471,leftright
1496233969008,-0.4002,-0.2556,2.9736,-0.7306,3.2086,-7.7731,leftright
1496233969059,-0.5681,0.0322,2.8933,-4.9412,4.2422,-8.938,leftright
1496233969114,-0.6133,-0.0473,1.9701,-11.3862,5.0374,-10.9567,leftright
1496233969158,0.1144,0.2081,-0.4316,-11.3921,4.3157,-10.7468,leftright
1496233969208,0.2259,0.3906,-1.6015,-7.4948,3.3838,-10.3379,leftright
1496233969258,0.4197,0.1768,-2.1397,-4.7038,3.378,-8.6674,leftright
1496233969309,0.2567,0.0777,-2.3413,-2.506,3.3926,-9.1473,leftright
1496233969358,0.2161,-0.084,-2.73,0.3992,3.5921,-10.1325,leftright
