timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493740757200,0.1727,0.4106,0.4122,2.5414,-2.1674,-10.4367,leftright
1493740757241,0.0698,0.0201,0.7538,3.7492,-2.5557,-10.1018,leftright
1493740757292,0.3435,0.6008,1.0074,2.9317,-2.8076,-10.2126,leftright
1493740757342,0.2711,0.5992,1.2808,2.4203,-2.4481,-9.3718,leftright
1493740757391,0.2741,0.6877,1.6425,-0.0632,-0.8255,-8.7322,leftright
1493740757442,-0.2563,0.6642,1.8114,-2.3472,1.4699,-8.585,leftright
1493740757492,-0.6052,-0.0868,1.3369,-6.6948,3.4801,-11.9449,leftright
1493740757542,-0.0965,0.0684,0.4772,-7.2473,3.9446,-11.0316,leftright
1493740757592,0.2191,-0.0766,-0.7994,-6.4766,3.4239,-9.7212,leftright
1493740757642,0.2307,-0.232,-2.012,-4.3475,2.952,-8.608,leftright
1493740757691,-0.2825,-0.965,-3.1544,-0.5932,2.1191,-9.4747,leftright
1493740757742,-0.1671,-0.8195,-3.5927,5.2002,0.3147,-10.8694,leftright
1493740757792,-0.0423,-0.6195,-2.3924,9.6505,-1.9367,-9.5658,leftright
1493740757842,-0.4209,-0.9381,-1.5524,10.1832,-3.5267,-11.4253,leftright
1493740757895,-0.2579,-0.6641,0.4375,11.5007,-4.2874,-11.3945,leftright
1493740757945,-0.0636,0.094,1.5992,9.0688,-2.3969,-11.3613,leftright
1493740757991,0.1416,0.1394,2.6096,5.5965,-0.3426,-11.4701,leftright
1493740758042,0.5036,0.4292,2.8769,2.7256,0.8067,-10.6537,leftright
1493740758092,0.4774,0.7045,2.9237,-0.1823,1.5727,-10.5002,leftright
1493740758143,0.5196,0.6076,2.4298,-3.2804,1.8363,-8.7879,leftright
1493740758192,0.0793,0.2594,2.0024,-5.9041,2.3122,-7.9298,leftright
1493740758242,-0.2496,0.0332,1.1909,-6.6969,3.0971,-10.5565,leftright
1493740758292,0.0531,0.0952,0.3355,-8.4079,3.3298,-10.4519,leftright
1493740758342,0.2152,-0.0728,-0.4828,-8.0612,2.896,-9.1976,leftright
1493740758393,-0.0463,-0.2451,-1.4519,-6.3933,3.1667,-9.1979,leftright
1493740758441,0.0015,-0.2213,-2.5267,-4.1803,2.8242,-9.1636,leftright
1493740758491,-0.2566,-0.7424,-3.1151,0.2639,1.712,-9.7578,leftright
1493740758542,-0.2888,-0.5493,-3.3349,1.5444,1.4544,-9.7163,leftright
1493740758591,-0.6923,-1.0709,-3.4638,4.7032,0.5087,-10.0003,leftright
1493740758641,-0.0139,-0.314,-2.3369,14.6754,-3.8331,-10.8657,leftright
1493740758692,-0.2851,-0.0217,-0.041,13.8139,-4.3539,-13.1876,leftright
1493740758742,0.0407,-0.4423,1.8864,7.4628,-0.9678,-10.9389,leftright
1493740758792,0.1516,-0.1004,2.4317,5.0595,0.0408,-11.4755,leftright
1493740758843,0.5576,0.4441,3.1362,4.1231,1.4589,-10.7343,leftright
1493740758891,0.6886,0.5277,3.5988,2.7133,2.3752,-10.4578,leftright
1493740758942,0.4375,0.5253,3.8421,-2.4671,3.7579,-8.2722,leftright
1493740758992,-0.1113,0.2886,3.2613,-6.7283,4.0924,-8.1255,leftright
1493740759042,-0.1061,0.5698,2.2984,-10.2489,4.5525,-9.9738,leftright
1493740759092,0.0073,0.3317,0.6848,-11.6917,4.2627,-9.3748,leftright
1493740759142,-0.0545,-0.1429,-0.8932,-10.3696,3.696,-10.0418,leftright
1493740759192,0.1685,0.0633,-2.1377,-7.2634,3.5272,-8.6256,leftright
1493740759247,-0.2973,-0.4568,-3.2314,-3.7943,3.6756,-9.9698,leftright
1493740759292,-0.234,-0.2732,-3.8718,0.002,3.5081,-10.0523,leftright
1493740759345,-0.4317,-0.9194,-4.118,3.7521,2.7711,-9.4004,leftright
1493740759391,-0.6641,-1.4731,-3.6039,10.7809,0.6659,-12.3641,leftright
1493740759442,-0.1694,-0.321,-0.8175,11.802,-2.4493,-11.826,leftright
1493740759492,0.1221,0.0204,0.1956,10.963,-2.5148,-12.3837,leftright
1493740759542,0.4544,0.3485,1.8684,6.9774,-0.3953,-11.1862,leftright
1493740759592,0.3297,0.2536,2.5439,3.041,1.2367,-10.5768,leftright
1493740759642,0.6623,0.7883,2.877,2.5151,1.7566,-11.1836,leftright
1493740759692,0.6446,0.6633,3.3986,-1.4566,2.6433,-8.9426,leftright
1493740759741,0.4379,0.7696,3.0985,-6.9071,3.1324,-9.5056,leftright
1493740759791,0.3839,1.1069,1.8277,-7.8861,2.2829,-9.6125,leftright
1493740759842,0.0647,0.4017,1.1074,-8.271,2.0677,-9.3503,leftright
1493740759892,0.0081,-0.0201,-0.0424,-10.3746,2.336,-10.1235,leftright
1493740759941,0.2737,0.0085,-1.3443,-7.0777,2.2036,-8.8591,leftright
1493740759992,-0.004,-0.3676,-2.2019,-4.9045,2.4283,-8.9139,leftright
1493740760042,-0.0612,-0.4338,-2.7025,-3.4612,2.7501,-9.5344,leftright
1493740760092,-0.2167,-0.531,-3.5954,-0.8743,2.8177,-9.8845,leftright
1493740760142,-0.3334,-0.8459,-3.8259,1.8482,2.4991,-9.9273,leftright
1493740760192,-0.1483,-0.8543,-3.9796,6.2317,1.9414,-11.2251,leftright
1493740760241,0.1463,-0.363,-2.5064,13.6642,-2.4816,-10.7079,leftright
1493740760292,-0.098,-0.4012,-0.2563,12.1658,-3.0632,-10.3351,leftright
1493740760343,-0.0805,-0.2135,1.4684,8.4327,-1.3524,-11.0859,leftright
1493740760391,0.1787,0.4777,2.2858,5.8253,-0.1432,-10.7215,leftright
1493740760442,0.0709,0.2124,2.8302,4.5544,0.7809,-10.9328,leftright
1493740760493,0.2966,0.3206,3.322,2.1055,1.8054,-11.148,leftright
1493740760542,0.4823,0.7908,3.4249,-2.1192,2.9009,-10.479,leftright
1493740760592,0.4705,0.75,3.17,-6.0081,3.5855,-9.4532,leftright
1493740760642,0.1364,0.1709,2.2531,-9.9592,3.0777,-8.518,leftright
1493740760693,-0.0384,0.032,1.134,-10.9306,3.2211,-8.3866,leftright
1493740760742,0.0517,0.0235,-0.4548,-10.3981,2.8074,-8.3376,leftright
1493740760793,-0.1794,-0.2674,-1.8404,-8.0335,2.34,-7.2117,leftright
1493740760843,-0.6664,-0.4103,-2.6883,-3.8027,2.4017,-9.0013,leftright
1493740760893,-0.766,-0.2294,-3.2254,-1.8049,2.9592,-10.0879,leftright
1493740760942,-0.8457,-0.4963,-3.9218,4.1732,2.3996,-12.7545,leftright
1493740760992,-0.3394,-0.6261,-2.9371,8.3407,0.1386,-11.7513,leftright
1493740761042,-0.3466,-0.4915,-1.6595,9.5481,-1.1811,-11.2573,leftright
1493740761092,0.1261,0.3149,-0.2125,11.4564,-1.8941,-12.5684,leftright
1493740761142,0.1286,-0.1287,1.5209,8.0645,-0.5486,-11.2633,leftright
1493740761192,0.4121,0.2339,2.42,4.2342,0.9549,-10.4844,leftright
1493740761242,0.3334,0.149,2.8467,1.6094,1.7775,-9.8017,leftright
1493740761292,0.4548,0.4791,3.0603,-0.4331,2.2511,-10.1033,leftright
1493740761344,0.6868,0.8598,3.1703,-4.0908,2.9374,-9.0963,leftright
1493740761392,0.0015,0.0773,2.4092,-7.0645,2.63,-8.2432,leftright
1493740761443,-0.0935,0.0069,1.5029,-9.1929,2.7922,-9.2357,leftright
1493740761492,-0.0602,0.0118,0.7306,-9.7738,2.7608,-8.5071,leftright
1493740761544,-0.2137,-0.0084,-0.9861,-9.0383,2.5748,-8.5947,leftright
1493740761592,-0.2417,0.054,-1.7961,-4.8903,2.2043,-9.8794,leftright
1493740761642,-0.0885,-0.0048,-2.362,-2.9358,2.2547,-9.5105,leftright
1493740761692,-0.3339,-0.3558,-2.9228,-1.2201,2.638,-9.4651,leftright
1493740761742,-0.6084,-0.5681,-3.5158,0.3641,2.6875,-9.6496,leftright
1493740761792,-0.6863,-0.2966,-3.2308,5.6292,1.6328,-9.9384,leftright
1493740761842,-0.2028,-0.0013,-1.6591,10.5388,-0.748,-12.6806,leftright
1493740761892,0.0713,-0.1091,-0.4814,9.954,-2.0071,-11.9921,leftright
1493740761942,0.434,0.2565,1.239,7.8006,-0.9059,-10.0622,leftright
1493740761992,0.2412,0.0759,2.2195,3.3473,0.9745,-10.0991,leftright
1493740762042,0.2229,0.2696,2.4622,1.7031,1.333,-10.5367,leftright
1493740762091,0.7358,1.0853,3.0527,0.9124,1.3892,-10.2332,leftright
1493740762146,0.8284,1.4398,3.1922,-0.67,2.0234,-9.3876,leftright
1493740762192,-0.2785,0.5615,3.0646,-4.3909,2.6896,-8.8554,leftright
1493740762242,-0.4878,-0.4895,2.2269,-7.7064,3.1591,-10.6811,leftright
1493740762292,-0.1251,-0.434,0.9277,-8.9772,3.3211,-10.7823,leftright
1493740762342,0.092,-0.3004,-1.0036,-8.0811,3.1623,-9.5142,leftright
1493740762392,0.0253,-0.3716,-2.1477,-4.9528,2.9056,-9.7932,leftright
1493740762441,0.0058,-0.3601,-2.6367,-4.1248,3.0113,-8.799,leftright
1493740762492,-0.4445,-0.7038,-3.7188,-1.3227,3.035,-9.4763,leftright
1493740762542,-0.3784,-0.7379,-3.7879,2.1774,2.5143,-11.5522,leftright
1493740762592,0.0024,-0.3257,-3.5572,4.2071,1.744,-11.0892,leftright
1493740762642,0.2219,-0.3627,-2.9575,11.5566,-1.4657,-10.1712,leftright
1493740762692,-0.2814,-1.1564,-0.728,9.2113,-2.5019,-10.575,leftright
1493740762742,0.293,0.5814,0.7309,8.2074,-2.2085,-10.2983,leftright
1493740762792,-0.103,0.1911,2.3758,3.4019,0.4074,-9.9868,leftright
1493740762842,-0.0116,0.2196,2.922,3.3077,0.9266,-12.0712,leftright
1493740762892,0.7787,0.7399,3.5572,-0.6374,2.1177,-10.63,leftright
1493740762943,0.6116,0.3686,3.5362,-1.7196,2.7542,-8.9471,leftright
1493740762992,0.2599,0.0709,3.5884,-5.2767,3.6488,-8.4454,leftright
1493740763042,-0.032,0.2358,2.7193,-7.9325,3.8281,-9.0795,leftright
1493740763092,0.0475,0.0631,1.3652,-9.7784,3.9159,-9.0157,leftright
1493740763143,0.0968,0.1378,0.2393,-9.7858,3.638,-8.7503,leftright
1493740763194,-0.209,-0.1599,-1.7757,-7.2894,3.3123,-8.7437,leftright
1493740763242,-0.1267,0.2101,-2.9249,-4.9015,3.2557,-9.6611,leftright
1493740763292,-0.0714,0.2723,-3.8476,-1.7479,3.186,-8.278,leftright
1493740763342,-0.6076,0.3951,-4.6042,1.6117,3.3542,-10.7009,leftright
1493740763392,-0.135,-0.4587,-4.2557,5.8683,2.3909,-11.3047,leftright
1493740763442,0.0934,-0.7805,-3.125,9.7039,-0.9567,-11.4681,leftright
1493740763492,0.1654,-0.2835,-1.2205,7.2128,-1.364,-9.137,leftright
1493740763542,0.1914,0.1291,-0.0505,9.7078,-2.0424,-11.4409,leftright
1493740763592,0.3303,0.5224,1.685,5.7181,-0.4823,-8.8717,leftright
1493740763643,-0.2019,-0.1271,2.1767,3.1721,0.3722,-10.6286,leftright
1493740763692,0.238,0.4979,2.4945,1.4675,0.8276,-9.895,leftright
1493740763743,0.0401,0.2948,2.5865,-0.1296,1.1514,-9.7423,leftright
1493740763793,0.0117,0.3923,2.4689,-1.8703,1.4852,-10.3421,leftright
1493740763842,0.1473,0.2103,2.2773,-5.6898,2.2166,-10.1165,leftright
1493740763892,0.2939,0.2302,1.2419,-7.4142,1.6998,-10.0259,leftright
1493740763943,0.3106,0.3369,0.315,-7.9157,1.4502,-8.5851,leftright
1493740763992,0.0258,-0.2297,-0.6732,-7.2438,1.3048,-9.0089,leftright
1493740764042,0.1429,0.102,-1.3262,-6.0487,1.3589,-9.1125,leftright
1493740764094,-0.077,0.0987,-2.0867,-4.8346,1.8375,-9.3575,leftright
1493740764142,0.1458,-0.375,-2.7384,-0.6145,1.0691,-10.1873,leftright
1493740764192,0.2506,-0.46,-2.4933,1.3099,0.3773,-8.457,leftright
