timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490703305666,0.2563,-1.5941,-0.3077,1.2634,-2.302,-12.4687,leftright
1490703305717,1.0374,0.8836,-1.2292,-0.3856,-2.3723,-12.9428,leftright
1490703305767,1.631,-0.6875,-2.145,1.675,-2.4917,-5.6863,leftright
1490703305816,-3.579,-0.2511,0.349,-1.8392,0.1344,-14.5016,leftright
1490703305866,-0.0088,-1.6853,0.9682,-0.4806,0.1213,-10.4003,leftright
1490703305917,2.2012,-1.088,0.6661,-2.7917,-2.403,-8.7919,leftright
1490703305966,-0.3921,0.4709,0.5218,-14.5121,-7.4639,-13.0519,leftright
1490703306017,-0.6599,1.844,-2.5469,-11.4089,-3.5352,-12.3218,leftright
1490703306066,0.8626,-0.5617,-4.116,-9.3985,-1.5967,-6.4127,leftright
1490703306117,0.3361,-0.6912,-3.9964,-5.9267,0.8234,-10.09,leftright
1490703306168,1.269,-1.5733,-3.8313,3.6158,4.2688,-8.1418,leftright
1490703306216,-0.3305,-3.4699,-3.7368,7.2319,6.2195,-14.453,leftright
1490703306267,0.473,-1.1353,-3.1606,31.2058,13.0769,-12.1531,leftright
1490703306318,-1.1812,1.8327,3.465,21.6913,13.4635,-12.3183,leftright
1490703306367,0.5454,0.56,4.792,4.4113,9.4037,-8.7975,leftright
1490703306416,-0.8772,2.536,5.8517,-0.966,10.3851,-9.3111,leftright
1490703306467,-1.2258,2.0872,5.9355,-2.7695,7.7864,-6.6556,leftright
1490703306519,-0.7741,-1.3729,6.1721,-19.3398,3.4504,-16.9259,leftright
1490703306567,0.1476,1.4938,1.9422,-23.1729,-2.0871,-15.7754,leftright
1490703306616,1.5199,1.5379,-0.6461,-22.4249,-4.9534,-10.4669,leftright
1490703306666,1.2897,0.2729,-3.5323,-14.7467,-0.8566,-7.7983,leftright
1490703306716,0.5806,0.3067,-5.031,-10.8507,2.3972,-15.1863,leftright
1490703306767,2.3519,-3.6691,-5.1419,-1.3024,5.7458,-8.6687,leftright
1490703306816,0.5098,-4.3488,-5.0917,-1.8357,6.6817,-13.9169,leftright
1490703306867,-1.0219,-2.5681,-4.9844,6.4966,10.376,-13.7037,leftright
1490703306916,0.4592,-0.366,-2.5322,20.0075,9.6121,-13.0527,leftright
1490703306966,0.6142,-0.5026,-1.7013,22.2536,8.9442,-9.3188,leftright
1490703307017,-0.0832,0.396,1.3884,16.3164,7.333,-7.3979,leftright
1490703307066,-0.0744,0.037,3.417,9.3726,7.509,-9.5617,leftright
1490703307117,-0.8788,0.8576,5.6232,8.2517,15.0792,-10.4747,leftright
1490703307166,-0.7179,1.5758,7.4276,-7.2934,15.7336,-13.7921,leftright
1490703307216,-0.8038,1.155,6.3111,-18.086,7.7543,-15.3475,leftright
1490703307266,0.4242,0.1475,3.5486,-27.5415,-3.2104,-14.7054,leftright
1490703307316,0.644,0.7235,-0.254,-24.0498,-5.7976,-9.6588,leftright
1490703307367,0.6854,0.3529,-2.8628,-22.2097,-3.8362,-12.2132,leftright
1490703307417,1.3273,0.072,-4.5755,-8.5672,3.0229,-9.8371,leftright
1490703307466,1.6051,-1.6911,-4.9567,-4.7461,4.2697,-8.8035,leftright
1490703307517,0.5753,-1.7732,-4.5234,3.4332,6.5779,-7.0247,leftright
1490703307567,-0.3933,-2.2202,-3.0757,7.3627,4.6656,-8.0861,leftright
1490703307617,-0.666,0.2453,-3.0253,21.745,11.4619,-15.114,leftright
1490703307666,-0.0451,0.032,-2.1555,25.1612,11.6948,-11.8204,leftright
1490703307717,-0.2275,0.8934,1.0844,21.1345,10.8687,-9.5516,leftright
1490703307766,-0.7582,1.0428,4.5522,9.6773,10.4308,-8.9757,leftright
1490703307817,-1.0006,0.465,5.3647,1.0698,12.1768,-10.9825,leftright
1490703307866,-0.393,-0.2119,6.5179,-13.6705,8.34,-12.6769,leftright
1490703307916,0.0074,0.793,3.3989,-25.0205,-4.8521,-14.2258,leftright
1490703307969,0.5854,0.5146,0.2253,-28.0183,-8.4578,-10.1936,leftright
1490703308016,0.7355,0.2016,-2.8024,-15.8477,-3.1664,-12.26,leftright
1490703308067,0.8467,-0.4723,-4.0956,-12.1111,-0.0566,-10.6393,leftright
1490703308116,1.1796,-0.6064,-5.4751,-3.3479,6.6206,-7.8623,leftright
1490703308166,0.5505,-0.8974,-5.5893,4.4105,10.8977,-6.6363,leftright
1490703308216,0.3796,-1.9831,-4.9757,13.3079,14.032,-11.0028,leftright
1490703308266,-0.9468,-0.525,-1.6173,25.5495,15.0132,-13.3546,leftright
1490703308316,0.0275,0.5422,2.7144,20.7177,9.5841,-7.7264,leftright
1490703308367,-1.0187,-0.275,4.1932,9.8795,8.5937,-9.5828,leftright
1490703308418,0.2775,-0.1915,5.8987,-0.8227,9.4272,-14.1018,leftright
1490703308466,0.5274,0.1753,5.9691,-7.3247,6.9639,-10.8095,leftright
1490703308517,0.3232,0.6834,5.5055,-12.7627,3.4675,-10.8011,leftright
1490703308566,-0.1293,1.2405,2.7787,-23.2009,-8.9423,-9.9129,leftright
1490703308616,0.6163,0.4936,-0.4506,-21.5859,-9.4201,-11.4344,leftright
1490703308667,0.2717,1.2317,-3.1808,-12.8609,-2.4085,-9.9212,leftright
1490703308716,0.8426,0.4491,-4.5537,-7.4653,2.9831,-8.1898,leftright
1490703308768,0.7308,-0.3904,-5.6467,-0.1167,9.0815,-7.9957,leftright
1490703308827,0.4148,-0.9553,-4.9283,7.8025,10.2017,-11.4772,leftright
1490703308866,1.0412,-0.8887,-3.59,11.2062,8.79,-14.0152,leftright
1490703308916,0.2427,-0.279,-2.2073,25.4469,12.4376,-9.6332,leftright
1490703308967,-0.2421,0.8946,2.5832,15.5182,9.3313,-7.1911,leftright
1490703309017,-1.0984,1.0147,4.1492,12.0582,8.8378,-6.0995,leftright
1490703309067,-0.5148,-1.1539,5.6478,4.9357,9.843,-7.6738,leftright
1490703309116,-1.2882,-0.1113,5.8551,-5.2218,7.2042,-9.6203,leftright
1490703309167,-0.9079,0.4211,4.2747,-21.0808,-4.047,-15.153,leftright
1490703309217,-1.0974,0.9401,0.8986,-21.8559,-9.2164,-19.9364,leftright
1490703309267,2.3073,1.174,-2.3715,-17.191,-5.0412,-19.7554,leftright
1490703309316,2.7083,-0.0916,-3.6308,-7.2896,0.9946,-5.6416,leftright
1490703309366,2.2525,-1.707,-4.9993,-4.0038,4.0061,-6.9315,leftright
1490703309416,1.5406,-2.4819,-5.1251,2.3723,7.1651,-5.0251,leftright
1490703309467,-0.1833,0.24,-4.3863,8.5595,8.208,-9.1201,leftright
1490703309517,-0.3454,-0.4205,-2.9752,17.2138,9.2289,-5.4828,leftright
1490703309566,-2.0212,0.6135,-0.3983,16.518,10.5294,-8.6939,leftright
1490703309616,-2.4156,1.5972,0.9414,19.8297,12.2191,-9.5486,leftright
1490703309666,-0.7595,-1.1218,4.7595,9.7267,12.7986,-6.538,leftright
1490703309716,-1.7343,-0.146,6.1931,1.1166,10.7903,-5.5184,leftright
1490703309766,-2.7016,-0.8128,5.3062,-7.6037,7.3014,-10.3851,leftright
1490703309817,-1.1058,-0.3742,4.6859,-19.0337,-1.698,-20.253,leftright
1490703309867,0.1075,0.6554,0.2873,-19.823,-10.5836,-17.8766,leftright
1490703309916,2.0235,-0.0561,-2.4192,-17.1956,-7.96,-16.6143,leftright
1490703309967,3.0896,-0.2145,-4.3845,-12.184,-0.7546,-8.8617,leftright
1490703310016,0.8085,-0.6575,-6.1311,-8.8962,6.2264,-6.2773,leftright
1490703310067,2.0067,-1.2495,-6.2886,2.4597,13.2025,-13.3106,leftright
1490703310117,0.2357,0.4903,-4.5683,13.0754,16.2049,-7.2321,leftright
1490703310167,-0.1411,-0.5257,-0.8066,23.8788,17.5211,-9.2483,leftright
1490703310217,-0.0383,-0.6888,0.5478,22.3702,16.3609,-9.3952,leftright
1490703310267,-0.2686,-0.1708,5.3157,14.7269,15.8584,-9.9608,leftright
1490703310317,0.4337,-0.9457,7.6769,-4.9467,10.5252,-6.6722,leftright
1490703310368,-0.4759,0.0021,6.462,-8.9266,6.4082,-10.6614,leftright
1490703310416,-0.0662,0.706,5.9245,-26.2539,-6.4671,-9.6351,leftright
1490703310467,-0.0635,0.2261,1.0032,-21.9412,-10.3098,-9.8969,leftright
