timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496232952809,-0.9503,-0.6115,0.2393,0.9852,-0.5356,-8.5174,leftright
1496232952857,-0.418,-0.3298,-0.0225,2.9228,-0.2806,-12.3431,leftright
1496232952908,0.3201,-0.7232,0.28,5.3828,1.7083,-11.754,leftright
1496232952958,0.3759,-0.0297,0.9738,6.5031,3.1441,-11.6757,leftright
1496232953007,-0.0693,-0.1232,2.3412,6.5469,4.3017,-10.8799,leftright
1496232953058,0.396,-0.0803,3.224,2.3831,5.9512,-13.2094,leftright
1496232953108,1.4129,-0.0233,4.126,-0.2568,6.07,-8.7667,leftright
1496232953158,0.9764,-0.2701,4.2978,-12.3809,2.3489,-7.2511,leftright
1496232953208,0.6582,0.6156,2.8554,-15.3989,0.0588,-6.6823,leftright
1496232953258,0.3878,0.1373,0.3792,-16.7851,-1.5494,-7.0217,leftright
1496232953308,-0.4237,0.5992,-1.2554,-15.0819,-1.8145,-5.4222,leftright
1496232953359,-0.5854,-0.0264,-3.0024,-10.8673,1.4157,-7.9333,leftright
1496232953408,-0.6682,0.0242,-3.338,-8.6395,3.3506,-9.3906,leftright
1496232953458,-0.416,0.0658,-4.1999,-4.4536,5.0414,-9.926,leftright
1496232953508,-0.5319,-0.0401,-4.1826,-0.0493,5.758,-8.7484,leftright
1496232953558,-0.4897,-0.3588,-3.7578,4.5051,5.7693,-9.7934,leftright
1496232953608,-0.43,-0.4327,-2.9152,7.6415,5.1376,-10.5567,leftright
1496232953658,-0.3828,-0.1687,-1.8262,13.2074,5.5513,-12.3591,leftright
1496232953709,0.0136,0.0698,-0.0741,13.945,5.4489,-11.1164,leftright
1496232953758,0.1841,0.0028,1.8269,9.2753,4.823,-9.8634,leftright
1496232953809,0.1747,-0.1871,3.3631,5.2336,6.3167,-10.15,leftright
1496232953858,0.421,-0.4309,3.8828,2.1151,6.8228,-9.1766,leftright
1496232953908,0.3563,-1.0387,4.4446,-2.4672,7.76,-10.4724,leftright
1496232953958,1.1794,-0.4617,4.3595,-12.4708,4.5898,-8.7198,leftright
1496232954008,0.8632,-0.3393,2.8998,-18.3537,-0.3662,-6.9818,leftright
1496232954058,0.3873,0.6674,0.6614,-18.5723,-1.4859,-6.5347,leftright
1496232954108,-0.1192,0.6876,-0.924,-14.057,-0.6196,-5.0181,leftright
1496232954159,-0.448,0.1784,-2.3389,-11.1547,0.7498,-6.2362,leftright
1496232954208,-0.6199,-0.0686,-3.2476,-5.3949,3.6664,-7.5124,leftright
1496232954258,-1.0002,0.3219,-3.4322,-2.6878,4.61,-10.2344,leftright
1496232954307,-0.4932,-0.4623,-3.3786,1.2595,5.2677,-10.4707,leftright
1496232954358,-0.4753,-0.3697,-3.0787,4.204,4.9102,-11.1736,leftright
1496232954408,-0.5448,0.1271,-2.3399,7.7406,4.0827,-12.3045,leftright
1496232954460,-0.1905,0.3389,-1.4422,11.9725,4.3568,-12.1027,leftright
1496232954508,0.2762,0.0883,0.0346,12.8883,4.8728,-11.6488,leftright
1496232954558,0.5183,0.2398,1.8064,8.7915,4.7141,-9.5935,leftright
1496232954608,0.4857,0.2184,3.3664,4.8818,5.72,-9.13,leftright
1496232954658,0.1062,0.0948,4.0846,0.8556,7.53,-8.7502,leftright
1496232954708,0.3188,-0.3508,4.5094,-2.235,8.1697,-9.1664,leftright
1496232954759,0.1737,-0.1387,4.4921,-12.1519,3.9922,-8.3651,leftright
1496232954808,0.5752,-0.5535,2.6348,-15.9409,0.5277,-8.584,leftright
1496232954858,0.0573,0.3627,-0.0367,-15.4832,0.4738,-9.2575,leftright
1496232954909,0.1456,0.3286,-1.2438,-12.4553,0.6128,-7.4996,leftright
1496232954958,-0.3148,0.3663,-2.3295,-9.0029,1.9595,-7.6411,leftright
1496232955008,-0.1468,0.0242,-2.9884,-5.6601,2.9552,-9.6009,leftright
1496232955058,-0.3582,0.2257,-3.3953,-2.5612,3.6109,-8.9743,leftright
1496232955108,-0.2008,-0.0862,-3.5175,2.2672,4.4477,-11.5141,leftright
1496232955158,0.1724,-0.4149,-3.1049,5.081,4.0336,-9.4184,leftright
1496232955208,-0.3501,0.3693,-2.2898,7.6509,2.5917,-9.2532,leftright
1496232955259,-0.1567,0.7496,-1.2916,12.0727,2.953,-9.8756,leftright
1496232955308,-0.1164,-0.1359,0.2742,12.9159,4.5598,-11.554,leftright
1496232955358,0.1442,0.2278,2.1345,8.6055,4.8873,-9.9829,leftright
1496232955408,0.207,-0.0688,3.2376,4.8321,6.126,-9.0987,leftright
1496232955458,0.1186,-0.0292,3.9854,2.1863,7.2245,-8.4326,leftright
1496232955508,-0.0365,-1.0649,4.7059,-6.7778,7.3663,-8.1273,leftright
1496232955558,-0.0461,-0.0963,3.363,-17.3185,1.6739,-12.0629,leftright
1496232955608,0.6316,0.1351,0.9486,-17.7972,-0.6335,-10.6245,leftright
1496232955658,0.6757,0.2395,-0.3189,-15.0585,-0.4851,-7.2698,leftright
1496232955708,-0.0318,0.2025,-1.4567,-11.2469,0.1001,-6.4312,leftright
1496232955758,-0.2518,-0.0898,-2.4285,-8.0042,1.6025,-7.6687,leftright
1496232955808,-0.4485,-0.1075,-3.293,-5.4054,3.5945,-9.0044,leftright
1496232955863,-0.585,0.1424,-3.2308,0.0974,4.642,-9.4913,leftright
1496232955908,-0.2171,-0.5188,-3.1238,2.4748,3.6296,-9.3975,leftright
1496232955958,-0.4793,-0.3275,-2.8698,5.5864,3.3246,-10.1765,leftright
1496232956008,-0.5885,0.1278,-2.2228,9.3243,3.3347,-11.906,leftright
1496232956059,-0.2608,0.3188,-1.0147,12.3687,3.2904,-12.0342,leftright
1496232956108,0.1317,0.2212,1.0263,12.4126,4.3743,-11.7993,leftright
1496232956158,0.4868,0.2411,2.6732,8.606,5.3708,-10.2813,leftright
1496232956208,0.2482,0.317,3.7501,2.733,5.7152,-8.8574,leftright
1496232956258,0.3756,-0.6256,3.981,-0.9282,7.3652,-9.0784,leftright
1496232956308,0.1722,-0.3218,4.4356,-6.8179,7.0877,-10.1323,leftright
1496232956360,0.7562,-0.427,3.3305,-14.4901,2.4922,-9.5931,leftright
1496232956408,0.5093,0.0236,0.7549,-16.948,-0.3797,-7.7225,leftright
1496232956458,0.2208,0.2862,-1.3099,-13.1057,-0.0495,-6.1255,leftright
1496232956508,-0.4592,0.0422,-2.1627,-8.6123,1.5828,-6.2537,leftright
1496232956558,-0.5724,-0.4053,-2.8582,-6.1801,2.6882,-9.226,leftright
1496232956608,-0.5619,-0.4478,-3.1961,-3.168,3.4106,-9.6004,leftright
1496232956659,-0.6911,-0.2733,-3.3725,0.4542,3.9862,-10.2633,leftright
1496232956709,-0.6546,-0.1401,-3.1849,3.6038,3.8837,-10.6368,leftright
1496232956758,-0.4855,-0.1432,-2.7518,8.6081,4.1142,-11.7431,leftright
1496232956808,-0.2509,0.6071,-1.7913,14.7108,5.2941,-11.185,leftright
1496232956858,0.1251,-0.3474,0.3606,11.6576,4.3596,-10.5716,leftright
1496232956908,0.0147,0.1832,2.0658,8.8101,4.4872,-10.5733,leftright
1496232956958,-0.0512,-0.0282,3.0703,3.1945,5.6905,-10.3932,leftright
1496232957010,0.1399,-0.2318,3.6716,1.405,7.3763,-11.9636,leftright
1496232957058,0.5423,-0.5717,4.6454,-5.9824,7.9914,-9.6278,leftright
1496232957108,0.9153,-0.4064,3.2819,-16.9679,1.505,-10.3999,leftright
1496232957158,0.8335,-0.021,0.7016,-18.3674,-2.254,-5.663,leftright
1496232957208,-0.0065,0.4776,-1.1758,-13.4272,-0.6723,-5.4478,leftright
1496232957258,-0.4059,0.119,-2.2105,-8.7919,1.4807,-6.9162,leftright
1496232957309,-0.5139,-0.0647,-2.8056,-6.3756,2.6379,-8.1905,leftright
1496232957358,-0.599,-0.2112,-3.1332,-3.1087,3.7423,-10.2356,leftright
1496232957408,-0.4214,-0.0684,-3.1329,1.5625,4.2231,-10.4082,leftright
1496232957458,-0.356,-0.1521,-2.7333,4.5137,3.4657,-10.8103,leftright
1496232957508,-0.172,-0.2911,-2.3074,8.4946,3.8337,-10.6166,leftright
1496232957558,-0.1975,0.0091,-1.1157,11.0178,3.8367,-11.8111,leftright
1496232957608,0.0473,0.1015,0.2431,10.5034,2.9192,-10.4703,leftright
1496232957658,0.0724,0.2568,1.5078,7.209,3.6656,-10.6969,leftright
1496232957708,0.1641,0.4342,2.517,4.3677,4.5087,-9.2688,leftright
1496232957758,-0.06,0.3347,3.1281,2.2523,5.6347,-9.3882,leftright
1496232957808,0.1476,-0.222,4.0689,-1.2361,7.2658,-10.4292,leftright
1496232957858,0.335,-0.6662,3.0444,-16.6975,-0.1768,-7.6703,leftright
1496232957908,0.6175,-1.0621,1.3389,-15.3743,-0.5214,-7.9361,leftright
1496232957958,-0.1714,0.2642,-0.2252,-16.8438,-0.8304,-9.0775,leftright
1496232958008,-0.0694,0.2811,-1.7878,-10.5225,1.3855,-8.1615,leftright
1496232958058,-0.2074,0.2208,-2.1503,-8.0827,2.0232,-7.6491,leftright
1496232958109,-0.4792,0.3124,-2.7477,-5.9128,2.6348,-8.4633,leftright
1496232958158,-0.4056,0.0031,-3.1232,-1.4889,4.0486,-9.7969,leftright
1496232958208,-0.2053,-0.1757,-2.932,2.389,4.0412,-10.1935,leftright
1496232958258,-0.3038,-0.1339,-2.4089,5.7623,3.9259,-11.0469,leftright
1496232958308,-0.1089,0.2196,-1.6155,9.7937,3.6647,-10.9914,leftright
1496232958359,0.0823,0.233,-0.5349,12.0012,4.3556,-10.9081,leftright
1496232958408,0.2063,0.2481,1.1138,8.6461,3.9136,-10.9085,leftright
1496232958458,0.5309,0.0295,2.1668,5.548,3.6179,-8.6094,leftright
1496232958508,0.2024,0.034,3.0347,3.1149,4.4215,-8.3112,leftright
1496232958558,0.0842,-0.1109,3.7366,-1.9511,5.2967,-10.2078,leftright
1496232958608,0.2704,-0.4066,3.6129,-11.957,2.0359,-8.0714,leftright
1496232958658,0.3708,-0.4266,1.9583,-15.2379,0.0753,-9.761,leftright
1496232958709,0.3169,0.2522,0.1466,-16.3748,-0.9138,-8.301,leftright
1496232958758,0.0906,0.3515,-0.8585,-12.2173,0.0522,-7.6318,leftright
1496232958808,-0.2311,0.2433,-1.7366,-9.3391,0.6349,-6.6405,leftright
1496232958858,-0.3476,-0.0799,-2.4707,-6.5281,2.0079,-9.2577,leftright
1496232958908,-0.4413,0.0647,-2.7869,-4.6842,2.658,-9.1667,leftright
1496232958958,-0.2411,-0.0231,-3.039,1.2236,4.0288,-10.0596,leftright
1496232959008,-0.2394,-0.2739,-2.6645,4.0751,3.1478,-10.1133,leftright
1496232959058,-0.202,0.0065,-2.2245,8.3865,2.7392,-10.0262,leftright
1496232959108,-0.248,0.2274,-1.3986,12.9144,3.3049,-10.3915,leftright
1496232959158,-0.0955,0.2211,0.2929,11.4406,3.4325,-10.6273,leftright
1496232959208,0.1698,-0.0046,2.1637,7.6967,3.6109,-9.1323,leftright
1496232959258,0.054,-0.1235,3.1094,4.367,4.8479,-10.2737,leftright
1496232959308,0.3328,-0.0683,3.6564,1.8236,5.5516,-8.3716,leftright
1496232959359,0.0552,-1.0322,3.8447,-8.1753,5.5506,-12.3922,leftright
1496232959408,0.4926,0.1013,2.9659,-19.1227,1.1863,-11.1735,leftright
1496232959458,0.8444,-0.0233,0.4675,-15.5629,0.9132,-8.9458,leftright
1496232959508,0.655,-0.008,-0.4998,-13.8703,-1.152,-5.7056,leftright
1496232959559,-0.2696,0.1714,-2.16,-10.355,-0.1873,-6.2494,leftright
1496232959608,-0.302,-0.2851,-2.9468,-5.2209,2.6971,-8.4317,leftright
1496232959659,-0.5543,-0.0452,-3.0077,-3.9858,2.999,-8.3576,leftright
1496232959708,-0.597,0.0015,-3.2097,-0.2523,3.8137,-10.1644,leftright
1496232959758,-0.3577,-0.195,-3.0288,3.87,3.7569,-9.595,leftright
1496232959808,-0.6275,-0.0028,-2.3453,6.1598,2.6623,-10.46,leftright
1496232959858,-0.365,-0.2637,-1.8509,10.8875,3.6364,-11.5511,leftright
1496232959913,0.0173,0.0294,0.2111,12.0253,3.9877,-12.4266,leftright
1496232959958,0.3126,-0.0615,1.7865,9.18,4.4017,-11.1792,leftright
1496232960008,0.5911,-0.1586,3.0092,5.9087,5.881,-9.6564,leftright
1496232960058,0.5159,-0.5642,3.7572,0.2158,7.3593,-10.1208,leftright
1496232960108,0.7381,-0.4106,4.0878,-1.9813,7.6487,-10.1941,leftright
1496232960158,0.834,-0.3228,4.5156,-10.592,4.9581,-8.2581,leftright
1496232960208,0.8687,-0.0614,2.5324,-18.3938,-0.9216,-8.301,leftright
1496232960258,0.4939,0.4141,0.7177,-16.3382,-0.4102,-5.5585,leftright
1496232960308,0.065,0,-1.0735,-11.2335,0.0569,-4.8887,leftright
1496232960358,-0.6612,0.097,-2.0003,-6.8029,1.2755,-5.2935,leftright
1496232960408,-0.77,-0.0216,-2.4845,-3.9698,2.3291,-9.2732,leftright
1496232960458,0.2129,-0.9057,-3.4694,-1.0593,2.4456,-9.9195,leftright
1496232960508,0.759,-1.272,-3.0598,1.0178,2.2992,-10.8508,leftright
1496232960559,-0.325,-0.9104,-1.4104,2.2937,-0.0926,-8.722,leftright
