timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488983700569,-0.1309,-0.1025,-0.0415,1.2824,-1.8069,-9.5437,leftright
1488983700619,-0.0553,-0.1903,0.0205,3.0833,-2.1759,-9.4834,leftright
1488983700669,-0.2421,-0.4809,0.3492,5.1601,-2.3013,-10.8951,leftright
1488983700719,0.1637,-0.1729,1.2659,5.4378,-1.3944,-9.4427,leftright
1488983700769,0.0886,0.1087,1.8933,3.8559,-0.3187,-9.5945,leftright
1488983700819,0.0361,0.1091,2.2922,1.9005,0.4745,-9.7468,leftright
1488983700870,0.0495,0.3365,2.4601,0.3422,0.4724,-9.8021,leftright
1488983700919,0.0849,0.4881,2.5776,-1.0527,0.4447,-9.2429,leftright
1488983700969,-0.0397,0.3701,2.5887,-4.5619,1.1016,-9.434,leftright
1488983701019,-0.1203,0.5356,1.8675,-7.4696,1.645,-10.1871,leftright
1488983701069,-0.1041,0.2845,1.0062,-9.2498,2.2537,-10.0433,leftright
1488983701120,-0.0107,-0.1191,-0.5023,-10.0372,2.48,-10.5032,leftright
1488983701169,0.1561,-0.3946,-2.1295,-7.3643,2.1932,-9.4254,leftright
1488983701220,0.0894,-0.3398,-2.8078,-3.7816,1.8644,-9.3285,leftright
1488983701269,-0.047,-0.5565,-3.3223,-1.5582,2.3194,-9.302,leftright
1488983701319,-0.1032,0.0627,-3.4259,2.4578,2.0451,-9.9701,leftright
1488983701370,0.0932,-0.151,-3.2901,5.9946,0.8352,-10.0178,leftright
1488983701419,-0.1004,-0.6938,-2.6907,8.8816,-0.9075,-9.8164,leftright
1488983701469,0.0277,-0.2209,-1.394,11.0343,-1.9999,-10.8334,leftright
1488983701519,0.2539,-0.1738,-0.0055,10.2518,-2.4192,-9.4909,leftright
1488983701569,-0.2101,-0.347,1.2842,7.213,-1.4368,-9.5933,leftright
1488983701619,-0.1787,0.0037,2.1462,4.7498,-0.0446,-10.54,leftright
1488983701670,-0.1148,-0.0154,2.7139,2.3215,0.867,-10.3049,leftright
1488983701719,-0.1281,-0.271,2.959,0.1325,1.4261,-10.2829,leftright
1488983701769,0.2066,-0.0546,3.1141,-1.3275,1.7874,-10.7694,leftright
1488983701819,0.2882,0.0681,2.8756,-5.2644,2.4047,-8.7059,leftright
1488983701870,0.1594,0.293,2.3271,-7.5105,2.3806,-8.7113,leftright
1488983701919,0.156,0.4597,1.3139,-8.7906,2.0648,-9.1093,leftright
1488983701969,0.0005,-0.027,-0.086,-9.3078,1.6674,-8.9466,leftright
1488983702019,-0.0613,0.0391,-1.1711,-7.3831,1.2708,-9.3073,leftright
1488983702069,-0.0621,-0.1216,-2.014,-5.5695,1.2357,-9.7372,leftright
1488983702119,-0.0417,-0.1884,-2.2903,-3.9783,1.6184,-9.5267,leftright
1488983702170,-0.3331,-0.4217,-2.9614,-2.1949,2.1213,-9.6646,leftright
1488983702219,-0.2047,0.001,-3.3281,1.8953,1.8583,-10.0903,leftright
1488983702269,-0.2497,-0.585,-2.8233,5.0685,0.7898,-9.6533,leftright
1488983702319,-0.4031,0.0551,-2.2533,8.7885,-0.0151,-10.2916,leftright
1488983702369,-0.1606,0.1764,-1.0461,11.2859,-1.3217,-11.8143,leftright
1488983702420,0.2653,0.309,0.1154,9.4896,-1.5774,-11.0454,leftright
1488983702469,0.1059,0.1011,1.611,6.4613,-0.5864,-9.4817,leftright
1488983702519,0.0352,0.252,2.3712,4.4018,0.4577,-10.2719,leftright
1488983702569,0.1927,0.4774,2.5793,3.0579,1.0301,-10.2736,leftright
1488983702619,0.2107,0.5583,2.9774,1.0999,1.3887,-9.3137,leftright
1488983702670,-0.0877,0.5146,3.1899,-2.6527,2.3434,-8.9173,leftright
1488983702721,-0.5982,-0.117,2.6132,-5.0773,2.7623,-10.5198,leftright
1488983702769,0.2851,0.5311,1.7536,-8.1963,2.128,-10.4482,leftright
1488983702819,0.0882,-0.1979,0.6259,-9.4328,1.6347,-9.5981,leftright
1488983702869,0.1044,-0.4,-0.5288,-8.7477,1.4543,-9.6653,leftright
