timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496234841901,0.565,0.0265,-0.1893,-2.1098,-0.759,-11.0649,leftright
1496234841951,-0.0305,-0.9304,-0.4973,-0.6387,-1.4902,-8.7497,leftright
1496234842001,0.3278,-0.2146,0.105,-1.4909,0.3698,-10.7653,leftright
1496234842052,-0.1329,0.7018,-0.1808,2.2188,-0.8134,-9.6978,leftright
1496234842102,-0.0085,1.011,0.4393,4.8907,0.3765,-11.4307,leftright
1496234842151,-0.2599,-0.4731,1.4815,11.8933,4.318,-13.2675,leftright
1496234842201,1.0045,0.1232,2.1398,6.2949,4.894,-11.9963,leftright
1496234842252,0.3435,1.5624,3.3124,1.7724,5.1778,-8.4601,leftright
1496234842301,0.6676,-0.3218,4.0658,-4.613,4.7537,-8.0774,leftright
1496234842351,0.4915,0.6982,3.7072,-14.9394,0.5921,-8.0171,leftright
1496234842402,0.2191,0.0051,2.337,-18.3733,-1.1447,-7.9017,leftright
1496234842452,0.4566,0.395,0.5086,-17.7753,-3.4708,-3.8134,leftright
1496234842501,-0.371,-0.8774,-1.5963,-12.4297,-1.2687,-4.4924,leftright
1496234842552,-1.3021,-0.1458,-2.7777,-9.2476,1.3138,-5.8863,leftright
1496234842601,-1.3947,-1.0159,-3.7009,-3.5776,4.454,-10.9807,leftright
1496234842652,-1.6686,-0.2702,-3.4801,-1.5207,3.7102,-12.8246,leftright
1496234842702,-0.8419,-0.0543,-2.7602,4.9232,5.7304,-13.6106,leftright
1496234842751,-0.5197,-0.3709,-2.4366,6.1013,4.3576,-15.3261,leftright
1496234842801,-0.0869,0.3278,-1.3585,11.9621,4.1811,-12.178,leftright
1496234842852,0.1488,0.933,0.1416,13.8414,4.0161,-10.4074,leftright
1496234842901,0.2164,0.217,2.3757,10.9115,4.4326,-11.0261,leftright
1496234842951,0.0606,0.9121,3.3984,5.3425,5.5294,-10.7387,leftright
1496234843001,0.2449,0.3661,4.2188,-0.2829,7.1459,-9.0811,leftright
1496234843051,0.3687,0.0197,4.5863,-8.0379,6.713,-10.2073,leftright
1496234843101,0.5493,-0.5073,3.3109,-19.6398,1.1449,-6.6215,leftright
1496234843152,0.3759,-0.1698,0.8986,-19.964,0.4219,-7.5716,leftright
1496234843202,0.0874,-0.0098,-1.3564,-14.5419,0.4559,-5.9572,leftright
1496234843251,-0.3733,0.2027,-2.6265,-10.4317,1.8525,-6.2521,leftright
1496234843301,-0.8694,-0.5182,-3.4276,-6.892,2.5979,-8.573,leftright
1496234843352,-0.7719,-0.4526,-3.4874,0.2401,5.159,-11.3813,leftright
1496234843402,-0.464,-1.0027,-2.9735,2.8034,5.11,-12.7958,leftright
1496234843452,-0.4293,0.1307,-2.7271,4.9607,4.1406,-13.3629,leftright
1496234843501,0.0899,-0.1213,-1.4222,9.317,3.2582,-10.6894,leftright
1496234843552,0.087,0.2343,-0.8687,11.4818,2.0863,-10.2775,leftright
1496234843601,-0.0482,0.3465,1.0386,12.4568,3.247,-10.1858,leftright
1496234843652,0.6896,1.3403,2.2289,8.2285,3.4563,-12.3982,leftright
1496234843701,0.3331,0.9087,2.7124,3.4232,3.115,-9.2557,leftright
1496234843752,-0.0079,1.3347,3.1409,1.3593,5.1573,-10.8939,leftright
1496234843802,0.1899,0.3124,3.6161,-5.6774,3.9221,-8.2156,leftright
1496234843852,0.2631,-0.2278,3.2593,-15.6611,0.9606,-9.7532,leftright
1496234843901,0.3843,-0.5527,1.8382,-16.1145,0.3161,-8.5976,leftright
1496234843951,0.0962,-0.1458,-0.456,-16.6428,-1.6196,-6.8368,leftright
1496234844002,-0.3323,0.0572,-2.2208,-12.6406,0.0063,-7.1855,leftright
1496234844051,-0.5393,-0.429,-3.1269,-8.3202,2.3435,-8.3531,leftright
1496234844101,-0.5949,-0.4111,-3.6206,-4.3786,4.077,-10.5306,leftright
1496234844151,-0.256,-1.1384,-3.5522,-0.6963,5.1265,-11.8495,leftright
1496234844201,-0.1439,-1.2847,-3.2764,2.1504,4.815,-11.4263,leftright
1496234844251,-0.5703,-0.0147,-2.7344,6.4858,4.7863,-11.543,leftright
1496234844303,0.0004,-0.5448,-1.3931,11.5582,4.7084,-11.762,leftright
1496234844351,-0.0417,0.6132,0.0655,12.3138,4.7293,-12.3312,leftright
1496234844403,0.1971,0.6584,1.4829,9.7232,3.9786,-10.1797,leftright
1496234844452,-0.1026,1.089,2.5019,6.7865,4.6619,-9.964,leftright
1496234844502,0.0467,0.8212,3.128,3.1612,5.451,-8.7721,leftright
1496234844552,-0.2482,0.9332,3.8415,1.6219,7.6202,-10.6237,leftright
1496234844601,0.0631,-0.2202,4.6133,-9.6108,4.2808,-8.2909,leftright
1496234844651,0.0455,-0.2238,3.0966,-19.4249,0.6824,-9.7841,leftright
1496234844701,0.2005,-0.3463,0.7637,-19.4705,-0.6688,-9.4009,leftright
1496234844752,-0.1057,0.4747,-1.2406,-15.9936,-0.8965,-7.8619,leftright
1496234844804,-0.0865,-0.0517,-2.5173,-13.7874,0.5837,-7.6862,leftright
1496234844851,-0.3213,-0.057,-4.6353,-11.6845,3.769,-10.1057,leftright
1496234844902,-0.1923,0.2145,-5.6922,-4.2522,9.8031,-9.9287,leftright
1496234844952,0.1404,0.0566,-4.8203,2.6295,10.5972,-12.1191,leftright
1496234845002,0.2042,0.1573,-3.8135,7.6539,9.147,-9.7066,leftright
1496234845051,0.3496,0.1398,-2.4666,11.256,7.0966,-10.351,leftright
1496234845101,0.0843,0.513,-0.8922,14.8339,6.0654,-8.1891,leftright
1496234845151,0.1978,-0.1233,1.528,15.7291,7.2776,-8.2834,leftright
1496234845201,0.2728,-0.5061,3.8334,9.0391,8.3737,-10.0498,leftright
1496234845255,0.2808,-0.3776,4.8941,4.013,9.8461,-10.4663,leftright
1496234845304,0.3278,-0.1708,5.6493,-2.1846,10.6342,-13.0838,leftright
