timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495525144562,-0.3506,0.3487,0.2471,1.914,-2.6688,-9.6115,leftright
1495525144604,-0.1575,-0.5734,0.469,1.5098,-2.6851,-9.1595,leftright
1495525144654,-0.178,0.1947,0.7048,0.3489,-2.159,-8.3025,leftright
1495525144704,-0.361,0.2323,0.4815,-2.7604,-1.4415,-8.1576,leftright
1495525144754,-0.7921,-0.5957,-0.0119,-5.8288,0.2122,-9.0752,leftright
1495525144804,-0.5354,-0.2539,-0.8727,-7.5368,1.4767,-11.5316,leftright
1495525144854,-0.4703,-0.0874,-1.8298,-3.626,1.2339,-10.9811,leftright
1495525144908,-0.2365,-0.7728,-2.1872,-4.3869,1.9542,-11.3844,leftright
1495525144954,-0.2685,-0.6843,-2.7123,-2.6414,3.332,-10.0356,leftright
1495525145004,-0.3305,-0.5134,-3.3395,1.9627,3.7572,-9.6184,leftright
1495525145054,-0.7328,-0.9411,-3.1285,9.5868,2.2215,-10.4843,leftright
1495525145104,-0.4351,-1.114,-2.2519,9.9001,1.2176,-12.2148,leftright
1495525145154,0.1276,0.3103,-0.8778,13.4801,0.0562,-11.2118,leftright
1495525145204,0.3833,0.5545,0.8611,10.4599,0.1715,-12.256,leftright
1495525145254,0.7013,0.6587,1.8631,6.5407,1.1047,-9.8031,leftright
1495525145305,0.3312,1.0428,2.7164,4.2644,1.5751,-10.5357,leftright
1495525145354,0.3156,0.7937,3.1229,1.147,2.6202,-9.1753,leftright
1495525145404,-0.2278,0.972,3.0414,-2.445,2.8268,-9.0927,leftright
1495525145454,-0.2051,0.5789,2.4618,-5.3263,1.8255,-9.9789,leftright
1495525145504,-0.235,-0.2885,1.3495,-9.6145,1.312,-8.6318,leftright
1495525145554,-0.4712,-0.2539,0.4649,-11.1831,1.0896,-8.5749,leftright
1495525145604,-0.392,-0.0372,-0.646,-9.5123,1.0288,-10.7145,leftright
1495525145654,-0.4503,-0.4642,-1.8562,-6.9742,1.6934,-10.4734,leftright
1495525145704,-0.2221,-0.0619,-2.3542,-2.8003,2.0044,-11.807,leftright
1495525145754,0.1065,-0.7003,-2.5202,-1.7614,2.4108,-10.0772,leftright
1495525145804,-0.0918,-0.4467,-2.8441,1.6345,2.4547,-9.108,leftright
1495525145854,-0.0188,-1.1858,-2.2137,3.9586,2.25,-10.5875,leftright
1495525145904,-0.3437,-0.1479,-1.8375,8.4921,1.2548,-8.9376,leftright
1495525145954,-0.3652,0.1665,-0.5065,9.3185,0.747,-12.8597,leftright
1495525146004,-0.2021,-0.4532,-0.0878,10.0427,0.2099,-13.9628,leftright
1495525146054,0.4895,0.3512,1.2874,8.5301,0.5253,-12.3989,leftright
1495525146104,0.5954,0.2704,2.1069,4.543,1.6283,-11.1911,leftright
1495525146155,0.8118,0.6869,2.8527,2.0438,2.1703,-9.6447,leftright
1495525146204,0.6772,0.7625,2.8381,-1.9123,2.325,-7.4469,leftright
1495525146254,0.2923,0.9687,2.7,-3.0244,1.8457,-7.8315,leftright
1495525146304,-0.0621,0.3218,2.2492,-6.2906,1.3302,-7.8936,leftright
1495525146354,-0.5785,0.2563,1.4769,-8.4739,1.0822,-9.2321,leftright
1495525146404,-0.4656,-0.0975,0.6247,-10.547,1.3676,-10.6786,leftright
1495525146454,-0.2805,-0.3382,-0.7132,-10.2704,2.1511,-11.783,leftright
1495525146505,0.0286,-0.1965,-1.7249,-6.931,1.9148,-10.6565,leftright
1495525146554,0.0932,-0.1238,-2.2999,-4.7129,2.1153,-9.1973,leftright
1495525146604,-0.2191,-0.1501,-2.7685,0.1292,3.0268,-9.7484,leftright
1495525146655,-0.1235,-0.5694,-3.0808,2.9312,3.336,-9.9659,leftright
1495525146704,-0.1158,-0.2787,-2.7059,6.8308,1.8636,-9.7985,leftright
1495525146754,-0.2991,-0.3354,-2.106,9.3941,0.6802,-10.9706,leftright
1495525146806,-0.1239,-0.3829,-1.1287,10.252,0.2361,-10.9094,leftright
1495525146854,0.1654,0.0437,0.3189,9.3582,-0.2415,-10.7292,leftright
1495525146904,0.2126,0.1859,1.4018,6.7058,0.6913,-11.139,leftright
1495525146954,0.4074,0.546,2.0785,5.1712,0.7813,-10.6538,leftright
1495525147004,0.5245,0.6984,2.7742,1.9536,1.7636,-10.523,leftright
1495525147054,0.4308,0.8585,2.9866,0.61,1.6118,-8.5859,leftright
1495525147108,0.0035,0.2433,2.9181,-3.8602,1.7175,-9.3312,leftright
1495525147154,-0.0672,0.4573,2.3906,-7.9609,1.6004,-8.9318,leftright
1495525147205,-0.2632,0.286,1.4371,-10.2173,1.3572,-9.1711,leftright
1495525147254,-0.4244,0.2402,0.0853,-10.8509,2.2145,-10.7389,leftright
1495525147305,-0.1825,-0.4551,-1.5608,-8.0324,2.5407,-11.6587,leftright
1495525147354,0.1664,-0.2245,-2.3356,-5.0782,2.5159,-10.4664,leftright
1495525147406,0.062,-0.4456,-2.9713,-2.3427,3.3083,-10.7083,leftright
1495525147454,0.2688,-0.2197,-3.2188,0.8114,3.4419,-9.7693,leftright
1495525147505,0.1174,-0.2172,-3.2889,6.0547,2.6638,-9.5699,leftright
1495525147556,0.0994,-0.5096,-2.8685,7.1416,2.4341,-9.9728,leftright
1495525147605,0.1013,-0.2421,-2.0652,8.2957,1.0779,-9.9431,leftright
1495525147654,0.2384,0.3001,-0.8587,10.108,-0.0182,-9.4311,leftright
1495525147704,0.1348,0.2415,0.426,6.9316,-0.5715,-9.2817,leftright
1495525147754,-0.0161,0.0021,0.9986,6.6509,-0.7084,-9.3684,leftright
1495525147804,0.0381,0.5316,1.6669,3.6368,0.2668,-9.5912,leftright
1495525147854,-0.0253,0.533,2.0929,3.7021,0.0365,-10.4114,leftright
1495525147907,0.1413,0.6615,2.3056,1.9871,0.3442,-10.3439,leftright
1495525147955,-0.2169,0.1587,2.6394,0.2293,0.8953,-10.0589,leftright
1495525148004,0.0233,0.2533,2.3285,-3.097,0.951,-10.3523,leftright
1495525148055,-0.0043,0.4317,1.7833,-6.2767,0.5463,-9.573,leftright
1495525148104,-0.0504,0.1176,0.6719,-4.5576,-0.0724,-10.2311,leftright
1495525148154,0.0689,0.2858,0.4496,-3.0225,-0.5681,-10.364,leftright
1495525148204,0.1413,0.0894,0.0925,-1.8138,-0.7719,-9.9363,leftright
1495525148255,0.1905,0.0189,-0.1827,0.6082,-1.4585,-8.9209,leftright
1495525148305,-0.0255,-0.2255,-0.028,0.1848,-1.4251,-9.2829,leftright
1495525148356,0.1307,0.0595,-0.2421,0.3545,-1.6243,-9.1244,leftright
1495525148405,-0.1041,-0.0398,-0.0512,1.6686,-1.7822,-9.3083,leftright
1495525148456,-0.1418,-0.1734,-0.0125,0.8935,-1.4471,-10.1741,leftright
1495525148506,0.0352,0.0088,-0.0045,1.2728,-1.4347,-10.0302,leftright
1495525148554,0.0339,-0.1503,0.0303,0.7483,-1.4664,-9.5676,leftright
1495525148604,-0.0226,0.0057,-0.0673,0.8505,-1.4413,-9.653,leftright
1495525148654,-0.0083,-0.0164,0.0214,0.587,-1.3935,-9.3151,leftright
1495525148704,-0.039,0.031,0.0513,0.6741,-1.4152,-9.2966,leftright
1495525148754,-0.0438,-0.0161,0.1432,-0.2435,-1.3009,-8.7935,leftright
1495525148804,-0.125,0.5162,0.2311,-6.313,0.0565,-9.7805,leftright
1495525148854,-0.3795,0.0956,-0.5155,-9.8157,1.5901,-11.1095,leftright
1495525148904,-0.1507,-0.3077,-1.9094,-7.2243,2.1945,-11.1584,leftright
1495525148954,-0.1097,-1.042,-2.8753,-1.5841,1.2502,-10.8212,leftright
1495525149009,-0.0809,-1.2156,-2.9684,1.8219,1.8385,-10.5568,leftright
1495525149056,0.1512,-1.3966,-2.594,5.8743,1.3702,-10.4637,leftright
1495525149105,-0.7694,-0.8922,-1.5197,8.5362,0.6918,-9.2903,leftright
1495525149154,-0.1509,-0.0129,-0.9169,7.7188,1.0742,-11.7617,leftright
1495525149205,0.0413,-0.3062,-0.6806,9.6356,0.0212,-10.7998,leftright
1495525149254,0.2582,0.0498,0.9867,7.6933,0.0985,-11.3269,leftright
1495525149305,0.4762,0.2571,1.5521,3.8835,0.7613,-10.2313,leftright
1495525149355,0.1982,0.8762,2.166,2.2218,1.2796,-9.523,leftright
1495525149408,0.2111,1.4341,2.3831,0.4508,1.1217,-10.5264,leftright
1495525149455,0.168,1.0171,2.5697,-0.0068,1.1921,-10.0375,leftright
1495525149504,0.1281,0.4127,2.4819,-4.2035,1.4636,-10.0679,leftright
1495525149555,-0.002,0.6133,1.9994,-4.1943,1.0871,-9.006,leftright
1495525149604,-0.0368,0.132,1.2619,-8.552,0.5182,-8.5966,leftright
1495525149655,-0.6019,0.3873,0.3236,-10.9479,1.0608,-11.078,leftright
1495525149705,0.0459,-0.1523,-1.1028,-9.455,1.3622,-11.3327,leftright
1495525149755,0.1578,-0.6122,-2.2241,-5.6171,1.6791,-8.8898,leftright
1495525149807,-0.1611,-0.5541,-2.3155,-0.6871,1.5084,-10.8146,leftright
1495525149854,0.0335,-1.2551,-2.2927,-1.7509,2.1096,-10.3816,leftright
1495525149905,-0.0577,-0.7437,-2.5646,2.0464,2.4147,-8.8413,leftright
1495525149955,-0.2376,-0.8028,-2.3004,1.0267,2.9756,-9.5052,leftright
1495525150004,-0.4701,-0.0325,-2.7293,10.5518,2.0783,-12.2845,leftright
1495525150054,0.0839,-0.1096,-0.8519,10.1369,0.695,-12.4435,leftright
1495525150105,0.3163,-0.2379,0.0173,9.9876,-0.4881,-10.0677,leftright
1495525150155,0.0881,0.1222,1.3872,7.392,-0.0306,-11.0293,leftright
1495525150204,0.4971,0.3851,1.9958,4.5581,0.8432,-9.6266,leftright
1495525150254,0.2702,0.621,2.5816,3.0135,1.0988,-9.866,leftright
1495525150304,0.3854,0.8022,2.7909,0.5305,1.4945,-9.2223,leftright
1495525150354,-0.0029,0.6082,2.8279,-3.0191,1.5944,-8.8882,leftright
1495525150404,0.084,0.2508,2.1617,-7.4975,1.1008,-9.283,leftright
1495525150455,-0.2812,0.7933,1.4599,-6.9941,0.9669,-8.9723,leftright
1495525150505,-0.3574,0.0855,0.8535,-10.0859,1.6578,-10.9327,leftright
1495525150554,-0.0786,-0.0281,-0.1944,-10.9739,1.9974,-10.6528,leftright
1495525150605,-0.0813,-0.2191,-1.5188,-7.3533,2.0544,-10.0926,leftright
1495525150655,-0.0252,-0.547,-1.9757,-4.6486,1.7388,-9.9695,leftright
1495525150704,-0.1024,-0.2711,-2.3358,-3.2597,2.3968,-10.1055,leftright
1495525150755,0.0649,-0.3386,-2.8351,-0.8104,2.9179,-9.9105,leftright
1495525150805,-0.2383,-0.3607,-2.842,4.0277,2.7305,-10.5599,leftright
1495525150854,-0.0485,-0.2088,-2.8507,5.089,2.7225,-9.4593,leftright
1495525150905,-0.5072,-0.6715,-2.4193,10.5301,0.7361,-10.5578,leftright
1495525150954,-0.0051,0.0776,-0.1562,12.6949,0.2416,-13.2234,leftright
1495525151005,0.4134,0.1209,0.9326,9.1124,0.0413,-10.4033,leftright
1495525151055,0.2447,0.1846,2.081,5.7044,0.9726,-10.0545,leftright
1495525151104,0.3774,0.6839,2.5736,3.2955,1.7084,-10.5179,leftright
1495525151155,0.3719,0.6554,2.7829,1.035,1.8177,-9.78,leftright
1495525151207,0.1207,0.6025,2.9221,-1.3523,1.9385,-9.7782,leftright
1495525151254,0.154,0.5375,2.8632,-5.562,2.3112,-10.0668,leftright
1495525151304,0.1678,0.8001,1.8265,-6.615,0.8835,-8.7643,leftright
1495525151355,-0.074,0.1613,1.2971,-6.8155,0.3534,-8.7716,leftright
1495525151404,-0.3885,0.0163,0.7621,-8.8135,1.0418,-9.7988,leftright
1495525151454,-0.2502,-0.1904,-0.3414,-11.2261,2.2159,-11.398,leftright
1495525151505,0.0243,-0.2399,-1.8221,-8.1614,2.4637,-10.2071,leftright
1495525151554,-0.0082,-0.6097,-2.6785,-4.7801,2.7712,-10.4444,leftright
1495525151604,0.2618,-0.3979,-3.3908,-0.5899,3.3716,-9.4156,leftright
1495525151654,-0.2662,-0.7979,-3.6343,5.0285,3.3412,-9.3445,leftright
1495525151704,-0.351,-0.5051,-2.5909,10.8934,1.7502,-12.0154,leftright
1495525151755,0.1059,-0.1043,-1.6043,8.8044,1.6987,-11.3922,leftright
1495525151804,0.118,-0.2922,-1.0195,10.1198,0.7967,-11.7198,leftright
1495525151854,0.3609,0.0758,-0.247,9.2086,0.0069,-10.9624,leftright
1495525151905,0.6172,0.3071,0.8457,6.755,-0.3952,-9.4462,leftright
1495525151956,0.4106,0.657,1.4768,4.0612,-0.3708,-7.9925,leftright
1495525152004,-0.072,1.2829,2.3333,2.479,0.4881,-9.5362,leftright
1495525152057,-0.2493,0.8619,2.6778,0.6553,0.3775,-9.9144,leftright
1495525152105,-0.3978,0.4512,2.6964,-1.7842,1.0296,-10.2018,leftright
1495525152154,0.0295,0.6219,2.2181,-4.2809,0.4689,-10.7423,leftright
1495525152208,-0.1036,0.0466,1.5839,-3.5966,0.1578,-9.1857,leftright
1495525152255,-0.1021,0.0393,1.1855,-3.6598,-0.5773,-9.2601,leftright
1495525152305,-0.2228,-0.4335,0.4557,-3.6426,-0.5722,-10.546,leftright
1495525152355,-0.0684,-0.0119,-0.0396,-1.2835,-0.9326,-9.5212,leftright
1495525152406,-0.1314,-0.2152,-0.0551,-0.3119,-1.1793,-9.5359,leftright
1495525152456,-0.1662,-0.0497,-0.0829,0.2134,-1.1002,-9.967,leftright
1495525152505,-0.0244,-0.0772,-0.0092,0.3432,-0.9638,-10.1214,leftright
1495525152555,0.014,0.0581,-0.0802,0.9835,-1.103,-9.9935,leftright
1495525152604,-0.006,-0.0747,0.0004,1.0222,-1.0495,-9.8718,leftright
1495525152654,0.0434,0.032,0.0399,0.4553,-1.0672,-9.7143,leftright
1495525152705,0.0182,0.019,0.0678,0.4994,-0.9951,-9.3675,leftright
1495525152757,-0.0063,0.0338,0.0641,0.31,-1.0719,-9.6206,leftright
1495525152805,-0.0045,0.0232,0.0966,0.1794,-1.0909,-9.0248,leftright
1495525152855,-0.0597,-0.009,0.0749,-0.1071,-0.7895,-10.0648,leftright
1495525152905,0.0239,0.0319,-0.0583,0.2361,-0.9454,-9.5038,leftright
1495525152960,-0.0899,-0.1272,0.0169,0.5905,-0.9939,-10.2217,leftright
1495525153007,0.049,0.1083,-0.0268,-0.0927,-1.0153,-8.9125,leftright
1495525153054,-0.1605,0.1014,-0.0122,-1.6429,-1.1268,-9.5356,leftright
1495525153104,0.0628,0.5898,0.0392,-6.9726,-0.2583,-9.6589,leftright
1495525153155,-0.156,0.978,-0.635,-8.8764,1.88,-11.6678,leftright
1495525153205,0.3556,-0.0703,-2.0658,-5.8343,1.8411,-11.6611,leftright
1495525153255,0.3449,-1.2434,-2.7423,-0.8338,1.5489,-8.8675,leftright
1495525153305,-0.1303,-1,-2.7383,2.1628,1.9378,-10.0412,leftright
1495525153354,-0.2,-1.1486,-2.771,5.1782,3.0545,-9.9406,leftright
1495525153405,-0.4418,-1.3876,-2.5215,6.1471,3.3638,-11.1757,leftright
1495525153455,-0.3424,-0.9362,-2.2344,8.7612,2.0386,-11.521,leftright
1495525153505,0.0924,-0.107,-0.9636,9.2663,-0.1293,-11.3408,leftright
1495525153556,0.3511,0.0741,0.1135,9.3785,-0.2296,-10.0214,leftright
1495525153605,0.2376,0.1402,1.3189,7.4098,0.5144,-11.4524,leftright
1495525153655,0.6102,0.7365,2.3114,4.4068,1.3738,-10.0498,leftright
1495525153706,0.4078,0.7403,2.7823,2.6403,1.7623,-10.3467,leftright
1495525153755,0.4771,1.0568,3.0849,0.985,1.7746,-9.1921,leftright
1495525153805,-0.1109,0.3614,3.3356,-3.5646,2.8682,-8.6137,leftright
1495525153855,-0.1144,0.428,2.4665,-7.7339,1.7419,-10.0188,leftright
1495525153905,-0.0142,0.123,1.4564,-9.6851,0.2758,-7.7417,leftright
1495525153955,-0.3428,0.0709,0.7258,-12.6236,0.3919,-10.3711,leftright
1495525154005,-0.0832,0.0317,-0.2295,-13.2497,0.9145,-9.5008,leftright
1495525154055,-0.2116,-0.3762,-1.6769,-8.8963,1.4973,-9.8374,leftright
1495525154105,-0.211,-0.182,-2.3141,-5.1742,1.6469,-9.6205,leftright
1495525154155,-0.3249,-0.8603,-2.7061,-2.7903,1.6799,-10.3753,leftright
1495525154205,-0.4469,-1.0885,-2.2657,1.5442,2.3309,-10.0547,leftright
1495525154254,-0.4081,-0.4766,-2.1509,1.6302,3.8609,-10.7542,leftright
1495525154305,-0.4501,-0.334,-2.6928,5.1435,3.2919,-11.5771,leftright
1495525154355,-0.2048,-0.0293,-1.9464,9.8814,0.8612,-12.1043,leftright
1495525154405,-0.051,-0.3089,-0.551,9.1702,0.2319,-10.8939,leftright
1495525154454,0.4301,0.3893,0.5995,7.9236,-0.0821,-10.4136,leftright
1495525154504,0.3362,0.1976,1.0594,6.4228,0.0402,-9.516,leftright
1495525154557,0.2059,0.3304,1.8538,3.7031,0.4235,-9.3344,leftright
1495525154605,0.3082,0.8171,2.4997,1.7108,1.6319,-10.9071,leftright
1495525154655,0.4495,0.9203,2.4874,-0.7133,0.7241,-8.9707,leftright
1495525154705,-0.0199,0.7775,2.4689,-3.7865,1.1933,-10.5983,leftright
1495525154754,0.3204,0.3912,1.4541,-7.2179,0.9688,-9.5367,leftright
1495525154805,0.0821,0.2976,0.4117,-4.7682,-0.3739,-9.3739,leftright
1495525154855,0.029,0.1483,0.1837,-1.9528,-0.893,-10.0918,leftright
1495525154905,0.0572,0.0575,0.1254,-1.611,-0.9183,-9.3777,leftright
1495525154954,0.0622,-0.1725,-0.1021,-0.9524,-0.698,-10.7956,leftright
1495525155005,0.1961,-0.0869,-0.2438,0.0263,-1.2551,-9.3994,leftright
1495525155055,0.1288,-0.0561,-0.0692,0.2601,-1.4718,-9.4028,leftright
1495525155105,-0.0374,-0.1794,-0.1411,0.716,-1.4991,-10.0873,leftright
1495525155155,0.029,-0.0372,-0.0267,0.9609,-1.3312,-9.5378,leftright
1495525155205,0.0939,-0.0499,0.0049,0.3838,-1.5032,-9.1577,leftright
1495525155255,0.0137,-0.0184,0.0029,0.3241,-1.3939,-9.6483,leftright
1495525155390,0.0649,0.0401,-0.0878,-0.8341,-1.241,-10.5352,leftright
