timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495525236071,0.0551,0.0529,0.05,0.7813,-1.3512,-9.3884,leftright
1495525236122,-0.002,-0.0687,0.0777,0.3886,-1.2045,-9.8033,leftright
1495525236171,0.041,0.04,0.0936,0.4532,-1.1471,-9.942,leftright
1495525236221,0.0261,0.0287,0.0691,0.3578,-1.3407,-9.5491,leftright
1495525236272,-0.0192,-0.0177,0.1001,-0.461,-1.1605,-9.5921,leftright
1495525236321,-0.2572,-0.1557,0.0086,-1.6341,-0.7891,-9.8274,leftright
1495525236371,-0.209,-0.6193,0.0937,-6.545,1.475,-10.1283,leftright
1495525236421,-0.7139,-0.9924,-1.4279,-9.0934,1.5999,-7.9973,leftright
1495525236471,-1.0226,-0.733,-1.9606,-4.2234,3.2582,-12.1466,leftright
1495525236521,0.1349,-0.1825,-2.7186,-3.9513,2.9693,-11.9716,leftright
1495525236573,-0.3471,-0.0269,-2.8288,1.5286,2.5551,-9.782,leftright
1495525236622,-0.1411,0.4003,-2.9361,6.5463,1.5534,-8.0119,leftright
1495525236671,-0.2096,0.5618,-1.9812,6.899,0.5482,-10.318,leftright
1495525236723,-0.227,0.7039,-1.7858,9.1903,-0.8271,-10.0489,leftright
1495525236772,-0.0552,-0.0421,-0.1127,11.5997,-1.8714,-13.3557,leftright
1495525236821,0.2463,0.2877,1.5664,8.3489,-0.5073,-10.4114,leftright
1495525236871,0.354,0.0741,2.3367,5.769,1.387,-10.2709,leftright
1495525236922,0.2539,0.1117,2.7116,3.0897,2.784,-8.5477,leftright
1495525236971,0.0735,0.2606,3.0298,-0.6761,3.4998,-8.3939,leftright
1495525237021,0.0002,0.5262,2.8544,-3.6811,3.5518,-8.1083,leftright
1495525237071,-0.3526,0.8977,2.1092,-8.6949,2.2793,-9.0083,leftright
1495525237122,-0.7759,0.3009,0.9815,-10.7006,2.2448,-10.5143,leftright
1495525237172,-0.4053,0.0244,-0.1772,-11.0551,2.9255,-13.3762,leftright
1495525237221,0.0573,0.0636,-1.1159,-7.5472,2.4822,-11.6915,leftright
1495525237271,0.3893,-0.1142,-2.1556,-3.7758,2.7786,-11.0472,leftright
1495525237321,0.492,-0.479,-2.4897,-1.1053,2.4937,-8.1843,leftright
1495525237371,-0.0735,-0.6303,-2.8458,1.8439,2.4659,-8.5831,leftright
1495525237423,-0.0497,-0.5274,-2.3796,3.606,2.6109,-10.0203,leftright
1495525237471,-0.0052,0.015,-2.3764,5.2187,2.0019,-9.5283,leftright
1495525237521,-0.4488,-0.6288,-1.84,10.4677,0.955,-11.0834,leftright
1495525237571,-0.0087,-0.0839,-0.9226,10.8581,-0.3779,-12.0379,leftright
1495525237622,0.1191,-0.2704,0.6414,10.4738,-1.0415,-10.6579,leftright
1495525237671,0.3462,0.1224,1.748,7.277,0.095,-10.7028,leftright
1495525237721,0.3365,0.192,2.3979,4.2098,1.2517,-9.5727,leftright
1495525237771,0.1995,0.1695,2.8023,1.1193,2.9198,-9.7252,leftright
1495525237821,0.2799,0.5493,2.7012,-1.2615,3.1664,-9.5135,leftright
1495525237872,0.0467,0.2639,2.5479,-2.6086,2.6455,-9.0899,leftright
1495525237922,-0.0297,0.4512,2.1784,-6.8613,2.2261,-8.9498,leftright
1495525237972,-0.2183,0.1895,1.2113,-9.1496,1.8623,-9.0782,leftright
1495525238023,-0.2466,0.14,0.5298,-11.0829,1.9113,-10.1643,leftright
1495525238075,-0.2697,-0.1407,-0.8437,-10.5907,2.6318,-10.875,leftright
1495525238122,0.4608,0.1463,-2.2941,-5.3443,2.1443,-10.1695,leftright
1495525238171,0.1738,-0.0623,-2.5521,-3.7205,2.4414,-8.917,leftright
1495525238221,0.0827,-0.062,-2.9934,0.6821,3.5744,-8.8699,leftright
1495525238271,-0.0812,0.176,-3.026,1.8169,3.4712,-10.0427,leftright
1495525238322,0.0042,-0.0385,-3.0208,5.0845,3.0029,-9.0796,leftright
1495525238371,-0.281,-0.1363,-2.0916,9.3543,2.2701,-10.3961,leftright
1495525238424,0.1583,-0.1164,-1.0984,11.5975,0.1029,-10.8159,leftright
1495525238471,0.2481,-0.095,0.1435,10.7998,-0.5757,-10.1834,leftright
1495525238521,0.2042,-0.1877,1.1762,8.6711,-0.6012,-9.4374,leftright
1495525238572,0.1351,0.0684,2.1895,5.7011,1.2225,-10.517,leftright
1495525238621,0.2506,0.1269,2.5255,3.7937,1.6241,-9.3292,leftright
1495525238671,0.183,0.4296,3.0596,1.592,2.6349,-9.6215,leftright
1495525238721,0.1951,0.4107,3.0252,-0.8524,2.4379,-8.5304,leftright
1495525238772,-0.0902,0.3861,2.8983,-2.6109,2.4509,-8.6445,leftright
1495525238823,-0.2921,0.2282,2.4481,-6.6061,2.282,-8.3872,leftright
