timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480687187,0.0723,-0.3113,-0.0519,0.9916,-1.0408,-10.484,leftright
1495480687237,0.1445,0.0123,0.0215,1.1702,-0.9931,-9.6209,leftright
1495480687287,-0.1021,-0.2079,0.018,1.8054,-1.3017,-9.5547,leftright
1495480687337,-0.1348,-0.2242,0.1037,6.4005,-1.8051,-10.2927,leftright
1495480687386,0.0783,-0.3103,0.9972,5.8055,-1.4102,-10.2895,leftright
1495480687436,-0.1174,-0.3866,1.323,9.1593,-1.0835,-10.8799,leftright
1495480687486,0.1867,-0.7769,2.561,4.8931,0.6099,-10.5656,leftright
1495480687536,0.3513,0.2501,3.2333,-0.7181,2.5295,-7.958,leftright
1495480687586,0.156,0.4063,3.0168,-6.4914,2.8756,-8.0223,leftright
1495480687637,-0.0989,0.7655,2.155,-12.1373,4.1392,-6.8997,leftright
1495480687687,-0.6844,0.1322,0.7914,-15.2577,5.0565,-10.313,leftright
1495480687737,-0.3635,0.0984,-1.2434,-11.2525,4.0951,-10.5348,leftright
1495480687788,-0.276,-0.1391,-2.3222,-6.818,3.689,-9.0871,leftright
1495480687837,-0.4961,-0.0288,-3.2171,-4.7604,5.1373,-9.9798,leftright
1495480687887,-0.2251,0.1102,-3.8358,4.5208,3.7448,-10.1292,leftright
1495480687937,-0.1361,0.1226,-3.6784,5.0821,3.2646,-9.5287,leftright
1495480687986,-0.6172,-0.2875,-2.474,13.979,-0.3945,-12.4886,leftright
1495480688036,0.2377,-0.3379,0.0034,15.3989,-1.2285,-12.3466,leftright
1495480688086,0.4584,0.1583,1.9712,12.1553,-0.1553,-10.1815,leftright
1495480688136,0.4281,0.425,2.7706,9.1159,1.1422,-10.1699,leftright
1495480688189,0.4265,0.2107,3.553,3.7023,3.6421,-9.6633,leftright
1495480688236,0.2495,0.3265,3.653,-2.1618,4.612,-8.0338,leftright
1495480688286,-0.4308,0.4931,3.0622,-7.8291,4.3731,-7.9606,leftright
1495480688336,-0.6802,0.0621,2.503,-15.8712,6.2084,-12.6541,leftright
1495480688386,0.011,-0.1211,0.242,-17.6019,5.9694,-12.0594,leftright
1495480688436,0.4338,0.1109,-1.8434,-12.0488,4.5848,-9.3198,leftright
1495480688491,0.1918,-0.2544,-3.1494,-6.1969,5.2842,-8.892,leftright
1495480688536,0.0818,-0.0279,-3.9405,-0.8696,5.8228,-8.8506,leftright
1495480688587,-0.1863,-0.1965,-4.038,6.0508,4.267,-9.9913,leftright
1495480688638,-0.0696,-0.2547,-3.8529,9.516,3.4635,-10.241,leftright
1495480688687,-0.1481,-0.028,-2.2016,14.9102,-0.0338,-10.8726,leftright
1495480688736,-0.0207,-0.6187,-0.6183,16.7665,-0.879,-11.2825,leftright
1495480688786,0.2355,-0.2964,1.5328,13.5265,-0.0031,-10.6177,leftright
1495480688836,0.2755,0.1567,3.4843,8.1202,2.6344,-9.7205,leftright
1495480688886,0.225,0.1116,3.8745,3.4884,4.6819,-10.5045,leftright
1495480688936,0.4123,0.5335,3.9935,-2.3216,5.6019,-8.8243,leftright
1495480688987,-0.032,0.3345,3.2995,-7.6711,5.0801,-8.8282,leftright
1495480689037,-0.1374,0.2764,2.664,-14.8192,4.6312,-9.2231,leftright
1495480689086,-0.3096,0.1641,0.8045,-16.9671,4.8585,-11.3019,leftright
1495480689139,0.0909,0.0174,-1.1805,-15.039,4.7023,-9.6576,leftright
1495480689187,-0.0728,-0.065,-3.0808,-7.8489,4.924,-9.0533,leftright
1495480689236,-0.0487,0.0016,-3.6225,-3.945,6.2111,-8.3731,leftright
1495480689287,-0.3262,0.2235,-4.2065,2.6609,6.9998,-9.8238,leftright
1495480689338,0.2187,0.1896,-4.1219,12.4195,3.3696,-8.0706,leftright
1495480689386,-0.0808,0.0999,-3.2127,16.0512,2.1948,-8.3798,leftright
1495480689437,-0.3814,-0.3172,-1.2346,20.5066,-0.7714,-13.6848,leftright
1495480689487,0.4809,-0.5437,1.3735,15.7792,0.127,-10.71,leftright
1495480689536,0.4578,-0.2344,3.0576,9.4805,2.4722,-8.1165,leftright
1495480689586,0.1004,-0.2281,3.8498,6.1771,5.0102,-10.233,leftright
1495480689640,0.3959,0.355,4.6177,0.3947,6.2521,-8.964,leftright
1495480689687,-0.0609,0.5486,4.5028,-6.0172,6.7662,-8.1821,leftright
1495480689736,-0.4501,0.1105,3.0567,-13.8529,7.4036,-9.0394,leftright
1495480689786,-0.3186,0.2478,1.5978,-16.6621,6.8271,-12.3073,leftright
1495480689837,0.0163,-0.2404,-0.5984,-16.4753,6.2561,-11.0735,leftright
1495480689888,0.3238,0.1263,-3.084,-8.3125,5.4607,-9.4565,leftright
1495480689937,0.1633,-0.1562,-3.7169,-3.1082,5.2737,-9.6127,leftright
1495480689988,0.3066,0.0612,-4.1301,3.1583,5.1814,-9.6589,leftright
1495480690037,0.3291,-0.0478,-4.1892,10.5428,2.8719,-9.8089,leftright
1495480690087,0.8603,0.1273,-2.1126,12.4454,-0.4438,-9.8534,leftright
1495480690136,0.559,0.1107,-0.7435,11.2985,-1.7307,-7.7917,leftright
1495480690192,-0.1467,0.2115,-0.0361,4.1089,-1.7664,-9.0589,leftright
1495480690236,-0.3398,-0.0641,0.354,1.1254,-1.3048,-10.0097,leftright
1495480690288,-0.1079,0.284,0.3634,0.3877,-1.003,-9.9169,leftright
1495480690336,-0.1444,0.1659,0.4872,0.3322,-0.6806,-9.8466,leftright
1495480690387,-0.1925,0.1761,0.2918,-0.8481,-0.7659,-10.05,leftright
1495480690439,-0.2094,-0.3862,-0.0482,0.0513,-0.2595,-10.1934,leftright
1495480690487,0.1736,0.1779,-0.0602,-0.0629,-0.3801,-10.4482,leftright
1495480690536,0.1949,-0.041,-0.1491,0.2238,-0.776,-8.7035,leftright
1495480690589,-0.1942,-0.1009,-0.1134,-0.1066,-0.4708,-10.5499,leftright
1495480690636,0.0771,-0.0664,-0.1866,-0.1263,-0.6146,-9.4934,leftright
1495480690687,-0.0131,-0.1585,-0.1193,-0.8632,-0.6266,-9.8013,leftright
1495480690736,0.0885,-0.1565,-0.176,-2.1997,-0.012,-9.4593,leftright
1495480690786,0.0512,-0.337,-1.1355,3.7514,-0.523,-8.3294,leftright
1495480690837,-0.6307,-0.503,0.1356,13.2172,-1.2379,-11.3059,leftright
1495480690887,-0.3581,-0.6175,1.0766,13.9749,-0.8792,-12.6494,leftright
1495480690937,0.4431,0.1642,3.116,13.2304,1.4678,-11.5149,leftright
1495480690987,0.2454,0.1108,4.1562,3.9964,5.4167,-11.7297,leftright
1495480691037,0.7508,0.4745,4.3243,-2.1682,6.446,-9.9737,leftright
1495480691088,0.6933,1.063,4.172,-12.7362,6.8096,-7.5394,leftright
1495480691137,-0.4109,0.2937,1.4719,-19.3397,7.0305,-9.02,leftright
1495480691186,-0.0648,-0.0109,-0.2947,-18.682,6.4249,-9.1209,leftright
1495480691236,-0.3199,-0.018,-2.6633,-10.1587,4.8789,-7.7051,leftright
1495480691286,-0.7102,-0.3019,-3.5374,-3.2332,5.3978,-9.6518,leftright
1495480691337,-0.6931,0.0151,-4.0693,1.0627,6.202,-11.112,leftright
1495480691387,-0.3827,0.0105,-4.1975,6.9756,4.6177,-10.2898,leftright
1495480691437,-0.4955,0.3033,-3.3033,12.2,2.753,-10.935,leftright
