timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495481180173,0.0526,-0.136,0.0307,0.6065,-1.9793,-9.163,leftright
1495481180224,0.0182,0.068,0.1035,0.5809,-1.9145,-9.6432,leftright
1495481180273,0.0054,-0.0228,0.1098,0.5615,-1.9204,-9.2817,leftright
1495481180324,-0.0724,-0.0581,0.1255,0.634,-2.0003,-9.6244,leftright
1495481180373,-0.0276,-0.0386,0.2225,-0.3329,-1.8598,-9.2689,leftright
1495481180423,-0.1358,-0.1861,0.1619,-1.8743,-1.3402,-9.7325,leftright
1495481180473,-0.1262,-0.1791,-0.1544,-2.5908,-1.0068,-10.5553,leftright
1495481180523,-0.0391,-0.3182,-0.3158,-3.3701,-0.8057,-9.9557,leftright
1495481180573,-0.0833,-0.1849,-0.6501,-3.5243,0.0317,-11.7238,leftright
1495481180624,0.4218,-0.1585,-1.1217,-2.7343,-0.2459,-8.8401,leftright
1495481180673,-0.2801,-0.4188,-2.1207,-4.7621,1.5783,-7.2741,leftright
1495481180723,-0.8316,-0.2167,-3.1494,2.8506,1.2121,-8.7518,leftright
1495481180773,-0.4899,-0.5216,-1.8795,9.0506,-1.8692,-11.5444,leftright
1495481180823,-0.1641,-0.4053,-0.4484,14.3819,-3.2152,-12.253,leftright
1495481180873,0.4902,-0.0103,1.4988,12.5899,-2.1824,-12.3908,leftright
1495481180923,0.4695,0.0148,2.7503,8.3435,0.3138,-9.0385,leftright
1495481180974,0.2184,-0.0267,3.1521,5.1481,1.8624,-9.8478,leftright
1495481181023,0.3031,0.4935,3.4807,-3.2291,3.6268,-7.396,leftright
1495481181073,-0.0395,0.7424,3.0059,-9.2818,3.0846,-7.5981,leftright
1495481181123,-0.4485,0.5905,1.9135,-13.937,3.7343,-9.3808,leftright
1495481181175,-0.5027,0.341,-0.1842,-15.4997,4.0344,-12.102,leftright
1495481181223,0.1663,0.1747,-1.8852,-10.918,3.4469,-12.0029,leftright
1495481181274,0.2757,-0.2973,-2.6612,-4.5005,2.6357,-10.2747,leftright
1495481181323,0.3209,-0.2053,-2.9648,-1.7804,3.5252,-9.7224,leftright
1495481181373,0.3376,-0.2113,-3.5377,3.6235,2.7325,-7.8591,leftright
1495481181423,-0.4073,-0.278,-2.7058,11.4833,0.4242,-8.4097,leftright
1495481181473,-0.3744,-0.2291,-1.2668,15.1502,-1.9093,-11.8957,leftright
1495481181524,0.1457,-0.0703,0.4065,15.6212,-2.9099,-11.0847,leftright
1495481181574,0.0961,-0.2325,2.0957,11.0388,-0.5544,-11.8068,leftright
1495481181623,0.5197,0.2622,2.818,7.7574,0.888,-11.0537,leftright
1495481181673,0.3134,0.0938,3.2223,1.2174,2.8147,-7.8824,leftright
1495481181723,0.0724,0.5058,2.8392,-5.5608,3.4077,-8.9235,leftright
1495481181773,-0.003,0.6698,1.7652,-10.0027,2.5979,-8.4885,leftright
1495481181823,-0.3726,0.3401,0.8477,-11.896,2.0624,-9.9397,leftright
1495481181873,-0.1836,0.2824,-0.5021,-13.7028,1.6213,-10.756,leftright
1495481181923,-0.0823,-0.0113,-1.949,-7.9794,1.3781,-10.2263,leftright
1495481181973,-0.0972,-0.1179,-2.115,-5.0577,2.6665,-12.4166,leftright
1495481182024,0.3581,0.0669,-2.5415,-2.0988,4.1899,-10.3614,leftright
1495481182074,0.3534,-0.2022,-3.0451,3.8724,3.8542,-9.2419,leftright
1495481182123,0.381,0.195,-3.0359,7.6798,2.3785,-8.2779,leftright
1495481182173,-0.2939,-0.4814,-1.5057,14.0311,-1.0485,-8.8823,leftright
1495481182223,-0.1485,-0.3506,-0.161,14.9948,-2.211,-9.8712,leftright
1495481182274,-0.0384,-0.1605,1.3802,11.9161,-1.18,-10.1068,leftright
1495481182324,0.1077,0.01,2.4038,7.9826,0.5957,-10.6703,leftright
1495481182373,0.173,-0.0512,3.0392,5.244,2.22,-10.3089,leftright
1495481182428,0.1524,-0.0257,3.2813,0.5393,3.4267,-8.766,leftright
1495481182476,0.1027,0.3463,3.0783,-4.1221,3.7095,-9.0436,leftright
1495481182523,0.1536,0.6947,2.0583,-10.6277,2.5104,-7.6497,leftright
1495481182573,-0.6246,0.2406,0.7635,-10.5637,1.3478,-8.8073,leftright
1495481182623,-0.6177,0.3719,0.4599,-13.3539,2.4028,-13.0424,leftright
1495481182674,-0.0352,-0.1658,-1.4372,-12.5202,3.5637,-12.5379,leftright
1495481182723,0.1581,-0.4427,-2.1699,-7.9588,4.206,-11.7009,leftright
1495481182773,0.5311,0.0358,-2.9373,-3.922,5.5586,-9.8721,leftright
1495481182823,0.3788,-0.7856,-3.5484,2.0429,5.2007,-8.1796,leftright
1495481182873,-0.0059,0.0333,-3.3142,8.5582,2.9841,-7.6284,leftright
1495481182924,-0.1808,-0.3604,-2.9175,10.677,1.7398,-9.655,leftright
1495481182973,-0.1583,0.1602,-1.7659,15.0427,-0.202,-10.7086,leftright
1495481183023,0.2901,-0.1027,0.1965,13.1573,-2.2295,-9.3257,leftright
1495481183073,-0.0205,-0.2214,1.4117,8.4393,-1.0612,-9.0743,leftright
1495481183124,0.0785,0.2949,1.9818,3.5298,-0.029,-10.1173,leftright
1495481183173,-0.0869,0.1725,2.0035,-0.0511,-0.1542,-8.819,leftright
1495481183223,-0.2458,0.0338,2.2364,-4.6831,1.1106,-9.7298,leftright
1495481183274,-0.15,0.2286,1.5104,-7.2396,1.2343,-9.9538,leftright
1495481183324,-0.1523,0.14,0.8467,-6.3008,1.173,-10.9332,leftright
1495481183373,0.0956,-0.1026,-0.1059,-3.1614,-0.0235,-10.5606,leftright
1495481183423,0.1827,-0.004,-0.1231,0.2218,-0.843,-9.1145,leftright
1495481183473,0.2031,-0.0017,-0.3078,0.0905,-1.0354,-9.6862,leftright
1495481183526,0.199,-0.1057,-0.2195,1.5864,-1.3669,-9.0194,leftright
1495481183575,-0.0534,-0.0412,-0.0403,0.8035,-1.4009,-9.634,leftright
1495481183624,0.025,0.0429,-0.0415,0.3478,-1.2025,-9.9321,leftright
1495481183673,0.014,-0.0366,-0.0439,0.7875,-1.2115,-9.8912,leftright
1495481183723,0.0991,0.1199,0.0375,-0.1226,-0.9288,-9.5006,leftright
1495481183773,0.084,0.0334,-0.0413,-0.0919,-0.9565,-9.2857,leftright
1495481183823,0.0406,0.0786,0.0069,-0.5415,-1.0847,-9.5216,leftright
1495481183873,-0.0053,0.0517,-0.1698,-0.6973,-0.9571,-9.7218,leftright
1495481183923,0.0442,0.0042,-0.2183,0.3673,-1.2971,-9.1394,leftright
1495481183973,-0.0567,-0.0803,-0.2634,0.9112,-1.062,-9.4851,leftright
1495481184023,-0.1582,0.0091,-0.2258,4.0828,-1.3197,-9.217,leftright
1495481184073,-0.2411,-0.0803,0.1743,7.695,-1.7681,-11.1555,leftright
1495481184123,0.1811,-0.1534,1.1257,9.7591,-1.441,-11.3181,leftright
1495481184173,0.2707,-0.1104,1.8899,8.4996,-0.0022,-10.7186,leftright
1495481184223,0.4074,-0.2306,2.8667,3.263,1.767,-9.8493,leftright
1495481184274,0.4456,0.1623,3.3397,-2.968,3.1228,-8.0935,leftright
1495481184325,0.3708,0.432,2.9743,-11.5432,2.7486,-6.9947,leftright
1495481184375,-0.3851,0.3073,1.2484,-14.2276,2.9714,-7.3533,leftright
1495481184430,-0.4737,0.2765,-0.6779,-17.8976,4.3072,-11.0127,leftright
1495481184478,-0.2901,-0.2087,-2.6613,-7.0771,3.7119,-11.8682,leftright
1495481184524,-0.0838,-0.3785,-2.9208,-5.6166,3.7354,-11.8593,leftright
1495481184574,0.3387,-0.1801,-3.7438,-0.5088,4.322,-9.6931,leftright
1495481184624,0.0852,-0.0264,-3.872,3.6701,4.0669,-8.1991,leftright
1495481184673,0.0222,0.1465,-3.5493,8.5646,2.8441,-8.8867,leftright
1495481184724,-0.0828,-0.0082,-2.4944,13.5905,0.1352,-8.7441,leftright
1495481184773,-0.1187,-0.2418,-1.0137,15.8754,-1.8032,-10.9424,leftright
1495481184823,0.2039,-0.1435,0.8172,15.2138,-2.1431,-9.9432,leftright
1495481184873,0.0474,-0.1127,2.229,10.6032,-0.3271,-9.2704,leftright
1495481184924,0.0532,-0.0224,3.1122,7.7115,1.6342,-10.3406,leftright
1495481184977,0.1353,-0.1066,3.6221,2.9888,3.5886,-9.3766,leftright
1495481185024,0.1624,0.1166,3.7667,-0.6297,5.6393,-9.5518,leftright
1495481185073,0.2406,0.4187,3.1055,-8.0613,5.1498,-8.8165,leftright
1495481185124,-0.261,0.3134,1.9094,-11.6575,2.056,-8.7211,leftright
1495481185174,-0.2445,0.2659,1.0782,-18.4284,2.5711,-10.965,leftright
1495481185230,-0.0987,0.3171,-0.3395,-18.4703,2.9632,-10.8052,leftright
1495481185274,0.0459,-0.0188,-2.6649,-9.1468,4.0592,-12.4429,leftright
1495481185323,0.4438,-0.0986,-3.2569,-5.4289,4.7959,-10.1235,leftright
1495481185375,0.4651,0.0197,-4.1058,1.0675,5.5132,-8.6281,leftright
1495481185424,0.1736,-0.3089,-4.0461,5.8828,4.3796,-9.5159,leftright
1495481185473,0.2218,-0.0353,-3.5058,13.4858,1.9416,-7.4813,leftright
1495481185524,-0.107,-0.1842,-1.8128,15.9744,-0.7114,-10.5322,leftright
1495481185573,0.1297,-0.2885,-0.6732,16.8257,-1.7753,-9.9592,leftright
1495481185625,0.1217,-0.3701,1.3091,13.2961,-1.1419,-8.8752,leftright
1495481185674,-0.1072,-0.2268,2.915,9.0039,0.747,-8.0698,leftright
1495481185723,-0.1381,0.1164,3.6148,4.949,2.775,-9.137,leftright
1495481185775,-0.2701,0.0255,3.9863,1.0527,4.1611,-10.1646,leftright
1495481185825,-0.0913,0.0902,4.0143,-4.6302,4.8249,-9.1634,leftright
1495481185876,-0.165,0.1096,3.3601,-8.2215,5.0022,-9.8876,leftright
1495481185923,-0.1493,0.3894,1.6879,-15.5353,3.5745,-9.2779,leftright
1495481185973,-0.0644,0.5304,-0.0768,-15.7332,3.4501,-11.9349,leftright
1495481186023,-0.0178,0.1349,-1.6765,-12.5195,4.2289,-11.5796,leftright
1495481186073,0.4842,-0.1665,-2.7884,-6.0531,5.0841,-10.474,leftright
1495481186123,0.4968,-0.1686,-3.6918,-2.6845,5.3536,-10.3629,leftright
1495481186173,0.5711,-0.1846,-4.0476,1.9045,4.6009,-8.6122,leftright
1495481186224,0.3765,-0.1674,-3.3775,7.1838,2.3604,-8.3037,leftright
1495481186273,0.0215,-0.2652,-2.948,10.3703,1.0295,-8.8725,leftright
1495481186323,0.2705,0.017,-1.5448,10.8801,-0.8732,-8.5372,leftright
1495481186374,0.1615,0.0786,-0.5022,8.9492,-2.3474,-6.8484,leftright
1495481186423,-0.1592,0.281,0.173,5.2392,-2.297,-9.2494,leftright
1495481186475,-0.2854,0.1989,0.6652,2.4793,-1.7363,-10.0335,leftright
1495481186523,-0.2745,0.1825,0.7718,1.1837,-1.6646,-11.0335,leftright
1495481186574,0.0278,0.0941,0.7703,-0.3151,-1.5061,-10.2284,leftright
1495481186623,0.1105,-0.0497,0.4962,-1.2786,-1.1889,-9.8866,leftright
1495481186673,0.0283,-0.0848,0.0833,-0.6998,-1.4855,-9.967,leftright
1495481186723,0.1147,0.002,-0.0348,-0.3111,-1.2567,-9.5676,leftright
1495481186774,0.0798,-0.1158,-0.127,0.477,-1.5876,-9.1523,leftright
1495481186824,-0.0381,-0.0612,-0.0837,0.5229,-1.6158,-9.6551,leftright
1495481186874,0.035,-0.1093,-0.1392,0.2084,-1.6245,-9.4593,leftright
1495481186924,-0.0417,-0.0333,-0.1608,0.2928,-1.6432,-9.8767,leftright
1495481186975,-0.0086,-0.1399,-0.2075,-0.2793,-1.3522,-10.0368,leftright
1495481187024,0.1229,0.0365,-0.2857,0.071,-1.1896,-9.7838,leftright
1495481187074,0.0429,-0.0187,-0.3888,0.9746,-0.9616,-9.0379,leftright
1495481187126,-0.3215,-0.2795,-0.6105,6.2317,-1.4834,-9.6185,leftright
1495481187173,0.1303,-0.6846,-0.059,9.4159,-2.2334,-9.8807,leftright
1495481187223,0.0024,-0.3031,1.5149,11.0313,-1.3205,-9.0622,leftright
1495481187278,0.1288,-0.1891,2.5088,9.0618,1.0033,-7.9207,leftright
1495481187327,-0.2387,-0.1957,3.275,6.9646,3.8359,-8.6647,leftright
1495481187375,-0.2112,-0.0997,3.8716,-0.0643,6.2605,-10.7679,leftright
1495481187424,0.0437,0.6291,3.5813,-5.4053,5.057,-10.1491,leftright
1495481187473,-0.017,0.7581,3.1859,-13.4904,3.6183,-10.3788,leftright
1495481187523,-0.0869,0.9015,2.1115,-21.1091,4.874,-11.1952,leftright
1495481187574,-0.0624,0.7115,0.0704,-20.4751,4.7859,-12.0581,leftright
1495481187623,0.3492,0.1892,-2.1586,-11.0901,3.5055,-11.4165,leftright
1495481187673,0.308,-0.326,-2.8017,-4.4762,3.0892,-8.8617,leftright
1495481187724,0.2144,-0.415,-3.3257,-1.1731,3.622,-9.0607,leftright
1495481187773,-0.2589,-0.5984,-3.1999,1.3553,3.0252,-8.8749,leftright
1495481187823,-0.5213,-0.1725,-3.6213,6.0448,4.2129,-8.8978,leftright
1495481187873,-0.3114,0.8497,-2.8624,13.0996,2.7003,-11.5884,leftright
1495481187923,-0.0855,-0.0931,-1.8388,16.0586,0.0296,-11.9019,leftright
1495481187973,0.6775,-0.0018,0.4353,13.801,-1.2563,-10.3094,leftright
1495481188024,0.2593,-0.3089,1.6996,11.6656,-0.4016,-8.8097,leftright
