timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480026188,-0.0589,-0.1174,-0.0444,0.5585,-1.5653,-9.1984,leftright
1495480026238,0.0364,0.0581,-0.0093,0.9487,-1.5515,-10.0513,leftright
1495480026289,-0.0653,0.0845,0.0345,1.9519,-1.9077,-9.1609,leftright
1495480026339,-0.2446,-0.0891,0.2029,4.6718,-1.851,-10.6311,leftright
1495480026389,-0.0916,-0.0663,0.6145,4.3477,-1.858,-10.8701,leftright
1495480026438,-0.1723,-0.1637,0.892,7.3781,-1.9511,-11.5444,leftright
1495480026487,0.1687,-0.1836,2.0275,7.3953,-1.4256,-11.0698,leftright
1495480026540,0.4511,-0.2064,3.3089,-0.0404,1.7037,-7.3924,leftright
1495480026588,-0.351,0.0728,2.8759,-7.7848,2.9181,-6.6064,leftright
1495480026638,-0.3862,0.1264,1.905,-13.9625,4.3802,-9.3152,leftright
1495480026688,-0.4454,0.1588,-0.484,-22.997,6.972,-9.2032,leftright
1495480026737,-0.0003,0.1328,-3.2931,-12.0587,7.2293,-8.6903,leftright
1495480026788,-0.2284,-0.0007,-4.4527,-3.2573,6.7127,-7.9661,leftright
1495480026838,-0.619,-0.0831,-4.9186,6.5668,5.4167,-9.0737,leftright
1495480026887,-0.3464,-0.3004,-3.4086,17.587,1.4552,-12.6627,leftright
1495480026938,0.3079,0.1351,-1.176,19.9961,-0.0491,-11.5876,leftright
1495480026987,0.2252,-0.0883,1.0749,20.1666,-1.7454,-10.5478,leftright
1495480027037,0.3046,0.1772,3.0542,11.9112,1.3088,-9.0583,leftright
1495480027087,-0.0909,-0.2032,3.6532,3.3844,3.9163,-10.2022,leftright
1495480027138,0.1073,0.308,4.0113,-0.9946,4.4554,-10.0169,leftright
1495480027188,-0.2382,0.2029,3.5652,-10.5774,5.3052,-9.3488,leftright
1495480027237,-0.2559,-0.3491,2.9173,-18.7055,6.216,-10.927,leftright
1495480027288,0.2425,0.3002,0.5419,-24.3062,7.3567,-9.3482,leftright
1495480027338,0.2068,0.1819,-2.6768,-13.61,6.1379,-8.5189,leftright
1495480027387,-0.0119,0.2657,-3.9675,-6.2117,5.7746,-7,leftright
1495480027438,-0.3017,0.1259,-4.4442,2.4058,6.0194,-9.4122,leftright
1495480027487,-0.2827,-0.1944,-3.8575,12.8843,3.3122,-11.1853,leftright
1495480027538,0.1309,-0.0365,-1.8401,19.2748,0.2044,-11.5379,leftright
1495480027588,0.115,-0.3083,0.0972,18.5127,-1.1705,-9.8621,leftright
1495480027638,0.0818,-0.2719,1.5354,15.414,-0.1189,-9.4596,leftright
1495480027689,-0.0529,-0.151,3.3402,9.4176,2.5515,-9.0267,leftright
1495480027738,0.0148,0.0032,4.0878,3.999,4.6358,-10.2672,leftright
1495480027793,-0.0854,-0.2574,3.9678,-4.0686,5.4846,-10.2855,leftright
1495480027838,0.3778,-0.4293,3.3939,-15.8012,6.9156,-8.6544,leftright
1495480027888,0.1631,-0.1852,1.3258,-22.3717,6.4555,-7.1179,leftright
1495480027937,0.0055,0.4932,-1.4339,-18.986,6.1737,-7.4745,leftright
1495480027988,-0.1838,0.4396,-3.3588,-8.1348,5.4213,-8.3277,leftright
1495480028039,-0.2423,0.323,-3.7451,-4.436,6.0048,-9.6656,leftright
1495480028087,-0.223,0.1424,-4.3904,4.9148,5.7541,-9.5236,leftright
1495480028138,0.107,0.2879,-3.6532,11.314,4.2198,-11.2088,leftright
1495480028191,-0.0952,-0.2125,-1.7715,20.1303,0.5125,-11.0823,leftright
