timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480318380,-0.0641,-0.2192,0.0687,2.0021,-1.0435,-10.6159,leftright
1495480318430,0.1151,0.039,0.1813,1.9505,-1.1577,-9.1966,leftright
1495480318481,-0.0504,-0.0862,0.1307,3.7213,-1.102,-8.8742,leftright
1495480318541,-0.0673,-0.2237,0.3472,2.8413,-1.5089,-9.5097,leftright
1495480318581,-0.1864,-0.2078,0.824,4.5462,-1.25,-10.6567,leftright
1495480318631,0.0625,-0.169,1.2211,3.6012,-0.6751,-10.558,leftright
1495480318681,0.2977,0.2413,1.5599,3.2843,-0.5761,-9.4872,leftright
1495480318730,0.0402,-0.1945,1.7741,1.9277,0.5053,-8.0933,leftright
1495480318780,-0.3157,0.1719,1.6858,-2.2916,0.4219,-9.3221,leftright
1495480318830,-0.1226,0.2695,1.0766,-4.9671,0.2965,-10.3837,leftright
1495480318880,-0.1288,0.2132,0.4072,-6.985,0.3924,-10.1801,leftright
1495480318931,0.0552,-0.0627,-0.6274,-6.796,0.9843,-10.6113,leftright
1495480318980,0.06,-0.0615,-1.2878,-3.9414,0.7894,-9.6434,leftright
1495480319030,0.0029,-0.3497,-1.7777,-1.0504,0.8177,-9.7093,leftright
1495480319084,0.0131,-0.2305,-1.8778,-1.5421,0.9627,-9.5418,leftright
1495480319130,-0.0794,-0.3756,-2.0163,1.047,0.8842,-9.3271,leftright
1495480319180,-0.0857,-0.3546,-2.0183,4.0337,0.5316,-9.017,leftright
1495480319232,-0.3231,-0.1785,-1.5942,4.8414,0.0858,-9.0634,leftright
1495480319280,-0.2208,-0.0401,-0.9546,6.8987,-0.815,-9.9213,leftright
1495480319330,-0.2031,-0.1038,-0.1113,9.2187,-1.5656,-9.8416,leftright
1495480319381,-0.094,0.0657,0.9142,8.4443,-1.287,-10.5755,leftright
1495480319433,0.044,0.0869,1.7382,5.8123,0.6573,-10.149,leftright
1495480319481,0.0323,0.1454,1.9762,4.4791,1.2956,-10.0998,leftright
1495480319530,0.0463,0.1301,2.5001,2.6742,2.0361,-10.8341,leftright
1495480319582,0.1468,0.3001,2.5265,-1.4145,1.9405,-9.9127,leftright
1495480319630,-0.0831,0.1661,2.1342,-6.1353,2.4232,-9.9266,leftright
1495480319680,0.1183,0.0857,1.1955,-10.4707,2.4878,-9.6823,leftright
1495480319731,-0.0729,0.0131,-0.1257,-10.4603,2.4344,-10.061,leftright
1495480319780,0.1292,-0.1312,-1.4013,-6.7535,1.9453,-9.548,leftright
1495480319831,0.118,-0.3071,-1.9293,-5.5594,1.7736,-9.385,leftright
1495480319880,-0.0288,-0.2803,-2.3478,-1.506,1.7876,-8.9458,leftright
1495480319930,-0.2354,-0.4385,-2.5432,1.7234,2.2027,-9.9316,leftright
1495480319981,-0.1494,-0.2485,-2.4613,4.08,1.6079,-9.6503,leftright
1495480320036,-0.3292,-0.0603,-1.845,8.8903,0.2104,-10.1982,leftright
1495480320080,-0.108,-0.1745,-0.752,12.2789,-1.0866,-10.8338,leftright
1495480320131,0.1162,-0.0025,0.3122,12.4277,-1.1944,-10.4234,leftright
1495480320184,0.1142,-0.0382,1.638,9.4765,0.0225,-9.8945,leftright
1495480320231,0.1545,0.2767,2.8272,6.3051,1.9408,-10.6686,leftright
1495480320280,0.0587,0.1767,3.1013,1.0844,3.1573,-10.1072,leftright
1495480320330,0.1316,0.3632,2.8397,-6.6741,3.441,-9.6469,leftright
1495480320380,-0.0614,0.185,1.9413,-11.2078,3.5496,-9.687,leftright
1495480320431,-0.1042,-0.0821,0.6916,-15.4358,4.4416,-10.5088,leftright
1495480320481,-0.0069,-0.2959,-0.7015,-14.4922,4.3544,-10.3641,leftright
1495480320530,0.2909,0.0414,-2.2831,-6.6724,2.9126,-8.7174,leftright
1495480320580,0.0803,-0.2242,-2.9569,-2.5867,3.1762,-7.8263,leftright
1495480320630,-0.2503,-0.324,-3.0894,2.1131,3.282,-9.1355,leftright
1495480320680,-0.1383,-0.1139,-2.7431,9.7374,1.7624,-9.0312,leftright
1495480320731,-0.3175,-0.0084,-1.8351,12.6838,-0.0694,-9.414,leftright
1495480320780,-0.4848,-0.0318,-0.823,18.763,-1.931,-13.292,leftright
1495480320831,0.3222,-0.0058,2.1281,14.8888,-0.8985,-10.3084,leftright
1495480320880,0.0832,-0.0031,3.1414,8.1169,2.3112,-9.888,leftright
1495480320931,0.2068,0.4275,3.5566,2.6928,4.5278,-10.1155,leftright
1495480320983,0.2479,0.7578,3.2869,-7.8062,4.6404,-8.6313,leftright
1495480321030,-0.0267,0.826,2.5364,-12.2573,3.702,-7.8452,leftright
1495480321080,-0.3836,0.1389,0.6908,-15.0418,4.5095,-14.1469,leftright
1495480321130,0.1246,-0.6794,-1.5238,-17.1749,5.3486,-11.9406,leftright
1495480321180,0.4119,-0.3525,-3.1408,-9.9748,5.741,-9.2866,leftright
1495480321231,0.1124,-0.3637,-3.9093,-0.6228,6.3932,-7.2054,leftright
1495480321281,-0.3857,-0.161,-4.1399,9.2728,4.2862,-9.7175,leftright
1495480321330,-0.4308,-0.3313,-2.8918,20.3007,-0.7321,-9.6389,leftright
1495480321380,-0.6464,-0.254,-1.3109,21.7247,-1.3284,-14.1775,leftright
1495480321430,0.4831,-0.1437,1.8719,16.6768,0.0796,-11.2002,leftright
1495480321480,0.2508,0.1835,3.4985,6.9885,3.7009,-8.626,leftright
1495480321530,0.0638,0.4965,3.4392,-2.6681,5.3135,-9.5504,leftright
1495480321580,0.0469,0.6226,3.0124,-11.8525,5.5424,-10.1089,leftright
1495480321630,-0.1899,0.0464,1.1357,-19.6835,5.384,-10.8999,leftright
1495480321680,0.0427,-0.8735,-1.3661,-19.0912,5.2875,-9.1522,leftright
1495480321731,-0.3538,-0.3723,-2.7242,-9.495,4.527,-8.5589,leftright
1495480321781,-0.5856,-0.4382,-3.4915,0.9507,5.4342,-9.8022,leftright
1495480321830,-0.5328,-0.1674,-3.4975,8.8341,3.7415,-12.2275,leftright
1495480321880,-0.1721,0.1846,-2.4234,19.4498,-0.0542,-11.9916,leftright
1495480321930,0.6112,0.1226,0.5149,22.2645,-2.1088,-13.3936,leftright
1495480321981,0.5724,0.0993,2.0529,16.0359,-0.0768,-10.2526,leftright
1495480322030,0.5067,0.2214,3.4162,6.8063,3.7042,-9.6071,leftright
1495480322080,0.1568,-0.028,3.8109,-3.4587,5.3199,-10.6051,leftright
1495480322130,0.4825,0.3949,2.9141,-22.6135,6.4369,-5.686,leftright
1495480322182,-0.1982,0.2726,0.0325,-25.9089,8.4318,-9.1107,leftright
1495480322230,-0.1366,0.0801,-3.0029,-14.0022,6.7575,-6.7746,leftright
1495480322280,-0.5761,0.0398,-4.0277,-4.7097,6.2327,-7.4854,leftright
1495480322336,-0.7261,0.1028,-4.043,7.2551,5.1562,-10.8506,leftright
1495480322382,-0.4071,0.0401,-3.389,19.0495,1.5578,-13.1948,leftright
1495480322431,-0.0128,-0.2057,-1.1713,27.4429,-1.393,-14.1855,leftright
1495480322481,0.6171,-0.1362,2.7364,20.6563,-0.142,-10.2457,leftright
1495480322531,0.3185,0.0775,4.116,8.4618,4.7473,-9.45,leftright
1495480322581,0.3933,0.4904,3.9645,-4.4131,7.2381,-9.28,leftright
1495480322630,0.377,0.8603,2.8522,-19.0706,6.9245,-8.4926,leftright
1495480322680,-0.4051,-0.2377,0.2356,-23.4833,6.7076,-10.0935,leftright
1495480322730,-0.0191,-0.3125,-2.2699,-16.2197,6.7364,-7.0952,leftright
1495480322782,-0.5658,-0.3029,-3.9844,-1.4286,6.1324,-8.8528,leftright
1495480322830,-0.7575,-0.0944,-4.0806,2.87,6.3499,-10.167,leftright
1495480322880,-0.1483,0.2668,-3.6219,22.073,2.3242,-11.8177,leftright
1495480322930,0.2099,-0.0118,-0.9764,27.0378,-2.0762,-13.0298,leftright
1495480322980,0.4537,-0.1914,2.0963,20.19,-0.179,-9.7787,leftright
1495480323030,0.4121,0.0371,3.9902,6.4044,4.8968,-9.3586,leftright
1495480323080,0.1817,0.0702,3.8598,-6.123,6.369,-9.9587,leftright
1495480323132,-0.3026,-0.0449,2.5056,-22.0022,7.5207,-6.7964,leftright
1495480323181,0.0078,-0.0928,0.5212,-25.5591,7.7004,-8.3914,leftright
1495480323231,-0.2505,-0.0862,-3.1019,-14.6031,5.9227,-7.2606,leftright
1495480323280,-0.6664,0.0401,-3.9685,-3.0238,6.1811,-8.2866,leftright
1495480323331,-0.6969,0.2517,-4.073,8.4725,6.2811,-11.7943,leftright
1495480323381,-0.0738,0.279,-2.2076,25.5856,1.1562,-13.6491,leftright
1495480323430,0.4927,0.0409,0.9665,25.5388,-1.0335,-10.9243,leftright
1495480323480,0.3326,0.2363,3.5948,12.1288,3.3468,-9.3787,leftright
1495480323530,0.003,0.2652,4.3899,-1.182,6.75,-10.1533,leftright
1495480323580,0.0334,0.0728,4.1,-4.7801,6.8281,-11.3049,leftright
1495480323631,0.5593,0.0403,3.3354,-24.5865,8.7152,-8.3294,leftright
1495480323680,0.0751,-0.3856,-0.0775,-26.6389,8.2874,-8.2925,leftright
1495480323730,-0.1259,0.0521,-3.4256,-11.6224,7.4227,-6.0019,leftright
1495480323780,-0.701,0.2108,-4.697,-2.6803,8.8325,-8.832,leftright
1495480323830,-0.2195,0.2429,-4.8011,14.7236,6.198,-11.3265,leftright
1495480323880,-0.3721,-0.1879,-1.9158,27.6368,1.0254,-11.7466,leftright
1495480323930,0.2642,-0.08,1.3375,30.4063,-1.2118,-12.1456,leftright
1495480323981,0.1026,-0.3411,3.8226,15.8759,2.9095,-11.0227,leftright
1495480324030,0.3669,-0.0415,4.7751,-2.66,7.6809,-10.226,leftright
1495480324080,0.5716,0.1159,4.3176,-14.4561,7.8095,-9.5485,leftright
1495480324131,0.5837,0.0879,3.1707,-20.2214,7.2646,-5.8977,leftright
1495480324181,-0.0336,-0.21,-0.3712,-23.7674,7.3115,-9.0184,leftright
1495480324231,-0.1968,0.1156,-3.3717,-6.8914,5.9457,-9.0268,leftright
