timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480273523,0.0687,0.1609,0.039,0.0045,-1.4965,-9.9118,leftright
1495480273573,-0.0903,-0.107,-0.0651,0.7142,-1.2971,-9.0985,leftright
1495480273624,-0.1721,0.2627,-0.0379,1.2892,-1.4588,-9.6863,leftright
1495480273673,-0.1943,-0.1031,0.3117,3.2228,-1.5658,-10.2773,leftright
1495480273723,-0.0518,0.0789,0.7273,3.2489,-1.5444,-10.0673,leftright
1495480273774,-0.014,0.1258,1.1389,2.0386,-0.8774,-10.0132,leftright
1495480273823,-0.0286,-0.0769,1.1967,0.9368,-0.3953,-9.9131,leftright
1495480273873,0.0667,0.3177,1.36,-1.3346,-0.0036,-9.8181,leftright
1495480273923,-0.0105,0.2561,1.087,-3.8439,-0.0068,-9.1021,leftright
1495480273973,-0.1745,0.3283,0.8135,-5.5401,0.6945,-9.339,leftright
1495480274023,-0.1366,0.0636,0.3697,-7.8002,2.0264,-11.6188,leftright
1495480274073,0.2762,-0.0507,-0.839,-5.9675,1.2215,-8.9456,leftright
1495480274124,-0.0222,-0.3032,-1.5967,-1.989,0.3182,-9.2906,leftright
1495480274173,-0.031,-0.1369,-1.6609,-1.5364,0.4785,-10.3549,leftright
1495480274223,0.0821,-0.3696,-1.9095,1.2413,-0.077,-9.4196,leftright
1495480274273,-0.05,-0.4613,-1.6195,1.4605,-0.0213,-9.646,leftright
1495480274323,-0.078,-0.4804,-1.6273,2.6812,-0.2008,-9.6277,leftright
1495480274373,-0.0312,-0.1123,-1.0897,4.7595,-1.0856,-10.034,leftright
1495480274423,-0.0676,-0.1199,-0.5068,6.0565,-1.8001,-9.7076,leftright
1495480274474,0.0245,0.0108,0.3316,6.7455,-2.0856,-10.5138,leftright
1495480274524,0.0702,0.137,0.8683,5.5998,-1.4746,-10.0478,leftright
1495480274573,0.0113,0.1177,1.3887,3.6655,-0.5459,-10.6914,leftright
1495480274624,0.2306,0.3916,1.8367,2.3708,-0.011,-10.4395,leftright
1495480274673,0.1451,0.1967,2.0095,0.5882,0.6041,-9.8396,leftright
1495480274723,0.2912,0.5861,2.013,-1.9488,0.9665,-9.5076,leftright
1495480274773,0.1841,0.5941,1.822,-5.6032,0.9732,-8.0357,leftright
1495480274823,-0.353,0.2471,0.944,-8.1875,1.4283,-9.7196,leftright
1495480274873,-0.0547,0.0545,0.0084,-10.6187,2.2677,-10.3784,leftright
1495480274923,-0.0345,-0.235,-1.4116,-6.9236,1.557,-9.8001,leftright
1495480274974,-0.0111,-0.2623,-1.9618,-3.8857,1.2123,-9.5614,leftright
1495480275024,-0.1699,-0.3868,-2.2617,-2.7557,1.8479,-9.6058,leftright
1495480275073,-0.2592,-0.6896,-2.5909,0.7217,1.947,-10.1004,leftright
1495480275123,-0.2165,-0.4205,-2.6105,5.1909,0.9807,-10.1563,leftright
1495480275173,-0.2566,-0.3172,-2.1396,10.0432,-0.7361,-11.3803,leftright
1495480275223,0.1631,-0.0745,-0.8941,12.0663,-2.1433,-10.9972,leftright
1495480275273,0.2888,-0.0191,0.5677,10.7893,-1.6169,-10.1799,leftright
1495480275325,0.1961,0.1851,1.7889,7.1591,0.056,-10.093,leftright
1495480275373,0.1742,0.4564,2.6415,4.2248,1.3426,-10.0183,leftright
1495480275425,0.1153,0.3419,2.7874,-0.7645,2.1489,-10.0535,leftright
1495480275474,0.1353,0.7779,2.3452,-5.5732,1.8952,-8.5112,leftright
1495480275523,-0.1989,0.3262,2.0439,-8.937,1.6069,-9.075,leftright
1495480275573,-0.2259,0.0794,1.3397,-14.2785,2.906,-10.5199,leftright
1495480275623,-0.0365,-0.0425,-0.5336,-13.9064,3.6052,-9.7979,leftright
1495480275673,-0.0228,-0.4453,-2.2412,-7.7008,2.9915,-8.1296,leftright
1495480275723,-0.2688,-0.1697,-2.7421,-3.1835,3.7521,-8.8806,leftright
1495480275773,-0.6449,-0.3777,-3.2712,2.3781,3.3465,-8.2962,leftright
1495480275823,-0.6616,-0.4606,-2.3881,10.966,0.3055,-12.3633,leftright
1495480275873,-0.201,-0.3416,-0.9601,15.1538,-0.884,-14.5597,leftright
1495480275923,0.5011,-0.1562,0.681,14.4452,-1.2043,-13.1489,leftright
1495480275973,0.5676,0.1536,2.2328,10.1934,0.1161,-9.7507,leftright
1495480276023,0.2751,0.172,2.8225,4.2752,2.6456,-9.0652,leftright
1495480276073,0.1647,0.2569,2.9643,-0.0758,3.6922,-9.5017,leftright
1495480276123,0.1325,0.5006,2.8019,-7.6753,3.395,-8.586,leftright
1495480276173,-0.0892,0.3871,1.7597,-14.2929,3.2193,-9.5253,leftright
1495480276223,0.1173,0.3452,0.114,-18.9548,3.5296,-10.1342,leftright
1495480276274,0.1058,0.0116,-1.4683,-14.309,3.4459,-8.5385,leftright
1495480276323,-0.1342,-0.6204,-2.8692,-5.0854,4.776,-8.1019,leftright
1495480276375,-0.4946,-0.5914,-3.2963,-2.258,5.0674,-8.5155,leftright
1495480276426,-0.3043,-0.3855,-3.4481,10.4055,2.3778,-10.8852,leftright
1495480276473,-0.3515,-0.474,-1.9141,16.9453,0.4551,-13.6055,leftright
1495480276525,0.3612,-0.1808,-0.2934,16.8006,-0.9945,-12.2257,leftright
1495480276573,0.3969,-0.0334,1.6232,12.2976,-0.1259,-10.0419,leftright
1495480276624,0.4667,0.4657,2.9294,6.5686,2.7332,-10.8197,leftright
1495480276673,0.3283,0.7934,3.376,-0.1285,4.377,-10.0225,leftright
1495480276723,0.1451,0.5552,2.925,-6.8725,3.0967,-10.1363,leftright
1495480276774,0.1899,0.3456,2.2314,-17.7223,3.4848,-9.3302,leftright
1495480276824,0.3004,0.0119,-0.3548,-26.2715,6.418,-9.099,leftright
1495480276874,-0.0368,-0.4931,-3.3107,-16.8812,6.577,-7.5082,leftright
1495480276925,-0.2616,-0.3022,-4.3329,-6.5848,8.2482,-7.1972,leftright
1495480276973,-1.0811,-1.2301,-4.8004,16.5674,3.4553,-13.4896,leftright
1495480277025,-0.5193,-0.606,-2.1974,23.3744,0.9344,-15.5984,leftright
1495480277074,0.1139,-0.4987,-0.0005,22.7914,-1.2596,-13.5778,leftright
1495480277129,0.4047,-0.0847,1.9234,20.6131,-1.0772,-12.3651,leftright
1495480277173,0.5722,0.3198,3.8165,5.0815,4.7994,-10.7376,leftright
1495480277223,0.51,0.7471,3.6173,-5.5849,5.9805,-9.9129,leftright
1495480277273,0.3277,0.6652,2.8438,-13.8666,4.593,-8.6749,leftright
1495480277323,0.1525,0.4626,1.4427,-18.4844,4.0971,-8.8619,leftright
1495480277373,0.0451,-0.0155,-0.0666,-20.981,3.6727,-7.8049,leftright
1495480277423,-0.1889,-0.4296,-2.138,-13.3697,3.2931,-7.1587,leftright
1495480277474,-0.7795,-0.8943,-3.1187,-5.9912,4.9889,-8.8377,leftright
1495480277523,-0.8076,-0.3596,-3.6338,0.9756,6.7453,-10.8364,leftright
1495480277575,-0.2079,-0.0094,-3.612,10.0137,3.9281,-13.0628,leftright
1495480277623,-0.1553,-0.0789,-2.2525,21.2431,0.4302,-12.6194,leftright
