timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480518910,-0.0444,0.0121,0.0221,0.5101,-0.8632,-10.1723,leftright
1495480518961,0.0264,0.0612,-0.0293,1.2649,-1.154,-9.456,leftright
1495480519011,-0.1472,-0.2094,0.1451,1.038,-0.8705,-10.0696,leftright
1495480519062,-0.0065,-0.0904,0.2485,0.8642,-0.8375,-9.7845,leftright
1495480519111,-0.0365,-0.0821,0.3179,0.9631,-0.8975,-9.6624,leftright
1495480519161,-0.0111,-0.0497,0.4135,1.0463,-0.6995,-10.3687,leftright
1495480519211,0.1718,-0.0359,0.4888,1.6279,-0.6239,-10.1495,leftright
1495480519261,0.2291,0.0393,0.6851,2.0977,-0.8492,-10.0511,leftright
1495480519311,0.1648,0.0295,0.8304,2.0561,-0.8131,-9.7053,leftright
1495480519361,0.0763,0.1653,1.0499,1.4732,-0.7015,-9.5151,leftright
1495480519411,0.0368,0.2767,1.1336,1.1815,-0.5201,-9.7485,leftright
1495480519461,0.0636,0.1093,1.3945,0.6026,-0.2059,-10.3243,leftright
1495480519511,0.3594,0.4211,1.1923,-2.1608,-0.1202,-8.5904,leftright
1495480519561,0.0572,0.1499,0.8971,-4.6036,-0.037,-9.1859,leftright
1495480519611,-0.041,0.1232,0.3794,-5.9369,0.3092,-9.2608,leftright
1495480519662,-0.1436,-0.0554,-0.2769,-5.9784,0.5315,-10.2039,leftright
1495480519711,-0.0235,-0.1859,-1.0128,-4.0094,0.0165,-9.8681,leftright
1495480519761,-0.0324,-0.1808,-1.3342,-2.3388,0.0739,-9.9939,leftright
1495480519811,-0.0233,-0.2121,-1.5651,-0.9586,0.1959,-9.2035,leftright
1495480519861,-0.1866,-0.1757,-1.7281,0.6095,0.4015,-10.0029,leftright
1495480519914,-0.1403,-0.2018,-1.7738,2.2144,0.0896,-10.1153,leftright
1495480519962,-0.0672,-0.1687,-1.5077,3.9206,-0.4102,-9.377,leftright
1495480520012,-0.1622,-0.2062,-1.0964,4.3554,-0.5608,-9.5403,leftright
1495480520062,-0.2169,-0.2507,-0.5926,5.5746,-0.9621,-9.2765,leftright
1495480520110,-0.1151,-0.0553,-0.167,6.1699,-1.3999,-9.8674,leftright
1495480520161,-0.1591,-0.126,0.4942,5.2532,-1.0977,-9.6458,leftright
1495480520211,-0.0613,-0.0126,1.1071,4.6358,-0.6773,-10.3014,leftright
1495480520261,-0.1362,0.0271,1.3484,2.5711,0.0475,-9.3052,leftright
1495480520312,-0.1467,0.1117,1.444,1.7792,0.5175,-11.0726,leftright
1495480520361,0.1583,0.3324,1.7302,0.1862,0.9041,-10.295,leftright
1495480520411,0.1547,0.2355,1.7005,-1.3485,1.1823,-10.4398,leftright
1495480520461,0.2457,0.3765,1.3372,-3.5228,0.9429,-9.3735,leftright
1495480520511,0.1935,0.3728,0.9767,-4.4912,0.8405,-9.5652,leftright
1495480520561,0.0955,0.1613,0.3267,-6.4086,0.8854,-9.2049,leftright
1495480520611,-0.0188,-0.0776,-0.2932,-5.1175,0.5787,-9.6535,leftright
1495480520661,-0.0059,-0.0997,-0.8026,-4.2559,0.3849,-9.4138,leftright
