timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495480493507,-0.3196,-0.416,-0.1598,1.2564,-1.835,-9.8731,leftright
1495480493557,-0.028,-0.0391,-0.0362,1.9026,-2.0835,-9.2735,leftright
1495480493606,-0.2993,-0.4156,0.0355,2.8784,-2.0741,-8.9613,leftright
1495480493657,-0.1811,-0.1064,0.4364,2.8935,-1.5958,-10.465,leftright
1495480493707,-0.0418,-0.174,0.8196,3.7708,-1.6028,-10.2612,leftright
1495480493757,-0.0657,-0.153,1.1704,3.167,-1.2272,-10.1542,leftright
1495480493807,-0.0561,-0.2696,1.4796,2.7952,-0.7052,-10.0436,leftright
1495480493857,0.1212,0.0889,1.6968,0.6224,0.0835,-10.147,leftright
1495480493906,0.2115,0.3893,1.7171,-2.2666,0.5142,-8.9846,leftright
1495480493957,0.1654,0.3739,1.511,-4.4606,0.9376,-8.6288,leftright
1495480494007,-0.0094,0.4057,0.7855,-5.6384,0.5565,-8.8243,leftright
1495480494056,-0.2042,0.3452,0.1579,-7.2771,0.7114,-8.6816,leftright
1495480494107,-0.3087,-0.0251,-0.438,-6.5798,0.8909,-10.3905,leftright
1495480494157,-0.1086,-0.1039,-1.1347,-4.4574,0.3408,-10.035,leftright
1495480494207,-0.1063,-0.2233,-1.5718,-2.3344,0.5112,-10.1381,leftright
1495480494256,-0.0826,-0.3604,-1.8754,-0.2199,0.5027,-9.9404,leftright
1495480494306,-0.1605,-0.3091,-1.9095,0.5235,0.3462,-9.7131,leftright
1495480494356,-0.1736,-0.4764,-1.8331,2.013,0.469,-9.8351,leftright
1495480494407,-0.196,-0.2907,-1.8042,2.5922,0.2805,-10.5501,leftright
1495480494456,-0.1247,-0.3013,-1.4297,4.9485,-0.4039,-9.3489,leftright
1495480494507,-0.1995,-0.2149,-0.9282,5.6035,-0.873,-10.3255,leftright
1495480494556,0.0368,-0.1633,-0.1352,7.1537,-1.5303,-9.9143,leftright
1495480494607,0.0044,0.0621,0.6494,6.2225,-1.456,-9.6571,leftright
1495480494657,-0.033,0.0995,1.3304,5.0514,-0.8556,-9.7035,leftright
1495480494707,-0.0668,0.1579,1.7552,3.1773,0.408,-10.3764,leftright
1495480494756,-0.0002,0.1945,2.0207,1.1829,1.1529,-11.0711,leftright
1495480494807,0.2302,0.2681,2.1783,-0.8367,1.4882,-10.2534,leftright
1495480494857,0.253,0.5427,2.0028,-3.0056,1.4608,-9.2114,leftright
1495480494907,0.0769,0.4675,1.8031,-4.6757,1.4667,-8.9451,leftright
1495480494957,0.0076,0.3845,1.3233,-7.1615,1.5692,-9.1085,leftright
1495480495007,-0.0581,0.2407,0.5994,-9.9361,2.0038,-9.2242,leftright
1495480495057,-0.1516,-0.1088,-1.0241,-7.5461,1.919,-10.7103,leftright
1495480495108,0.0813,-0.1571,-1.8284,-4.5066,1.5381,-9.0918,leftright
1495480495156,-0.2325,-0.5369,-2.2618,-2.191,1.6501,-9.3681,leftright
1495480495208,-0.1481,-0.2996,-2.2577,-0.4942,1.7697,-10.1605,leftright
1495480495256,-0.1655,-0.8082,-2.3378,2.4174,0.7265,-9.0138,leftright
1495480495306,-0.2951,0.1018,-1.8409,4.4039,1.2766,-10.5201,leftright
1495480495358,-0.2878,-0.3746,-1.5837,7.0074,0.8872,-11.0038,leftright
1495480495406,0.0242,-0.0287,-0.7531,10.0099,-0.6741,-11.6012,leftright
1495480495457,0.2244,-0.0004,-0.017,9.648,-1.2987,-10.7366,leftright
1495480495507,0.1908,0.0345,1.4726,7.9121,-0.5812,-10.5692,leftright
1495480495557,0.3367,0.1526,2.1602,4.7163,0.8803,-10.4918,leftright
1495480495606,0.2894,0.3645,2.4445,0.9847,2.1033,-9.7004,leftright
1495480495657,0.2421,0.4025,2.5017,-3.2264,2.4156,-9.2779,leftright
1495480495706,0.1731,0.4113,2.1955,-5.297,2.0544,-9.0455,leftright
1495480495759,0.014,0.5229,1.7149,-9.1155,1.7661,-9.2932,leftright
1495480495810,-0.0561,0.2414,0.7305,-12.0159,2.2369,-9.3717,leftright
1495480495858,0.031,-0.0278,-1.0284,-9.9505,2.2166,-9.0556,leftright
1495480495906,-0.1559,-0.2644,-2.0053,-6.7126,2.0618,-9.2478,leftright
1495480495957,-0.2065,-0.3052,-2.4267,-2.9946,2.3588,-9.4213,leftright
1495480496007,-0.2283,-0.4756,-2.6903,2.7831,2.2348,-10.4564,leftright
1495480496059,-0.0894,-0.1602,-2.4932,6.2286,1.506,-10.86,leftright
1495480496106,-0.0409,-0.4185,-1.7581,9.7587,0.1017,-10.1835,leftright
1495480496157,0.0096,0.0488,-0.5367,11.1565,-1.3256,-10.2565,leftright
1495480496207,0.1418,0.287,0.9823,11.6218,-1.7824,-11.0204,leftright
1495480496256,0.1331,0.0947,2.0262,6.8912,0.5888,-10.6999,leftright
1495480496306,0.2369,0.382,2.4735,4.3415,1.648,-10.6173,leftright
1495480496357,0.2691,0.1539,2.8632,1.1383,3.2667,-10.5237,leftright
1495480496409,0.3645,0.4648,2.5526,-4.5219,2.8124,-9.0621,leftright
1495480496457,0.1168,0.5426,2.0176,-7.5749,1.7839,-8.5306,leftright
1495480496508,-0.1895,0.0635,0.9213,-13.6946,2.4626,-10.2686,leftright
1495480496557,-0.0197,-0.2003,-0.6535,-12.6957,2.5246,-9.5963,leftright
1495480496608,-0.0328,-0.3651,-1.991,-7.9632,2.4579,-8.6693,leftright
1495480496657,-0.1941,-0.2815,-2.7722,-4.4867,2.9516,-8.7284,leftright
1495480496707,-0.2851,-0.3206,-3.0401,3.4834,2.7634,-9.8755,leftright
1495480496758,-0.3584,-0.2981,-2.7666,7.219,1.5991,-10.87,leftright
1495480496806,-0.2477,-0.559,-1.4465,12.9023,-0.2396,-12.8025,leftright
1495480496857,0.0808,0.179,-0.159,12.8077,-0.4331,-11.62,leftright
1495480496907,0.2785,0.0338,1.1582,12.74,-1.1578,-10.4535,leftright
1495480496957,0.2442,0.42,2.3394,7.7279,0.2094,-8.7733,leftright
1495480497007,0.1283,0.5696,2.8466,3.5871,1.7664,-9.8381,leftright
1495480497062,0.0876,0.798,2.8968,-2.4308,2.7619,-9.4159,leftright
1495480497107,-0.1482,0.586,2.3251,-10.3508,3.7804,-12.368,leftright
1495480497157,0.259,0.5274,1.081,-14.422,3.6669,-9.2054,leftright
1495480497207,-0.1327,-0.1745,-0.0466,-14.6598,3.8564,-11.9684,leftright
1495480497257,0.1741,-0.4037,-1.8507,-9.6009,3.1611,-8.4228,leftright
1495480497307,-0.1709,-0.5395,-2.7681,-3.9612,3.7319,-9.2182,leftright
1495480497357,-0.3145,-0.5231,-3.2472,6.4635,3.1884,-11.0424,leftright
1495480497407,-0.0856,-0.6092,-2.5679,9.3888,1.4198,-12.2959,leftright
1495480497456,0.2714,-0.2423,-1.3352,15.2257,-1.1926,-11.3291,leftright
1495480497507,0.3208,-0.1439,0.437,15.1539,-2.0433,-10.0002,leftright
1495480497557,0.2489,0.1453,2.1281,8.4226,-0.0002,-8.7456,leftright
1495480497607,0.0511,0.3417,2.9387,3.3054,1.7792,-9.8554,leftright
1495480497657,0.0826,0.3281,3.1418,-0.4854,2.5154,-9.0538,leftright
1495480497707,-0.1843,0.0486,2.6288,-7.895,3.6238,-10.1568,leftright
1495480497757,0.103,-0.0141,1.3748,-13.6513,3.7364,-8.9674,leftright
1495480497807,0.0243,0.0093,-0.5303,-14.7743,4.0675,-8.8642,leftright
1495480497856,-0.1063,-0.1178,-2.1808,-8.8215,3.5767,-8.369,leftright
1495480497907,-0.3435,-0.1363,-2.9709,-3.6597,4.0299,-8.8162,leftright
1495480497957,-0.504,0.1295,-3.2705,2.1028,4.3903,-10.7665,leftright
1495480498012,-0.2228,-0.0352,-2.8603,14.3048,0.4505,-11.7768,leftright
1495480498058,0.0096,-0.1453,-1.1201,18.4667,-1.9591,-11.9954,leftright
1495480498107,0.3224,0.0784,0.1342,20.6231,-2.6018,-11.3722,leftright
1495480498157,0.3652,0.25,2.5375,13.5316,0.5234,-9.3424,leftright
1495480498207,0.1529,0.4099,3.7046,2.8314,4.5576,-9.2288,leftright
1495480498257,0.022,0.5932,3.1612,-7.35,5.5549,-10.7872,leftright
1495480498307,0.2105,0.1917,1.8291,-20.8377,6.3004,-8.85,leftright
1495480498357,0.085,-0.112,-1.1364,-23.5936,6.2354,-9.348,leftright
1495480498407,-0.1586,-0.245,-3.2439,-11.1713,4.5649,-7.1249,leftright
1495480498457,-0.6268,-0.3111,-3.759,0.6373,3.8099,-8.826,leftright
1495480498507,-0.3699,-0.4111,-2.9757,17.9728,0.3088,-14.7606,leftright
1495480498557,0.4111,-0.3704,-0.7797,21.7016,-1.6956,-12.966,leftright
1495480498607,0.6887,0.1613,1.4044,16.7255,-0.8875,-9.1414,leftright
1495480498657,0.2752,0.3638,3.0097,6.2223,2.6228,-8.011,leftright
1495480498707,0.0537,0.8292,3.2397,-3.6978,4.5897,-8.892,leftright
1495480498758,-0.1316,0.5844,2.4246,-10.0508,3.8682,-10.1657,leftright
1495480498807,-0.1746,0.3202,2.198,-17.9334,4.6338,-10.1048,leftright
1495480498857,-0.076,-0.2132,-1.281,-20.8625,5.091,-9.7379,leftright
1495480498907,-0.1532,-0.2207,-3.0507,-9.3518,4.1869,-8.6945,leftright
1495480498957,-0.3721,-0.4415,-3.3248,0.2111,4.0005,-10.7912,leftright
1495480499007,-0.1417,-0.5758,-3.1928,9.081,3.3178,-12.8085,leftright
1495480499058,0.1577,-0.4591,-1.7211,17.0573,0.2004,-11.4193,leftright
1495480499107,0.2705,-0.0752,0.3048,22.3953,-2.0735,-10.9527,leftright
1495480499157,0.2013,0.2505,2.7674,16.5413,0.1261,-9.3451,leftright
