timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494165916168,-0.4256,-0.3403,-0.2705,1.2987,-1.804,-10.5521,rotateclockwise
1494165916219,-0.0188,-0.224,-0.0315,2.2461,-0.8927,-10.4892,rotateclockwise
1494165916269,0.0256,-0.0514,0.1155,1.3376,-1.352,-9.093,rotateclockwise
1494165916319,0.0347,-0.0262,0.0875,1.092,-1.5474,-9.7321,rotateclockwise
1494165916370,0.1365,0.0751,0.0792,1.0367,-1.6633,-9.45,rotateclockwise
1494165916418,-0.0165,-0.0155,0.0343,1.4409,-1.4297,-9.0603,rotateclockwise
1494165916470,-0.1353,-0.0769,-0.0109,1.2091,-1.5421,-9.9556,rotateclockwise
1494165916520,-0.0067,-0.0015,0.0099,1.2972,-1.4744,-9.8206,rotateclockwise
1494165916570,0.0349,-0.0023,0.0485,1.1334,-1.5617,-8.9055,rotateclockwise
1494165916619,-0.0683,-0.0793,-0.0255,1.3328,-1.4744,-9.104,rotateclockwise
1494165916669,-0.1716,-0.0783,-0.0487,0.9177,-1.427,-9.924,rotateclockwise
1494165916718,-0.096,-0.0377,0.0052,1.5203,-1.2765,-10.0665,rotateclockwise
1494165916769,-0.0129,0.0341,0.0114,0.9569,-1.4358,-9.3027,rotateclockwise
1494165916819,-0.0373,0.0092,-0.0156,1.3276,-1.2442,-9.5975,rotateclockwise
1494165916869,0.0448,-0.0384,-0.0507,1.3074,-1.3823,-10.1408,rotateclockwise
1494165916919,-0.0207,0.006,0.0071,1.2336,-1.2492,-9.1464,rotateclockwise
1494165916970,-0.0293,-0.0004,0.0354,1.4254,-1.3058,-9.5999,rotateclockwise
1494165917020,0.0189,-0.0234,0.0175,1.1268,-1.4253,-9.902,rotateclockwise
1494165917068,0.0268,-0.0118,0.0362,1.2912,-1.2949,-9.2291,rotateclockwise
1494165917119,0.0214,-0.016,-0.0433,1.0617,-1.4902,-9.7416,rotateclockwise
1494165917169,-0.0144,0.0162,0.0167,1.2625,-1.3427,-9.5083,rotateclockwise
1494165917218,-0.0166,-0.0165,-0.0135,1.1901,-1.2779,-9.4991,rotateclockwise
1494165917269,-0.0661,0.0918,-0.0119,1.079,-1.5235,-9.4122,rotateclockwise
1494165917318,-0.0754,0.0345,-0.0643,1.3128,-1.1488,-9.4539,rotateclockwise
1494165917369,-0.0579,0.0832,-0.0312,1.2796,-1.259,-9.9077,rotateclockwise
1494165917420,-0.0383,0.034,-0.0075,1.3992,-1.1809,-9.3747,rotateclockwise
1494165917469,-0.0853,0.0761,-0.044,1.1151,-1.2641,-9.6839,rotateclockwise
1494165917519,-0.085,0.0888,-0.0658,1.1941,-1.2805,-9.8684,rotateclockwise
1494165917569,0.0175,0.0351,-0.0507,1.4482,-1.0568,-9.5581,rotateclockwise
1494165917618,-0.0093,0.0286,0.0285,1.5253,-1.0714,-9.5402,rotateclockwise
1494165917668,0.0082,0.013,-0.0288,1.3809,-1.2078,-9.6656,rotateclockwise
1494165917719,-0.0236,0.0291,0.0339,1.4106,-1.1245,-9.6054,rotateclockwise
1494165917768,0.0257,-0.0144,-0.0094,1.5407,-1.175,-9.5935,rotateclockwise
1494165917819,0.0407,0.0605,-0.026,1.1324,-1.2656,-9.9866,rotateclockwise
1494165917870,0.097,0.0659,-0.0418,1.9126,-1.1152,-9.135,rotateclockwise
1494165917920,-0.0616,0.0289,0.0237,1.4916,-1.2264,-9.2595,rotateclockwise
1494165917970,-0.0107,-0.0159,-0.0179,1.5719,-1.189,-9.9664,rotateclockwise
1494165918020,0.0431,0.0463,0.0144,1.5025,-1.2138,-9.3659,rotateclockwise
1494165918070,-0.0493,-0.0016,-0.0012,1.4176,-1.2213,-9.5881,rotateclockwise
1494165918119,-0.0033,-0.0049,-0.0077,1.4744,-1.2075,-9.823,rotateclockwise
1494165918169,0.051,-0.0123,-0.0139,1.5872,-1.087,-9.7131,rotateclockwise
1494165918219,0.0368,0.0228,0.0152,1.5612,-1.198,-9.3227,rotateclockwise
1494165918268,-0.047,0.0139,-0.0258,1.4618,-1.2534,-9.6219,rotateclockwise
1494165918319,0.004,-0.0013,0.0109,1.6187,-1.1047,-9.6045,rotateclockwise
1494165918369,0.0045,-0.01,0.0035,1.6593,-1.1619,-9.6969,rotateclockwise
1494165918419,0.0151,0.0303,-0.0088,1.3736,-1.2657,-9.4785,rotateclockwise
