timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496246856614,0.0395,0.0909,-0.0003,0.9338,-0.6049,-8.9767,leftright
1496246856664,-0.0088,-0.0202,-0.0014,0.8951,-0.5806,-9.2451,leftright
1496246856714,-0.0078,-0.0191,-0.0025,0.8759,-0.5643,-9.5511,leftright
1496246856765,0.0035,0.0078,0.0001,0.843,-0.5462,-9.7106,leftright
1496246856815,0.001,0.0031,0.0005,0.8673,-0.5674,-9.6402,leftright
1496246856865,-0.0002,-0.0007,-0.0005,0.8679,-0.5656,-9.6254,leftright
1496246856914,0.0011,0.0038,-0.0006,0.8641,-0.5596,-9.6618,leftright
1496246856964,-0.0001,0.0018,-0.0007,0.8714,-0.5582,-9.6257,leftright
1496246857014,0.0012,0.0011,-0.0008,0.8646,-0.5609,-9.6449,leftright
1496246857064,0.0023,0.0037,0.0005,0.877,-0.5639,-9.6463,leftright
1496246857114,0.0036,0.0038,-0.0004,0.8902,-0.5703,-9.6534,leftright
1496246857164,-0.0017,-0.0023,-0.0026,0.89,-0.554,-9.6321,leftright
1496246857214,-0.0049,-0.0068,-0.0039,0.8608,-0.571,-9.6573,leftright
1496246857264,-0.0068,-0.0098,-0.0042,0.8538,-0.5474,-9.6441,leftright
1496246857315,-0.002,-0.0018,-0.0019,0.8506,-0.5594,-9.6577,leftright
1496246857365,0.0015,0.0016,0.0005,0.8766,-0.5603,-9.647,leftright
1496246857414,-0.0038,-0.0047,-0.0026,0.8557,-0.5688,-9.657,leftright
1496246857465,-0.0044,-0.0084,-0.0031,0.845,-0.525,-9.6373,leftright
1496246857516,-0.0057,-0.0093,-0.0026,0.8622,-0.5606,-9.6557,leftright
1496246857564,-0.0125,-0.0184,-0.0057,0.8541,-0.5713,-9.6394,leftright
1496246857614,0.0044,0.0108,-0.0022,0.8345,-0.5358,-9.6465,leftright
1496246857664,0.0061,0.0088,0.0023,0.8631,-0.523,-9.6368,leftright
1496246857714,0.0054,0.0064,0.004,0.8423,-0.5351,-9.6348,leftright
1496246857764,0.006,0.0106,0.0042,0.8546,-0.5733,-9.6429,leftright
1496246857815,-0.0067,-0.0101,-0.0045,0.8473,-0.5713,-9.6368,leftright
1496246857867,-0.0037,-0.0059,-0.0042,0.8274,-0.5347,-9.6068,leftright
1496246857914,0.0028,0.0079,-0.0014,0.8495,-0.5398,-9.6342,leftright
1496246857964,0.0054,0.0082,0.002,0.8717,-0.5285,-9.6404,leftright
1496246858015,0.0018,0.0012,0.0024,0.841,-0.5498,-9.6381,leftright
1496246858065,-0.0011,-0.0021,-0.0008,0.8499,-0.5606,-9.6321,leftright
1496246858114,0.0016,0.0033,-0.0006,0.8457,-0.5539,-9.6509,leftright
1496246858164,-0.0007,0.0002,-0.002,0.8603,-0.5438,-9.655,leftright
1496246858214,-0.0027,-0.0042,-0.0021,0.8697,-0.5506,-9.6406,leftright
1496246858264,-0.0024,-0.0031,-0.0027,0.8609,-0.5534,-9.6437,leftright
1496246858314,-0.0018,-0.0027,-0.0008,0.8441,-0.5475,-9.6397,leftright
1496246858366,-0.0007,-0.0012,-0.0019,0.855,-0.5282,-9.6275,leftright
1496246858414,0.0011,0.0025,-0.0006,0.8476,-0.5457,-9.6367,leftright
