timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679329091,-0.0008,-0.006,-0.0013,0.1754,0.0055,-9.7045,leftright
1494679329140,0.0012,-0.0001,0.0008,0.1611,0.0194,-9.7325,leftright
1494679329191,0,0.0001,-0.0018,0.1614,0.006,-9.7597,leftright
1494679329242,-0.0006,0.002,-0.0013,0.1644,0.0164,-9.7424,leftright
1494679329291,0,-0.0009,-0.0007,0.1565,0.0216,-9.747,leftright
1494679329340,0.0007,-0.0016,-0.0018,0.1563,0.021,-9.7525,leftright
1494679329391,-0.0004,0.0003,-0.0012,0.1576,0.0133,-9.7472,leftright
1494679329441,-0.0006,0.0008,-0.0017,0.1686,0.0185,-9.728,leftright
1494679329491,0.0007,-0.0008,-0.0011,0.1679,0.0186,-9.7514,leftright
1494679329541,0.0007,0.0001,-0.0023,0.1611,0.0153,-9.7402,leftright
1494679329591,0.0007,-0.0001,-0.0015,0.147,0.0168,-9.7475,leftright
1494679329641,0,-0.0009,-0.0013,0.1691,0.0233,-9.7225,leftright
1494679329697,-0.0002,0.0004,-0.0022,0.1632,0.0198,-9.7381,leftright
1494679329742,-0.0004,0.0004,-0.0007,0.1568,0.0171,-9.7327,leftright
1494679329790,-0.0004,0.0002,-0.0025,0.1642,0.0178,-9.7376,leftright
1494679329841,-0.0002,-0.0017,-0.0015,0.1629,0.0179,-9.7305,leftright
1494679329891,-0.0006,0.0011,-0.0008,0.1564,0.0196,-9.7434,leftright
1494679329941,0,0.0009,-0.0013,0.1624,0.0206,-9.7394,leftright
1494679329992,0,0.0002,-0.0019,0.1546,0.0229,-9.7365,leftright
1494679330042,-0.0005,0.0008,-0.0007,0.1571,0.0058,-9.7443,leftright
1494679330090,0.0009,0.0012,-0.0017,0.1632,0.0164,-9.7301,leftright
1494679330141,0.0009,0.0005,-0.0019,0.1509,0.0206,-9.734,leftright
1494679330191,-0.0001,-0.0015,-0.0019,0.175,0.0188,-9.7383,leftright
1494679330242,-0.0006,0.0011,-0.0007,0.1602,0.0211,-9.7382,leftright
1494679330291,0,0.0004,-0.0029,0.1611,0.017,-9.7227,leftright
1494679330340,0.0003,-0.0025,-0.0021,0.1566,0.0185,-9.7228,leftright
1494679330391,0.0004,-0.0004,-0.0022,0.1618,0.0106,-9.7367,leftright
1494679330441,0.0004,-0.0003,-0.0014,0.1569,0.0242,-9.7312,leftright
1494679330491,-0.001,-0.0004,-0.0011,0.1531,0.0161,-9.7292,leftright
1494679330541,-0.0001,-0.0006,-0.0011,0.1604,0.0241,-9.7266,leftright
1494679330591,-0.0004,0.0008,-0.0008,0.1673,0.0138,-9.7236,leftright
1494679330641,0.0004,0.0008,-0.0003,0.164,0.0207,-9.7179,leftright
1494679330692,0.0013,0.0002,-0.0007,0.1574,0.0189,-9.7254,leftright
1494679330742,-0.0005,-0.0005,-0.0013,0.1501,0.0187,-9.7197,leftright
1494679330791,-0.0006,-0.0004,-0.0013,0.1611,0.0169,-9.7147,leftright
1494679330841,0.0001,-0.0009,-0.0014,0.1582,0.0156,-9.7166,leftright
1494679330892,0,-0.001,-0.0014,0.1654,0.0233,-9.7308,leftright
1494679330941,-0.0004,0.0024,-0.0004,0.1629,0.0191,-9.7227,leftright
1494679330991,-0.0006,-0.0005,-0.0021,0.1726,0.0188,-9.7152,leftright
1494679331041,-0.0004,-0.0002,-0.0007,0.1659,0.0257,-9.7107,leftright
1494679331091,-0.0009,0.0006,-0.0018,0.1727,0.0187,-9.7133,leftright
1494679331141,0.0009,-0.0008,-0.0023,0.1587,0.0209,-9.7184,leftright
1494679331191,-0.0007,0.0005,-0.0004,0.1622,0.0186,-9.7119,leftright
1494679331243,0.0004,-0.001,-0.0016,0.1625,0.0195,-9.7096,leftright
1494679331291,0.0003,-0.0006,-0.0015,0.1574,0.0135,-9.7338,leftright
1494679331341,0.0007,-0.0009,-0.0008,0.1697,0.0204,-9.7164,leftright
1494679331391,0.0002,0.0003,-0.0004,0.1558,0.0211,-9.721,leftright
1494679331442,-0.0001,-0.0011,0.0003,0.1584,0.0154,-9.7269,leftright
1494679331491,0,0.0008,-0.0007,0.1621,0.0204,-9.7155,leftright
1494679331541,0.0006,0.0002,-0.0001,0.1675,0.0201,-9.7218,leftright
1494679331591,0,-0.0005,-0.0024,0.162,0.0144,-9.7207,leftright
1494679331641,0.0007,-0.0008,-0.0023,0.1578,0.0185,-9.7154,leftright
1494679331691,-0.0005,-0.0008,-0.0007,0.156,0.0202,-9.711,leftright
1494679331741,0.0003,-0.0019,-0.0013,0.161,0.0192,-9.7172,leftright
1494679331791,0.0004,-0.0006,-0.0005,0.1635,0.0209,-9.7202,leftright
1494679331841,-0.0003,0.0003,-0.0017,0.1631,0.0211,-9.7111,leftright
1494679331891,0.0007,-0.0013,-0.0015,0.1577,0.0195,-9.7169,leftright
1494679331942,0.0007,-0.0003,-0.0009,0.1623,0.0149,-9.7203,leftright
1494679331991,0.0005,-0.0012,-0.0013,0.1634,0.0167,-9.7143,leftright
1494679332043,0.0008,-0.0004,-0.0019,0.1636,0.0185,-9.7169,leftright
1494679332091,0.0001,-0.001,-0.0008,0.1679,0.0209,-9.7151,leftright
1494679332141,-0.0001,0,0.0003,0.169,0.0196,-9.7179,leftright
1494679332191,0.0005,-0.0015,-0.0012,0.1682,0.0162,-9.7202,leftright
1494679332242,0.0007,-0.0016,-0.0007,0.1697,0.0185,-9.7119,leftright
1494679332291,0.0007,-0.001,-0.0025,0.1526,0.024,-9.7121,leftright
