timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495560221972,-0.0018,-0.0063,0.0003,0.1396,0.0874,-9.6902,rotateclockwise
1495560222021,0,-0.0035,-0.0005,0.1443,0.0762,-9.7203,rotateclockwise
1495560222071,-0.0007,0.0011,0.0013,0.1653,0.0884,-9.6978,rotateclockwise
1495560222120,-0.0005,0.0015,-0.0003,0.1543,0.0716,-9.7126,rotateclockwise
1495560222171,0.0013,0.0017,-0.0003,0.1563,0.0663,-9.7128,rotateclockwise
1495560222220,0.0011,-0.001,-0.0005,0.1419,0.0691,-9.7,rotateclockwise
1495560222271,-0.0008,0,0.0005,0.151,0.0674,-9.6964,rotateclockwise
1495560222320,0.0001,0.0002,-0.001,0.1469,0.0899,-9.689,rotateclockwise
1495560222371,0.0002,0.0014,-0.0005,0.1517,0.0787,-9.6975,rotateclockwise
1495560222421,-0.001,0.0017,-0.0002,0.1563,0.0688,-9.7155,rotateclockwise
1495560222471,0.0001,0.0005,-0.0005,0.1456,0.0804,-9.6847,rotateclockwise
1495560222520,-0.0009,0.0008,0,0.1329,0.0874,-9.691,rotateclockwise
1495560222571,0,0.0005,0.0003,0.1458,0.083,-9.6919,rotateclockwise
1495560222620,0.0001,0,-0.0003,0.1612,0.0783,-9.6836,rotateclockwise
1495560222671,-0.001,0.0009,0.0015,0.1611,0.0677,-9.72,rotateclockwise
1495560222720,-0.0008,0.0009,-0.0009,0.1317,0.0858,-9.6878,rotateclockwise
1495560222771,0.0002,0.0008,-0.0002,0.1513,0.0756,-9.6939,rotateclockwise
1495560222821,0.0007,-0.0006,-0.0002,0.1396,0.0818,-9.6903,rotateclockwise
1495560222871,-0.001,0.0009,0.0008,0.1464,0.0781,-9.6908,rotateclockwise
1495560222921,0,-0.0008,-0.001,0.1452,0.0688,-9.7075,rotateclockwise
1495560222970,-0.0004,-0.0006,0.0001,0.1478,0.0693,-9.7131,rotateclockwise
1495560223020,0.0004,-0.0008,0.0003,0.1561,0.0686,-9.721,rotateclockwise
1495560223071,0.0004,0.0007,0,0.1537,0.0818,-9.7027,rotateclockwise
1495560223124,-0.0005,0.0005,0.0003,0.1485,0.0885,-9.7041,rotateclockwise
1495560223170,-0.0011,0.0002,-0.0006,0.13,0.0763,-9.686,rotateclockwise
1495560223220,-0.0003,0.0002,-0.0007,0.1703,0.0746,-9.712,rotateclockwise
1495560223271,-0.0006,0.0004,-0.0003,0.1273,0.0627,-9.6918,rotateclockwise
1495560223321,-0.0005,0.0011,0.0009,0.1757,0.0722,-9.6962,rotateclockwise
1495560223371,0.0026,0.0023,-0.0007,0.1378,0.1066,-9.6451,rotateclockwise
