timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494165996013,0.0254,0.1413,-0.1488,-0.334,-2.3125,-9.7584,rotateclockwise
1494165996065,-0.0018,0.1643,-0.0452,-0.7159,-2.2721,-8.9877,rotateclockwise
1494165996115,-0.1065,-0.0834,-0.0221,-0.3212,-2.1622,-9.7807,rotateclockwise
1494165996164,0.0096,0.0685,-0.0437,-0.4083,-1.9529,-9.427,rotateclockwise
1494165996213,-0.0243,-0.0015,-0.0667,-0.0477,-1.8789,-9.5567,rotateclockwise
1494165996263,-0.0334,0.0562,-0.0131,-0.1596,-1.9971,-8.9376,rotateclockwise
1494165996314,-0.0705,0.0119,0.0036,-0.0731,-1.9012,-9.6685,rotateclockwise
1494165996363,-0.0249,0.0184,0.0202,-0.378,-1.9498,-9.6113,rotateclockwise
1494165996413,0.0151,0.0836,-0.0281,-0.2108,-2.1001,-9.4184,rotateclockwise
1494165996463,0.015,0.1142,-0.0054,-0.1376,-2.0137,-9.2793,rotateclockwise
1494165996514,-0.0298,0.0296,0.0285,-0.446,-1.6114,-10.0124,rotateclockwise
1494165996563,0.1044,0.0748,0.01,-0.058,-1.8463,-9.2341,rotateclockwise
1494165996613,-0.0123,-0.0332,0.0359,-0.4942,-1.6496,-9.668,rotateclockwise
1494165996663,0.0863,0.1053,-0.046,0.0703,-1.9612,-9.2124,rotateclockwise
1494165996716,-0.0335,0.0139,0.0204,-0.3419,-1.8602,-9.509,rotateclockwise
1494165996764,-0.0035,0.0229,-0.0005,-0.0465,-1.7857,-9.6456,rotateclockwise
1494165996815,-0.0288,-0.0555,0.0177,0.0507,-2.046,-9.2842,rotateclockwise
1494165996864,-0.0237,0.0301,0.0063,-0.4833,-2.0021,-9.6281,rotateclockwise
1494165996913,-0.0048,0.0203,-0.0459,-0.29,-1.8736,-9.6881,rotateclockwise
1494165996966,-0.0033,0.0131,-0.0149,0.0414,-1.9481,-9.5611,rotateclockwise
1494165997014,0.0081,-0.0261,-0.0252,-0.1424,-1.7335,-9.7538,rotateclockwise
1494165997063,0.0233,-0.0876,-0.0265,-0.013,-2.0321,-9.0044,rotateclockwise
1494165997114,-0.0608,0.0131,-0.0037,-0.2287,-2.1007,-9.2706,rotateclockwise
1494165997163,-0.0523,0.0533,-0.0318,-0.2722,-1.8794,-9.7137,rotateclockwise
1494165997213,-0.0183,0.0145,-0.0068,0.1225,-1.9047,-9.9191,rotateclockwise
1494165997264,0.0221,0.0318,0.057,-0.0784,-1.8278,-9.4806,rotateclockwise
1494165997313,-0.0034,-0.0369,0.027,-0.1862,-1.8385,-9.5318,rotateclockwise
1494165997365,0.0291,0.0209,0.0142,-0.4536,-1.8781,-9.4552,rotateclockwise
1494165997414,0.0188,0.0132,-0.0604,-0.3505,-1.8506,-9.6812,rotateclockwise
1494165997463,0.0394,-0.0047,-0.0449,0.1,-1.8832,-9.388,rotateclockwise
1494165997513,0.0442,0.0019,0.0027,0.1158,-1.7442,-9.4368,rotateclockwise
1494165997564,-0.0504,-0.03,-0.0025,0.1049,-1.9811,-8.8199,rotateclockwise
1494165997613,-0.0777,-0.002,0.0367,-0.1628,-1.9989,-9.4477,rotateclockwise
1494165997665,-0.0763,0.0192,0.0302,-0.1325,-1.9576,-9.5445,rotateclockwise
1494165997715,-0.1045,-0.0352,0.027,-0.0873,-1.9426,-10.1841,rotateclockwise
1494165997764,0.0139,-0.0108,0.0656,-0.2884,-1.7924,-9.8434,rotateclockwise
1494165997813,0.0336,-0.0516,0.0033,-0.2638,-1.7288,-9.6355,rotateclockwise
1494165997864,-0.0006,-0.0057,-0.0036,-0.1066,-1.8399,-9.4526,rotateclockwise
1494165997915,0.0164,0.0198,0.0001,-0.0375,-1.739,-9.3984,rotateclockwise
1494165997964,-0.0061,-0.0059,0.0048,0.051,-1.8472,-9.468,rotateclockwise
1494165998013,-0.0391,-0.0076,0.0881,-0.3905,-1.8238,-9.6962,rotateclockwise
1494165998063,0.0378,0.0028,0.0156,-0.3111,-1.845,-9.5465,rotateclockwise
1494165998114,-0.0127,-0.0615,0.0181,-0.398,-1.8049,-9.6262,rotateclockwise
1494165998164,0.0405,-0.0451,-0.0144,-0.1436,-1.9802,-9.2377,rotateclockwise
1494165998214,0.0224,-0.0393,-0.0085,-0.2006,-1.8858,-9.6006,rotateclockwise
1494165998264,-0.0112,-0.0262,0.0389,-0.2223,-1.9651,-9.626,rotateclockwise
1494165998314,0.0107,-0.0306,0.0226,-0.3833,-1.8095,-9.808,rotateclockwise
1494165998364,-0.0515,-0.0698,0.0165,-0.2514,-1.6555,-9.4836,rotateclockwise
1494165998414,0.0288,-0.0241,-0.0188,-0.3257,-1.5804,-9.7497,rotateclockwise
1494165998464,-0.0453,-0.0838,-0.0245,-0.1348,-1.9311,-9.1655,rotateclockwise
1494165998514,-0.0408,0.0102,-0.0077,-0.4654,-1.8686,-9.7305,rotateclockwise
1494165998564,-0.015,-0.0139,-0.0369,-0.2887,-1.9263,-9.6249,rotateclockwise
1494165998614,-0.0175,-0.0695,-0.0059,-0.494,-2.0399,-9.3827,rotateclockwise
1494165998668,-0.0137,0.0679,0.0019,-0.673,-1.7852,-9.8651,rotateclockwise
1494165998713,0.0289,0.0346,-0.0357,-0.4487,-1.6777,-9.6348,rotateclockwise
1494165998763,-0.0137,-0.0317,-0.0529,-0.4525,-1.8281,-9.8507,rotateclockwise
1494165998814,0.0585,0.0026,-0.0443,-0.4981,-1.8172,-9.5526,rotateclockwise
1494165998863,0.0859,-0.0791,-0.0605,-0.0981,-1.8678,-9.3491,rotateclockwise
1494165998914,0.0388,-0.0882,0.0137,-0.218,-1.9785,-9.1772,rotateclockwise
1494165998964,0.0256,-0.091,0.0351,-0.3456,-1.9175,-9.2696,rotateclockwise
1494165999013,-0.0329,-0.0701,0.0467,-0.5492,-1.9813,-9.0665,rotateclockwise
1494165999065,-0.0478,0.054,0.0056,-0.8222,-1.8684,-9.3313,rotateclockwise
1494165999114,-0.0543,0.1254,-0.0304,-0.5802,-1.7416,-9.6878,rotateclockwise
1494165999164,0.0097,0.0682,-0.0595,-0.3755,-1.662,-9.9075,rotateclockwise
1494165999214,-0.0369,0.0137,0.0226,-0.6119,-1.7264,-9.6983,rotateclockwise
1494165999265,0.0013,-0.0391,-0.0084,-0.5986,-1.8216,-9.3709,rotateclockwise
1494165999314,-0.0325,-0.0499,-0.0058,-0.6244,-1.8599,-9.5298,rotateclockwise
1494165999365,0.0215,0.0112,-0.1099,-0.5065,-1.8046,-9.8059,rotateclockwise
1494165999414,-0.0177,-0.0582,-0.0806,-0.2693,-1.9085,-9.4884,rotateclockwise
1494165999464,0.0364,-0.0138,-0.0858,-0.0758,-1.9532,-9.6183,rotateclockwise
1494165999514,0.0255,0.0014,0.0008,-0.255,-1.9176,-9.4219,rotateclockwise
1494165999564,0.0267,0.0102,-0.0141,-0.2353,-1.9145,-9.2486,rotateclockwise
1494165999614,0.0412,0.063,0.0157,-0.7367,-1.8128,-9.4256,rotateclockwise
1494165999664,-0.0017,0.0134,-0.0128,-0.3275,-1.9086,-9.6466,rotateclockwise
1494165999714,0.0118,-0.015,0.031,-0.6469,-1.8901,-9.2931,rotateclockwise
1494165999764,0.0152,-0.0147,-0.0338,-0.3691,-1.869,-9.5701,rotateclockwise
1494165999814,-0.0124,-0.0357,-0.0385,-0.4899,-1.8862,-9.3804,rotateclockwise
1494165999866,-0.0186,0.0082,-0.0556,-0.3336,-1.7515,-9.5998,rotateclockwise
1494165999914,-0.0136,0.0131,-0.0637,-0.1408,-2.0198,-9.4874,rotateclockwise
1494165999963,0.0135,0.011,-0.0056,-0.2054,-1.922,-9.7283,rotateclockwise
1494166000013,0.0035,0.0412,0.0244,-0.3542,-1.7885,-9.802,rotateclockwise
1494166000064,0.046,-0.004,0.0021,-0.39,-1.9205,-9.2298,rotateclockwise
1494166000114,0.0125,0.0154,0.0188,-0.4498,-1.8972,-9.4358,rotateclockwise
1494166000164,0.0226,-0.0056,0.0086,-0.5121,-1.8483,-9.4564,rotateclockwise
1494166000213,0.004,-0.0223,-0.0105,-0.4738,-1.8888,-9.3315,rotateclockwise
