timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495560101465,0.0014,0.0085,0.0011,0.1301,0.0966,-9.7366,rotateclockwise
1495560101515,-0.0006,0.0023,0.0018,0.1627,0.0727,-9.6796,rotateclockwise
1495560101566,-0.0011,0.0008,0.001,0.1501,0.0822,-9.6882,rotateclockwise
1495560101615,0.0002,0.0004,0.001,0.1631,0.0872,-9.7105,rotateclockwise
1495560101665,0.0011,0.0007,0.0013,0.1724,0.0829,-9.6987,rotateclockwise
1495560101715,0,0.0017,0.0013,0.164,0.074,-9.7062,rotateclockwise
1495560101765,0.0009,-0.0005,0.0016,0.1595,0.0903,-9.7111,rotateclockwise
1495560101815,-0.0005,0.0014,0.0021,0.1484,0.0856,-9.6873,rotateclockwise
1495560101865,-0.0007,0.0012,0.0008,0.1683,0.0724,-9.7023,rotateclockwise
1495560101915,-0.0009,0,0.0018,0.1683,0.071,-9.7146,rotateclockwise
1495560101966,-0.0024,0.0006,0.001,0.1665,0.0842,-9.7032,rotateclockwise
1495560102016,-0.0036,0.0001,0.0023,0.1563,0.0771,-9.7167,rotateclockwise
1495560102067,-0.0027,-0.0001,0.0021,0.1548,0.0775,-9.6937,rotateclockwise
1495560102115,-0.0015,0.0004,0.0028,0.1591,0.0914,-9.6887,rotateclockwise
1495560102165,-0.0027,-0.0002,0.0016,0.1513,0.0967,-9.6813,rotateclockwise
1495560102215,-0.0007,0.0015,0.0027,0.1712,0.0866,-9.7127,rotateclockwise
1495560102269,-0.0002,0.002,0.0023,0.1524,0.0971,-9.7059,rotateclockwise
1495560102315,0.0004,0.0009,0.0022,0.1593,0.0838,-9.6967,rotateclockwise
1495560102365,-0.0009,0.0008,0.0022,0.1283,0.1064,-9.6724,rotateclockwise
1495560102416,-0.0009,0.0004,0.0029,0.1638,0.0858,-9.7002,rotateclockwise
1495560102465,0.0004,0.0003,0.0022,0.1454,0.0888,-9.7025,rotateclockwise
1495560102515,0.0001,0.0013,0.0013,0.1595,0.1018,-9.7072,rotateclockwise
1495560102565,0,0.001,0.0023,0.149,0.0836,-9.7083,rotateclockwise
1495560102615,-0.0009,-0.0007,0.0012,0.1592,0.0898,-9.6995,rotateclockwise
1495560102665,-0.0001,0.0014,0.0014,0.1446,0.09,-9.6972,rotateclockwise
1495560102715,-0.0009,0.001,0.0028,0.1557,0.0788,-9.7047,rotateclockwise
1495560102765,-0.0003,0.0004,0.0016,0.1551,0.0808,-9.695,rotateclockwise
1495560102815,-0.0002,0.0015,0.0022,0.1549,0.0872,-9.7018,rotateclockwise
1495560102865,-0.0009,0.001,0.0016,0.1565,0.0805,-9.7026,rotateclockwise
1495560102915,0.0003,-0.0001,0.0016,0.142,0.0883,-9.6885,rotateclockwise
1495560102965,0.0002,0.0016,0.0015,0.1465,0.0979,-9.6824,rotateclockwise
1495560103016,-0.0002,-0.0006,0.0021,0.1563,0.0943,-9.7004,rotateclockwise
1495560103065,0.0006,0.0014,0.002,0.1609,0.0998,-9.7061,rotateclockwise
1495560103116,-0.0002,0.0001,0.001,0.1348,0.0882,-9.6819,rotateclockwise
1495560103165,-0.0002,0.0006,0.0026,0.1406,0.106,-9.6963,rotateclockwise
