timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495181857963,-0.3827,-0.5125,-0.1645,-0.327,-1.5601,-8.8263,rotateclockwise
1495181858013,-0.2126,-0.5976,-0.0757,1.3279,-2.0205,-8.915,rotateclockwise
1495181858064,-0.619,-1.0242,0.0126,1.7023,-1.4434,-8.3468,rotateclockwise
1495181858113,-0.7202,-0.6034,0.2647,1.7532,-0.3548,-9.091,rotateclockwise
1495181858163,-0.9391,-0.3852,0.286,1.4465,0.1229,-9.5819,rotateclockwise
1495181858214,-1.0573,-0.3334,0.7578,2.6369,0.1854,-12.4292,rotateclockwise
1495181858264,-0.2314,-0.1851,1.1132,1.7404,0.4936,-13.0387,rotateclockwise
1495181858314,-0.4506,-0.0874,1.6232,2.4953,1.0235,-15.5898,rotateclockwise
1495181858364,1.6491,0.0097,1.8573,-1.1997,2.8888,-18.8465,rotateclockwise
1495181858413,2.2386,0.7842,1.8196,-5.614,1.7137,-14.181,rotateclockwise
1495181858464,1.9559,-0.3697,1.3351,-9.1859,1.9339,-14.9804,rotateclockwise
1495181858514,3.1251,-0.5108,1.5462,-10.6234,4.0815,-11.0387,rotateclockwise
1495181858563,2.5598,-0.3551,-0.4863,-14.5803,2.5631,-2.3903,rotateclockwise
1495181858615,1.6204,-1.1295,-2.1162,-5.9394,1.2675,-3.7628,rotateclockwise
1495181858663,1.1275,-0.4732,-2.1241,-5.7633,0.8036,-1.2774,rotateclockwise
1495181858714,0.21,-0.8899,-2.8327,1.3472,-0.587,-1.6835,rotateclockwise
1495181858763,-0.7701,-0.5737,-2.5172,1.3091,-0.9919,-1.1651,rotateclockwise
1495181858813,-1.1986,-1.2355,-1.9023,3.0245,-0.8899,-3.3026,rotateclockwise
1495181858863,-1.8826,-0.9696,-1.5951,5.4247,-0.956,-2.2294,rotateclockwise
1495181858914,-2.0793,-0.2623,-1.1164,4.9176,-0.3485,-3.8926,rotateclockwise
1495181858963,-3.3555,-0.8168,-0.3769,7.6211,1.3243,-12.2463,rotateclockwise
1495181859014,-1.9597,0.1328,0.6061,5.2865,2.0475,-12.3341,rotateclockwise
1495181859064,-1.9077,0.0371,1.107,5.6095,2.6695,-14.4016,rotateclockwise
1495181859113,-1.4237,-0.0697,1.7225,6.4783,2.6173,-15.193,rotateclockwise
1495181859164,-1.1084,-0.1362,2.2557,3.0124,4.6011,-16.8222,rotateclockwise
1495181859213,-0.3257,-0.0657,2.4252,0.4551,5.3208,-17.8972,rotateclockwise
1495181859264,0.3978,0.092,2.6246,1.4518,4.4578,-17.2333,rotateclockwise
1495181859313,0.8062,0.1649,2.7434,-0.0465,4.766,-18.0317,rotateclockwise
1495181859364,1.5111,-0.0348,2.6733,-4.9502,5.0786,-17.0531,rotateclockwise
1495181859414,2.5039,-0.186,2.1837,-9.3616,4.5396,-13.673,rotateclockwise
1495181859463,2.0765,-0.3575,0.6485,-9.5067,2.8934,-8.4408,rotateclockwise
1495181859513,2.6348,-0.9221,-0.3445,-10.0221,1.8471,-6.1092,rotateclockwise
1495181859564,2.1755,-0.997,-1.1602,-10.5313,2.7162,-3.458,rotateclockwise
