timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490725149973,-0.6432,0.1966,-0.3738,0.2619,-2.9507,-8.4791,rotateclockwise
1490725150024,-1.2595,-1.1455,-0.2279,0.2727,-2.9368,-7.5207,rotateclockwise
1490725150073,-0.5664,-0.399,0.0868,3.7591,-2.7033,-10.8285,rotateclockwise
1490725150123,-0.752,-0.5169,0.8568,3.9438,-2.1448,-7.5147,rotateclockwise
1490725150173,-1.5025,-0.237,1.2723,5.977,-2.2251,-8.9358,rotateclockwise
1490725150223,-0.915,-0.7936,2.3943,6.1591,-0.6596,-14.1791,rotateclockwise
1490725150273,-0.3851,-0.4718,3.4659,0.7974,2.0786,-15.676,rotateclockwise
1490725150323,0.9998,-0.2142,3.0047,-8.966,5.6584,-14.214,rotateclockwise
1490725150373,1.0108,-1.1139,1.0604,-14.4035,6.723,-14.7608,rotateclockwise
1490725150423,2.0986,-0.8285,-0.2926,-11.0926,4.7376,-9.7977,rotateclockwise
1490725150474,2.4155,-0.6711,-1.2846,-9.5615,2.4794,-2.5466,rotateclockwise
1490725150523,0.8024,-0.795,-1.9729,-7.134,-0.5382,0.5701,rotateclockwise
1490725150573,-0.046,-1.1206,-2.4832,-5.1022,-0.6026,-1.6526,rotateclockwise
1490725150624,-0.998,-0.5789,-2.5718,0.4927,-1.3678,-1.1938,rotateclockwise
1490725150673,-1.8631,-0.3753,-1.8149,1.1422,-0.3869,-2.4755,rotateclockwise
1490725150729,-2.6751,0.6679,-1.506,6.0018,-0.4966,-5.3994,rotateclockwise
1490725150773,-3.3285,0.2275,-0.0435,7.3937,0.6526,-9.3689,rotateclockwise
1490725150823,-3.1688,0.9697,0.9171,7.2896,1.8541,-14.1911,rotateclockwise
1490725150873,-2.3631,0.8925,1.8034,6.8929,2.8062,-18.1875,rotateclockwise
1490725150924,-0.6037,1.6592,2.1682,2.8849,2.5628,-16.9388,rotateclockwise
1490725150973,-0.4566,0.0935,2.0619,3.8323,5.4864,-17.8499,rotateclockwise
1490725151023,1.8635,0.3997,2.9269,-0.0554,6.837,-18.0956,rotateclockwise
1490725151073,1.8799,-0.6425,2.4008,-8.4977,7.4722,-14.7428,rotateclockwise
1490725151123,2.4683,-0.5916,1.0543,-10.8425,5.8592,-11.8052,rotateclockwise
1490725151173,1.9611,-1.466,-0.183,-10.2303,3.2684,-5.1054,rotateclockwise
1490725151223,1.3561,-0.7944,-1.4366,-8.0807,0.8868,-2.5799,rotateclockwise
1490725151273,0.5459,-1.5633,-2.6219,-4.7235,0.4585,-1.4323,rotateclockwise
1490725151323,-0.3324,-0.9353,-2.7165,-0.4355,0.1272,-2.8483,rotateclockwise
1490725151373,-0.4576,-0.696,-2.5702,2.8629,-0.0443,-3.8142,rotateclockwise
1490725151423,-1.1989,0.1493,-1.7448,4.8264,-0.3758,-2.3144,rotateclockwise
1490725151474,-2.083,0.1861,-1.4442,4.9121,0.3904,-8.3019,rotateclockwise
1490725151523,-1.7365,0.6216,0.2738,9.4292,0.3603,-13.2843,rotateclockwise
1490725151573,-1.5305,-0.1754,1.1815,7.3258,1.1927,-15.2207,rotateclockwise
1490725151623,-0.1042,0.8308,2.0363,5.112,1.2456,-16.3954,rotateclockwise
1490725151673,-0.1147,0.1908,2.2776,4.4451,1.624,-17.6642,rotateclockwise
1490725151723,1.1258,0.3166,2.9297,-0.3351,3.3307,-17.2774,rotateclockwise
1490725151773,1.4457,0.2025,2.7252,-8.058,5.2406,-16.5531,rotateclockwise
1490725151823,2.5207,-0.6006,0.9909,-12.8323,5.2959,-14.548,rotateclockwise
1490725151873,2.6751,-0.6092,-0.4386,-8.9893,2.608,-7.4544,rotateclockwise
1490725151926,2.3185,-0.7055,-1.432,-6.4065,0.523,-2.5786,rotateclockwise
1490725151973,1.1094,-1.085,-1.7652,-1.6778,-1.6666,-1.4476,rotateclockwise
1490725152025,0.1568,-1.2355,-2.0405,-0.0253,-2.1822,-2.406,rotateclockwise
1490725152073,-0.5719,-0.8127,-1.6596,2.684,-1.868,-0.9753,rotateclockwise
1490725152123,-1.3709,-0.5397,-1.419,2.9794,-1.2028,-5.7146,rotateclockwise
1490725152174,-1.8777,-0.4053,-1.1766,6.9997,-1.0271,-5.5268,rotateclockwise
1490725152229,-2.3974,0.0267,-0.1615,8.0688,-1.0678,-12.4277,rotateclockwise
1490725152274,-1.8042,-0.1778,0.7992,9.3871,-1.5059,-15.315,rotateclockwise
1490725152323,-0.9175,0.5184,2.1439,6.0696,-0.6486,-17.4859,rotateclockwise
1490725152374,-0.253,0.0157,2.4597,2.4651,0.1931,-16.7039,rotateclockwise
1490725152423,0.3045,0.3389,2.8772,-0.2315,1.2975,-18.0061,rotateclockwise
1490725152473,0.9331,-0.3588,2.5795,-6.0074,2.8476,-16.8368,rotateclockwise
1490725152523,1.8486,-0.5409,1.7029,-12.6526,4.0353,-13.1057,rotateclockwise
1490725152573,2.0997,-0.8868,-0.1403,-11.1357,2.9036,-7.508,rotateclockwise
1490725152623,1.7299,-1.2326,-1.2058,-8.352,1.4937,-3.3182,rotateclockwise
1490725152673,1.2274,-1.3257,-1.9344,-4.2297,0.0961,-2.5968,rotateclockwise
1490725152724,0.5336,-0.9037,-2.331,0.1156,-1.2961,-2.3913,rotateclockwise
1490725152774,-0.1506,-0.8843,-2.0122,1.689,-2.1977,-1.6262,rotateclockwise
1490725152823,-1.0179,-0.2146,-1.774,2.3487,-2.1564,-2.4967,rotateclockwise
1490725152873,-1.6614,0.2381,-1.0073,4.7455,-2.1467,-6.1869,rotateclockwise
1490725152923,-2.3933,0.6691,-0.5017,7.5223,-1.6229,-7.8116,rotateclockwise
1490725152973,-2.6674,0.0235,0.3119,8.1299,-1.3648,-13.5347,rotateclockwise
1490725153023,-1.5048,0.758,1.5484,9.5328,-1.184,-17.1539,rotateclockwise
1490725153073,-0.7184,0.6165,2.4866,4.0587,-0.0299,-17.1268,rotateclockwise
1490725153123,-0.2693,0.2775,2.6945,-0.4078,1.2998,-20.6006,rotateclockwise
1490725153173,1.0417,-0.0128,2.6391,-6.6881,2.7831,-19.1142,rotateclockwise
1490725153223,2.1815,-0.0392,1.6289,-11.4146,3.4453,-14.4795,rotateclockwise
1490725153273,2.1096,-0.6817,-0.0632,-12.9621,3.3521,-9.0868,rotateclockwise
1490725153323,1.9579,-1.0677,-1.3638,-7.7347,1.8978,-2.6986,rotateclockwise
1490725153373,1.0969,-1.2958,-2.3524,-3.6205,0.134,-2.2216,rotateclockwise
1490725153424,0.4293,-1.1499,-2.4715,3.1121,-1.7089,-2.1172,rotateclockwise
1490725153473,-0.1552,-1.2105,-1.9278,3.3354,-2.7613,-2.7299,rotateclockwise
1490725153523,-0.7697,-0.5626,-1.378,3.6403,-2.2405,-3.1215,rotateclockwise
1490725153573,-1.5407,-0.15,-0.878,3.2633,-1.9135,-4.9491,rotateclockwise
1490725153624,-1.8974,0.1452,-0.3016,8.5831,-2.2773,-11.1106,rotateclockwise
1490725153673,-1.591,0.7897,0.5209,6.585,-1.3918,-10.5098,rotateclockwise
1490725153724,-1.7077,0.561,1.2,6.6307,-1.1555,-16.8102,rotateclockwise
1490725153773,-0.7077,0.8225,1.6636,6.1362,-1.7944,-15.3298,rotateclockwise
1490725153823,0.1975,0.8177,2.6286,1.6829,0.0963,-20.6761,rotateclockwise
1490725153873,0.8863,0.0232,2.3,-3.5256,0.9406,-17.7044,rotateclockwise
1490725153923,1.9233,-0.0469,1.6511,-8.8887,1.8708,-14.4706,rotateclockwise
1490725153973,2.1399,-0.4075,0.4349,-10.2497,1.6021,-9.9156,rotateclockwise
1490725154023,1.8338,-1.0785,-0.8507,-6.8434,0.4306,-6.849,rotateclockwise
1490725154073,1.354,-1.2021,-1.3514,-4.2867,-0.5663,-3.15,rotateclockwise
1490725154123,0.5602,-1.4982,-1.7188,-2.1091,-1.1059,-1.9172,rotateclockwise
