timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496234937610,-0.2253,-0.1051,0.2109,1.6591,-0.0265,-9.9849,rotateclockwise
1496234937659,-1.379,-0.6765,0.3153,4.3985,0.1815,-5.7998,rotateclockwise
1496234937710,-1.995,-0.2699,1.0224,9.5257,1.8886,-11.1338,rotateclockwise
1496234937759,-1.1036,-0.4711,2.7375,7.3604,3.6227,-12.8122,rotateclockwise
1496234937810,-0.4787,-0.5098,3.2125,5.5626,3.2528,-20.5214,rotateclockwise
1496234937859,0.796,0.007,3.1841,-4.7446,4.9682,-25.5728,rotateclockwise
1496234937909,3.1044,-0.3297,1.748,-14.6521,9.3772,-24.2086,rotateclockwise
1496234937960,4.4726,-0.8973,-0.0365,-14.6666,11.4787,-14.3393,rotateclockwise
1496234938010,3.824,-1.2245,-0.8546,-6.7717,6.922,-0.5573,rotateclockwise
1496234938059,2.1384,-2.0789,-1.913,-7.8955,5.7945,2.8728,rotateclockwise
1496234938109,1.4154,-1.7957,-2.6304,2.1603,3.0889,5.7879,rotateclockwise
1496234938160,-0.1482,-1.4497,-2.4026,0.6952,1.523,6.265,rotateclockwise
1496234938210,-1.9272,-0.6381,-2.2149,5.1536,0.6381,0.3392,rotateclockwise
1496234938260,-3.022,-0.4803,-1.8309,6.5413,1.9226,-2.6336,rotateclockwise
1496234938310,-3.6416,0.2913,-0.9009,9.9962,2.4855,-7.3114,rotateclockwise
1496234938360,-4.072,0.7002,-0.2733,12.9571,2.9162,-9.5807,rotateclockwise
1496234938410,-4.09,0.2871,1.4538,15.4208,4.5123,-18.7807,rotateclockwise
1496234938460,-2.3106,0.0593,3.4854,12.1297,6.293,-23.0931,rotateclockwise
1496234938509,-1.3359,-0.4895,4.0755,4.7243,9.6111,-26.4787,rotateclockwise
1496234938559,0.6765,-0.5396,3.7589,-1.9482,10.2693,-23.6629,rotateclockwise
1496234938609,2.3628,-0.7515,2.8868,-8.6388,11.0416,-22.6392,rotateclockwise
1496234938660,3.3007,-1.534,1.5715,-11.2271,10.5054,-15.1908,rotateclockwise
1496234938710,4.1453,-1.9268,-0.1345,-12.2146,9.2822,-6.3708,rotateclockwise
1496234938760,3.4989,-2.126,-1.1536,-10.3283,6.8789,1.6961,rotateclockwise
1496234938810,1.5415,-2.0565,-3.0299,-4.8689,4.4566,5.6785,rotateclockwise
1496234938860,0.2703,-1.7224,-3.2324,-0.5151,1.6114,4.0306,rotateclockwise
1496234938911,-1.0103,-0.8548,-3.2132,2.9484,1.1253,3.9477,rotateclockwise
1496234938960,-1.88,-0.5839,-2.7818,5.4347,1.512,-2.8549,rotateclockwise
1496234939010,-3.2284,0.1529,-1.4853,8.9776,2.7682,-6.7794,rotateclockwise
1496234939063,-3.6506,0.8235,-0.2804,16.8135,2.6159,-13.2202,rotateclockwise
1496234939110,-3.6246,0.7335,0.9279,16.0855,2.8541,-15.1596,rotateclockwise
1496234939160,-2.7213,0.3349,2.7591,14.1527,5.3471,-20.2187,rotateclockwise
1496234939210,-1.5622,-0.2099,3.7355,8.5482,7.2066,-20.2877,rotateclockwise
1496234939261,-0.2372,0.6171,4.323,-0.7124,7.9845,-14.8188,rotateclockwise
1496234939309,0.953,-0.0751,3.5986,-2.4028,11.6088,-32.4675,rotateclockwise
1496234939360,2.5475,-1.5377,2.2079,-9.8972,11.7521,-22.1109,rotateclockwise
1496234939410,3.9292,-1.9346,0.6939,-10.5359,9.8922,-12.6815,rotateclockwise
1496234939460,3.943,-2.3322,-0.6488,-9.591,7.3217,-4.2835,rotateclockwise
1496234939510,2.6453,-2.1374,-2.1156,-7.6018,4.1657,3.7357,rotateclockwise
1496234939562,1.1576,-1.9527,-3.3911,-1.4316,2.2907,6.8186,rotateclockwise
1496234939610,-0.1561,-1.3494,-3.3521,1.7753,1.3682,4.707,rotateclockwise
1496234939659,-1.9878,-0.3953,-3.1118,2.571,2.2156,1.6837,rotateclockwise
1496234939710,-2.7573,-0.5715,-2.7711,9.548,2.7538,-3.6641,rotateclockwise
1496234939760,-3.3882,0.0691,-1.5797,8.2719,3.6484,-5.4729,rotateclockwise
1496234939810,-3.8792,-0.0249,-0.7838,15.6484,3.1308,-12.8662,rotateclockwise
1496234939860,-3.8129,0.3673,1.0798,15.2475,4.6994,-16.8344,rotateclockwise
1496234939910,-2.1322,0.1203,3.23,9.6688,6.1423,-19.9425,rotateclockwise
1496234939960,-1.5603,-0.1486,3.8921,4.577,9.7466,-21.106,rotateclockwise
1496234940010,-0.1392,-0.7551,3.5345,0.0812,11.3816,-26.0981,rotateclockwise
1496234940060,2.198,-0.7695,3.0558,-4.7512,12.6301,-25.1727,rotateclockwise
1496234940110,3.5508,-1.636,1.5766,-8.3585,10.8896,-20.4354,rotateclockwise
1496234940160,4.4889,-2.0492,0.7446,-10.1118,8.909,-7.8893,rotateclockwise
1496234940210,4.1428,-2.3088,-0.7082,-12.1749,5.9114,1.9111,rotateclockwise
1496234940260,2.5157,-2.2214,-2.4672,-7.5203,3.8305,4.7599,rotateclockwise
1496234940310,0.1708,-1.2689,-3.4342,0.3258,2.4156,6.5318,rotateclockwise
1496234940360,-1.4599,-1.3089,-3.0929,1.3786,2.4296,3.0176,rotateclockwise
1496234940411,-2.3817,-0.6705,-2.4128,7.0775,2.0536,-0.0652,rotateclockwise
1496234940460,-2.9414,-0.5381,-2.0965,6.4953,4.2605,-2.2808,rotateclockwise
1496234940510,-4.1855,0.1629,-0.5331,13.0538,6.0795,-11.1995,rotateclockwise
1496234940561,-3.7975,0.4958,0.4358,18.3092,5.5853,-17.6481,rotateclockwise
1496234940610,-3.0303,-0.8175,2.4093,12.6544,7.706,-25.0352,rotateclockwise
1496234940660,-1.7169,-0.657,3.1584,10.2617,7.8467,-26.6001,rotateclockwise
1496234940711,0.1125,-0.6214,3.6131,-0.4785,9.3773,-26.9653,rotateclockwise
1496234940760,2.0316,-0.2988,3.4279,-7.1716,11.0963,-25.5611,rotateclockwise
1496234940810,4.0195,-0.7855,2.3402,-11.0057,11.8451,-16.2107,rotateclockwise
1496234940860,4.1091,-1.0363,0.5305,-12.3026,9.1144,-7.1723,rotateclockwise
1496234940910,3.4929,-1.5538,-0.8914,-11.9631,6.2783,0.849,rotateclockwise
1496234940960,2.3004,-1.843,-2.317,-7.6999,4.2987,3.4786,rotateclockwise
1496234941010,0.3516,-1.3213,-2.7273,-3.1507,2.2921,7.0878,rotateclockwise
1496234941060,-0.6742,-1.4139,-3.1819,0.4713,2.6164,2.6114,rotateclockwise
1496234941110,-2.3387,-0.9591,-2.6062,5.0514,1.5426,2.66,rotateclockwise
