timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496233977459,-0.0102,-0.1898,0.0778,1.1791,-0.8494,-9.7917,rotateclockwise
1496233977509,-0.2995,-0.0829,-0.0284,1.1523,-1.1685,-8.3253,rotateclockwise
1496233977560,-0.5047,-0.1274,-0.0286,1.9614,-1.1739,-8.4166,rotateclockwise
1496233977613,-1.349,0.2485,-0.0408,4.6787,0.224,-8.8021,rotateclockwise
1496233977660,-1.2643,-0.6579,0.7188,6.3305,0.9758,-11.8961,rotateclockwise
1496233977709,-1.1857,-0.2045,0.6732,5.9126,0.9141,-12.116,rotateclockwise
1496233977759,-0.8199,-0.8953,1.6174,5.7599,2.1828,-16.6143,rotateclockwise
1496233977809,1.0446,-1.0192,2.5566,-0.2086,2.719,-16.8247,rotateclockwise
1496233977858,1.8709,-1.1987,1.987,-10.7701,5.8248,-17.0905,rotateclockwise
1496233977908,2.776,-0.186,-0.0867,-12.3871,4.6939,-8.5469,rotateclockwise
1496233977958,2.672,-1.068,-1.1139,-9.4366,2.601,-2.1617,rotateclockwise
1496233978008,1.6684,-0.4043,-2.0427,-3.8814,1.3612,-0.4155,rotateclockwise
1496233978059,0.7886,-0.9007,-2.4604,-3.0581,1.018,-0.0842,rotateclockwise
1496233978109,-0.135,-0.7191,-2.8183,1.9907,0.3104,0.2916,rotateclockwise
1496233978159,-1.4575,-0.1231,-2.2067,3.4473,0.4447,-1.6829,rotateclockwise
1496233978209,-1.951,0.5061,-1.8586,7.4997,0.3482,-4.4078,rotateclockwise
1496233978259,-2.5078,-0.1773,-0.7572,10.1469,0.4817,-8.8305,rotateclockwise
1496233978309,-2.48,-0.0688,0.3293,10.2372,1.2032,-12.2464,rotateclockwise
1496233978359,-1.9313,0.1505,1.3414,8.7216,2.1413,-13.8283,rotateclockwise
1496233978409,-1.9389,0.0178,2.4348,8.5007,2.8737,-16.4585,rotateclockwise
1496233978459,-1.0909,-0.245,2.9672,5.0245,4.4592,-18.9884,rotateclockwise
1496233978509,-0.442,-0.3182,3.2118,0.7843,5.8672,-19.9709,rotateclockwise
1496233978559,0.7895,-0.6849,3.1656,-3.8805,7.1451,-20.8086,rotateclockwise
1496233978609,1.9208,-0.6133,2.1927,-10.1099,7.7567,-18.7553,rotateclockwise
1496233978659,3.5033,-0.7494,0.6601,-13.067,7.0334,-10.5268,rotateclockwise
1496233978712,3.0217,-0.5776,-0.4661,-9.721,2.9044,-2.1226,rotateclockwise
1496233978759,1.9996,-0.7492,-1.5289,-4.3617,1.2735,-0.9854,rotateclockwise
1496233978809,1.1688,-1.103,-2.0375,-1.3361,-0.1834,-1.3465,rotateclockwise
1496233978860,0.3805,-0.6556,-2.0947,0.9369,-0.9234,-1.3755,rotateclockwise
1496233978911,-0.0529,-0.2712,-1.5709,1.5419,-0.5318,-4.3972,rotateclockwise
1496233978959,-0.7499,-0.6392,-1.8168,3.2722,-0.6546,-3.3337,rotateclockwise
1496233979009,-1.6142,-0.0405,-1.4164,6.0833,-0.5826,-3.4287,rotateclockwise
1496233979059,-2.072,0.6786,-0.469,8.4906,0.0764,-7.3147,rotateclockwise
1496233979109,-2.8618,0.2233,0.2405,11.8601,1.4089,-13.6225,rotateclockwise
1496233979159,-2.378,0.4058,1.3393,11.3965,1.9351,-15.9174,rotateclockwise
1496233979209,-1.6028,0.3346,2.2634,9.3144,2.849,-19.491,rotateclockwise
1496233979259,-0.6654,-0.3071,2.7743,4.5296,4.1044,-21.3638,rotateclockwise
1496233979309,0.3751,0.5038,3.0407,0.2016,5.6066,-18.7209,rotateclockwise
1496233979359,0.8577,-0.7184,2.9411,-8.0498,7.0461,-19.1954,rotateclockwise
1496233979409,2.3786,-0.6487,1.6821,-11.3492,6.2682,-14.0989,rotateclockwise
1496233979459,2.3786,-0.9002,0.16,-12.2332,4.6717,-8.6972,rotateclockwise
1496233979509,2.384,-0.9442,-1.0837,-7.3836,2.223,-2.3402,rotateclockwise
1496233979559,1.6598,-1.2426,-2.0004,-3.2845,0.1876,-1.0019,rotateclockwise
1496233979609,0.9666,-0.9742,-2.2449,-0.254,-0.7949,-0.5971,rotateclockwise
1496233979659,-0.2666,-0.4288,-2.3905,1.4112,-0.3221,-0.4012,rotateclockwise
1496233979710,-1.0751,-0.4516,-2.1084,4.3312,0.9423,-2.6434,rotateclockwise
1496233979759,-1.6707,0.1663,-1.5009,4.0229,2.1739,-6.0783,rotateclockwise
1496233979809,-1.1845,0.226,-1.9413,11.3464,0.8409,-5.1552,rotateclockwise
1496233979859,-1.8997,0.2041,-1.2858,12.8774,0.7538,-7.0641,rotateclockwise
1496233979909,-2.508,0.0851,0.1895,11.2688,1.6097,-14.2582,rotateclockwise
1496233979959,-2.1486,0.3633,1.3543,11.2607,1.1515,-14.7729,rotateclockwise
1496233980009,-1.8478,-0.4153,2.2301,9.1878,3.2042,-20.3629,rotateclockwise
1496233980059,-0.7256,-0.4649,3.0144,5.4162,4.4538,-18.2587,rotateclockwise
1496233980109,0.4251,-1.129,3.1364,0.5035,5.5985,-20.3514,rotateclockwise
1496233980162,1.8273,-1.0473,2.821,-5.3117,7.2025,-19.9854,rotateclockwise
1496233980209,2.9233,-1.2423,1.4543,-10.4009,7.0477,-10.0895,rotateclockwise
1496233980259,2.8595,-1.1444,0.0278,-10.3173,4.7189,-5.6321,rotateclockwise
1496233980309,2.5783,-0.9042,-1.4678,-4.9418,1.9887,-0.6954,rotateclockwise
1496233980359,1.3948,-1.7597,-1.9961,-4.4208,0.8251,-0.8033,rotateclockwise
1496233980409,0.3933,-0.722,-2.6196,-0.6607,-0.6273,1.1227,rotateclockwise
1496233980459,-0.5031,-0.8635,-2.3652,1.8858,-0.4398,-0.6698,rotateclockwise
1496233980509,-1.3101,-0.3445,-2.2162,3.1042,-0.4399,-2.0694,rotateclockwise
1496233980559,-2.1053,-0.4306,-1.7071,4.8173,0.3214,-4.6705,rotateclockwise
1496233980610,-2.5159,0.162,-1.1131,8.8236,1.1649,-7.2323,rotateclockwise
1496233980659,-2.6086,0.3864,0.151,9.0255,2.1437,-11.2901,rotateclockwise
1496233980709,-2.1961,0.3202,1.187,9.9804,2.8796,-15.0699,rotateclockwise
1496233980759,-1.7073,0.3383,1.8687,8.3285,3.8594,-16.9273,rotateclockwise
1496233980809,-1.1616,0.7029,2.3193,6.5553,3.5933,-16.5253,rotateclockwise
1496233980859,-1.1391,-0.4222,2.8132,3.5053,7.0676,-22.7369,rotateclockwise
1496233980909,0.8402,-0.1865,3.1989,-3.7742,8.8,-19.078,rotateclockwise
1496233980959,2.0022,-1.1015,2.1275,-8.5952,8.0871,-16.41,rotateclockwise
1496233981009,3.0878,-1.1079,0.3793,-10.0193,6.3284,-9.5884,rotateclockwise
1496233981059,3.0167,-1.1594,-0.9623,-7.1832,3.3809,-3.0097,rotateclockwise
1496233981109,2.0847,-1.1145,-1.5267,-6.1597,1.2011,-0.0874,rotateclockwise
1496233981159,1.4961,-1.028,-2.2276,-4.0524,0.6196,0.2076,rotateclockwise
1496233981209,1.523,-0.0698,-2.0949,-0.6075,-0.1948,-1.0838,rotateclockwise
1496233981259,0.1568,-0.4625,-2.497,-0.8208,0.6072,3.4471,rotateclockwise
1496233981310,-1.5514,-0.7486,-2.5954,3.5639,1.0275,-3.7121,rotateclockwise
1496233981359,-2.4373,-0.9795,-1.4681,8.9763,0.9379,-5.5833,rotateclockwise
1496233981409,-3.1638,-0.5235,-0.6016,12.0823,2.4953,-10.3991,rotateclockwise
1496233981459,-2.7917,0.0954,0.5275,12.365,3.0588,-15.2881,rotateclockwise
1496233981509,-2.2781,-0.4769,1.7441,13.3231,3.5206,-19.7898,rotateclockwise
1496233981559,-0.9647,-0.4472,2.6689,7.5532,3.9837,-20.0184,rotateclockwise
1496233981609,-0.1747,-0.5959,3.0963,4.269,4.6673,-19.8261,rotateclockwise
1496233981659,0.6429,-0.3684,3.2278,-0.0993,5.5545,-17.991,rotateclockwise
1496233981711,1.9278,-0.2846,2.6612,-8.8026,6.5374,-15.1211,rotateclockwise
1496233981759,2.4793,-0.4245,1.315,-11.0078,4.8609,-11.7831,rotateclockwise
1496233981809,2.78,-0.5148,0.0899,-8.7265,3.1575,-6.9086,rotateclockwise
1496233981860,2.4716,-0.5546,-0.7372,-5.0083,2.154,-3.5107,rotateclockwise
1496233981909,1.6433,-1.5894,-1.547,-4.0695,1.7057,-3.0078,rotateclockwise
1496233981959,0.6423,-1.4625,-2.1426,-1.3618,-0.2563,0.7673,rotateclockwise
1496233982009,-0.5881,-1.3208,-2.5647,0.6924,-0.5338,-0.7208,rotateclockwise
1496233982059,-1.1987,-0.7151,-2.0132,1.7654,-0.3881,1.0254,rotateclockwise
1496233982109,-2.2442,-0.0077,-1.8618,4.2722,0.0903,-5.1793,rotateclockwise
1496233982159,-2.0997,0.0535,-1.2142,10.5539,-0.5962,-5.3916,rotateclockwise
1496233982209,-2.7924,0.3638,0.0059,10.9675,0.2342,-12.2538,rotateclockwise
1496233982259,-2.2675,0.4568,1.2915,11.2986,2.3311,-14.8875,rotateclockwise
1496233982309,-1.7209,0.1221,1.6498,8.4016,3.91,-18.8433,rotateclockwise
1496233982359,-0.9458,0.3391,2.0995,9.8448,4.0425,-19.7821,rotateclockwise
1496233982409,-0.1416,-0.4364,2.9011,3.5681,5.4336,-17.0572,rotateclockwise
1496233982459,0.3364,-0.3267,2.9499,-2.1153,7.1086,-20.6066,rotateclockwise
1496233982509,1.9024,-0.3917,2.0123,-8.3512,6.9724,-15.5826,rotateclockwise
1496233982559,2.4278,-0.3363,0.8235,-9.2728,5.7647,-12.0037,rotateclockwise
