timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1493804516549,-0.4019,-0.1917,0.0098,3.4948,-2.0929,-7.8464,rotateclockwise
1493804516599,-0.6811,-0.1041,0.3569,2.0021,-1.6374,-8.7481,rotateclockwise
1493804516649,-0.5206,-0.1057,0.1596,1.3394,-1.3813,-9.6602,rotateclockwise
1493804516699,-0.6148,-0.1473,-0.0072,1.2272,-1.1067,-9.1295,rotateclockwise
1493804516749,-1.0604,-0.8326,-0.4519,1.7258,-0.3985,-6.737,rotateclockwise
1493804516800,-1.5346,-0.5807,-0.034,7.7027,0.1389,-7.1668,rotateclockwise
1493804516849,-2.5198,-0.5067,0.8783,8.8719,0.9931,-8.8148,rotateclockwise
1493804516901,-2.7457,-0.7516,1.9986,9.3706,1.3179,-16.9956,rotateclockwise
1493804516949,-0.6564,-1.0123,3.4585,6.2492,2.5963,-19.3543,rotateclockwise
1493804516999,0.3612,-0.4638,3.4447,-0.8012,5.78,-22.3503,rotateclockwise
1493804517050,2.6729,-0.616,2.4551,-7.1245,8.4993,-15.9026,rotateclockwise
1493804517099,3.1259,-1.5017,0.2603,-10.1156,9.1823,-13.162,rotateclockwise
1493804517149,3.2515,-1.6974,-0.7762,-7.8641,7.1061,-4.5264,rotateclockwise
1493804517199,1.7655,-2.0037,-2.3847,-3.5874,3.9874,-1.3122,rotateclockwise
1493804517249,0.6834,-2.0045,-2.7007,-0.8459,1.3033,1.2756,rotateclockwise
1493804517300,-0.3614,-1.2613,-2.5305,2.0323,-0.2155,1.2013,rotateclockwise
1493804517349,-1.0769,-0.7756,-2.1973,1.5432,-0.3892,1.6161,rotateclockwise
1493804517399,-2.2584,-0.4482,-1.8008,4.8683,-0.0851,-2.3411,rotateclockwise
1493804517449,-2.5821,0.0769,-1.2377,4.6066,1.0254,-3.7106,rotateclockwise
1493804517499,-3.5023,1.0424,-0.1445,10.2185,2.9718,-8.5586,rotateclockwise
1493804517549,-3.4656,0.9771,0.853,10.6401,4.5456,-15.664,rotateclockwise
1493804517599,-2.6564,0.3573,2.5965,12.2467,5.577,-20.6417,rotateclockwise
1493804517649,-1.1462,-0.4206,3.2488,8.2214,6.9825,-24.9353,rotateclockwise
1493804517699,0.5674,-0.3726,3.6668,1.5747,8.0494,-23.2014,rotateclockwise
1493804517750,1.9654,-0.8047,2.994,-6.9337,9.8299,-20.8751,rotateclockwise
1493804517800,2.9377,-0.9266,2.0612,-11.6133,11.3785,-19.3803,rotateclockwise
1493804517850,3.7113,-1.6534,-0.2695,-9.9932,9.3815,-7.4492,rotateclockwise
