timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1490728852657,-0.066,-0.1969,-0.2153,1.7584,-2.5988,-9.4241,rotateclockwise
1490728852693,-0.1224,-0.6187,-0.158,2.1791,-2.9484,-8.7548,rotateclockwise
1490728852743,-0.2415,-0.4151,-0.0166,1.0303,-2.7421,-9.3118,rotateclockwise
1490728852794,-0.261,-0.3695,-0.1267,2.4049,-2.4456,-7.9475,rotateclockwise
1490728852843,-0.6144,-0.7048,0.1141,1.2037,-2.3548,-9.8627,rotateclockwise
1490728852893,-0.6453,-0.8734,0.0214,2.8295,-2.0905,-7.1694,rotateclockwise
1490728852943,-1.3103,-1.1605,0.3708,5.6775,-1.9333,-9.5015,rotateclockwise
1490728852993,-0.9319,-0.8656,1.2912,5.9121,-1.2882,-10.2121,rotateclockwise
1490728853043,-1.5186,-0.132,2.2566,3.2115,0.5776,-11.2299,rotateclockwise
1490728853094,-0.3457,-0.9042,2.3128,-0.7313,2.4512,-17.3968,rotateclockwise
1490728853143,1.4854,-0.2141,2.052,-8.6236,4.1674,-15.917,rotateclockwise
1490728853193,1.6606,-0.9635,0.7724,-11.6929,3.6883,-12.3596,rotateclockwise
1490728853243,2.0396,-0.8171,-0.6888,-11.9101,3.1853,-8.512,rotateclockwise
1490728853294,1.873,-0.9213,-1.3844,-8.5222,1.8329,-2.4714,rotateclockwise
1490728853343,0.9401,-1.1209,-2.2904,-4.648,0.6395,-2.1226,rotateclockwise
1490728853394,0.1276,-0.6476,-2.5787,-1.0027,0.0395,-1.2862,rotateclockwise
1490728853443,-0.8589,-0.721,-2.2831,1.5561,-0.1992,-1.8096,rotateclockwise
1490728853495,-1.6408,-0.0499,-2.1017,4.0363,0.2991,-3.9057,rotateclockwise
1490728853543,-2.5447,0.0633,-1.28,7.2016,0.1189,-9.1803,rotateclockwise
1490728853593,-1.992,0.4602,0.2632,7.8288,0.1779,-12.4944,rotateclockwise
1490728853643,-2.0514,0.0538,1.1948,6.1613,0.7792,-16.4474,rotateclockwise
1490728853693,-1.1658,0.3559,2.2813,5.8668,1.4577,-18.8301,rotateclockwise
1490728853743,-0.3856,0.144,2.9027,0.6275,2.6698,-18.9059,rotateclockwise
1490728853793,1.0569,0.7469,2.6443,-4.2102,3.2653,-20.454,rotateclockwise
1490728853843,1.9731,-0.1775,2.0833,-9.4453,4.7262,-17.4938,rotateclockwise
1490728853894,3.0242,-0.3195,0.5301,-11.0101,4.3409,-11.901,rotateclockwise
1490728853944,2.733,-0.5902,-0.3515,-8.9058,2.724,-5.3965,rotateclockwise
1490728853993,1.9527,-1.4929,-1.324,-5.2943,0.9338,-2.1061,rotateclockwise
1490728854044,1.4609,-1.355,-1.657,-3.1963,0.0275,-0.4381,rotateclockwise
1490728854094,0.2744,-1.2383,-2.0412,-1.7364,-0.3608,-0.9894,rotateclockwise
