timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496246589440,-0.4687,-0.2702,0.0013,2.8035,-0.3471,-9.1623,rotateclockwise
1496246589496,-0.5297,0.1013,0.3287,4.5364,-0.5368,-7.8129,rotateclockwise
1496246589540,-1.2138,0.1463,0.7418,6.3132,-1.0752,-9.7578,rotateclockwise
1496246589589,-1.8442,0.0059,1.3262,6.2528,1.0148,-15.6506,rotateclockwise
1496246589640,-0.6298,-0.4431,2.1165,0.938,3.8857,-17.2093,rotateclockwise
1496246589690,0.6254,-1.3611,1.657,-7.668,6.1463,-17.6703,rotateclockwise
1496246589740,1.8522,-1.4556,0.4284,-12.9031,6.8766,-13.563,rotateclockwise
1496246589790,2.5042,-1.4272,-0.7641,-11.6768,4.8893,-8.7437,rotateclockwise
1496246589839,2.4185,-1.1401,-1.8391,-7.7106,3.0421,-4.5396,rotateclockwise
1496246589890,1.9051,-0.4866,-2.527,-3.3963,0.1677,-1.1018,rotateclockwise
1496246589939,0.8618,-0.3364,-2.6427,1.3418,-1.6536,0.3768,rotateclockwise
1496246589991,-0.3145,-0.2422,-2.3314,2.4877,-1.567,-0.1734,rotateclockwise
1496246590039,-1.306,0.0183,-1.669,3.8857,-1.7178,-3.0346,rotateclockwise
1496246590089,-1.9545,0.5225,-1.2459,6.4078,-0.8265,-4.4872,rotateclockwise
1496246590140,-2.4337,0.5244,-0.7802,7.803,-0.3138,-6.7243,rotateclockwise
1496246590189,-2.6512,0.516,-0.0512,9.7505,1.5036,-9.5635,rotateclockwise
1496246590239,-2.6423,-0.0094,1.0936,11.5251,3.8477,-13.0904,rotateclockwise
1496246590290,-1.5085,-0.4042,2.1428,8.9506,4.8322,-19.1868,rotateclockwise
1496246590339,-0.4953,-0.7,3.2341,3.3399,5.7012,-18.0309,rotateclockwise
1496246590389,0.5794,-1.1347,3.336,-2.4705,6.7926,-19.4488,rotateclockwise
1496246590439,2.0455,-0.7213,3.1013,-9.1542,6.6265,-19.5067,rotateclockwise
1496246590489,3.2135,-0.7778,1.751,-14.2953,6.6411,-14.2148,rotateclockwise
1496246590540,3.5382,-0.9998,-0.4126,-13.3926,4.2859,-6.0033,rotateclockwise
1496246590589,2.6562,-1.0757,-1.6177,-8.9249,1.375,-0.5818,rotateclockwise
1496246590639,1.4342,-0.763,-2.2447,-5.1963,0.2226,1.4442,rotateclockwise
1496246590690,1.1588,-0.7424,-2.352,-2.7483,0.1567,2.4536,rotateclockwise
1496246590740,-0.9518,-0.3686,-2.214,1.8113,-0.362,2.0133,rotateclockwise
1496246590790,-1.5451,-0.2406,-2.2307,2.6958,0.0199,-1.7818,rotateclockwise
1496246590840,-2.3978,0.1269,-1.6523,5.2885,0.8604,-5.8368,rotateclockwise
1496246590890,-2.5403,0.3209,-1.3921,9.8858,0.5953,-8.8971,rotateclockwise
1496246590939,-2.5889,0.0962,-0.3837,11.451,0.7612,-12.6464,rotateclockwise
1496246590990,-2.1981,0.0512,0.6947,11.5394,0.6671,-15.0572,rotateclockwise
1496246591039,-1.5439,-0.3083,1.8929,9.394,1.9684,-17.5036,rotateclockwise
1496246591090,-1.0883,-0.6053,2.7754,6.4771,2.7799,-15.3036,rotateclockwise
1496246591140,-0.4522,-0.4513,3.4591,1.5283,5.8844,-21.9836,rotateclockwise
1496246591189,1.1673,-0.5614,3.3335,-3.8599,6.3798,-20.1892,rotateclockwise
1496246591239,1.7734,-0.9184,2.67,-12.1722,6.3839,-17.2634,rotateclockwise
1496246591289,2.5774,-1.3069,0.4433,-11.6457,5.0782,-10.9874,rotateclockwise
1496246591339,2.9376,-1.7255,-0.6087,-9.406,3.624,-5.6985,rotateclockwise
1496246591390,2.7315,-1.4182,-1.6253,-6.0604,1.1853,1.6104,rotateclockwise
1496246591439,1.4534,-1.0739,-2.1623,-5.1971,0.11,2.6672,rotateclockwise
1496246591490,-0.0991,-1.0952,-2.8386,-0.9466,-1.0567,3.7688,rotateclockwise
1496246591540,-1.1321,-0.3784,-2.4191,1.9499,-1.1132,0.8633,rotateclockwise
1496246591591,-2.0244,-0.0301,-2.1032,5.7757,0.5966,-1.7264,rotateclockwise
1496246591643,-2.6983,0.5277,-1.6517,7.7568,0.1893,-7.1935,rotateclockwise
1496246591691,-3.4122,0.6655,-0.8215,10.3595,2.9058,-14.1376,rotateclockwise
1496246591741,-2.4176,0.3247,-0.3042,12.9085,2.3428,-16.2039,rotateclockwise
1496246591790,-1.9663,-0.1765,1.0791,10.7132,1.0489,-15.2091,rotateclockwise
1496246591839,-1.6687,-0.7245,2.0831,7.5115,3.2401,-17.8147,rotateclockwise
1496246591890,-0.5896,-0.5361,2.9253,5.6603,3.5422,-17.8101,rotateclockwise
1496246591939,0.2584,-0.8587,3.1759,-2.2065,5.2275,-22.3372,rotateclockwise
1496246591991,1.665,-0.9577,2.8401,-11.0724,7.6963,-21.532,rotateclockwise
1496246592040,3.4305,-0.9341,1.3599,-13.9555,7.1318,-11.1619,rotateclockwise
1496246592090,3.109,-1.4171,-0.3404,-13.4009,4.7671,-4.2999,rotateclockwise
1496246592140,2.5423,-1.3374,-1.7786,-7.5506,2.0673,0.1295,rotateclockwise
1496246592190,1.5422,-0.8484,-2.4811,-1.9441,0.1845,3.2644,rotateclockwise
1496246592240,0.048,-0.8396,-2.4279,1.3257,-1.1845,1.3159,rotateclockwise
1496246592290,-0.7983,-0.4441,-2.0782,2.1311,-1.4662,-0.7259,rotateclockwise
1496246592341,-1.798,0.0093,-1.6923,3.6102,-0.8379,-3.7716,rotateclockwise
1496246592392,-2.3351,0.1127,-1.5043,5.673,0.2626,-5.3878,rotateclockwise
1496246592440,-2.4582,0.3522,-0.6333,8.796,-0.5055,-9.5889,rotateclockwise
1496246592490,-2.4957,0.2287,0.2073,10.1517,2.2741,-13.8299,rotateclockwise
1496246592540,-2.0499,0.1032,1.0205,10.5557,2.7637,-15.319,rotateclockwise
1496246592590,-1.5088,-0.3797,1.9868,9.209,2.4873,-17.8435,rotateclockwise
1496246592640,-1.0129,-0.6572,3.016,4.4216,4.0927,-19.2672,rotateclockwise
1496246592690,0.3234,-0.425,3.4866,-2.0897,5.4507,-22.455,rotateclockwise
1496246592743,1.8847,-0.3461,3.0566,-11.2976,6.3504,-21.0789,rotateclockwise
1496246592790,3.2216,-0.5773,1.542,-13.8021,6.9495,-14.8524,rotateclockwise
1496246592840,3.3046,-1.3728,-0.6369,-13.2077,5.1374,-4.2469,rotateclockwise
1496246592890,2.3734,-1.3921,-1.9139,-9.713,2.6123,0.1926,rotateclockwise
1496246592940,0.9329,-1.1553,-2.488,-4.383,0.2085,3.0013,rotateclockwise
1496246592990,0.0779,-0.8831,-2.5894,0.2027,-0.7923,-0.2163,rotateclockwise
1496246593040,-0.7924,-0.86,-2.3417,2.8708,-0.8939,-1.6786,rotateclockwise
1496246593090,-1.2176,-0.1245,-1.8429,1.6318,-0.5191,-3.4836,rotateclockwise
1496246593140,-2.2104,-0.246,-1.4924,6.4954,0.059,-5.8528,rotateclockwise
1496246593190,-2.3891,0.3398,-1.0135,7.6311,0.5994,-8.0232,rotateclockwise
1496246593239,-2.3146,0.1584,-0.414,9.6954,1.1226,-13.2536,rotateclockwise
1496246593290,-2.0585,0.0354,0.4756,10.9333,0.5258,-13.5934,rotateclockwise
1496246593340,-1.5785,-0.1349,1.6313,9.8193,1.0866,-14.368,rotateclockwise
1496246593391,-1.2463,-0.4171,2.6801,8.9846,2.2238,-16.0063,rotateclockwise
1496246593440,-0.1323,-0.4022,3.3666,3.3787,4.3563,-19.7737,rotateclockwise
1496246593490,0.9011,-0.6389,3.5042,-4.2144,5.5444,-21.7339,rotateclockwise
