timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1496233009314,-0.6075,-1.2462,-0.2695,1.366,-1.7448,-9.0515,rotateclockwise
1496233009363,0.1483,-1.0242,-0.202,0.1513,-1.7352,-11.8982,rotateclockwise
1496233009414,0.2186,-0.2662,-0.0874,-1.0205,-1.1377,-7.4204,rotateclockwise
1496233009463,-0.4059,0.1533,-0.3703,-3.3915,-3.0495,-6.7697,rotateclockwise
1496233009513,-1.5975,-0.9238,-0.6508,-3.3938,-2.9974,-11.1033,rotateclockwise
1496233009564,-1.7194,0.4304,-1.6653,-7.5381,-1.5959,-15.8874,rotateclockwise
1496233009613,-1.5018,0.027,-2.9925,-1.618,1.5677,-20.31,rotateclockwise
1496233009663,-1.1333,1.194,-2.5385,4.4743,6.0048,-23.6892,rotateclockwise
1496233009714,2.0001,0.5012,-1.8386,9.4959,8.285,-19.717,rotateclockwise
1496233009763,2.1879,1.2162,-0.0717,12.1767,9.8381,-8.6373,rotateclockwise
1496233009813,2.3865,1.7771,1.7644,11.5896,8.8581,-6.4576,rotateclockwise
1496233009863,3.0257,0.6653,2.7466,6.568,5.5568,3.0385,rotateclockwise
1496233009913,1.3921,0.8187,3.4887,2.1574,3.4384,3.184,rotateclockwise
1496233009964,-0.8532,-0.0058,3.1263,-5.588,-0.1518,2.8408,rotateclockwise
1496233010013,-1.5969,0.7014,2.9168,-6.2138,-1.1758,1.746,rotateclockwise
1496233010064,-2.9516,0.0217,1.0166,-8.7335,-0.1373,-5.4629,rotateclockwise
1496233010114,-3.2058,0.2321,0.5,-12.6062,0.3583,-2.9904,rotateclockwise
1496233010163,-3.5559,-0.3996,-1.1933,-8.7614,5.8202,-9.8729,rotateclockwise
1496233010213,-3.5524,-0.2782,-1.2565,-13.7407,6.3773,-14.0789,rotateclockwise
1496233010265,-2.443,0.0836,-3.007,-10.5966,8.4868,-24.2661,rotateclockwise
1496233010313,-1.6754,0.7349,-3.4462,-9.1125,7.9742,-20.5053,rotateclockwise
1496233010364,-0.6704,0.7617,-4.1328,0.9469,10.6357,-27.213,rotateclockwise
1496233010413,1.4792,0.857,-3.717,7.8459,12.8756,-24.3401,rotateclockwise
1496233010464,3.1206,1.2534,-2.4327,9.0765,13.2884,-17.8754,rotateclockwise
1496233010514,4.0353,1.7753,-1.0479,10.5158,12.5062,-12.2573,rotateclockwise
1496233010564,3.9574,2.1573,0.7631,8.2133,9.2258,-3.7637,rotateclockwise
1496233010614,3.1018,1.6453,1.9414,5.6605,5.4159,1.5163,rotateclockwise
1496233010664,1.6801,1.227,2.6492,2.4559,2.5321,3.8307,rotateclockwise
1496233010713,0.8335,1.0249,2.7835,1.7323,2.1806,2.1384,rotateclockwise
1496233010764,-0.3078,0.8411,3.4562,-1.7109,0.9966,5.1539,rotateclockwise
1496233010814,-1.8932,0.5477,2.9794,-3.9343,-0.2064,1.3099,rotateclockwise
1496233010864,-2.4118,-0.1866,2.4227,-8.5654,-0.6304,-0.4705,rotateclockwise
1496233010913,-3.424,-0.1588,1.3331,-11.7358,1.451,-3.2724,rotateclockwise
1496233010963,-3.7429,-0.6784,-0.0596,-13.8558,3.6028,-11.6217,rotateclockwise
1496233011013,-3.4734,-0.3582,-0.6416,-17.5106,3.9463,-9.5981,rotateclockwise
1496233011064,-4.0166,0.7623,-1.9969,-14.4077,8.1936,-21.4104,rotateclockwise
1496233011114,-2.1167,0.8044,-3.1121,-9.1563,8.7112,-21.2334,rotateclockwise
1496233011164,-0.493,0.9516,-3.656,-4.1858,8.6555,-21.6863,rotateclockwise
1496233011213,0.9255,0.9029,-3.5192,1.8838,9.1697,-22.6115,rotateclockwise
1496233011264,1.9215,0.9393,-2.9178,6.0295,9.9837,-21.0554,rotateclockwise
1496233011314,2.8139,1.0468,-2.3495,7.6676,10.0824,-16.3909,rotateclockwise
1496233011363,3.1541,1.904,-0.7784,10.1101,10.1545,-11.3365,rotateclockwise
1496233011413,3.1257,2.3431,0.6226,8.2092,7.6537,-5.5613,rotateclockwise
1496233011463,2.4446,1.9159,1.5565,4.984,4.2143,-0.1819,rotateclockwise
1496233011513,1.5601,1.5954,2.4402,3.0774,2.3897,1.4326,rotateclockwise
1496233011564,-0.0093,0.9076,2.7466,0.1923,1.3225,2.4495,rotateclockwise
1496233011614,-1.2359,0.3618,2.825,-0.8882,2.3293,3.6131,rotateclockwise
1496233011663,-2.0257,-0.1543,2.9444,-5.3514,0.9062,-0.2614,rotateclockwise
1496233011713,-2.6279,-0.6522,2.1854,-10.5099,0.3534,-2.3014,rotateclockwise
1496233011764,-3.2756,-0.8959,1.2983,-12.5441,3.0448,-7.2139,rotateclockwise
1496233011814,-3.21,-0.8577,0.5403,-15.5016,4.3623,-8.403,rotateclockwise
1496233011863,-2.9642,-0.3788,-1.3583,-15.8788,5.6078,-15.3314,rotateclockwise
1496233011913,-3.0876,0.4374,-1.7828,-15.1189,6.4085,-13.543,rotateclockwise
1496233011963,-2.2001,0.6898,-3.0181,-13.2126,8.13,-19.3608,rotateclockwise
1496233012014,-1.1715,1.2169,-4.0903,-5.5919,11.888,-24.5198,rotateclockwise
1496233012064,0.6104,1.558,-3.9428,1.4645,11.0663,-22.7462,rotateclockwise
1496233012114,2.9148,1.5854,-2.5927,10.6791,14.1461,-20.9545,rotateclockwise
1496233012164,3.8251,2.4388,-0.737,9.183,12.482,-15.0861,rotateclockwise
1496233012213,3.9366,2.3903,0.4716,7.3142,8.2053,-5.3928,rotateclockwise
1496233012264,3.3469,2.313,1.306,5.508,4.8048,-1.5142,rotateclockwise
1496233012313,2.2654,1.9529,1.9252,3.7267,2.2765,1.7547,rotateclockwise
1496233012363,1.0319,1.4306,2.564,1.6583,1.1464,3.2295,rotateclockwise
1496233012414,-0.0808,0.9469,2.5865,0.1875,0.5558,2.2593,rotateclockwise
1496233012468,-1.2957,0.4912,2.6865,-0.9752,0.9895,0.9658,rotateclockwise
1496233012514,-1.5441,0.2667,2.5843,-2.9171,0.9467,-0.7244,rotateclockwise
1496233012563,-2.5681,0.1075,2.4619,-5.5786,1.6431,-3.9404,rotateclockwise
1496233012614,-2.8432,-0.3482,1.8799,-8.6127,1.8003,-3.6189,rotateclockwise
1496233012664,-3.3964,-0.5465,1.1246,-13.2734,2.6793,-9.9546,rotateclockwise
1496233012714,-3.1607,-0.3321,-0.2757,-17.4638,2.1627,-12.4003,rotateclockwise
1496233012764,-2.7381,0.0698,-1.7704,-16.7778,3.5731,-17.2557,rotateclockwise
1496233012814,-2.4583,1.0395,-2.8672,-13.4015,5.6725,-21.1642,rotateclockwise
1496233012864,-1.0754,0.8528,-3.4689,-9.5176,6.6283,-23.081,rotateclockwise
1496233012914,0.0105,1.062,-3.9594,-4.1318,7.674,-23.9568,rotateclockwise
1496233012964,2.0825,0.9028,-3.6815,5.6215,9.6864,-21.4239,rotateclockwise
1496233013014,3.4004,1.271,-2.4438,10.864,11.767,-18.0874,rotateclockwise
1496233013064,3.6521,1.7611,-0.9764,9.1605,9.6467,-11.8788,rotateclockwise
1496233013114,3.6452,2.1085,0.227,9.6136,7.6885,-3.6311,rotateclockwise
1496233013164,2.8565,1.7676,1.5117,7.5473,5.4848,-1.1071,rotateclockwise
1496233013213,1.7181,1.6525,2.4365,3.8607,3.0489,2.6768,rotateclockwise
1496233013264,1.1649,1.3227,2.7994,1.4484,2.1893,4.7353,rotateclockwise
1496233013313,-0.4792,1.2198,3.1162,-0.0973,1.8466,2.8875,rotateclockwise
1496233013363,-1.5508,0.8568,3.1432,-2.6545,1.0006,1.89,rotateclockwise
1496233013414,-2.6112,0.2108,2.9348,-7.5229,0.7658,-1.6416,rotateclockwise
1496233013464,-3.3342,-0.0212,2.059,-7.9937,2.6451,-5.5925,rotateclockwise
1496233013514,-3.1735,-0.9882,1.7567,-17.6456,1.7822,-7.1205,rotateclockwise
1496233013564,-3.5432,-0.1702,0.4522,-18.2283,3.2458,-13.4755,rotateclockwise
1496233013614,-2.7311,-0.4048,-1.656,-19.2414,2.7485,-17.1201,rotateclockwise
1496233013664,-2.3881,0.8299,-2.9079,-15.7195,4.278,-20.7256,rotateclockwise
1496233013713,-1.4249,0.8387,-3.7441,-9.3835,6.002,-19.0416,rotateclockwise
1496233013764,0.1804,0.9581,-4.1095,-3.8701,7.6319,-22.0068,rotateclockwise
1496233013814,1.1915,1.2979,-3.6285,2.9653,8.2692,-21.7361,rotateclockwise
1496233013864,2.6306,1.5656,-2.5863,9.865,10.5034,-19.577,rotateclockwise
1496233013914,3.2955,1.564,-1.1936,10.3258,8.7631,-11.9158,rotateclockwise
1496233013964,3.3355,2.1684,0.2685,8.0933,7.0858,-6.9,rotateclockwise
1496233014014,3.0057,2.0093,1.0193,5.6667,4.408,-2.293,rotateclockwise
1496233014064,2.2889,2.0043,1.8932,2.7449,1.9573,0.9753,rotateclockwise
1496233014114,1.2532,1.5307,2.3712,1.3979,0.8467,2.0498,rotateclockwise
1496233014164,0.0306,0.964,2.8008,-0.2873,0.1023,2.3254,rotateclockwise
1496233014214,-1.4241,0.75,2.821,-1.5341,0.2781,1.7561,rotateclockwise
1496233014264,-1.9967,0.181,2.7991,-3.9097,0.0274,-2.7319,rotateclockwise
1496233014313,-2.1114,-0.1784,2.5206,-7.3548,0.1573,-1.9867,rotateclockwise
1496233014364,-3.4115,0.147,1.3117,-9.9963,1.3708,-5.0333,rotateclockwise
1496233014414,-2.9719,-0.8996,0.8586,-13.5552,2.4373,-9.2251,rotateclockwise
1496233014464,-3.3008,-0.299,-0.1479,-18.0954,2.3408,-13.2591,rotateclockwise
1496233014514,-3.4518,1.3644,-1.4229,-16.7885,4.2183,-18.2115,rotateclockwise
1496233014564,-1.363,0.4522,-2.8636,-12.9873,4.5538,-20.4359,rotateclockwise
1496233014615,-0.5128,1.5773,-3.7543,-10.8642,5.7673,-20.3608,rotateclockwise
1496233014663,0.8497,1.2199,-4.5203,-4.5988,8.8628,-18.5599,rotateclockwise
1496233014714,1.1697,1.9405,-4.3911,1.049,10.6151,-19.7633,rotateclockwise
1496233014764,2.299,2.111,-2.8643,11.5204,11.1799,-15.5997,rotateclockwise
1496233014814,3.1299,2.1474,-1.6181,12.9574,8.9707,-9.4733,rotateclockwise
1496233014864,2.7716,1.9559,0.1146,10.8321,6.3225,-5.6729,rotateclockwise
1496233014913,2.6621,1.8402,1.4759,7.3853,4.2083,-0.8132,rotateclockwise
1496233014964,1.7784,1.5048,2.2873,3.883,1.787,0.3248,rotateclockwise
1496233015014,0.9734,1.1046,2.7951,1.8505,0.6026,3.0772,rotateclockwise
1496233015064,-0.4732,1.0205,3.237,-1.1819,0.5309,0.9301,rotateclockwise
1496233015114,-1.5842,0.4887,2.8356,-4.2185,-0.5781,0.2338,rotateclockwise
1496233015164,-2.5258,0.6008,2.5894,-4.5007,0.2556,-0.6926,rotateclockwise
1496233015214,-2.8429,0.3227,1.735,-6.7304,0.9988,-2.4396,rotateclockwise
1496233015264,-4.5593,-0.2628,1.7371,-9.6576,5.0487,-7.8845,rotateclockwise
1496233015314,-3.5565,-0.3972,0.7687,-13.4032,4.2375,-9.003,rotateclockwise
1496233015364,-4.1934,-0.0183,-0.3301,-13.9767,7.0859,-17.0052,rotateclockwise
1496233015414,-2.8996,0.4759,-1.8646,-14.3913,7.9745,-22.0384,rotateclockwise
1496233015464,-1.2957,1.6839,-3.1436,-9.4229,8.5529,-23.0442,rotateclockwise
1496233015513,0.4407,1.802,-3.821,-1.8818,10.5808,-22.6877,rotateclockwise
1496233015564,1.6326,1.3486,-3.7075,5.9497,9.8578,-18.8178,rotateclockwise
1496233015614,2.9045,0.3945,-2.3224,11.6889,8.9249,-16.5077,rotateclockwise
1496233015664,3.5691,0.7243,-1.3679,12.1486,8.124,-13.3161,rotateclockwise
1496233015714,3.644,1.0337,0.088,10.5226,6.3638,-7.7454,rotateclockwise
1496233015763,3.4112,1.2286,1.1182,8.7085,4.891,-3.1466,rotateclockwise
1496233015814,2.6016,1.259,2.0222,5.2183,2.7628,0.8658,rotateclockwise
1496233015864,1.3684,1.2505,2.7692,2.3934,1.3564,3.65,rotateclockwise
