timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488983724776,-0.0942,-0.122,0.0245,0.231,-1.5885,-10.1936,rotateclockwise
1488983724820,-0.0069,-0.2215,-0.0636,0.0273,-1.584,-8.9172,rotateclockwise
1488983724870,-0.1173,-0.244,-0.0067,-0.1066,-1.4246,-9.3083,rotateclockwise
1488983724920,-0.1884,-0.1845,-0.1144,-0.0631,-1.2475,-9.0862,rotateclockwise
1488983724970,-0.1954,-0.0302,0.0454,1.1283,-0.9229,-9.3783,rotateclockwise
1488983725023,-0.3628,-0.224,0.0257,2.4464,-1.1383,-9.534,rotateclockwise
1488983725071,-0.415,-0.3512,0.6839,5.1076,-1.2579,-10.0466,rotateclockwise
1488983725120,-0.742,-0.6867,1.2986,3.6444,-0.65,-10.6957,rotateclockwise
1488983725171,-0.6685,-0.4069,1.7316,3.1905,-0.4151,-11.7341,rotateclockwise
1488983725220,-0.2419,0.0543,2.1406,-1.5424,1.2427,-13.1209,rotateclockwise
1488983725270,0.2515,-0.0901,1.9482,-4.8955,2.3114,-15.6078,rotateclockwise
1488983725321,1.351,0.1244,1.5344,-8.8884,2.5606,-13.7662,rotateclockwise
1488983725371,1.7063,0.0118,0.5745,-10.2769,2.0084,-9.8651,rotateclockwise
1488983725421,1.5892,-0.7768,-0.5696,-6.6472,0.9671,-7.6281,rotateclockwise
1488983725470,1.4464,-0.2305,-1.1669,-6.9085,0.5787,-6.0376,rotateclockwise
1488983725521,0.6184,-0.6897,-2.055,-3.675,-0.2912,-4.2666,rotateclockwise
1488983725570,0.0668,-0.1225,-1.9891,-0.9124,-1.2992,-4.4781,rotateclockwise
1488983725621,-0.4614,-0.714,-2.1452,1.1963,-1.4367,-3.9587,rotateclockwise
1488983725671,-0.8472,0.1404,-1.4568,2.3215,-0.9789,-5.3411,rotateclockwise
1488983725721,-1.0538,-0.2413,-1.725,2.4963,-1.05,-4.9273,rotateclockwise
1488983725771,-1.5611,-0.0863,-1.26,5.5306,-1.0351,-7.6748,rotateclockwise
1488983725821,-1.8523,0.0569,-0.4872,5.1909,-0.2752,-9.6971,rotateclockwise
1488983725871,-1.9784,0.24,0.1336,6.4451,0.4302,-11.6922,rotateclockwise
1488983725921,-1.9127,-0.1549,0.9138,5.915,0.7504,-13.5319,rotateclockwise
1488983725971,-1.2977,0.1553,1.8564,4.5135,1.7119,-13.7606,rotateclockwise
1488983726021,-1.2055,-0.6105,2.1809,3.8268,2.5538,-17.784,rotateclockwise
1488983726070,0.3061,-0.2564,2.8974,-1.0527,3.8668,-17.0764,rotateclockwise
1488983726120,1.2741,-0.4096,2.5323,-4.5607,4.5718,-15.4908,rotateclockwise
1488983726171,2.1074,-0.4134,1.3652,-9.0584,4.5993,-12.9047,rotateclockwise
