timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488817221736,82,11,6,-1.3232574462890625,2.17706298828125,8.652450561523438,rotateclockwise
1488817221787,81,11,5,-1.356781005859375,1.9394683837890625,9.468536376953125,rotateclockwise
1488817221836,81,10,4,-1.1970977783203125,1.6182403564453125,7.7980194091796875,rotateclockwise
1488817221887,81,8,2,-2.6591796875,0.8541717529296875,8.157379150390625,rotateclockwise
1488817221936,81,5,0,-4.5814361572265625,0.4666900634765625,7.8978118896484375,rotateclockwise
1488817221985,84,-1,-1,-6.270660400390625,0.4483489990234375,10.32427978515625,rotateclockwise
1488817222035,89,-6,-2,-5.1681671142578125,-0.101776123046875,16.38800048828125,rotateclockwise
1488817222086,94,-7,-2,-0.4954986572265625,-3.0991363525390625,20.10638427734375,rotateclockwise
1488817222135,103,-5,-1,7.1080780029296875,-5.00250244140625,19.267807006835938,rotateclockwise
1488817222185,109,3,-2,11.435653686523438,-4.6440582275390625,10.811172485351562,rotateclockwise
1488817222235,110,10,-5,10.812850952148438,-3.814910888671875,7.9337921142578125,rotateclockwise
1488817222286,107,16,-8,7.970672607421875,-2.28314208984375,2.91815185546875,rotateclockwise
1488817222335,102,21,-11,4.93560791015625,-1.1010894775390625,1.844512939453125,rotateclockwise
1488817222385,94,24,-12,-0.463043212890625,0.8530120849609375,-1.29833984375,rotateclockwise
1488817222435,87,22,-13,-1.2572021484375,0.72216796875,2.0171356201171875,rotateclockwise
1488817222486,80,18,-12,-4.6975250244140625,0.38751220703125,4.7067413330078125,rotateclockwise
1488817222536,76,12,-10,-7.3686370849609375,0.661956787109375,7.1215057373046875,rotateclockwise
1488817222585,75,5,-8,-7.3684539794921875,0.034454345703125,11.381134033203125,rotateclockwise
1488817222635,77,-2,-6,-7.2759552001953125,-1.391021728515625,12.798782348632812,rotateclockwise
1488817222686,81,-7,-4,-4.1341552734375,-2.7707366943359375,14.93524169921875,rotateclockwise
1488817222736,87,-11,-2,-3.123321533203125,-3.3557891845703125,19.6685791015625,rotateclockwise
1488817222785,95,-12,1,1.191986083984375,-4.3173675537109375,21.891448974609375,rotateclockwise
1488817222836,104,-8,3,5.0996551513671875,-5.4568328857421875,22.336441040039062,rotateclockwise
1488817222885,110,0,2,9.346588134765625,-5.76129150390625,14.74432373046875,rotateclockwise
1488817222936,111,8,0,9.697784423828125,-4.219451904296875,6.76800537109375,rotateclockwise
1488817222985,109,14,-3,7.837982177734375,-2.4517059326171875,3.7950897216796875,rotateclockwise
1488817223035,105,19,-6,5.9815673828125,-0.9967193603515625,-0.6315765380859375,rotateclockwise
1488817223085,99,21,-7,2.0585784912109375,-0.429443359375,-1.2724761962890625,rotateclockwise
1488817223136,93,20,-7,0.60791015625,-0.8201751708984375,1.0665435791015625,rotateclockwise
1488817223186,84,16,-5,-2.9948577880859375,-1.195281982421875,1.7718963623046875,rotateclockwise
1488817223235,78,9,-3,-7.183380126953125,-0.854583740234375,7.15167236328125,rotateclockwise
1488817223285,75,2,0,-11.938644409179688,0.17889404296875,14.089096069335938,rotateclockwise
1488817223336,76,-4,2,-12.582534790039062,-0.489776611328125,16.17333984375,rotateclockwise
1488817223386,80,-7,3,-8.983688354492188,-1.791717529296875,16.935699462890625,rotateclockwise
1488817223436,89,-9,4,-5.9616851806640625,-2.3736724853515625,16.74359130859375,rotateclockwise
1488817223485,98,-8,6,-0.12432861328125,-3.050628662109375,17.62969970703125,rotateclockwise
1488817223536,106,-5,6,7.3192291259765625,-5.6642913818359375,20.603302001953125,rotateclockwise
1488817223586,111,1,3,12.163848876953125,-7.43267822265625,16.538665771484375,rotateclockwise
1488817223635,112,8,-1,11.4241943359375,-6.0383758544921875,9.6888427734375,rotateclockwise
1488817223686,110,14,-5,6.0240325927734375,-2.7837066650390625,2.468292236328125,rotateclockwise
1488817223736,106,19,-8,5.3380889892578125,-1.8116607666015625,-0.23822021484375,rotateclockwise
1488817223786,98,22,-10,0.4385986328125,-0.5133209228515625,-2.6351318359375,rotateclockwise
1488817223846,90,20,-8,-2.54541015625,-0.1900482177734375,-0.6213531494140625,rotateclockwise
1488817223885,83,15,-6,-4.3066864013671875,-0.005218505859375,2.8288726806640625,rotateclockwise
1488817223935,78,10,-5,-8.2884521484375,0.3707733154296875,8.342926025390625,rotateclockwise
1488817223986,76,2,-3,-8.180389404296875,-0.5114898681640625,12.921676635742188,rotateclockwise
1488817224037,77,-4,-1,-11.154312133789062,-0.8350830078125,17.550033569335938,rotateclockwise
1488817224086,84,-9,1,-9.696624755859375,-1.7091522216796875,18.858154296875,rotateclockwise
1488817224137,92,-10,2,-3.4945831298828125,-3.585723876953125,19.338272094726562,rotateclockwise
1488817224186,101,-8,3,2.3027191162109375,-4.524566650390625,18.020553588867188,rotateclockwise
1488817224236,108,-4,3,10.772415161132812,-6.097381591796875,16.393020629882812,rotateclockwise
1488817224286,112,2,-1,12.86138916015625,-6.4872894287109375,10.58465576171875,rotateclockwise
1488817224336,111,8,-4,10.752578735351562,-4.9812164306640625,5.506500244140625,rotateclockwise
1488817224385,109,12,-7,7.0994110107421875,-2.7039031982421875,3.0887908935546875,rotateclockwise
1488817224435,102,17,-10,2.324310302734375,-0.4532318115234375,-1.9954376220703125,rotateclockwise
1488817224486,96,17,-11,-0.034881591796875,0.0239715576171875,0.52069091796875,rotateclockwise
1488817224538,89,15,-10,-1.7024383544921875,-0.1974945068359375,1.470489501953125,rotateclockwise
1488817224585,83,10,-9,-4.83642578125,-0.358184814453125,5.3543701171875,rotateclockwise
1488817224636,79,2,-6,-7.74224853515625,-0.7014312744140625,8.193191528320312,rotateclockwise
1488817224685,78,-6,-4,-9.564559936523438,-2.0243072509765625,14.877716064453125,rotateclockwise
1488817224735,82,-12,-1,-8.459365844726562,-2.916900634765625,19.553314208984375,rotateclockwise
1488817224786,88,-14,1,-6.31500244140625,-3.328338623046875,18.480133056640625,rotateclockwise
1488817224836,96,-13,3,-1.07623291015625,-4.5557098388671875,18.901351928710938,rotateclockwise
1488817224886,103,-9,4,4.2787322998046875,-5.110809326171875,18.723709106445312,rotateclockwise
1488817224937,109,-4,3,10.322189331054688,-5.1619110107421875,14.789291381835938,rotateclockwise
1488817224985,111,3,1,11.085739135742188,-4.655792236328125,10.958145141601562,rotateclockwise
1488817225036,110,11,-3,9.240341186523438,-3.1627960205078125,6.316802978515625,rotateclockwise
1488817225086,105,17,-6,5.0190582275390625,-1.6971893310546875,0.9368896484375,rotateclockwise
1488817225136,101,20,-7,4.18560791015625,-1.119110107421875,-1.217254638671875,rotateclockwise
1488817225185,93,21,-7,-0.47454833984375,-0.3097381591796875,-1.2391204833984375,rotateclockwise
1488817225236,86,19,-6,-2.51385498046875,-1.0851898193359375,1.6374664306640625,rotateclockwise
1488817225286,79,13,-4,-7.5251617431640625,-0.31036376953125,4.7239990234375,rotateclockwise
1488817225335,76,6,-2,-9.533050537109375,-0.1546478271484375,11.421798706054688,rotateclockwise
1488817225386,76,-2,0,-11.582061767578125,-0.840301513671875,16.181503295898438,rotateclockwise
