timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1488817854126,87,6,0,-1.0250244140625,0.467926025390625,8.409652709960938,rotateclockwise
1488817854176,88,3,-3,-1.9258575439453125,-0.2169189453125,10.1844482421875,rotateclockwise
1488817854227,89,1,-4,-1.0885467529296875,-0.344024658203125,10.275802612304688,rotateclockwise
1488817854276,92,-1,-4,-2.111785888671875,-0.4703369140625,11.277542114257812,rotateclockwise
1488817854327,97,-3,-4,-3.4509735107421875,-1.1083984375,12.690185546875,rotateclockwise
1488817854376,102,-4,-3,-0.1292877197265625,-1.02154541015625,14.086273193359375,rotateclockwise
1488817854427,108,-3,-1,3.3531494140625,-1.67987060546875,15.688934326171875,rotateclockwise
1488817854476,114,0,0,3.6033935546875,-1.7590789794921875,13.860443115234375,rotateclockwise
1488817854526,118,4,1,7.26397705078125,-1.693450927734375,12.104354858398438,rotateclockwise
1488817854577,119,8,1,6.753021240234375,-1.658447265625,10.00927734375,rotateclockwise
1488817854626,118,11,1,5.372772216796875,-1.1544189453125,10.22479248046875,rotateclockwise
1488817854676,116,16,-2,3.5241241455078125,-0.0917205810546875,7.49114990234375,rotateclockwise
1488817854726,113,20,-4,2.621978759765625,1.7403717041015625,4.192718505859375,rotateclockwise
1488817854777,110,23,-6,4.169219970703125,1.802520751953125,5.6866455078125,rotateclockwise
1488817854828,105,25,-6,0.54095458984375,2.1982879638671875,4.482208251953125,rotateclockwise
1488817854877,98,26,-6,0.53094482421875,2.101226806640625,5.398773193359375,rotateclockwise
1488817854926,93,26,-5,-1.0984344482421875,2.4457855224609375,5.85650634765625,rotateclockwise
1488817854976,88,25,-5,-1.1947174072265625,2.072265625,5.7830352783203125,rotateclockwise
1488817855027,84,22,-3,-1.374481201171875,1.690338134765625,7.1507720947265625,rotateclockwise
1488817855076,80,19,-2,-3.13116455078125,2.2522125244140625,9.054885864257812,rotateclockwise
1488817855127,77,17,-1,-2.8245086669921875,2.104461669921875,7.672271728515625,rotateclockwise
1488817855177,75,13,-1,-4.078948974609375,1.3413238525390625,9.816543579101562,rotateclockwise
1488817855226,74,10,-1,-2.7879180908203125,0.608062744140625,8.043258666992188,rotateclockwise
1488817855277,74,6,-1,-3.98089599609375,-0.3170013427734375,9.456863403320312,rotateclockwise
1488817855327,75,1,-1,-2.9878692626953125,-0.681365966796875,10.718154907226562,rotateclockwise
1488817855377,78,-3,-2,-2.996917724609375,-0.9681243896484375,11.39190673828125,rotateclockwise
1488817855426,83,-7,-2,-1.78631591796875,-2.240264892578125,13.354171752929688,rotateclockwise
1488817855477,87,-9,-1,-1.0740966796875,-2.1710205078125,13.203048706054688,rotateclockwise
