timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1494679298137,-0.1922,-0.4733,-0.2978,0.3379,-0.4745,-8.4673,rotateclockwise
1494679298187,-0.1916,-0.0888,-0.1999,1.026,-0.4612,-7.0331,rotateclockwise
1494679298237,-0.4457,-0.2919,-0.2717,2.3895,0.2062,-6.6979,rotateclockwise
1494679298291,-0.8752,0.0473,0.0011,6.3703,0.0657,-7.8694,rotateclockwise
1494679298337,-1.3384,0.0896,0.4784,9.2003,-0.3816,-8.3241,rotateclockwise
1494679298387,-1.8383,-0.9675,2.552,8.9214,1.0145,-15.0219,rotateclockwise
1494679298437,-1.6168,-1.7068,3.6596,-2.9989,6.0806,-24.5639,rotateclockwise
1494679298487,2.0232,-0.3366,2.726,-17.3612,11.068,-26.7585,rotateclockwise
1494679298537,4.2019,-1.0768,-0.2906,-16.5976,10.2599,-11.5743,rotateclockwise
1494679298587,3.3031,-1.7677,-2.7392,-8.7027,8.365,-2.0895,rotateclockwise
1494679298637,1.7147,-1.2194,-3.451,-0.2196,4.4529,6.3694,rotateclockwise
1494679298687,0.7564,-1.6099,-3.3173,2.3839,2.4408,4.9688,rotateclockwise
1494679298737,-0.898,-0.4249,-2.3505,4.0078,0.086,2.0254,rotateclockwise
1494679298787,-1.671,0.5985,-1.6989,6.0347,-0.69,-4.2238,rotateclockwise
1494679298837,-3.1434,-0.0083,-0.8191,9.5692,0.6371,-6.2603,rotateclockwise
1494679298888,-2.9041,0.3223,0.1481,6.6068,3.0043,-10.5245,rotateclockwise
1494679298938,-2.8445,0.4163,0.7276,9.3064,3.5343,-15.2566,rotateclockwise
1494679298987,-2.4561,-0.3647,1.746,9.3674,3.927,-15.1297,rotateclockwise
1494679299037,-1.677,-0.0554,3.2875,6.5785,5.2267,-18.9383,rotateclockwise
1494679299087,-1.2377,-0.9395,3.5547,1.8812,6.9033,-22.4078,rotateclockwise
1494679299137,1.1674,-0.845,3.933,-8.8826,8.8019,-22.0891,rotateclockwise
1494679299193,2.4861,-1.2656,2.4235,-10.321,9.0746,-16.8264,rotateclockwise
1494679299237,3.3408,-1.8228,0.463,-12.738,8.9976,-9.7989,rotateclockwise
1494679299287,2.8208,-1.7766,-1.3766,-10.3565,6.9258,-2.6831,rotateclockwise
1494679299337,1.9623,-1.3895,-2.6615,-8.8365,5.3709,-0.1864,rotateclockwise
1494679299387,0.8047,-1.353,-3.3788,-2.3236,3.5172,1.9917,rotateclockwise
1494679299437,-0.1866,-0.9527,-3.17,0.6009,2.0736,0.5209,rotateclockwise
1494679299487,-1.3104,-0.575,-3.0714,4.3642,0.8806,-1.321,rotateclockwise
1494679299537,-2.0098,0.1834,-2.0718,5.9852,0.0947,-3.6477,rotateclockwise
1494679299587,-3.0972,0.3413,-0.7303,10.1186,0.6873,-5.2574,rotateclockwise
1494679299637,-3.3945,0.0649,-0.2822,10.7843,2.6448,-12.606,rotateclockwise
1494679299689,-2.8478,0.5197,1.3318,10.6994,3.5973,-12.7393,rotateclockwise
1494679299737,-2.6556,-0.6198,2.3333,11.3618,5.1543,-18.7091,rotateclockwise
1494679299787,-1.3197,-0.7473,3.4191,7.0315,6.7742,-17.1155,rotateclockwise
1494679299837,-0.0532,-0.8546,3.7009,-1.3588,9.7885,-24.3223,rotateclockwise
1494679299889,1.2885,-1.1321,3.1613,-8.8559,10.4339,-21.9996,rotateclockwise
1494679299937,3.1231,-0.6758,2.0106,-14.0257,10.3014,-14.1785,rotateclockwise
1494679299989,3.3614,-0.9965,0.2278,-11.1034,8.2657,-7.981,rotateclockwise
1494679300037,3.1165,-1.1375,-0.9569,-9.9469,5.8391,0.5369,rotateclockwise
1494679300087,1.5913,-1.0337,-2.2434,-5.0905,3.5602,1.8269,rotateclockwise
1494679300137,-0.1783,-1.125,-2.6005,-2.3808,2.677,1.1178,rotateclockwise
1494679300187,-0.815,-0.5106,-2.8221,-0.0268,1.366,2.5797,rotateclockwise
1494679300237,-2.2437,-0.455,-2.2802,3.4337,2.0439,-2.4328,rotateclockwise
1494679300287,-2.2501,0.4876,-2.1561,7.713,1.4587,-1.9851,rotateclockwise
1494679300337,-3.4408,0.3948,-0.9256,10.7595,3.886,-10.7115,rotateclockwise
1494679300387,-3.0665,0.5395,-0.1155,13.7745,4.5341,-16.0858,rotateclockwise
1494679300437,-2.2913,0.3453,1.4639,14.1135,4.7211,-19.0509,rotateclockwise
1494679300487,-1.3152,-0.4349,2.4524,11.4096,4.9036,-21.6143,rotateclockwise
1494679300537,-0.4347,-1.4362,3.4722,1.5069,8.3201,-20.5266,rotateclockwise
1494679300587,1.0654,-0.8931,3.7413,-7.6841,11.1838,-21.231,rotateclockwise
1494679300638,2.5418,-1.0816,2.3923,-14.9514,11.635,-15.9527,rotateclockwise
1494679300687,3.3615,-1.1833,0.3203,-13.4743,8.9013,-6.7153,rotateclockwise
1494679300737,2.703,-1.3837,-1.2253,-11.0094,6.1947,-1.4348,rotateclockwise
1494679300787,2.0822,-1.3405,-2.2022,-6.5549,3.7362,1.1593,rotateclockwise
1494679300837,-0.1131,-1.1443,-2.8745,-1.5528,1.9117,2.5283,rotateclockwise
1494679300887,-0.3399,0.0765,-2.6745,0.6203,1.4241,1.3617,rotateclockwise
1494679300937,-0.8712,0.2927,-2.4423,3.6188,1.0492,2.2787,rotateclockwise
1494679300987,-2.3072,0.4962,-2.1322,10.0237,2.4122,-4.2876,rotateclockwise
1494679301037,-2.518,0.7847,-1.4493,13.3589,3.1401,-9.6334,rotateclockwise
1494679301087,-3.0591,0.5103,0.6626,10.9677,3.977,-17.3803,rotateclockwise
1494679301137,-1.3318,0.2436,2.1338,13.8843,2.4212,-19.7718,rotateclockwise
