timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495103205214,-0.3699,-0.067,-0.2294,-0.1833,-1.4294,-9.1838,rotateclockwise
1495103205263,-0.0995,-0.0254,0.1116,-0.2368,-1.4488,-9.8288,rotateclockwise
1495103205313,0.0571,-0.2601,-0.1196,-0.2037,-1.388,-9.2925,rotateclockwise
1495103205363,0.0345,0.0138,-0.0336,0.3071,-1.7218,-10.0684,rotateclockwise
1495103205414,-0.0946,-0.0844,-0.0016,0.0667,-1.6178,-8.8869,rotateclockwise
1495103205463,-0.0439,-0.045,-0.0717,-0.4515,-1.3432,-9.9815,rotateclockwise
1495103205513,-0.0189,0.0466,-0.0381,0.3786,-1.5407,-9.2539,rotateclockwise
1495103205564,-0.1008,-0.1761,0.0166,-0.3633,-1.3381,-9.8139,rotateclockwise
1495103205613,0.1315,0.0663,0,-0.2495,-1.4091,-9.673,rotateclockwise
1495103205663,-0.0427,-0.1028,0.004,-0.5533,-1.3981,-9.0385,rotateclockwise
1495103205713,-0.0995,0.0868,-0.0237,0.3651,-1.4246,-9.4459,rotateclockwise
1495103205763,-0.0032,-0.0349,-0.0314,-0.0543,-1.3526,-9.7873,rotateclockwise
1495103205814,-0.0269,-0.0034,-0.0219,-0.157,-1.4111,-9.6199,rotateclockwise
1495103205863,-0.0893,-0.0393,-0.0273,-0.1391,-1.3593,-9.8118,rotateclockwise
1495103205914,-0.0609,-0.0192,-0.0078,-0.4044,-1.1956,-9.4192,rotateclockwise
1495103205963,0.0622,0.1543,0.0213,-0.1782,-1.3414,-9.7771,rotateclockwise
1495103206017,-0.0176,-0.1052,-0.0229,-0.1265,-1.3375,-9.2961,rotateclockwise
1495103206063,-0.0082,0.1456,0.0008,0.1463,-1.3774,-9.6107,rotateclockwise
1495103206113,-0.1076,-0.0552,-0.0235,-0.1898,-1.3493,-9.3575,rotateclockwise
1495103206168,-0.0451,0.0527,0.0346,0.1597,-1.2365,-10.1506,rotateclockwise
1495103206213,0.0214,-0.0873,-0.0147,-0.2078,-1.2079,-9.2338,rotateclockwise
1495103206263,-0.1196,0.0058,0.0212,-0.2533,-1.0969,-9.6702,rotateclockwise
1495103206314,-0.0957,-0.0579,-0.0758,0.001,-1.1492,-10.0493,rotateclockwise
1495103206363,-0.0288,0.0676,0.0455,-0.0481,-1.1682,-9.6169,rotateclockwise
1495103206415,-0.0363,-0.0812,-0.0288,-0.2207,-1.1156,-9.2892,rotateclockwise
1495103206465,-0.0832,0.0811,0.0134,-0.062,-1.0638,-10.0347,rotateclockwise
1495103206513,-0.0483,-0.0867,-0.0486,-0.2922,-0.9839,-9.5565,rotateclockwise
1495103206563,-0.0052,0.0392,-0.0012,0.108,-1.1402,-9.4768,rotateclockwise
1495103206614,-0.0548,-0.0322,-0.019,0.2843,-1.173,-9.0348,rotateclockwise
1495103206663,-0.1843,-0.0969,0.026,0.7054,-1.1754,-9.1821,rotateclockwise
