timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495525586479,-0.0579,-0.0877,-0.0172,0.1326,0.0112,-9.8867,rotateclockwise
1495525586529,0.1101,0.0563,0.0048,0.3059,0.2046,-9.1363,rotateclockwise
1495525586580,-0.2782,-0.2238,-0.1497,0.1275,0.1095,-8.4985,rotateclockwise
1495525586630,-0.283,-0.3016,-0.1964,1.0078,0.3288,-9.3189,rotateclockwise
1495525586682,-1.1584,-1.07,-0.2816,2.5328,0.5924,-9.0612,rotateclockwise
1495525586729,-0.7198,0.0851,0.5659,8.9311,0.9483,-11.775,rotateclockwise
1495525586779,-0.765,-0.4442,1.3755,6.7813,1.239,-12.4286,rotateclockwise
1495525586830,-0.4045,0.0554,2.06,4.9166,3.0259,-14.4228,rotateclockwise
1495525586880,0.2452,0.3931,2.1852,-0.295,4.3896,-15.8541,rotateclockwise
1495525586930,0.7977,0.3743,2.0886,-2.1943,4.2968,-16.2561,rotateclockwise
1495525586985,0.9324,-0.0165,1.6853,-7.0302,4.7858,-17.7848,rotateclockwise
1495525587030,2.455,-0.6384,0.5188,-12.2813,5.2881,-12.5264,rotateclockwise
1495525587081,2.6341,-0.9772,-0.5557,-12.3123,4.5402,-6.6701,rotateclockwise
1495525587130,2.0112,-1.294,-2.165,-7.9791,2.7859,1.8794,rotateclockwise
1495525587180,1.0104,-0.6069,-2.83,-5.448,2.5537,3.2979,rotateclockwise
1495525587229,-0.293,-0.5556,-2.9487,3.8819,0.4438,-1.2665,rotateclockwise
1495525587279,-0.6734,-0.3555,-2.3797,5.7898,-1.0725,-3.5223,rotateclockwise
1495525587330,-1.4763,-0.3811,-1.7846,4.052,0.604,-8.0875,rotateclockwise
1495525587380,-1.5864,-0.0303,-1.1348,7.4464,-0.2552,-8.4485,rotateclockwise
1495525587430,-1.7648,-0.1558,-0.6709,6.1363,0.7017,-8.7487,rotateclockwise
1495525587481,-1.7958,0.2732,-0.0755,7.242,2.5246,-12.4454,rotateclockwise
1495525587530,-1.4614,0.0866,0.6817,7.8795,2.306,-11.5195,rotateclockwise
1495525587580,-1.4823,-0.0411,1.3531,7.2853,3.3329,-13.0873,rotateclockwise
1495525587631,-0.9771,0.0193,2.0172,5.9623,3.7915,-13.982,rotateclockwise
