timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495103458269,0.0413,0.0294,0.0424,0.1324,-1.1637,-9.4525,rotateclockwise
1495103458319,-0.0755,-0.1903,-0.0072,-0.2802,-0.9754,-9.7823,rotateclockwise
1495103458369,-0.0486,0.051,-0.0564,0.0308,-1.0101,-9.6855,rotateclockwise
1495103458419,0.0313,-0.0338,0.0052,-0.1577,-1.0211,-9.5516,rotateclockwise
1495103458469,0.0022,0.0016,0.0123,0.3034,-1.0927,-9.5907,rotateclockwise
1495103458520,-0.0273,0.0035,0.04,0.1459,-1.0842,-9.5695,rotateclockwise
1495103458570,0.0786,0.0244,0.0059,-0.2669,-1.0121,-9.7919,rotateclockwise
1495103458620,-0.0739,-0.0001,0.0205,0.4465,-1.1323,-9.2645,rotateclockwise
1495103458669,0.0025,0.0185,0.0191,-0.0193,-1.091,-10.1012,rotateclockwise
1495103458721,-0.015,-0.0275,0.0434,0.1834,-1.1154,-9.7737,rotateclockwise
1495103458769,0.0673,0.0223,0.0457,-0.1939,-1.0004,-9.2487,rotateclockwise
1495103458820,-0.0885,-0.0208,0.0116,0.1586,-0.9872,-9.7773,rotateclockwise
1495103458869,0.0252,0.0181,-0.0256,0.051,-1.0033,-9.4764,rotateclockwise
1495103458920,-0.0412,-0.0543,-0.0702,0.1571,-0.9998,-9.7504,rotateclockwise
1495103458969,0.0151,0.0302,0.0291,0.1105,-1.1024,-9.5679,rotateclockwise
1495103459019,-0.0514,-0.0931,-0.0256,0.0263,-1.0038,-9.641,rotateclockwise
1495103459069,0.0456,0.0624,-0.037,0.1871,-1.1216,-9.5198,rotateclockwise
1495103459120,-0.0642,-0.0302,0.0052,-0.0649,-1.0413,-9.8817,rotateclockwise
1495103459169,0.0388,-0.0299,-0.0074,-0.0265,-1.0268,-9.9443,rotateclockwise
1495103459220,0.0236,-0.0355,-0.0456,0.1164,-1.0253,-9.5395,rotateclockwise
1495103459270,0.0121,0.0115,-0.0166,-0.1209,-1.0077,-9.7986,rotateclockwise
1495103459322,-0.0002,0.0206,0.0013,0.2055,-1.054,-9.5266,rotateclockwise
1495103459369,0.0457,0.0049,-0.0246,0.1059,-1.0434,-9.5655,rotateclockwise
1495103459419,0.0091,0.0407,0.0121,-0.098,-1.0806,-9.6483,rotateclockwise
1495103459469,0.0193,0.059,-0.0156,0.064,-1.0728,-9.61,rotateclockwise
1495103459521,0.0158,0.0183,-0.0128,-0.0359,-1.0243,-9.5869,rotateclockwise
1495103459571,0.0789,0.069,-0.0446,0.2884,-1.0942,-9.6897,rotateclockwise
1495103459620,-0.0124,-0.0023,-0.0063,0.0259,-1.0675,-9.9893,rotateclockwise
1495103459674,0.071,0.0117,0.0141,0.4352,-1.0452,-9.6819,rotateclockwise
1495103459723,0.0256,-0.0458,0.0626,0.3658,-0.9753,-9.841,rotateclockwise
1495103459770,0.1498,-0.0072,-0.0206,0.0025,-1.0325,-9.251,rotateclockwise
1495103459820,0.0341,-0.0496,-0.0214,0.0361,-1.382,-9.4711,rotateclockwise
1495103459871,0.0241,-0.049,-0.0986,-0.1949,-1.2169,-9.715,rotateclockwise
1495103459920,0.0948,-0.0436,-0.0735,0.2058,-1.3045,-9.4636,rotateclockwise
1495103459971,0.0211,0.0238,-0.0077,0.1812,-1.1142,-9.6438,rotateclockwise
1495103460019,0.0304,-0.027,-0.0061,0.103,-1.0147,-9.6102,rotateclockwise
1495103460069,0.0593,-0.1479,-0.1514,-0.454,-0.7616,-9.9306,rotateclockwise
1495103460120,-0.0172,-0.0192,-0.1703,-0.4943,-0.9978,-10.0531,rotateclockwise
1495103460176,0.0168,-0.165,-0.2352,0.1775,-1.7094,-10.7358,rotateclockwise
