timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495525551174,-0.6776,-0.2797,0.2227,5.0943,0.3084,-7.3735,rotateclockwise
1495525551224,-1.186,-0.5152,0.4374,8.5631,0.9044,-9.4572,rotateclockwise
1495525551274,-1.3051,0.3584,1.9398,9.5431,1.0629,-14.2495,rotateclockwise
1495525551326,-1.202,-0.3213,2.4739,7.5111,2.34,-19.4279,rotateclockwise
1495525551374,0.8965,-0.4371,3.5469,-3.0652,6.485,-24.4734,rotateclockwise
1495525551425,2.5919,-0.8735,2.1646,-16.1434,9.0042,-18.4246,rotateclockwise
1495525551475,3.3199,-0.8136,-0.8099,-18.1686,8.0877,-4.6711,rotateclockwise
1495525551524,2.3987,-1.1144,-3.3004,-11.8752,7.0491,2.4608,rotateclockwise
1495525551574,0.6883,-0.6333,-4.0394,-0.752,4.8585,6.2458,rotateclockwise
1495525551624,-0.905,-0.4731,-3.8443,6.9806,3.8157,5.9506,rotateclockwise
1495525551675,-1.9648,-0.1539,-3.0804,8.258,3.021,2.1842,rotateclockwise
1495525551724,-3.3824,-0.5792,-1.9641,16.2972,2.9294,-6.9034,rotateclockwise
1495525551775,-3.2434,-0.7182,0.7587,17.8195,3.3866,-12.4772,rotateclockwise
1495525551825,-2.5035,-0.7111,2.4273,14.5597,6.8745,-18.7262,rotateclockwise
1495525551874,-1.3376,-0.6852,4.1302,6.9904,9.9362,-23.1717,rotateclockwise
1495525551925,0.3242,-0.3641,4.3752,-4.8773,11.2307,-29.4791,rotateclockwise
1495525551975,2.4498,-0.4341,3.4281,-14.7287,11.8582,-27.6725,rotateclockwise
1495525552024,3.9662,-0.5952,2.1717,-21.5235,12.2197,-12.7241,rotateclockwise
1495525552074,4.1988,-1.0444,-1.356,-19.186,9.021,1.7179,rotateclockwise
1495525552130,2.2958,-1.5528,-3.4798,-8.5096,6.177,10.4564,rotateclockwise
1495525552174,0.0135,-0.8678,-3.81,1.3132,5.6967,8.1647,rotateclockwise
1495525552224,-1.6238,-1.1467,-3.8859,8.5831,4.3647,5.6322,rotateclockwise
1495525552274,-2.5741,-0.7061,-2.8179,11.0509,2.528,1.0195,rotateclockwise
1495525552324,-3.5986,-0.4884,-1.3406,19.772,3.5611,-11.5492,rotateclockwise
1495525552374,-3.5708,-0.9538,0.8278,18.6378,5.738,-19.8418,rotateclockwise
1495525552424,-2.0473,-0.4357,2.8602,14.3404,6.6956,-19.6898,rotateclockwise
1495525552474,-0.7756,-0.1794,4.3285,6.8495,9.0142,-24.4748,rotateclockwise
1495525552524,1.3013,-0.2598,4.2641,-7.8761,11.7494,-28.8121,rotateclockwise
1495525552574,3.1424,-0.8308,2.5637,-16.6566,12.5484,-21.6497,rotateclockwise
1495525552624,4.012,-1.3037,0.3411,-20.4796,11.1312,-6.4114,rotateclockwise
1495525552674,3.238,-0.9543,-2.0251,-14.6843,8.0061,3.4872,rotateclockwise
