timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495525274178,-0.3151,-0.1496,-0.2715,0.246,-0.5945,-9.0733,rotateclockwise
1495525274227,-0.4343,-0.289,0.0218,1.8576,-0.2694,-9.693,rotateclockwise
1495525274277,-0.4802,-0.4482,0.1345,1.7202,0.092,-9.7273,rotateclockwise
1495525274327,-0.373,-0.0224,0.2592,2.4484,-0.3141,-10.0123,rotateclockwise
1495525274378,-0.5689,0.1965,0.567,3.6007,-0.5945,-10.8753,rotateclockwise
1495525274434,-0.3537,-0.1778,1.0383,2.3438,0.3697,-13.9771,rotateclockwise
1495525274478,0.2708,0.2686,1.4545,-0.0344,0.8044,-12.9979,rotateclockwise
1495525274530,0.5024,0.3454,1.1598,0.0969,0.6096,-12.5281,rotateclockwise
1495525274578,0.3731,0.4093,1.3242,-2.4963,0.8797,-13.0072,rotateclockwise
1495525274628,0.9252,-0.0945,0.7502,-3.4331,1.0156,-12.515,rotateclockwise
1495525274678,1.3028,-0.3663,0.3391,-5.5112,1.3575,-11.7329,rotateclockwise
1495525274728,1.5659,-0.4412,-0.5301,-5.5875,0.5732,-8.5697,rotateclockwise
1495525274778,1.1448,-1.0241,-1.1483,-4.0506,-0.2441,-7.2812,rotateclockwise
1495525274828,1.2943,-0.8555,-1.3558,-4.9609,-0.937,-3.8793,rotateclockwise
1495525274878,0.4111,-1.0933,-1.901,-2.8073,-0.6024,-6.1305,rotateclockwise
1495525274927,0.4103,-0.425,-2.0786,-1.5605,-1.2267,-4.12,rotateclockwise
1495525274978,-0.1967,-0.6005,-1.915,-0.7466,-1.0646,-5.6506,rotateclockwise
1495525275028,-0.3673,-0.3276,-2.0415,3.075,-1.8137,-3.7959,rotateclockwise
1495525275079,-1.024,-0.546,-1.6226,2.6419,-1.3354,-7.4423,rotateclockwise
1495525275128,-1.1129,-0.1549,-1.7053,4.2762,-1.8878,-7.4046,rotateclockwise
1495525275178,-1.4837,-0.22,-0.8185,4.7028,-1.2163,-7.5089,rotateclockwise
1495525275228,-1.3788,-0.5028,-0.3382,5.1825,-0.3531,-8.1444,rotateclockwise
1495525275278,-1.7428,-0.3067,0.4084,2.9515,0.87,-10.2187,rotateclockwise
1495525275328,-1.3362,-0.1511,0.7043,3.8071,1.3277,-11.8203,rotateclockwise
1495525275379,-1.48,-0.1713,1.2891,3.9021,2.6589,-13.5052,rotateclockwise
1495525275428,-0.6525,0.1258,1.6206,4.2615,2.9383,-13.6217,rotateclockwise
