timestamp,alpha,beta,gamma,accX,accY,accZ,movement
1495182000156,-0.0576,-0.0452,0.1584,-0.0707,0.1873,-9.9584,leftright
1495182000206,0.1318,0.2213,-0.0105,0.5331,0.226,-9.0877,leftright
1495182000257,-0.0694,-0.1971,0.0181,0.6745,0.3051,-9.4619,leftright
1495182000307,-0.0141,0.0099,-0.0573,0.0929,0.3379,-8.8786,leftright
1495182000357,-0.2169,-0.2512,-0.0208,0.3105,0.4673,-10.1141,leftright
1495182000407,-0.0647,0.2469,0.0376,0.3066,0.4402,-9.4205,leftright
1495182000457,-0.1691,-0.0697,-0.0235,0.0111,0.6105,-9.6132,leftright
1495182000507,-0.2206,0.2706,0.0847,1.009,0.6685,-9.5519,leftright
1495182000557,-0.3546,-0.1028,-0.053,0.272,1.0989,-10.3288,leftright
1495182000608,-0.5478,0.5373,0.1477,1.9922,1.4402,-9.425,leftright
1495182000657,-0.7502,0.1556,-0.0034,-0.0281,1.5487,-12.4119,leftright
1495182000707,-0.834,0.2731,-0.079,1.2119,1.9458,-17.4568,leftright
1495182000757,0.5071,-0.7091,-0.7092,1.3774,3.8564,-23.5579,leftright
1495182000807,3.1853,-0.1346,0.4122,1.5657,4.3324,-13.9924,leftright
1495182000857,3.2992,-0.4859,-0.0227,-1.4059,2.4146,-6.1259,leftright
1495182000908,2.7807,-0.2568,-0.0416,-0.9511,0.1868,-1.3743,leftright
1495182000957,1.7531,-0.17,-0.2753,0.4675,-2.1073,1.8801,leftright
1495182001007,0.2483,0.1876,0.0674,-0.2344,-2.9782,-1.0949,leftright
1495182001056,-0.5005,0.0333,0.0772,-1.6642,-2.6389,-4.087,leftright
1495182001107,-0.9258,-0.1783,-0.0345,-2.2484,-2.0926,-7.6624,leftright
1495182001157,-0.7965,-0.3321,-0.0697,-5.7985,-0.9936,-10.5838,leftright
1495182001207,-0.4325,-0.42,-0.3323,-7.7497,-1.2239,-8.6164,leftright
1495182001257,-0.8961,-0.439,-0.3238,-6.6364,0.5648,-11.7933,leftright
1495182001307,-0.1216,0.3045,-1.9646,2.4372,-0.0074,-5.4557,leftright
1495182001357,-0.5231,-0.1644,-1.4493,10.6724,1.2902,-16.8878,leftright
1495182001409,0.5112,0.0801,-0.8354,7.3908,-1.2937,-10.0036,leftright
1495182001457,0.262,-0.1076,-0.0528,2.5876,-1.1885,-9.0258,leftright
1495182001507,0.4654,0.0166,-0.0076,0.3017,-1.1494,-4.4201,leftright
1495182001557,0.1011,0.0402,-0.0676,-1.8291,0.3055,-4.1248,leftright
1495182001607,0.1195,0.3665,-0.6467,1.866,-0.2377,1.7533,leftright
1495182001657,-2.2495,0.4563,-0.2231,-1.6777,0.4769,-5.4583,leftright
1495182001706,-2.5501,0.6885,-0.3707,2.9173,1.0434,-11.3428,leftright
1495182001757,-2.032,1.1823,0.4173,-2.9739,1.638,-15.0452,leftright
1495182001807,-0.8692,0.3618,-0.2988,3.7727,5.4799,-22.8606,leftright
1495182001858,1.0387,-0.462,-0.3324,7.5947,1.1701,-11.5166,leftright
1495182001907,0.7961,-0.5781,0.2574,5.7115,0.3935,-10.2963,leftright
1495182001958,0.5989,-0.4631,0.64,6.2427,1.7482,-9.6968,leftright
1495182002007,0.7951,-0.3486,0.953,4.934,3.1009,-9.5933,leftright
1495182002057,0.6078,-0.6165,1.6574,4.3672,3.3112,-12.3076,leftright
1495182002107,1.5876,0.5597,1.9969,-0.7673,0.9599,-4.2952,leftright
1495182002156,-0.4704,0.8706,1.7927,-5.9675,0.4966,-8.5794,leftright
1495182002207,-0.4438,0.8311,0.8001,-8.0149,0.3616,-9.6151,leftright
1495182002257,-0.4044,0.2752,0.353,-5.47,0.7936,-11.2857,leftright
1495182002307,0.264,0.2268,-0.2077,-2.3995,0.4931,-10.9364,leftright
1495182002357,0.0497,-0.3184,-0.1788,0.1209,-0.3475,-9.5699,leftright
1495182002406,0.2375,-0.0872,-0.0313,2.5264,-0.6879,-10.0269,leftright
1495182002457,0.1204,-0.3246,-0.04,2.2062,-0.4969,-9.3705,leftright
1495182002507,0.2051,-0.0698,0.0133,0.9675,-0.2184,-9.5169,leftright
1495182002563,0.0504,-0.1475,0.0657,0.8517,-0.6051,-8.7747,leftright
1495182002607,-0.07,-0.1664,-0.0204,0.8896,-0.408,-10.1723,leftright
1495182002657,-0.0521,-0.1795,-0.0285,1.527,-0.257,-9.0626,leftright
1495182002707,0.1484,0.013,-0.0556,0.1124,-0.1883,-9.8135,leftright
1495182002757,0.0666,0.0373,-0.0394,0.4982,-0.4881,-10.3528,leftright
1495182002807,0.3979,-0.0108,-0.1758,0.6293,-0.1283,-10.8958,leftright
1495182002857,-0.0677,-0.0788,-0.0233,0.6627,-0.4952,-9.2265,leftright
